Date [YYYY-MM],Temperature [°C],QCFLAG
1988-01,, 
1988-02,, 
1988-03,, 
1988-04,, 
1988-05,, 
1988-06,, 
1988-07,14.05,U
1988-08,10.3,U
1988-09,, 
1988-10,, 
1988-11,, 
1988-12,, 
1989-01,, 
1989-02,, 
1989-03,, 
1989-04,, 
1989-05,, 
1989-06,, 
1989-07,14.64,U
1989-08,13.43,U
1989-09,4.47,U
1989-10,-8.93,U
1989-11,, 
1989-12,, 
1990-01,, 
1990-02,, 
1990-03,, 
1990-04,, 
1990-05,, 
1990-06,12.1,U
1990-07,15.32,U
1990-08,11.14,U
1990-09,2.2,U
1990-10,-8.96,U
1990-11,, 
1990-12,-23.81,U
1991-01,, 
1991-02,, 
1991-03,, 
1991-04,, 
1991-05,, 
1991-06,11.59,U
1991-07,11.49,U
1991-08,7.79,U
1991-09,3.82,U
1991-10,, 
1991-11,-21.38,U
1991-12,, 
1992-01,, 
1992-02,, 
1992-03,, 
1992-04,, 
1992-05,, 
1992-06,13.28,U
1992-07,13.71,U
1992-08,10.27,U
1992-09,-3.77,U
1992-10,-9.26,U
1992-11,, 
1992-12,, 
1993-01,, 
1993-02,, 
1993-03,, 
1993-04,, 
1993-05,, 
1993-06,13.26,U
1993-07,15.27,U
1993-08,10.13,U
1993-09,2.19,U
1993-10,, 
1993-11,, 
1993-12,, 
1994-01,, 
1994-02,, 
1994-03,, 
1994-04,, 
1994-05,, 
1994-06,11.1,U
1994-07,16.52,U
1994-08,12.68,U
1994-09,0.43,U
1994-10,-7.33,U
1994-11,-19.97,U
1994-12,, 
1995-01,-21.17,U
1995-02,-18.86,U
1995-03,-18.64,U
1995-04,-1.33,U
1995-05,7.89,U
1995-06,13.19,U
1995-07,13.81,U
1995-08,9.83,U
1995-09,6.96,U
1995-10,-8.06,U
1995-11,-19.95,U
1995-12,-24.78,U
1996-01,, 
1996-02,-19.12,U
1996-03,-13.1,U
1996-04,-9.13,U
1996-05,4.57,U
1996-06,12.7,U
1996-07,13.48,U
1996-08,6.55,U
1996-09,0.18,U
1996-10,-14.35,U
1996-11,-15.73,U
1996-12,-20.94,U
1997-01,-22.89,U
1997-02,-15.36,U
1997-03,-20.41,U
1997-04,-4.71,U
1997-05,3.9,U
1997-06,12.36,U
1997-07,14.21,U
1997-08,11.46,U
1997-09,5.82,U
1997-10,-11.02,U
1997-11,-13.55,U
1997-12,-21.12,U
1998-01,, 
1998-02,-19.24,U
1998-03,-10.29,U
1998-04,0.64,U
1998-05,7.36,U
1998-06,12.5,U
1998-07,15.91,U
1998-08,9.76,U
1998-09,4.06,U
1998-10,-6.4,U
1998-11,-16.4,U
1998-12,-19.77,U
1999-01,-25.26,U
1999-02,-21.65,U
1999-03,-16.13,U
1999-04,-5.67,U
1999-05,3.67,U
1999-06,13.81,U
1999-07,13.3,U
1999-08,11.73,U
1999-09,4.11,U
1999-10,-10.55,U
1999-11,-19.22,U
1999-12,-24.89,U
2000-01,-20.01,U
2000-02,-16.0,U
2000-03,-14.97,U
2000-04,-7.19,U
2000-05,1.5,U
2000-06,13.75,U
2000-07,12.56,U
2000-08,7.35,U
2000-09,1.41,U
2000-10,-8.43,U
2000-11,-13.56,U
2000-12,, 
2001-01,, 
2001-02,, 
2001-03,, 
2001-04,, 
2001-05,, 
2001-06,12.02,U
2001-07,12.27,U
2001-08,10.29,U
2001-09,5.21,U
2001-10,-8.05,U
2001-11,-16.56,U
2001-12,-21.08,U
2002-01,, 
2002-02,, 
2002-03,, 
2002-04,, 
2002-05,, 
2002-06,10.79,U
2002-07,13.38,U
2002-08,8.71,U
2002-09,5.81,U
2002-10,-4.17,U
2002-11,-10.85,U
2002-12,, 
2003-01,, 
2003-02,, 
2003-03,, 
2003-04,, 
2003-05,, 
2003-06,12.08,U
2003-07,13.24,U
2003-08,10.59,U
2003-09,0.95,U
2003-10,-1.67,U
2003-11,-15.97,U
2003-12,-21.66,U
2004-01,-25.4,U
2004-02,-23.56,U
2004-03,, 
2004-04,-4.07,U
2004-05,5.04,U
2004-06,16.73,U
2004-07,15.08,U
2004-08,12.66,U
2004-09,, 
2004-10,, 
2004-11,, 
2004-12,, 
2005-01,, 
2005-02,, 
2005-03,, 
2005-04,, 
2005-05,, 
2005-06,12.69,U
2005-07,11.03,U
2005-08,10.65,U
2005-09,3.21,U
2005-10,-6.65,U
2005-11,-21.16,U
2005-12,-14.59,U
2006-01,, 
2006-02,, 
2006-03,, 
2006-04,, 
2006-05,, 
2006-06,12.38,U
2006-07,12.94,U
2006-08,9.92,U
2006-09,7.11,U
2006-10,-3.1,U
2006-11,, 
2006-12,-16.85,U
2007-01,-19.58,U
2007-02,-22.39,U
2007-03,-21.74,U
2007-04,-2.18,U
2007-05,4.71,U
2007-06,14.34,U
2007-07,15.86,U
2007-08,11.88,U
2007-09,4.13,U
2007-10,-9.02,U
2007-11,-13.45,U
2007-12,, 
2008-01,-23.56,U
2008-02,-20.5,U
2008-03,-17.27,U
2008-04,-2.92,U
2008-05,4.8,U
2008-06,12.99,U
2008-07,11.95,U
2008-08,7.76,U
2008-09,3.42,U
2008-10,-10.36,U
2008-11,-16.74,U
2008-12,, 
2009-01,, 
2009-02,, 
2009-03,-21.23,U
2009-04,-3.94,U
2009-05,5.32,U
2009-06,11.83,U
2009-07,15.21,U
2009-08,8.92,U
2009-09,4.18,U
2009-10,-5.28,U
2009-11,-18.7,U
2009-12,, 
2010-01,-24.99,U
2010-02,-18.21,U
2010-03,-13.67,U
2010-04,0.02,U
2010-05,7.49,U
2010-06,12.96,U
2010-07,14.28,U
2010-08,11.73,U
2010-09,4.12,U
2010-10,-6.33,U
2010-11,, 
2010-12,-25.99,U
2011-01,-19.86,U
2011-02,-17.8,U
2011-03,-13.01,U
2011-04,-8.29,U
2011-05,6.91,U
2011-06,10.78,U
2011-07,14.12,U
2011-08,10.46,U
2011-09,4.93,U
2011-10,-5.4,U
2011-11,-21.79,U
2011-12,-17.88,U
2012-01,-27.46,U
2012-02,-14.99,U
2012-03,-22.02,U
2012-04,-1.89,U
2012-05,5.23,U
2012-06,14.85,U
2012-07,13.89,U
2012-08,10.89,U
2012-09,4.85,U
2012-10,-6.61,U
2012-11,, 
2012-12,, 
2013-01,-22.11,U
2013-02,-22.5,U
2013-03,, 
2013-04,-11.72,U
2013-05,2.74,U
2013-06,13.97,U
2013-07,14.25,U
2013-08,11.7,U
2013-09,2.5,U
2013-10,-1.53,U
2013-11,-15.36,U
2013-12,, 
2014-01,, 
2014-02,-20.96,U
2014-03,-12.23,U
2014-04,-5.13,U
2014-05,5.96,U
2014-06,12.51,U
2014-07,12.12,U
2014-08,10.39,U
2014-09,3.46,U
2014-10,-7.58,U
2014-11,-13.08,U
2014-12,-18.7,U
2015-01,, 
2015-02,, 
2015-03,, 
2015-04,-3.18,U
2015-05,9.87,U
2015-06,12.21,U
2015-07,12.93,U
2015-08,8.14,U
2015-09,1.3,U
2015-10,-6.15,U
2015-11,, 
2015-12,, 
2016-01,-17.24,U
2016-02,-16.14,U
2016-03,-12.45,U
2016-04,-4.3,U
2016-05,7.2,U
2016-06,10.57,U
2016-07,14.2,U
2016-08,11.36,U
2016-09,3.26,U
2016-10,-6.38,U
2016-11,, 
2016-12,, 
2017-01,, 
2017-02,, 
2017-03,, 
2017-04,-6.61,U
2017-05,6.76,U
2017-06,12.74,U
2017-07,16.53,U
2017-08,11.21,U
2017-09,4.95,U
2017-10,, 
2017-11,, 
2017-12,, 
2018-01,, 
2018-02,, 
2018-03,-11.48,U
2018-04,-7.39,U
2018-05,5.25,U
2018-06,11.06,U
2018-07,15.55,U
2018-08,7.62,U
2018-09,2.68,U
2018-10,-3.81,U
2018-11,, 
2018-12,, 
2020-01,-25.74,U
2020-02,-21.22,U
2020-03,-15.37,U
2020-04,-5.36,U
2020-05,5.67,U
2020-06,12.86,U
2020-07,11.05,U
2020-08,12.08,U
2020-09,4.3,U
2020-10,-6.76,U
2020-11,, 
2020-12,-19.72,U
2021-01,, 
2021-02,, 
2021-03,-17.71,U
2021-04,-5.36,U
2021-05,3.43,U
2021-06,14.19,U
2021-07,15.14,U
2021-08,, 
2021-09,, 
2021-10,, 
2021-11,, 
2021-12,, 
