Date [YYYY-MM],Temperature [°C],QCFLAG
1991-01,, 
1991-02,, 
1991-03,, 
1991-04,, 
1991-05,, 
1991-06,, 
1991-07,13.16,U
1991-08,, 
1991-09,, 
1991-10,, 
1991-11,, 
1991-12,, 
1992-01,, 
1992-02,, 
1992-03,, 
1992-04,, 
1992-05,, 
1992-06,11.89,U
1992-07,15.45,U
1992-08,11.06,U
1992-09,-1.36,U
1992-10,-11.47,U
1992-11,-17.63,U
1992-12,-20.99,U
1993-01,, 
1993-02,, 
1993-03,, 
1993-04,, 
1993-05,, 
1993-06,12.38,U
1993-07,16.53,U
1993-08,9.61,U
1993-09,2.32,U
1993-10,-3.16,U
1993-11,-13.58,U
1993-12,-14.13,U
1994-01,-17.62,U
1994-02,-20.27,U
1994-03,-22.54,U
1994-04,-12.33,U
1994-05,3.06,U
1994-06,10.53,U
1994-07,14.79,U
1994-08,10.58,U
1994-09,3.86,U
1994-10,-7.98,U
1994-11,-19.38,U
1994-12,-22.52,U
1995-01,-22.76,U
1995-02,-18.28,U
1995-03,-22.69,U
1995-04,-8.03,U
1995-05,6.05,U
1995-06,10.57,U
1995-07,14.36,U
1995-08,10.91,U
1995-09,8.0,U
1995-10,-4.57,U
1995-11,-18.78,U
1995-12,-19.79,U
1996-01,-22.84,U
1996-02,-22.33,U
1996-03,-14.0,U
1996-04,-11.27,U
1996-05,4.11,U
1996-06,10.6,U
1996-07,13.82,U
1996-08,9.15,U
1996-09,2.29,U
1996-10,-10.3,U
1996-11,-15.01,U
1996-12,-23.47,U
1997-01,-23.69,U
1997-02,-15.43,U
1997-03,-22.55,U
1997-04,-6.96,U
1997-05,5.01,U
1997-06,12.54,U
1997-07,14.48,U
1997-08,12.23,U
1997-09,8.27,U
1997-10,-10.11,U
1997-11,-11.29,U
1997-12,-22.39,U
1998-01,-24.22,U
1998-02,-18.91,U
1998-03,-10.59,U
1998-04,-2.5,U
1998-05,4.51,U
1998-06,12.19,U
1998-07,16.11,U
1998-08,9.25,U
1998-09,6.14,U
1998-10,-2.88,U
1998-11,-13.45,U
1998-12,-21.89,U
1999-01,-28.95,U
1999-02,-25.11,U
1999-03,-21.27,U
1999-04,-9.98,U
1999-05,1.82,U
1999-06,12.23,U
1999-07,14.12,U
1999-08,12.29,U
1999-09,6.28,U
1999-10,-7.34,U
1999-11,-19.32,U
1999-12,, 
2000-01,, 
2000-02,, 
2000-03,, 
2000-04,, 
2000-05,, 
2000-06,, 
2000-07,11.91,U
2000-08,9.22,U
2000-09,3.39,U
2000-10,-5.52,U
2000-11,-10.44,U
2000-12,-12.03,U
2001-01,-13.49,U
2001-02,-11.87,U
2001-03,-17.98,U
2001-04,-8.6,U
2001-05,-5.21,U
2001-06,9.85,U
2001-07,12.93,U
2001-08,10.51,U
2001-09,6.99,U
2001-10,-8.83,U
2001-11,-17.47,U
2001-12,-21.67,U
2002-01,-20.53,U
2002-02,-16.93,U
2002-03,-11.71,U
2002-04,-10.05,U
2002-05,6.0,U
2002-06,10.9,U
2002-07,14.2,U
2002-08,9.64,U
2002-09,6.12,U
2002-10,-1.41,U
2002-11,-8.04,U
2002-12,-12.8,U
2003-01,-14.95,U
2003-02,-13.75,U
2003-03,-20.01,U
2003-04,-5.07,U
2003-05,3.01,U
2003-06,13.41,U
2003-07,11.51,U
2003-08,11.76,U
2003-09,2.94,U
2003-10,-1.83,U
2003-11,-13.37,U
2003-12,-21.79,U
2004-01,-21.93,U
2004-02,-18.71,U
2004-03,-17.78,U
2004-04,-3.33,U
2004-05,6.87,U
2004-06,15.57,U
2004-07,16.86,U
2004-08,15.4,U
2004-09,2.02,U
2004-10,-3.38,U
2004-11,-12.48,U
2004-12,-16.83,U
2005-01,-21.48,U
2005-02,-19.77,U
2005-03,-12.27,U
2005-04,-13.49,U
2005-05,5.51,U
2005-06,14.23,U
2005-07,14.8,U
2005-08,12.32,U
2005-09,6.6,U
2005-10,-4.05,U
2005-11,-20.95,U
