Date [YYYY-MM],Temperature [°C],QCFLAG
1988-01,, 
1988-02,, 
1988-03,, 
1988-04,3.53,U
1988-05,2.34,U
1988-06,14.58,U
1988-07,16.08,U
1988-08,12.17,U
1988-09,4.27,U
1988-10,-11.57,U
1988-11,-17.09,U
1988-12,-14.29,U
1989-01,, 
1989-02,-11.71,U
1989-03,-8.8,U
1989-04,-1.55,U
1989-05,5.95,U
1989-06,13.25,U
1989-07,15.41,U
1989-08,13.31,U
1989-09,5.37,U
1989-10,-8.08,U
1989-11,, 
1989-12,-7.84,U
1990-01,, 
1990-02,, 
1990-03,, 
1990-04,, 
1990-05,9.63,U
1990-06,12.46,U
1990-07,16.22,U
1990-08,13.41,U
1990-09,3.46,U
1990-10,-6.55,U
1990-11,, 
1990-12,, 
1991-01,, 
1991-02,-6.68,U
1991-03,-16.87,U
1991-04,-27.02,U
1991-05,9.75,U
1991-06,16.25,U
1991-07,14.9,U
1991-08,10.67,U
1991-09,6.0,U
1991-10,-6.26,U
1991-11,-22.54,U
1991-12,-23.06,U
1992-01,, 
1992-02,, 
1992-03,, 
1992-04,, 
1992-05,2.6,U
1992-06,15.46,U
1992-07,16.76,U
1992-08,12.64,U
1992-09,-1.34,U
1992-10,-10.89,U
1992-11,-18.47,U
1992-12,-27.34,U
1993-01,-23.33,U
1993-02,-20.26,U
1993-03,, 
1993-04,0.71,U
1993-05,8.5,U
1993-06,15.95,U
1993-07,19.39,U
1993-08,12.27,U
1993-09,3.81,U
1993-10,-4.27,U
1993-11,-17.43,U
1993-12,-18.9,U
1994-01,, 
1994-02,, 
1994-03,-16.25,U
1994-04,-3.32,U
1994-05,9.4,U
1994-06,13.85,U
1994-07,17.68,U
1994-08,13.9,U
1994-09,3.61,U
1994-10,-7.24,U
1994-11,-22.02,U
1994-12,, 
1995-01,, 
1995-02,, 
1995-03,, 
1995-04,, 
1995-05,9.71,U
1995-06,14.28,U
1995-07,16.72,U
1995-08,13.39,U
1995-09,7.75,U
1995-10,-6.51,U
1995-11,-23.14,U
1995-12,-24.79,U
1996-01,, 
1996-02,-22.05,U
1996-03,-12.15,U
1996-04,-4.68,U
1996-05,7.88,U
1996-06,14.23,U
1996-07,16.02,U
1996-08,9.13,U
1996-09,3.43,U
1996-10,-13.59,U
1996-11,-21.16,U
1996-12,, 
1997-01,, 
1997-02,-14.07,U
1997-03,-16.67,U
1997-04,-2.37,U
1997-05,7.03,U
1997-06,16.31,U
1997-07,16.65,U
1997-08,13.06,U
1997-09,7.45,U
1997-10,-9.81,U
1997-11,-16.76,U
1997-12,, 
1998-01,, 
1998-02,, 
1998-03,, 
1998-04,, 
1998-05,, 
1998-06,13.96,U
1998-07,17.14,U
1998-08,10.65,U
1998-09,5.87,U
1998-10,-5.59,U
1998-11,-17.93,U
1998-12,-22.24,U
1999-01,-30.86,U
1999-02,-27.28,U
1999-03,-15.52,U
1999-04,-3.14,U
1999-05,7.34,U
1999-06,15.95,U
1999-07,16.18,U
1999-08,14.14,U
1999-09,6.14,U
1999-10,-7.58,U
1999-11,-19.52,U
1999-12,-26.55,U
2000-01,-25.66,U
2000-02,-16.55,U
2000-03,-11.11,U
2000-04,-2.87,U
2000-05,4.95,U
2000-06,16.24,U
2000-07,15.22,U
2000-08,10.26,U
2000-09,3.76,U
2000-10,-6.5,U
2000-11,-13.3,U
2000-12,, 
2001-01,, 
2001-02,-17.23,U
2001-03,, 
2001-04,, 
2001-05,5.05,U
2001-06,15.62,U
2001-07,15.32,U
2001-08,12.51,U
2001-09,6.6,U
2001-10,-5.94,U
2001-11,-17.48,U
2001-12,-22.91,U
2002-01,, 
2002-02,-20.0,U
2002-03,-12.68,U
2002-04,-4.99,U
2002-05,7.74,U
2002-06,14.05,U
2002-07,16.17,U
2002-08,11.33,U
2002-09,6.81,U
2002-10,-3.7,U
2002-11,-10.14,U
2002-12,-14.8,U
2003-01,-24.62,U
2003-02,, 
2003-03,-13.93,U
2003-04,-1.41,U
2003-05,5.74,U
2003-06,15.34,U
2003-07,15.04,U
2003-08,12.95,U
2003-09,3.79,U
2003-10,-1.07,U
2003-11,-17.26,U
2003-12,-22.19,U
2004-01,-26.48,U
2004-02,-20.39,U
2004-03,-16.72,U
2004-04,-0.04,U
2004-05,10.13,U
2004-06,19.47,U
2004-07,18.31,U
2004-08,15.55,U
2004-09,1.89,U
2004-10,-3.55,U
2004-11,-17.18,U
2004-12,-22.22,U
2005-01,, 
2005-02,, 
2005-03,-10.05,U
2005-04,-2.3,U
2005-05,12.02,U
2005-06,16.95,U
2005-07,16.12,U
2005-08,13.69,U
2005-09,6.16,U
2005-10,-4.79,U
2005-11,-22.07,U
2005-12,-16.72,U
2006-01,-28.65,U
2006-02,-16.97,U
2006-03,-17.22,U
2006-04,-4.33,U
2006-05,9.54,U
2006-06,14.39,U
2006-07,15.06,U
2006-08,11.85,U
2006-09,8.19,U
2006-10,-2.21,U
2006-11,-21.92,U
2006-12,-18.24,U
2007-01,, 
2007-02,, 
2007-03,-20.35,U
2007-04,1.85,U
2007-05,9.61,U
2007-06,, 
2007-07,18.7,U
2007-08,14.69,U
2007-09,6.39,U
2007-10,-6.18,U
2007-11,-12.92,U
2007-12,-22.13,U
2008-01,-24.48,U
2008-02,-23.77,U
2008-03,-14.48,U
2008-04,-2.62,U
2008-05,7.74,U
2008-06,14.89,U
2008-07,15.27,U
2008-08,11.08,U
2008-09,4.64,U
2008-10,-11.81,U
2008-11,-16.92,U
2008-12,-24.08,U
2009-01,-28.9,U
2009-02,-20.44,U
2009-03,-17.85,U
2009-04,-2.45,U
2009-05,8.74,U
2009-06,14.63,U
2009-07,18.0,U
2009-08,10.69,U
2009-09,6.71,U
2009-10,-3.46,U
2009-11,-21.51,U
2009-12,-20.7,U
2010-01,-27.07,U
2010-02,-19.46,U
2010-03,-13.91,U
2010-04,0.78,U
2010-05,10.77,U
2010-06,15.44,U
2010-07,15.18,U
2010-08,13.73,U
2010-09,5.96,U
2010-10,-4.84,U
2010-11,-11.56,U
2010-12,-30.61,U
2011-01,-24.19,U
2011-02,-20.54,U
2011-03,-15.11,U
2011-04,-4.69,U
2011-05,9.02,U
2011-06,14.1,U
2011-07,15.47,U
2011-08,11.76,U
2011-09,6.77,U
2011-10,-3.36,U
2011-11,-24.0,U
2011-12,-19.49,U
2012-01,-33.17,U
2012-02,-17.78,U
2012-03,-17.8,U
2012-04,0.64,U
2012-05,7.39,U
2012-06,16.06,U
2012-07,14.94,U
2012-08,11.95,U
2012-09,5.01,U
2012-10,-7.02,U
2012-11,-24.48,U
2012-12,-29.19,U
2013-01,-21.79,U
2013-02,-20.48,U
2013-03,-16.09,U
2013-04,-8.52,U
2013-05,4.57,U
2013-06,17.61,U
2013-07,16.58,U
2013-08,12.92,U
2013-09,3.5,U
2013-10,-0.64,U
2013-11,-17.85,U
2013-12,-23.98,U
2014-01,-19.12,U
2014-02,-22.3,U
2014-03,-12.7,U
2014-04,-2.7,U
2014-05,7.88,U
2014-06,13.28,U
2014-07,13.93,U
2014-08,13.16,U
2014-09,5.17,U
2014-10,-5.33,U
2014-11,-15.71,U
2014-12,-16.39,U
2015-01,-23.42,U
2015-02,-18.98,U
2015-03,-11.49,U
2015-04,-0.04,U
2015-05,11.01,U
2015-06,14.45,U
2015-07,16.33,U
2015-08,11.42,U
2015-09,3.54,U
2015-10,-2.97,U
2015-11,-13.68,U
2015-12,-20.43,U
2016-01,-16.08,U
2016-02,-15.07,U
2016-03,-10.53,U
2016-04,-0.51,U
2016-05,10.17,U
2016-06,14.03,U
2016-07,16.5,U
2016-08,13.66,U
2016-09,4.77,U
2016-10,-7.05,U
2016-11,-17.23,U
2016-12,-24.06,U
2017-01,-22.17,U
2017-02,-19.75,U
2017-03,-17.7,U
2017-04,-1.62,U
2017-05,8.89,U
2017-06,15.09,U
2017-07,18.79,U
2017-08,12.12,U
2017-09,6.63,U
2017-10,-3.29,U
2017-11,-16.46,U
2017-12,-15.05,U
2018-01,-21.52,U
2018-02,-18.61,U
2018-03,-10.9,U
2018-04,-3.34,U
2018-05,7.98,U
2018-06,13.85,U
2018-07,17.07,U
2018-08,10.96,U
2018-09,6.02,U
2018-10,-2.64,U
2018-11,-14.79,U
2018-12,-19.15,U
2019-01,, 
2019-02,, 
2019-03,-5.63,U
2019-04,-0.84,U
2019-05,9.74,U
2019-06,16.71,U
2019-07,18.19,U
2019-08,12.13,U
2019-09,6.31,U
2019-10,-3.22,U
2019-11,-16.71,U
2019-12,-26.01,U
2020-01,-29.62,U
2020-02,-25.24,U
2020-03,-13.8,U
2020-04,-1.46,U
2020-05,9.42,U
2020-06,15.38,U
2020-07,14.72,U
2020-08,13.81,U
2020-09,6.18,U
2020-10,-5.58,U
2020-11,, 
2020-12,, 
2021-01,, 
2021-02,, 
2021-03,, 
2021-04,, 
2021-05,, 
2021-06,15.54,U
2021-07,16.37,U
2021-08,, 
2021-09,, 
2021-10,, 
2021-11,, 
2021-12,, 
