Date [YYYY-MM],Temperature [°C],QCFLAG
2000-01,, 
2000-02,, 
2000-03,, 
2000-04,, 
2000-05,, 
2000-06,13.05,U
2000-07,14.27,U
2000-08,13.41,U
2000-09,9.0,U
2000-10,2.4,U
2000-11,0.0,U
2000-12,, 
2001-01,, 
2001-02,, 
2001-03,, 
2001-04,, 
2001-05,7.37,U
2001-06,15.09,U
2001-07,14.71,U
2001-08,15.29,U
2001-09,10.51,U
2001-10,-0.45,U
2001-11,-6.11,U
2001-12,, 
2002-01,, 
2002-02,, 
2002-03,, 
2002-04,, 
2002-05,9.57,U
2002-06,13.18,U
2002-07,16.17,U
2002-08,14.68,U
2002-09,10.66,U
2002-10,6.33,U
2002-11,2.27,U
2002-12,-4.42,U
2003-01,-4.46,U
2003-02,1.14,U
2003-03,-2.61,U
2003-04,4.83,U
2003-05,8.79,U
2003-06,13.54,U
2003-07,17.1,U
2003-08,14.92,U
2003-09,9.88,U
2003-10,5.41,U
2003-11,-6.29,U
2003-12,-9.04,U
2004-01,-15.78,U
2004-02,-1.04,U
2004-03,-2.25,U
2004-04,4.51,U
2004-05,11.15,U
2004-06,15.43,U
2004-07,17.46,U
2004-08,17.64,U
2004-09,7.78,U
2004-10,4.07,U
2004-11,-1.41,U
2004-12,-5.81,U
2005-01,-7.59,U
2005-02,-4.62,U
2005-03,1.17,U
2005-04,6.21,U
2005-05,11.27,U
2005-06,14.5,U
2005-07,16.8,U
2005-08,15.64,U
2005-09,11.13,U
2005-10,3.1,U
2005-11,-8.58,U
2005-12,-2.74,U
2006-01,-13.02,U
2006-02,-4.56,U
2006-03,-3.4,U
2006-04,3.36,U
2006-05,9.69,U
2006-06,12.71,U
2006-07,15.01,U
2006-08,13.04,U
2006-09,10.27,U
2006-10,4.46,U
2006-11,-11.96,U
2006-12,-5.97,U
2007-01,-9.3,U
2007-02,-7.43,U
2007-03,-9.96,U
2007-04,4.99,U
2007-05,8.94,U
2007-06,13.49,U
2007-07,15.28,U
2007-08,15.65,U
2007-09,10.81,U
2007-10,2.37,U
2007-11,-0.53,U
2007-12,-7.15,U
2008-01,-10.57,U
2008-02,-8.74,U
2008-03,0.39,U
2008-04,2.15,U
2008-05,8.31,U
2008-06,11.28,U
2008-07,13.41,U
2008-08,13.57,U
2008-09,9.39,U
2008-10,-0.65,U
2008-11,-6.06,U
2008-12,-8.97,U
2009-01,, 
2009-02,-7.61,U
2009-03,-4.84,U
2009-04,3.32,U
2009-05,9.94,U
2009-06,12.64,U
2009-07,16.06,U
2009-08,13.67,U
2009-09,9.72,U
2009-10,4.81,U
2009-11,-6.34,U
2009-12,-5.4,U
2010-01,-8.03,U
2010-02,-2.81,U
2010-03,-2.27,U
2010-04,3.19,U
2010-05,9.35,U
2010-06,12.12,U
2010-07,13.64,U
2010-08,13.61,U
2010-09,10.56,U
2010-10,3.42,U
2010-11,-4.33,U
2010-12,, 
2011-01,-7.59,U
2011-02,-7.68,U
2011-03,-3.31,U
2011-04,3.73,U
2011-05,8.97,U
2011-06,12.5,U
2011-07,15.19,U
2011-08,13.35,U
2011-09,10.11,U
2011-10,3.5,U
2011-11,-9.46,U
2011-12,-4.59,U
2012-01,-18.0,U
2012-02,-1.89,U
2012-03,-4.75,U
2012-04,5.42,U
2012-05,7.73,U
2012-06,12.84,U
2012-07,13.56,U
2012-08,13.38,U
2012-09,8.91,U
2012-10,0.78,U
2012-11,-9.03,U
2012-12,-10.79,U
2013-01,-4.57,U
2013-02,-2.49,U
2013-03,-2.37,U
2013-04,-0.67,U
2013-05,7.54,U
2013-06,15.4,U
2013-07,16.65,U
2013-08,14.43,U
2013-09,9.2,U
2013-10,6.55,U
2013-11,-5.0,U
2013-12,-10.2,U
2014-01,1.22,U
2014-02,-6.49,U
2014-03,-1.58,U
2014-04,4.17,U
2014-05,11.1,U
2014-06,11.81,U
2014-07,15.39,U
2014-08,14.73,U
2014-09,10.16,U
2014-10,0.99,U
2014-11,0.15,U
2014-12,-2.05,U
2015-01,-6.46,U
2015-02,-4.09,U
2015-03,-0.78,U
2015-04,4.42,U
2015-05,10.44,U
2015-06,14.5,U
2015-07,15.5,U
2015-08,14.78,U
2015-09,8.78,U
2015-10,5.52,U
2015-11,-3.02,U
2015-12,-4.56,U
2016-01,-1.38,U
2016-02,0.5,U
2016-03,2.54,U
2016-04,6.62,U
2016-05,11.39,U
2016-06,14.85,U
2016-07,16.84,U
2016-08,15.24,U
2016-09,10.48,U
2016-10,3.71,U
2016-11,-3.67,U
2016-12,-10.0,U
2017-01,-11.44,U
2017-02,-6.48,U
2017-03,-8.14,U
2017-04,5.64,U
2017-05,8.77,U
2017-06,12.8,U
2017-07,15.75,U
2017-08,13.84,U
2017-09,10.6,U
2017-10,3.89,U
2017-11,-7.03,U
2017-12,, 
2018-01,, 
2018-02,-6.88,U
2018-03,-0.95,U
2018-04,, 
2018-05,8.53,U
2018-06,13.2,U
2018-07,16.05,U
2018-08,14.08,U
2018-09,11.88,U
2018-10,6.53,U
2018-11,-1.29,U
2018-12,-4.2,U
2019-01,-6.8,U
2019-02,-5.31,U
2019-03,3.32,U
2019-04,4.59,U
2019-05,9.75,U
2019-06,15.27,U
2019-07,18.64,U
2019-08,17.23,U
2019-09,11.52,U
2019-10,5.22,U
2019-11,1.48,U
2019-12,-5.03,U
2020-01,, 
2020-02,-6.77,U
2020-03,-4.27,U
2020-04,4.54,U
2020-05,10.71,U
2020-06,13.48,U
2020-07,16.51,U
2020-08,14.87,U
2020-09,10.74,U
2020-10,3.9,U
2020-11,-3.85,U
2020-12,-4.69,U
2021-01,-3.86,U
2021-02,-8.11,U
2021-03,-5.73,U
2021-04,3.33,U
2021-05,9.07,U
2021-06,13.67,U
2021-07,15.06,U
2021-08,, 
2021-09,, 
2021-10,, 
2021-11,, 
2021-12,, 
