Date [YYYY-MM],Temperature [°C],QCFLAG
1996-01,, 
1996-02,, 
1996-03,, 
1996-04,, 
1996-05,, 
1996-06,, 
1996-07,, 
1996-08,9.69,U
1996-09,3.68,U
1996-10,-9.22,U
1996-11,-11.82,U
1996-12,-15.85,U
1997-01,-15.89,U
1997-02,-5.54,U
1997-03,-12.73,U
1997-04,0.86,U
1997-05,6.95,U
1997-06,14.69,U
1997-07,16.09,U
1997-08,12.8,U
1997-09,8.68,U
1997-10,-9.62,U
1997-11,-7.69,U
1997-12,-14.45,U
1998-01,-15.33,U
1998-02,-8.1,U
1998-03,-3.91,U
1998-04,2.77,U
1998-05,8.45,U
1998-06,12.74,U
1998-07,15.33,U
1998-08,9.77,U
1998-09,6.12,U
1998-10,-1.97,U
1998-11,-9.87,U
1998-12,-16.01,U
1999-01,-19.33,U
1999-02,-20.11,U
1999-03,-8.15,U
1999-04,-0.39,U
1999-05,, 
1999-06,15.08,U
1999-07,15.01,U
1999-08,12.14,U
1999-09,4.87,U
1999-10,-8.89,U
1999-11,-21.29,U
1999-12,-24.89,U
2000-01,, 
2000-02,-11.7,U
2000-03,-4.29,U
2000-04,4.81,U
2000-05,4.85,U
2000-06,13.09,U
2000-07,13.27,U
2000-08,8.75,U
2000-09,5.54,U
2000-10,, 
2000-11,, 
2000-12,, 
2001-01,, 
2001-02,, 
2001-03,, 
2001-04,, 
2001-05,, 
2001-06,12.46,U
2001-07,13.31,U
2001-08,11.64,U
2001-09,5.52,U
2001-10,-7.51,U
2001-11,-19.98,U
2001-12,-24.07,U
2002-01,-16.2,U
2002-02,-16.87,U
2002-03,-13.55,U
2002-04,-6.59,U
2002-05,7.69,U
2002-06,11.92,U
2002-07,13.72,U
2002-08,10.68,U
2002-09,6.34,U
2002-10,-1.2,U
2002-11,-7.89,U
2002-12,-16.95,U
2003-01,-19.66,U
2003-02,-10.05,U
2003-03,-13.86,U
2003-04,-1.09,U
2003-05,5.9,U
2003-06,11.7,U
2003-07,13.7,U
2003-08,10.88,U
2003-09,2.77,U
2003-10,-1.82,U
2003-11,-15.56,U
2003-12,-24.37,U
2004-01,-28.11,U
2004-02,-14.93,U
2004-03,-13.88,U
2004-04,1.27,U
2004-05,9.19,U
2004-06,16.14,U
2004-07,15.27,U
2004-08,13.43,U
2004-09,0.68,U
2004-10,-3.06,U
2004-11,-14.76,U
2004-12,-21.77,U
2005-01,-23.75,U
2005-02,-18.94,U
2005-03,-6.58,U
2005-04,-0.27,U
2005-05,10.01,U
2005-06,14.3,U
2005-07,13.57,U
2005-08,11.51,U
2005-09,6.9,U
2005-10,-3.75,U
2005-11,-21.66,U
2005-12,-18.93,U
2006-01,-30.14,U
2006-02,-15.19,U
2006-03,-16.83,U
2006-04,-3.0,U
2006-05,7.16,U
2006-06,11.66,U
2006-07,13.91,U
2006-08,10.23,U
2006-09,6.73,U
2006-10,-2.41,U
2006-11,-25.37,U
2006-12,-21.2,U
2007-01,, 
2007-02,, 
2007-03,, 
2007-04,, 
2007-05,, 
2007-06,13.51,U
2007-07,15.65,U
2007-08,13.69,U
2007-09,6.41,U
2007-10,-6.93,U
2007-11,-12.05,U
2007-12,, 
2008-01,, 
2008-02,, 
2008-03,, 
2008-04,, 
2008-05,, 
2008-06,12.15,U
2008-07,12.63,U
2008-08,9.56,U
2008-09,5.54,U
2008-10,-10.57,U
2008-11,-18.57,U
2008-12,-22.4,U
2009-01,, 
2009-02,, 
2009-03,, 
2009-04,, 
2009-05,7.29,U
2009-06,11.91,U
2009-07,15.19,U
2009-08,9.48,U
2009-09,, 
2009-10,, 
2009-11,, 
2009-12,, 
2010-01,, 
2010-02,, 
2010-03,, 
2010-04,, 
2010-05,9.71,U
2010-06,12.9,U
2010-07,14.7,U
2010-08,12.39,U
2010-09,4.82,U
2010-10,-4.42,U
2010-11,-12.19,U
2010-12,, 
2011-01,, 
2011-02,, 
2011-03,, 
2011-04,, 
2011-05,7.98,U
2011-06,13.23,U
2011-07,14.09,U
2011-08,11.46,U
2011-09,6.96,U
2011-10,-3.52,U
2011-11,-23.32,U
2011-12,-16.33,U
2012-01,-31.25,U
2012-02,-11.98,U
2012-03,-15.08,U
2012-04,1.93,U
2012-05,6.12,U
2012-06,13.53,U
2012-07,13.58,U
2012-08,10.51,U
2012-09,6.11,U
2012-10,-7.64,U
2012-11,-24.43,U
2012-12,, 
2014-01,-14.61,U
2014-02,-22.03,U
2014-03,-11.25,U
2014-04,-1.1,U
2014-05,7.53,U
2014-06,11.49,U
2014-07,13.4,U
2014-08,11.73,U
2014-09,4.97,U
2014-10,-5.95,U
2014-11,-13.83,U
2014-12,-15.67,U
2015-01,-21.84,U
2015-02,-17.63,U
2015-03,-9.82,U
2015-04,1.13,U
2015-05,9.65,U
2015-06,11.97,U
2015-07,13.65,U
2015-08,10.05,U
2015-09,3.92,U
2015-10,-1.97,U
2015-11,-14.3,U
2015-12,-20.78,U
2016-01,-16.54,U
2016-02,-12.73,U
2016-03,-6.31,U
2016-04,3.79,U
2016-05,8.6,U
2016-06,12.78,U
2016-07,15.02,U
2016-08,13.67,U
2016-09,5.97,U
2016-10,-6.7,U
2016-11,-18.47,U
2016-12,-24.27,U
2017-01,-23.83,U
2017-02,-16.23,U
2017-03,-20.89,U
2017-04,1.03,U
2017-05,7.26,U
2017-06,13.34,U
2017-07,16.3,U
2017-08,12.4,U
2017-09,6.63,U
2017-10,-1.93,U
2017-11,-17.19,U
2017-12,-15.43,U
2018-01,-22.33,U
2018-02,-17.34,U
2018-03,-10.72,U
2018-04,-1.93,U
2018-05,6.87,U
2018-06,12.15,U
2018-07,14.78,U
2018-08,10.45,U
2018-09,6.45,U
2018-10,-1.21,U
2018-11,-13.81,U
2018-12,-19.24,U
2019-01,-23.61,U
2019-02,-16.76,U
2019-03,-1.76,U
2019-04,0.78,U
2019-05,8.74,U
2019-06,14.2,U
2019-07,15.56,U
2019-08,10.96,U
2019-09,6.86,U
2019-10,-2.15,U
2019-11,-11.52,U
2019-12,-22.55,U
2020-01,-30.93,U
2020-02,-21.14,U
2020-03,-13.89,U
2020-04,-2.39,U
2020-05,8.88,U
2020-06,12.21,U
2020-07,13.12,U
2020-08,12.14,U
2020-09,6.43,U
2020-10,-5.01,U
2020-11,-18.15,U
2020-12,-19.57,U
2021-01,-20.36,U
2021-02,-23.32,U
2021-03,-14.7,U
2021-04,-4.08,U
2021-05,7.32,U
2021-06,13.87,U
2021-07,14.39,U
2021-08,, 
2021-09,, 
2021-10,, 
2021-11,, 
2021-12,, 
