Date [YYYY-MM],Temperature [°C],QCFLAG
1992-01,, 
1992-02,, 
1992-03,, 
1992-04,, 
1992-05,, 
1992-06,, 
1992-07,13.54,U
1992-08,11.16,U
1992-09,-0.48,U
1992-10,-5.79,U
1992-11,-9.78,U
1992-12,, 
1993-01,, 
1993-02,, 
1993-03,, 
1993-04,, 
1993-05,, 
1993-06,11.92,U
1993-07,14.95,U
1993-08,11.96,U
1993-09,5.36,U
1993-10,-0.15,U
1993-11,-6.9,U
1993-12,-9.39,U
1994-01,-13.46,U
1994-02,-17.14,U
1994-03,-11.06,U
1994-04,0.95,U
1994-05,6.46,U
1994-06,11.47,U
1994-07,13.47,U
1994-08,12.47,U
1994-09,6.03,U
1994-10,-5.09,U
1994-11,-12.23,U
1994-12,, 
1995-01,-15.85,U
1995-02,-11.65,U
1995-03,-15.8,U
1995-04,2.9,U
1995-05,7.57,U
1995-06,11.19,U
1995-07,12.82,U
1995-08,10.61,U
1995-09,9.79,U
1995-10,-2.5,U
1995-11,-16.06,U
1995-12,-14.13,U
1996-01,-19.15,U
1996-02,-15.19,U
1996-03,-5.2,U
1996-04,-0.34,U
1996-05,7.1,U
1996-06,10.57,U
1996-07,12.71,U
1996-08,10.08,U
1996-09,3.75,U
1996-10,-10.14,U
1996-11,, 
1996-12,, 
1997-01,, 
1997-02,, 
1997-03,, 
1997-04,, 
1997-05,, 
1997-06,, 
1997-07,, 
1997-08,12.06,U
1997-09,, 
1997-10,, 
1997-11,, 
1997-12,, 
1998-01,, 
1998-02,, 
1998-03,, 
1998-04,, 
1998-05,, 
1998-06,, 
1998-07,, 
1998-08,9.65,U
1998-09,5.88,U
1998-10,-2.36,U
1998-11,, 
1998-12,, 
1999-01,, 
1999-02,, 
1999-03,, 
1999-04,, 
1999-05,4.89,U
1999-06,11.82,U
1999-07,13.32,U
1999-08,12.12,U
1999-09,6.34,U
1999-10,-6.61,U
1999-11,-16.11,U
1999-12,-22.9,U
2000-01,-20.51,U
2000-02,-3.82,U
2000-03,-3.68,U
2000-04,0.17,U
2000-05,5.1,U
2000-06,11.24,U
2000-07,12.43,U
2000-08,9.93,U
2000-09,4.17,U
2000-10,-3.69,U
2000-11,-4.95,U
2000-12,-3.96,U
2001-01,-6.56,U
2001-02,-5.96,U
2001-03,-7.77,U
2001-04,-0.36,U
2001-05,2.94,U
2001-06,12.27,U
2001-07,13.06,U
2001-08,11.74,U
2001-09,6.61,U
2001-10,-6.25,U
2001-11,-13.54,U
2001-12,, 
2002-01,-7.18,U
2002-02,-7.57,U
2002-03,-7.38,U
2002-04,-3.11,U
2002-05,6.66,U
2002-06,11.56,U
2002-07,13.37,U
2002-08,11.16,U
2002-09,6.61,U
2002-10,2.35,U
2002-11,-1.36,U
2002-12,-11.56,U
2003-01,-9.45,U
2003-02,-2.28,U
2003-03,-11.62,U
2003-04,0.28,U
2003-05,5.29,U
2003-06,11.68,U
2003-07,14.27,U
2003-08,11.48,U
2003-09,4.6,U
2003-10,-0.31,U
2003-11,-9.93,U
2003-12,-19.04,U
2004-01,, 
2004-02,, 
2004-03,, 
2004-04,, 
2004-05,, 
2004-06,, 
2004-07,, 
2004-08,13.68,U
2004-09,3.0,U
2004-10,-0.69,U
2004-11,-6.37,U
2004-12,-11.84,U
2005-01,-14.71,U
2005-02,-11.74,U
2005-03,-4.45,U
2005-04,-0.88,U
2005-05,7.85,U
2005-06,11.96,U
2005-07,13.76,U
2005-08,12.72,U
2005-09,7.23,U
2005-10,-3.24,U
2005-11,, 
2005-12,-5.22,U
2006-01,-24.91,U
2006-02,-8.74,U
2006-03,-10.21,U
2006-04,-1.36,U
2006-05,7.13,U
2006-06,11.0,U
2006-07,13.64,U
2006-08,9.74,U
2006-09,7.89,U
2006-10,0.29,U
2006-11,-20.32,U
2006-12,-16.97,U
2007-01,-16.5,U
2007-02,-11.85,U
2007-03,-20.28,U
2007-04,3.22,U
2007-05,7.24,U
2007-06,11.69,U
2007-07,14.0,U
2007-08,12.3,U
2007-09,7.45,U
2007-10,-3.71,U
2007-11,-4.77,U
2007-12,-14.23,U
2008-01,-18.39,U
2008-02,-17.35,U
2008-03,-6.36,U
2008-04,-3.11,U
2008-05,5.65,U
2008-06,11.17,U
2008-07,12.66,U
2008-08,11.02,U
2008-09,6.05,U
2008-10,-8.34,U
2008-11,-16.56,U
2008-12,-15.65,U
2009-01,-19.34,U
2009-02,-12.33,U
2009-03,-12.16,U
2009-04,-0.85,U
2009-05,7.03,U
2009-06,10.95,U
2009-07,15.3,U
2009-08,10.7,U
2009-09,5.82,U
2009-10,0.71,U
2009-11,-16.77,U
2009-12,-10.77,U
2010-01,-18.68,U
2010-02,-9.16,U
2010-03,-11.12,U
2010-04,-0.83,U
2010-05,7.27,U
2010-06,10.84,U
2010-07,11.56,U
2010-08,11.37,U
2010-09,6.82,U
2010-10,-1.67,U
2010-11,-11.27,U
2010-12,-24.98,U
2011-01,-12.08,U
2011-02,-14.74,U
2011-03,-10.73,U
2011-04,-1.26,U
2011-05,6.23,U
2011-06,9.81,U
2011-07,11.84,U
2011-08,10.18,U
2011-09,6.79,U
2011-10,-2.53,U
2011-11,-19.82,U
2011-12,-14.11,U
2012-01,-31.68,U
2012-02,, 
2012-03,, 
2012-04,, 
2012-05,, 
2012-06,, 
2012-07,, 
2012-08,10.81,U
2012-09,5.31,U
2012-10,-5.99,U
2012-11,-19.05,U
2012-12,-19.02,U
2013-01,-11.08,U
2013-02,-10.9,U
