Date [YYYY-MM],Temperature [°C],QCFLAG
1990-01,, 
1990-02,, 
1990-03,, 
1990-04,, 
1990-05,, 
1990-06,13.54,U
1990-07,14.87,U
1990-08,14.77,U
1990-09,9.88,U
1990-10,2.08,U
1990-11,, 
1990-12,, 
1991-01,, 
1991-02,, 
1991-03,, 
1991-04,, 
1991-05,9.09,U
1991-06,13.25,U
1991-07,14.38,U
1991-08,13.49,U
1991-09,11.07,U
1991-10,, 
1991-11,-2.5,U
1991-12,-5.62,U
1992-01,, 
1992-02,, 
1992-03,, 
1992-04,, 
1992-05,, 
1992-06,13.14,U
1992-07,15.04,U
1992-08,13.43,U
1992-09,5.53,U
1992-10,0.99,U
1992-11,-2.03,U
1992-12,-8.86,U
1993-01,-7.85,U
1993-02,-3.32,U
1993-03,, 
1993-04,6.2,U
1993-05,10.9,U
1993-06,13.25,U
1993-07,16.19,U
1993-08,14.84,U
1993-09,9.3,U
1993-10,4.45,U
1993-11,-2.71,U
1993-12,-3.26,U
1994-01,-3.96,U
1994-02,-6.61,U
1994-03,-2.61,U
1994-04,4.6,U
1994-05,9.12,U
1994-06,13.5,U
1994-07,14.83,U
1994-08,15.04,U
1994-09,9.88,U
1994-10,1.82,U
1994-11,-8.34,U
1994-12,-7.87,U
1995-01,-7.06,U
1995-02,-4.63,U
1995-03,-5.3,U
1995-04,5.66,U
1995-05,9.49,U
1995-06,12.82,U
1995-07,14.9,U
1995-08,14.53,U
1995-09,12.15,U
1995-10,4.59,U
1995-11,-4.51,U
1995-12,-5.62,U
1996-01,, 
1996-02,, 
1996-03,, 
1996-04,, 
1996-05,10.45,U
1996-06,12.93,U
1996-07,15.11,U
1996-08,14.02,U
1996-09,, 
1996-10,, 
1996-11,, 
1996-12,, 
1997-01,, 
1997-02,, 
1997-03,, 
1997-04,, 
1997-05,10.0,U
1997-06,14.09,U
1997-07,16.38,U
1997-08,15.42,U
1997-09,11.57,U
1997-10,0.21,U
1997-11,-1.16,U
1997-12,, 
1998-01,, 
1998-02,, 
1998-03,, 
1998-04,, 
1998-05,7.71,U
1998-06,12.46,U
1998-07,14.4,U
1998-08,12.37,U
1998-09,9.87,U
1998-10,3.58,U
1998-11,-3.23,U
1998-12,, 
1999-01,, 
1999-02,, 
1999-03,, 
1999-04,, 
1999-05,8.04,U
1999-06,13.24,U
1999-07,15.11,U
1999-08,14.26,U
1999-09,, 
1999-10,2.26,U
1999-11,-4.79,U
1999-12,-9.26,U
2000-01,, 
2000-02,, 
2000-03,, 
2000-04,4.71,U
2000-05,8.42,U
2000-06,13.26,U
2000-07,13.98,U
2000-08,13.64,U
2000-09,9.28,U
2000-10,2.7,U
2000-11,-0.34,U
2000-12,-2.09,U
2001-01,-1.82,U
2001-02,-3.01,U
2001-03,-0.17,U
2001-04,4.04,U
2001-05,7.24,U
2001-06,, 
2001-07,14.35,U
2001-08,14.96,U
2001-09,10.64,U
2001-10,0.03,U
2001-11,-4.99,U
2001-12,-11.13,U
2002-01,-3.54,U
2002-02,-3.93,U
2002-03,-3.46,U
2002-04,1.33,U
2002-05,9.51,U
2002-06,12.34,U
2002-07,15.33,U
2002-08,14.14,U
2002-09,10.38,U
2002-10,6.08,U
2002-11,, 
2002-12,, 
2003-01,, 
2003-02,0.47,U
2003-03,-2.11,U
2003-04,4.77,U
2003-05,9.63,U
2003-06,13.27,U
2003-07,16.39,U
2003-08,14.65,U
2003-09,9.84,U
2003-10,5.67,U
2003-11,-5.35,U
2003-12,-8.17,U
2004-01,-12.35,U
2004-02,-0.89,U
2004-03,-2.56,U
2004-04,4.33,U
2004-05,10.72,U
2004-06,14.52,U
2004-07,16.97,U
2004-08,17.06,U
2004-09,7.71,U
2004-10,4.24,U
2004-11,-1.66,U
2004-12,-5.28,U
2005-01,-6.39,U
2005-02,-4.69,U
2005-03,1.25,U
2005-04,5.42,U
2005-05,10.86,U
2005-06,14.19,U
2005-07,16.32,U
2005-08,15.17,U
2005-09,10.77,U
2005-10,3.73,U
2005-11,-7.64,U
2005-12,-2.24,U
2006-01,-10.89,U
2006-02,-4.33,U
2006-03,-2.73,U
2006-04,2.7,U
2006-05,9.64,U
2006-06,12.45,U
2006-07,14.53,U
2006-08,12.7,U
2006-09,10.42,U
2006-10,4.22,U
2006-11,-9.78,U
2006-12,-5.27,U
2007-01,-8.46,U
2007-02,-6.2,U
2007-03,-8.49,U
2007-04,5.19,U
2007-05,8.88,U
2007-06,13.27,U
2007-07,14.41,U
2007-08,14.96,U
2007-09,10.35,U
2007-10,2.54,U
2007-11,-0.25,U
2007-12,-6.53,U
2008-01,-10.52,U
2008-02,-7.67,U
2008-03,0.19,U
2008-04,1.76,U
2008-05,8.54,U
2008-06,11.17,U
2008-07,13.01,U
2008-08,13.16,U
2008-09,9.68,U
2008-10,-0.31,U
2008-11,-5.07,U
2008-12,-9.8,U
2009-01,-10.29,U
2009-02,-7.36,U
2009-03,-4.29,U
2009-04,2.79,U
2009-05,9.87,U
2009-06,12.21,U
2009-07,15.58,U
2009-08,13.58,U
2009-09,9.8,U
2009-10,5.67,U
2009-11,-5.74,U
2009-12,-6.2,U
2010-01,-5.8,U
2010-02,-1.66,U
2010-03,-1.75,U
2010-04,3.33,U
2010-05,9.5,U
2010-06,11.23,U
2010-07,12.48,U
2010-08,12.67,U
2010-09,9.44,U
2010-10,3.29,U
2010-11,-3.69,U
2010-12,-11.94,U
2011-01,-7.47,U
2011-02,-7.88,U
2011-03,-2.76,U
2011-04,3.07,U
2011-05,8.06,U
2011-06,10.77,U
2011-07,13.26,U
2011-08,12.05,U
2011-09,8.73,U
2011-10,2.79,U
2011-11,-9.95,U
2011-12,-6.28,U
2012-01,-16.89,U
2012-02,-2.97,U
2012-03,-5.12,U
2012-04,4.39,U
2012-05,7.33,U
2012-06,12.11,U
2012-07,13.05,U
2012-08,13.11,U
2012-09,8.92,U
2012-10,1.39,U
2012-11,-6.69,U
2012-12,-8.74,U
2013-01,-4.47,U
2013-02,-2.85,U
2013-03,-2.81,U
2013-04,-0.73,U
2013-05,7.28,U
2013-06,14.79,U
2013-07,16.13,U
2013-08,14.03,U
2013-09,9.48,U
2013-10,6.23,U
2013-11,-4.71,U
2013-12,-9.37,U
2014-01,-0.04,U
2014-02,-5.69,U
2014-03,-1.8,U
2014-04,4.28,U
2014-05,11.02,U
2014-06,11.78,U
2014-07,15.02,U
2014-08,14.5,U
2014-09,10.3,U
2014-10,1.88,U
2014-11,0.72,U
2014-12,-1.15,U
2015-01,-5.25,U
2015-02,-3.04,U
2015-03,-0.68,U
2015-04,4.46,U
2015-05,9.95,U
2015-06,14.05,U
2015-07,15.06,U
2015-08,14.62,U
2015-09,8.21,U
2015-10,5.67,U
2015-11,-3.62,U
2015-12,-4.63,U
2016-01,-0.94,U
2016-02,0.53,U
2016-03,1.96,U
2016-04,7.19,U
2016-05,11.04,U
2016-06,14.28,U
2016-07,16.41,U
2016-08,14.97,U
2016-09,10.19,U
2016-10,3.66,U
2016-11,-2.58,U
2016-12,-8.5,U
2017-01,-10.45,U
2017-02,-6.5,U
2017-03,-6.37,U
2017-04,5.42,U
2017-05,8.85,U
2017-06,12.01,U
2017-07,14.6,U
2017-08,13.02,U
2017-09,10.33,U
2017-10,3.82,U
2017-11,-5.63,U
2017-12,-2.73,U
2018-01,-5.96,U
2018-02,-6.47,U
2018-03,-1.18,U
2018-04,4.8,U
2018-05,8.31,U
2018-06,12.31,U
2018-07,15.33,U
2018-08,13.96,U
2018-09,11.7,U
2018-10,6.73,U
2018-11,-0.6,U
2018-12,-4.0,U
2019-01,-6.46,U
2019-02,-5.29,U
2019-03,3.01,U
2019-04,4.62,U
2019-05,9.59,U
2019-06,15.39,U
2019-07,17.83,U
2019-08,17.0,U
2019-09,10.96,U
2019-10,5.27,U
2019-11,1.26,U
2019-12,-4.46,U
2020-01,-15.8,U
2020-02,-6.13,U
2020-03,-3.98,U
2020-04,3.68,U
2020-05,10.62,U
2020-06,12.89,U
2020-07,16.28,U
2020-08,15.1,U
2020-09,10.6,U
2020-10,4.08,U
2020-11,-3.83,U
2020-12,-4.61,U
2021-01,-3.84,U
2021-02,-8.13,U
2021-03,-5.27,U
2021-04,3.37,U
2021-05,9.04,U
2021-06,12.95,U
2021-07,14.54,U
2021-08,, 
2021-09,, 
2021-10,, 
2021-11,, 
2021-12,, 
