Date [YYYY-MM],Temperature [°C],QCFLAG
1991-01,, 
1991-02,, 
1991-03,, 
1991-04,, 
1991-05,, 
1991-06,14.07,U
1991-07,12.19,U
1991-08,, 
1991-09,, 
1991-10,, 
1991-11,, 
1991-12,, 
1992-01,, 
1992-02,, 
1992-03,, 
1992-04,, 
1992-05,, 
1992-06,13.42,U
1992-07,15.35,U
1992-08,11.63,U
1992-09,-0.41,U
1992-10,-8.89,U
1992-11,-14.17,U
1992-12,-22.51,U
1993-01,-21.37,U
1993-02,-15.77,U
1993-03,-8.41,U
1993-04,2.91,U
1993-05,9.9,U
1993-06,13.18,U
1993-07,17.58,U
1993-08,12.62,U
1993-09,5.08,U
1993-10,-2.22,U
1993-11,-14.04,U
1993-12,-18.34,U
1994-01,-18.35,U
1994-02,-17.64,U
1994-03,-15.44,U
1994-04,-0.41,U
1994-05,8.2,U
1994-06,12.63,U
1994-07,15.26,U
1994-08,11.97,U
1994-09,5.13,U
1994-10,-7.33,U
1994-11,-18.23,U
1994-12,-23.37,U
1995-01,-21.65,U
1995-02,-16.07,U
1995-03,-17.43,U
1995-04,2.44,U
1995-05,8.9,U
1995-06,12.67,U
1995-07,14.51,U
1995-08,11.54,U
1995-09,8.52,U
1995-10,-4.03,U
1995-11,-17.5,U
1995-12,-20.98,U
1996-01,-25.65,U
1996-02,-21.1,U
1996-03,-8.47,U
1996-04,-2.5,U
1996-05,7.82,U
1996-06,12.48,U
1996-07,14.61,U
1996-08,9.91,U
1996-09,3.67,U
1996-10,-10.88,U
1996-11,-18.62,U
1996-12,-26.41,U
1997-01,-26.3,U
1997-02,-11.66,U
1997-03,-15.76,U
1997-04,-0.22,U
1997-05,7.71,U
1997-06,14.38,U
1997-07,15.7,U
1997-08,12.53,U
1997-09,7.19,U
1997-10,-9.9,U
1997-11,-12.32,U
1997-12,-23.05,U
1998-01,-24.41,U
1998-02,-16.21,U
1998-03,-7.55,U
1998-04,1.19,U
1998-05,6.5,U
1998-06,11.67,U
1998-07,14.2,U
1998-08,10.28,U
1998-09,6.95,U
1998-10,-3.93,U
1998-11,-15.6,U
1998-12,-22.43,U
1999-01,-26.48,U
1999-02,-27.04,U
1999-03,-14.39,U
1999-04,-2.23,U
1999-05,6.54,U
1999-06,13.95,U
1999-07,14.47,U
1999-08,12.89,U
1999-09,6.05,U
1999-10,-7.35,U
1999-11,-19.84,U
1999-12,-25.27,U
2000-01,-22.79,U
2000-02,-13.04,U
2000-03,-9.53,U
2000-04,-1.45,U
2000-05,5.02,U
2000-06,14.17,U
2000-07,13.57,U
2000-08,9.67,U
2000-09,4.2,U
2000-10,-6.55,U
2000-11,-12.92,U
2000-12,-16.48,U
2001-01,-13.63,U
2001-02,-13.47,U
2001-03,-11.81,U
2001-04,-0.83,U
2001-05,4.69,U
2001-06,13.5,U
2001-07,13.85,U
2001-08,12.46,U
2001-09,6.77,U
2001-10,-6.69,U
2001-11,-20.2,U
2001-12,-26.47,U
2002-01,-15.42,U
2002-02,-16.65,U
2002-03,-10.42,U
2002-04,-4.9,U
2002-05,8.62,U
2002-06,13.05,U
2002-07,14.88,U
2002-08,10.54,U
2002-09,6.52,U
2002-10,-1.82,U
2002-11,-8.82,U
2002-12,-16.13,U
2003-01,-18.13,U
2003-02,-10.07,U
2003-03,-11.33,U
2003-04,-0.27,U
2003-05,7.15,U
2003-06,13.67,U
2003-07,14.52,U
2003-08,12.25,U
2003-09,3.91,U
2003-10,-0.88,U
2003-11,-11.89,U
2003-12,-23.96,U
2004-01,-25.06,U
2004-02,-15.7,U
2004-03,-15.11,U
2004-04,1.29,U
2004-05,10.2,U
2004-06,16.51,U
2004-07,15.48,U
2004-08,14.4,U
2004-09,2.15,U
2004-10,-1.57,U
2004-11,-13.69,U
2004-12,-19.86,U
2005-01,-21.44,U
2005-02,-18.91,U
2005-03,-8.39,U
2005-04,-2.06,U
2005-05,10.62,U
2005-06,14.5,U
2005-07,15.71,U
2005-08,12.61,U
