Date [YYYY-MM],Temperature [°C],QCFLAG
1999-01,, 
1999-02,, 
1999-03,, 
1999-04,, 
1999-05,, 
1999-06,, 
1999-07,, 
1999-08,11.82,U
1999-09,5.2,U
1999-10,-4.97,U
1999-11,-18.46,U
1999-12,-21.71,U
2000-01,-21.65,U
2000-02,-9.2,U
2000-03,-6.51,U
2000-04,-1.45,U
2000-05,4.53,U
2000-06,12.63,U
2000-07,13.77,U
2000-08,8.94,U
2000-09,4.07,U
2000-10,-5.54,U
2000-11,-14.11,U
2000-12,-18.09,U
2001-01,-15.64,U
2001-02,-13.43,U
2001-03,-9.22,U
2001-04,0.3,U
2001-05,4.82,U
2001-06,13.03,U
2001-07,13.61,U
2001-08,12.43,U
2001-09,6.05,U
2001-10,-5.77,U
2001-11,-17.61,U
2001-12,-24.55,U
2002-01,-15.95,U
2002-02,-15.76,U
2002-03,-13.33,U
2002-04,-5.63,U
2002-05,6.65,U
2002-06,11.53,U
2002-07,13.97,U
2002-08,10.45,U
2002-09,6.1,U
2002-10,-0.21,U
2002-11,-8.72,U
2002-12,-16.58,U
2003-01,-18.52,U
2003-02,-7.73,U
2003-03,-11.09,U
2003-04,-1.09,U
2003-05,6.08,U
2003-06,11.8,U
2003-07,15.38,U
2003-08,11.15,U
2003-09,2.58,U
2003-10,-1.17,U
2003-11,-14.02,U
2003-12,-21.92,U
2004-01,-26.88,U
2004-02,-12.75,U
2004-03,-12.54,U
2004-04,0.56,U
2004-05,9.29,U
2004-06,15.97,U
2004-07,15.47,U
2004-08,14.0,U
2004-09,2.3,U
2004-10,-2.59,U
2004-11,-12.84,U
2004-12,-18.97,U
2005-01,-21.58,U
2005-02,-15.47,U
2005-03,-5.79,U
2005-04,0.51,U
2005-05,9.01,U
2005-06,12.96,U
2005-07,13.01,U
2005-08,12.82,U
2005-09,6.84,U
2005-10,-3.56,U
2005-11,-19.35,U
2005-12,-16.51,U
2006-01,-26.37,U
2006-02,-15.77,U
2006-03,-14.82,U
2006-04,-1.84,U
2006-05,, 
2006-06,11.53,U
2006-07,14.08,U
2006-08,10.17,U
2006-09,6.96,U
2006-10,-1.17,U
2006-11,-23.5,U
2006-12,-18.62,U
2007-01,-18.96,U
2007-02,-20.24,U
2007-03,-19.04,U
2007-04,0.79,U
2007-05,7.17,U
2007-06,13.05,U
2007-07,14.1,U
2007-08,13.04,U
2007-09,5.51,U
2007-10,-4.81,U
2007-11,-11.94,U
2007-12,-21.68,U
2008-01,-23.78,U
2008-02,-20.11,U
2008-03,-7.6,U
2008-04,-0.4,U
2008-05,6.02,U
2008-06,11.16,U
2008-07,11.47,U
2008-08,9.31,U
2008-09,5.47,U
2008-10,-7.97,U
2008-11,-15.97,U
2008-12,-23.69,U
2009-01,-22.07,U
2009-02,-18.04,U
2009-03,-13.77,U
2009-04,-0.55,U
2009-05,7.56,U
2009-06,11.47,U
2009-07,15.83,U
2009-08,10.84,U
2009-09,5.8,U
2009-10,-2.02,U
2009-11,-17.38,U
2009-12,-19.26,U
2010-01,-21.07,U
2010-02,-13.93,U
2010-03,-10.23,U
2010-04,-0.11,U
2010-05,8.47,U
2010-06,11.47,U
2010-07,13.72,U
2010-08,12.7,U
2010-09,5.56,U
2010-10,-4.54,U
2010-11,-9.96,U
2010-12,-24.79,U
2011-01,-20.57,U
2011-02,-19.35,U
2011-03,-14.49,U
2011-04,-0.54,U
2011-05,8.32,U
2011-06,12.28,U
2011-07,13.95,U
2011-08,10.51,U
2011-09,6.44,U
2011-10,-3.77,U
2011-11,-20.54,U
2011-12,-14.29,U
2012-01,-29.38,U
2012-02,-12.59,U
2012-03,-12.84,U
2012-04,2.59,U
2012-05,5.86,U
2012-06,11.69,U
2012-07,12.99,U
2012-08,10.96,U
2012-09,6.3,U
2012-10,-6.17,U
2012-11,-21.1,U
2012-12,-26.85,U
2013-01,-17.93,U
2013-02,-14.71,U
2013-03,-11.32,U
2013-04,-8.01,U
2013-05,, 
2013-06,, 
2013-07,, 
2013-08,, 
2013-09,, 
2013-10,, 
2013-11,, 
2013-12,, 
2014-01,-12.26,U
2014-02,-20.74,U
2014-03,-11.13,U
2014-04,-0.06,U
2014-05,8.01,U
2014-06,10.16,U
2014-07,13.4,U
2014-08,11.53,U
2014-09,5.23,U
2014-10,-5.19,U
2014-11,-16.06,U
2014-12,-14.66,U
2015-01,-20.43,U
2015-02,-15.22,U
2015-03,-8.18,U
2015-04,0.97,U
2015-05,10.38,U
2015-06,13.05,U
2015-07,14.03,U
2015-08,9.78,U
2015-09,4.52,U
2015-10,-0.98,U
2015-11,-14.15,U
2015-12,, 
2016-01,-14.42,U
2016-02,-12.53,U
2016-03,-5.12,U
2016-04,3.58,U
2016-05,8.11,U
2016-06,13.02,U
2016-07,14.99,U
2016-08,12.85,U
2016-09,6.29,U
2016-10,-6.98,U
2016-11,-15.49,U
2016-12,-21.78,U
