Date [YYYY-MM],Temperature [°C],QCFLAG
1995-01,, 
1995-02,, 
1995-03,, 
1995-04,, 
1995-05,, 
1995-06,, 
1995-07,, 
1995-08,9.69,U
1995-09,7.68,U
1995-10,-5.33,U
1995-11,-16.71,U
1995-12,-17.48,U
1996-01,-19.1,U
1996-02,-14.93,U
1996-03,-7.0,U
1996-04,-3.46,U
1996-05,5.45,U
1996-06,10.07,U
1996-07,12.49,U
1996-08,8.07,U
1996-09,2.22,U
1996-10,-10.86,U
1996-11,-12.45,U
1996-12,, 
1997-01,, 
1997-02,, 
1997-03,, 
1997-04,, 
1997-05,, 
1997-06,12.16,U
1997-07,13.58,U
1997-08,11.03,U
1997-09,6.6,U
1997-10,-11.68,U
1997-11,, 
1997-12,, 
1998-01,, 
1998-02,, 
1998-03,, 
1998-04,, 
1998-05,, 
1998-06,10.09,U
1998-07,12.14,U
1998-08,8.53,U
1998-09,5.13,U
1998-10,-3.97,U
1998-11,-11.11,U
1998-12,-17.48,U
1999-01,-20.67,U
1999-02,-20.69,U
1999-03,-12.61,U
1999-04,-2.84,U
1999-05,3.99,U
1999-06,11.59,U
1999-07,12.34,U
1999-08,10.57,U
1999-09,5.01,U
1999-10,-9.44,U
1999-11,-17.85,U
1999-12,-21.69,U
2000-01,, 
2000-02,-8.17,U
2000-03,-7.76,U
2000-04,-2.87,U
2000-05,3.47,U
2000-06,11.74,U
2000-07,11.59,U
2000-08,7.54,U
2000-09,2.68,U
2000-10,-5.81,U
2000-11,, 
2000-12,, 
2001-01,, 
2001-02,, 
2001-03,, 
2001-04,, 
2001-05,, 
2001-06,, 
2001-07,11.61,U
2001-08,10.91,U
2001-09,5.77,U
2001-10,-8.49,U
2001-11,-15.1,U
2001-12,-21.05,U
2002-01,-13.14,U
2002-02,-11.95,U
2002-03,-9.46,U
2002-04,-4.43,U
2002-05,6.83,U
2002-06,10.36,U
2002-07,12.67,U
2002-08,9.53,U
2002-09,5.87,U
2002-10,-0.72,U
2002-11,-6.41,U
2002-12,-12.24,U
2003-01,, 
2003-02,, 
2003-03,, 
2003-04,, 
2003-05,, 
2003-06,11.14,U
2003-07,12.71,U
2003-08,10.11,U
2003-09,2.38,U
2003-10,-1.83,U
2003-11,-10.53,U
2003-12,-18.94,U
