Date [YYYY-MM],Temperature [°C],QCFLAG
1943-01,, 
1943-02,, 
1943-03,, 
1943-04,, 
1943-05,, 
1943-06,, 
1943-07,, 
1943-08,9.64,6
1943-09,5.19,6
1943-10,-1.42,6
1943-11,-6.56,6
1943-12,-9.17,6
1944-01,-13.46,6
1944-02,-8.16,6
1944-03,-9.01,6
1944-04,-4.47,6
1944-05,5.4,6
1944-06,11.04,6
1944-07,11.96,6
1944-08,10.6,6
1944-09,5.91,6
1944-10,-2.16,6
1944-11,-9.72,6
1944-12,-10.71,6
1945-01,-10.38,6
1945-02,-9.72,6
1945-03,-8.89,6
1945-04,-4.47,6
1945-05,3.24,6
1945-06,9.27,6
1945-07,11.24,6
1945-08,10.01,6
1945-09,5.5,6
1945-10,-3.35,6
1945-11,-14.96,6
1945-12,-13.67,6
1946-01,-12.84,6
1946-02,-11.81,6
1946-03,-11.76,6
1946-04,-3.65,6
1946-05,5.15,6
1946-06,12.49,6
1946-07,12.32,6
1946-08,9.81,6
1946-09,6.3,6
1946-10,-1.07,6
1946-11,-10.2,6
1946-12,-19.04,6
1947-01,-19.71,6
1947-02,-11.09,6
1947-03,-4.27,6
1947-04,-0.73,6
1947-05,6.99,6
1947-06,9.73,6
1947-07,13.63,6
1947-08,10.21,6
1947-09,5.42,6
1947-10,-1.32,6
1947-11,-5.97,6
1947-12,-10.11,6
1948-01,-10.81,6
1948-02,-15.32,6
1948-03,-11.49,6
1948-04,-4.02,6
1948-05,6.56,6
1948-06,10.75,6
1948-07,11.05,6
1948-08,8.86,6
1948-09,4.87,6
1948-10,-2.68,6
1948-11,-13.59,6
1948-12,-17.89,6
1949-01,-13.48,6
1949-02,-17.34,6
1949-03,-5.13,6
1949-04,-3.41,6
1949-05,4.43,6
1949-06,7.28,6
1949-07,10.41,6
1949-08,10.04,6
1949-09,7.02,0
1949-10,-3.43,0
1949-11,-8.71,0
1949-12,-16.9,0
1950-01,-11.56,0
1950-02,-19.17,0
1950-03,-6.57,0
1950-04,-2.49,0
1950-05,4.83,0
1950-06,10.18,0
1950-07,10.69,0
1950-08,12.59,0
1950-09,, 
1950-10,, 
1950-11,, 
1950-12,-12.82,0
1951-01,-18.48,0
1951-02,-13.02,0
1951-03,-12.63,0
1951-04,0.93,0
1951-05,6.72,0
1951-06,10.06,0
1951-07,13.93,0
1951-08,11.3,0
1951-09,5.58,0
1951-10,-5.61,0
1951-11,, 
1951-12,-14.63,0
1952-01,-18.53,0
1952-02,-10.97,0
1952-03,-7.7,0
1952-04,-3.06,0
1952-05,3.08,0
1952-06,9.78,0
1952-07,11.7,0
1952-08,10.58,0
1952-09,5.56,0
1952-10,-0.41,0
1952-11,-5.19,0
1952-12,-12.14,0
1953-01,-19.51,0
1953-02,-10.68,0
1953-03,-9.65,0
1953-04,-0.12,0
