Date [YYYY-MM],Temperature [°C],QCFLAG
2001-01,, 
2001-02,, 
2001-03,, 
2001-04,, 
2001-05,, 
2001-06,, 
2001-07,, 
2001-08,14.7,C
2001-09,8.57,C
2001-10,-1.13,C
2001-11,-12.16,C
2001-12,-24.39,C
2002-01,-22.17,C
2002-02,-18.13,C
2002-03,-16.29,C
2002-04,-5.02,C
2002-05,, 
2002-06,, 
2002-07,, 
2002-08,13.29,C
2002-09,7.63,C
2002-10,-0.86,C
2002-11,-8.29,C
2002-12,-14.52,C
2003-01,-22.7,C
2003-02,-18.36,C
2003-03,-13.56,C
2003-04,0.42,C
2003-05,8.04,C
2003-06,12.67,C
2003-07,17.41,C
2003-08,13.55,C
2003-09,7.04,C
2003-10,1.28,C
2003-11,-14.28,C
2003-12,-17.04,C
2004-01,, 
2004-02,, 
2004-03,, 
2004-04,2.12,C
2004-05,6.84,C
2004-06,15.5,C
2004-07,16.64,C
2004-08,13.08,C
2004-09,6.62,C
2004-10,-1.71,C
2004-11,-12.79,C
2004-12,-21.86,C
2005-01,-24.72,C
2005-02,-18.27,C
2005-03,-9.35,C
2005-04,2.13,C
2005-05,9.55,C
2005-06,12.58,C
2005-07,15.21,C
2005-08,13.54,C
2005-09,8.39,C
2005-10,0.32,C
2005-11,-10.57,C
2005-12,-13.24,C
2006-01,-23.46,C
2006-02,-14.42,C
2006-03,-14.23,C
2006-04,1.59,C
2006-05,8.61,C
2006-06,14.91,C
2006-07,15.73,C
2006-08,13.63,C
2006-09,9.08,C
2006-10,0.49,C
2006-11,-21.9,C
2006-12,-15.91,C
2007-01,,C
2007-02,-21.52,C
2007-03,-16.37,C
2007-04,1.09,C
2007-05,8.19,C
2007-06,13.4,C
2007-07,16.63,C
2007-08,12.77,C
2007-09,6.25,C
2007-10,-0.87,C
2007-11,-12.44,C
2007-12,-22.4,C
2008-01,-24.75,C
2008-02,-19.99,C
2008-03,-14.11,C
2008-04,-0.49,C
2008-05,9.68,C
2008-06,13.4,C
2008-07,16.02,C
2008-08,13.5,C
2008-09,8.41,C
2008-10,0.66,C
2008-11,-13.02,C
2008-12,-26.21,C
2009-01,-23.08,C
2009-02,-20.97,C
2009-03,-15.46,C
2009-04,0.26,C
2009-05,6.3,C
2009-06,14.2,C
2009-07,15.67,C
2009-08,14.55,C
2009-09,9.99,C
2009-10,-1.94,C
2009-11,-14.29,C
2009-12,-21.6,C
2010-01,-23.12,C
2010-02,-15.64,C
2010-03,-7.76,C
2010-04,3.75,C
2010-05,8.38,C
2010-06,13.94,C
2010-07,, 
2010-08,14.63,C
2010-09,5.96,C
2010-10,0.09,C
2010-11,-10.95,C
2010-12,-22.98,C
2011-01,, 
2011-02,-17.0,C
2011-03,-14.26,C
2011-04,, 
2011-05,9.27,C
2011-06,13.12,C
2011-07,16.4,C
2011-08,13.66,C
2011-09,9.45,C
2011-10,0.87,C
2011-11,-17.96,C
2011-12,-14.19,C
2012-01,-23.0,C
2012-02,-14.21,C
2012-03,-13.11,C
2012-04,0.97,C
2012-05,9.64,C
2012-06,14.13,C
2012-07,17.64,C
2012-08,15.6,C
2012-09,11.77,C
2012-10,-2.81,C
2012-11,-20.91,C
2012-12,-26.1,C
2013-01,-21.48,C
2013-02,-15.09,C
2013-03,-14.88,C
2013-04,-5.78,C
2013-05,, 
2013-06,16.67,C
2013-07,16.59,C
2013-08,15.22,C
2013-09,10.75,C
2013-10,3.54,C
2013-11,-14.33,C
2013-12,-25.04,C
2014-01,,C
2014-02,-22.4,C
2014-03,-13.71,C
2014-04,-0.86,C
2014-05,8.08,C
2014-06,14.52,C
2014-07,17.89,C
2014-08,15.82,C
2014-09,7.89,C
2014-10,-0.68,C
2014-11,-15.38,C
2014-12,-20.83,C
2015-01,-20.17,C
2015-02,-18.41,C
2015-03,-8.75,C
2015-04,3.6,C
2015-05,11.41,C
2015-06,15.7,C
2015-07,16.17,C
2015-08,14.16,C
2015-09,7.52,C
2015-10,0.47,C
2015-11,-9.2,C
2015-12,-19.07,C
2016-01,, 
2016-02,-14.69,C
2016-03,-6.37,C
2016-04,1.1,C
2016-05,10.26,C
2016-06,, 
2016-07,, 
2016-08,15.16,C
2016-09,, 
2016-10,-2.97,C
2016-11,-12.58,C
2016-12,, 
2017-01,, 
2017-02,-13.28,C
2017-03,, 
2017-04,, 
2017-05,10.56,C
2017-06,13.94,C
2017-07,16.42,C
2017-08,, 
2017-09,, 
2017-10,, 
2017-11,-18.05,C
2017-12,-15.28,C
2018-01,-21.36,C
2018-02,-21.0,C
2018-03,, 
2018-04,-1.3,C
2018-05,11.72,C
2018-06,14.5,C
2018-07,17.55,C
2018-08,, 
2018-09,, 
2018-10,, 
2018-11,-12.52,C
2018-12,, 
2019-01,, 
2019-02,-21.0,C
2019-03,, 
2019-04,, 
2019-05,, 
2019-06,, 
2019-07,, 
2019-08,, 
2019-09,, 
2019-10,, 
2019-11,-10.84,C
2019-12,, 
2020-01,, 
2020-02,, 
2020-03,-14.98,C
2020-04,, 
2020-05,, 
2020-06,12.87,C
2020-07,, 
2020-08,, 
2020-09,, 
2020-10,, 
2020-11,, 
2020-12,, 
2021-01,, 
2021-02,, 
2021-03,, 
2021-04,-2.12,C
2021-05,, 
2021-06,, 
2021-07,17.95,C
2021-08,14.59,C
2021-09,9.43,C
2021-10,0.7,C
2021-11,-14.34,C
2021-12,-28.6,C
