Date [YYYY-MM],Temperature [°C],QCFLAG
1909-01,, 
1909-02,, 
1909-03,, 
1909-04,, 
1909-05,1.6,""""
1909-06,15.7,""""
1909-07,16.0,""""
1909-08,8.7,""""
1909-09,1.8,""""
1909-10,-7.9,""""
1909-11,-26.3,""""
1909-12,-25.5,""""
1910-01,-30.4,""""
1910-02,-34.3,""""
1910-03,-23.6,""""
1910-04,-11.1,""""
1910-05,2.3,""""
1910-06,12.2,""""
1910-07,16.6,""""
1910-08,11.0,""""
1910-09,3.4,""""
1910-10,-6.4,""""
1910-11,-19.29,""""
1910-12,-30.3,""""
1911-01,-37.59,""""
1911-02,-22.5,""""
1911-03,-21.4,""""
1911-04,-10.7,""""
1911-05,6.2,""""
1911-06,14.2,""""
1911-07,15.8,""""
1911-08,10.8,""""
1911-09,3.9,""""
1911-10,-2.09,""""
1911-11,-21.4,""""
1911-12,-27.3,""""
1912-01,-28.5,""""
1912-02,-25.3,""""
1912-03,-17.9,""""
1912-04,-10.3,""""
1912-05,4.3,""""
1912-06,11.3,""""
1912-07,11.4,""""
1912-08,12.1,""""
1912-09,5.4,""""
1912-10,-2.4,""""
1912-11,-17.6,""""
1912-12,-29.6,""""
1913-01,-37.5,""""
1913-02,-27.8,""""
1913-03,-23.7,""""
1913-04,-11.8,""""
1913-05,3.8,""""
1913-06,11.6,""""
1913-07,14.4,""""
1913-08,9.8,""""
1913-09,1.1,""""
1913-10,-9.6,""""
1913-11,-21.9,""""
1913-12,-28.8,""""
1914-01,-32.7,""""
1914-02,-34.09,""""
1914-03,-25.2,""""
1914-04,-9.6,""""
1914-05,4.4,""""
1914-06,14.0,""""
1914-07,11.8,""""
1914-08,12.3,""""
1914-09,3.5,""""
1914-10,-4.1,""""
1914-11,-21.9,""""
1914-12,-22.1,""""
1915-01,-28.4,""""
1915-02,-27.8,""""
1915-03,-20.6,""""
1915-04,-4.1,""""
1915-05,6.3,""""
1915-06,12.4,""""
1915-07,17.2,""""
1915-08,13.1,""""
1915-09,2.1,""""
1915-10,-8.39,""""
1915-11,-21.6,""""
1915-12,-29.7,""""
1916-01,-27.9,""""
1916-02,-26.2,""""
1916-03,-27.9,""""
1916-04,-4.6,""""
1916-05,6.4,""""
1916-06,14.8,""""
1916-07,14.8,""""
1916-08,11.3,""""
1916-09,6.0,""""
1916-10,-2.9,""""
1916-11,-17.9,""""
1916-12,-33.3,""""
1917-01,-32.09,""""
1917-02,-27.6,""""
1917-03,-22.6,""""
1917-04,-10.2,""""
1917-05,0.3,""""
1917-06,8.8,""""
1917-07,14.9,""""
1917-08,11.4,""""
1917-09,6.6,""""
1917-10,-7.7,""""
1917-11,-23.0,""""
1917-12,-41.4,""""
1918-01,-31.8,""""
1918-02,, 
1918-03,-25.8,""""
1918-04,-12.3,""""
1918-05,-0.4,""""
1918-06,5.6,""""
1918-07,11.9,""""
1918-08,, 
1918-09,, 
1918-10,, 
1918-11,, 
1918-12,, 
1919-01,-32.3,""""
1919-02,-30.8,""""
1919-03,-27.7,""""
1919-04,-9.0,""""
1919-05,1.3,""""
1919-06,9.3,""""
1919-07,16.2,""""
1919-08,14.3,""""
1919-09,6.4,""""
1919-10,-8.3,""""
