Date [YYYY-MM],Temperature [°C],QCFLAG
1998-01,, 
1998-02,, 
1998-03,, 
1998-04,, 
1998-05,, 
1998-06,, 
1998-07,, 
1998-08,15.02,C
1998-09,8.61,C
1998-10,0.66,C
1998-11,-13.41,C
1998-12,, 
1999-01,-25.01,C
1999-02,-19.23,C
1999-03,-8.62,C
1999-04,2.24,C
1999-05,7.29,C
1999-06,13.53,C
1999-07,14.96,C
1999-08,15.66,C
1999-09,8.86,C
1999-10,-2.3,C
1999-11,-15.08,C
1999-12,-19.91,C
2000-01,-24.26,C
2000-02,-15.62,C
2000-03,-8.08,C
2000-04,-1.53,C
2000-05,7.38,C
2000-06,14.49,C
2000-07,17.06,C
2000-08,11.67,C
2000-09,6.52,C
2000-10,-1.23,C
2000-11,-12.17,C
2000-12,-26.29,C
2001-01,-15.49,C
2001-02,-18.34,C
2001-03,-13.02,C
2001-04,1.31,C
2001-05,7.28,C
2001-06,14.48,C
2001-07,16.84,C
2001-08,15.0,C
2001-09,9.01,C
2001-10,-1.05,C
2001-11,-12.29,C
2001-12,-23.58,C
2002-01,-22.36,C
2002-02,-20.8,C
2002-03,-15.78,C
2002-04,-5.31,C
2002-05,4.32,C
2002-06,15.41,C
2002-07,16.08,C
2002-08,13.17,C
2002-09,7.6,C
2002-10,-0.65,C
2002-11,-10.52,C
2002-12,-15.48,C
2003-01,-24.19,C
2003-02,, 
2003-03,-14.22,C
2003-04,1.09,C
2003-05,8.57,C
2003-06,13.16,C
2003-07,17.93,C
2003-08,14.16,C
2003-09,6.43,C
2003-10,1.71,C
2003-11,-14.24,C
2003-12,-19.55,C
2004-01,-26.39,C
2004-02,-19.1,C
2004-03,-13.37,C
2004-04,0.86,C
2004-05,6.19,C
2004-06,16.03,C
2004-07,17.11,C
2004-08,13.21,C
2004-09,6.45,C
2004-10,-3.37,C
2004-11,-13.4,C
2004-12,-22.52,C
2005-01,-25.35,C
2005-02,-19.59,C
2005-03,-10.68,C
2005-04,1.79,C
2005-05,9.92,C
2005-06,13.11,C
2005-07,15.59,C
2005-08,13.63,C
2005-09,7.88,C
2005-10,0.11,C
2005-11,-13.7,C
2005-12,-15.21,C
2006-01,-24.87,C
2006-02,-15.79,C
2006-03,-13.72,C
2006-04,1.42,C
2006-05,9.11,C
2006-06,15.53,C
2006-07,16.63,C
2006-08,13.86,C
2006-09,9.44,C
2006-10,0.11,C
2006-11,-21.24,C
2006-12,-15.59,C
2007-01,-20.94,C
2007-02,-22.31,C
2007-03,-17.55,C
2007-04,, 
2007-05,9.11,C
2007-06,14.82,C
2007-07,17.54,C
2007-08,12.98,C
2007-09,6.09,C
2007-10,-1.2,C
2007-11,-14.18,C
2007-12,-23.86,C
2008-01,-25.25,C
2008-02,-22.71,C
2008-03,-15.0,C
2008-04,-2.11,C
2008-05,9.94,C
2008-06,14.58,C
2008-07,16.84,C
2008-08,14.04,C
2008-09,7.56,C
2008-10,-0.24,C
2008-11,-12.85,C
2008-12,-25.61,C
2009-01,-23.36,C
2009-02,-23.54,C
2009-03,-17.83,C
2009-04,-0.11,C
2009-05,6.32,C
2009-06,14.32,C
2009-07,15.85,C
2009-08,14.9,C
2009-09,10.5,C
2009-10,-1.37,C
2009-11,-16.65,C
2009-12,-22.74,C
2010-01,-23.91,C
2010-02,-15.92,C
2010-03,-6.81,C
2010-04,3.37,C
2010-05,8.57,C
2010-06,15.05,C
2010-07,17.64,C
2010-08,14.81,C
2010-09,6.44,C
2010-10,-0.25,C
2010-11,-10.69,C
2010-12,-24.74,C
2011-01,-25.66,C
2011-02,-16.54,C
2011-03,-14.08,C
2011-04,-1.01,C
2011-05,9.47,C
2011-06,13.58,C
2011-07,16.51,C
2011-08,14.18,C
2011-09,10.22,C
