Date [YYYY-MM],Temperature [°C],QCFLAG
1982-01,-35.94,C
1982-02,-28.47,C
1982-03,-27.48,C
1982-04,-19.71,C
1982-05,-5.6,C
1982-06,4.87,C
1982-07,11.47,C
1982-08,7.22,C
1982-09,0.86,C
1982-10,-7.14,C
1982-11,-26.01,C
1982-12,-29.85,C
1983-01,-30.85,C
1983-02,-33.39,C
1983-03,-28.82,C
1983-04,-17.21,C
1983-05,-14.04,C
1983-06,5.19,C
1983-07,10.29,C
1983-08,9.27,C
1983-09,2.41,C
1983-10,-9.4,C
1983-11,-13.92,C
1983-12,-27.1,C
1984-01,-32.18,C
1984-02,-25.72,C
1984-03,-25.17,C
1984-04,-11.94,C
1984-05,-3.88,C
1984-06,8.05,C
1984-07,12.7,C
1984-08,9.64,C
1984-09,-0.07,C
1984-10,-9.21,C
1984-11,-21.76,C
1984-12,-32.35,C
1985-01,-27.71,C
1985-02,-34.68,C
1985-03,-26.45,C
1985-04,-19.52,C
1985-05,-1.6,C
1985-06,6.46,C
1985-07,7.76,C
1985-08,6.25,C
1985-09,0.78,C
1985-10,-9.97,C
1985-11,-23.45,C
1985-12,-25.0,C
1986-01,, 
1986-02,-26.85,C
1986-03,-27.62,C
1986-04,-18.96,C
1986-05,-5.74,C
1986-06,3.0,C
1986-07,10.43,C
1986-08,6.95,C
1986-09,1.55,C
1986-10,-9.55,C
1986-11,-24.08,C
1986-12,-24.47,C
1987-01,-24.71,C
1987-02,-25.07,C
1987-03,-25.97,C
1987-04,-15.17,C
1987-05,-6.89,C
1987-06,5.37,C
1987-07,10.02,C
1987-08,5.35,C
1987-09,4.07,C
1987-10,-8.06,C
1987-11,-21.16,C
1987-12,-19.58,C
1988-01,-31.63,C
1988-02,-31.61,C
1988-03,-22.64,C
1988-04,-15.36,C
1988-05,-10.09,C
1988-06,7.11,C
1988-07,11.43,C
1988-08,10.43,C
1988-09,3.6,C
1988-10,-8.28,C
1988-11,-25.5,C
1988-12,-27.37,C
1989-01,-33.41,C
1989-02,-22.46,C
1989-03,-29.74,C
1989-04,-15.24,C
1989-05,-8.17,C
1989-06,7.82,C
1989-07,12.29,C
1989-08,12.68,C
1989-09,1.63,C
1989-10,-7.84,C
1989-11,-26.01,C
1989-12,-29.13,C
1990-01,-32.79,C
1990-02,-34.57,C
1990-03,-21.3,C
1990-04,-14.61,C
1990-05,-7.4,C
1990-06,4.29,C
1990-07,10.91,C
1990-08,6.05,C
1990-09,0.91,C
1990-10,-9.27,C
1990-11,-25.07,C
1990-12,-31.22,C
1991-01,-31.5,C
1991-02,-30.58,C
1991-03,-28.09,C
1991-04,-13.87,C
1991-05,-1.8,C
1991-06,7.43,C
1991-07,11.34,C
1991-08,10.11,C
1991-09,0.01,C
1991-10,-10.64,C
1991-11,-22.69,C
1991-12,-27.73,C
1992-01,-29.33,C
1992-02,-28.95,C
1992-03,-22.93,C
1992-04,-17.49,C
1992-05,-5.8,C
1992-06,4.26,C
1992-07,10.95,C
1992-08,8.17,C
1992-09,-1.19,C
1992-10,-8.33,C
1992-11,-18.53,C
1992-12,-25.93,C
1993-01,-25.62,C
1993-02,-27.7,C
1993-03,-21.39,C
1993-04,-17.05,C
1993-05,-5.67,C
1993-06,4.75,C
1993-07,10.37,C
1993-08,9.2,C
1993-09,0.48,C
1993-10,-8.91,C
1993-11,-21.84,C
1993-12,-29.01,C
1994-01,-34.42,C
1994-02,-33.6,C
1994-03,-21.67,C
1994-04,-17.46,C
1994-05,-2.38,C
1994-06,8.02,C
1994-07,13.86,C
1994-08,10.55,C
1994-09,2.19,C
1994-10,-4.95,C
1994-11,-18.47,C
1994-12,-23.48,C
1995-01,-24.95,C
1995-02,-28.27,C
1995-03,-25.6,C
1995-04,-15.22,C
1995-05,-7.09,C
1995-06,7.61,C
1995-07,8.89,C
1995-08,8.91,C
1995-09,0.76,C
1995-10,-9.29,C
1995-11,-20.61,C
1995-12,-29.88,C
1996-01,-31.66,C
1996-02,-26.65,C
1996-03,-25.88,C
1996-04,-16.26,C
1996-05,-5.76,C
1996-06,9.69,C
1996-07,14.29,C
1996-08,7.54,C
1996-09,5.08,C
1996-10,-9.49,C
1996-11,-20.37,C
1996-12,-26.87,C
1997-01,-30.27,C
1997-02,-27.5,C
1997-03,-27.57,C
1997-04,-15.92,C
1997-05,-6.46,C
1997-06,5.97,C
1997-07,13.38,C
1997-08,9.68,C
1997-09,4.67,C
1997-10,-10.59,C
1997-11,-15.04,C
1997-12,-22.98,C
1998-01,-33.42,C
1998-02,-25.58,C
1998-03,-22.05,C
1998-04,-10.69,C
1998-05,-0.38,C
1998-06,8.3,C
1998-07,13.83,C
1998-08,11.34,C
1998-09,3.63,C
1998-10,-4.04,C
1998-11,-12.8,C
1998-12,-22.18,C
1999-01,-28.54,C
1999-02,-23.23,C
1999-03,-19.54,C
1999-04,-13.24,C
1999-05,-4.83,C
1999-06,6.87,C
1999-07,8.38,C
1999-08,8.73,C
1999-09,2.26,C
1999-10,-8.84,C
1999-11,-16.92,C
1999-12,-24.79,C
2000-01,-26.74,C
2000-02,-24.9,C
2000-03,-22.28,C
2000-04,-16.08,C
2000-05,-3.89,C
2000-06,7.3,C
2000-07,15.11,C
2000-08,8.95,C
2000-09,1.04,C
2000-10,-8.69,C
2000-11,-18.72,C
2000-12,-29.44,C
2001-01,-25.37,C
2001-02,-27.64,C
2001-03,-23.79,C
2001-04,-15.76,C
2001-05,-4.64,C
2001-06,3.77,C
2001-07,12.35,C
2001-08,8.48,C
2001-09,5.94,C
2001-10,-9.59,C
2001-11,-20.48,C
2001-12,-23.15,C
2002-01,-28.26,C
2002-02,-30.07,C
2002-03,-25.5,C
2002-04,-19.86,C
2002-05,-8.35,C
2002-06,7.41,C
2002-07,12.0,C
2002-08,8.12,C
2002-09,2.81,C
2002-10,-8.97,C
2002-11,-17.26,C
2002-12,-20.14,C
2003-01,-27.22,C
2003-02,-32.0,C
2003-03,-26.64,C
2003-04,-13.47,C
2003-05,-5.36,C
2003-06,5.6,C
2003-07,13.4,C
2003-08,10.25,C
2003-09,3.67,C
2003-10,-4.25,C
2003-11,-18.82,C
2003-12,-25.05,C
2004-01,-32.99,C
2004-02,-29.02,C
2004-03,-29.54,C
2004-04,-19.29,C
2004-05,-11.21,C
2004-06,5.14,C
2004-07,11.55,C
2004-08,6.43,C
2004-09,0.75,C
2004-10,-10.54,C
2004-11,-21.92,C
2004-12,-29.72,C
2005-01,-29.07,C
2005-02,-29.43,C
2005-03,-23.89,C
2005-04,-11.37,C
2005-05,-8.71,C
2005-06,4.72,C
2005-07,9.38,C
2005-08,8.7,C
2005-09,0.19,C
2005-10,-7.0,C
2005-11,-17.41,C
2005-12,-20.55,C
2006-01,-26.07,C
2006-02,-23.27,C
2006-03,-18.5,C
2006-04,-13.35,C
2006-05,-0.15,C
2006-06,10.21,C
2006-07,11.15,C
2006-08,11.27,C
2006-09,4.5,C
2006-10,-6.0,C
2006-11,-20.26,]
2006-12,, 
2007-01,, 
2007-02,, 
2007-03,, 
2007-04,-13.58,]
2007-05,-5.76,]
2007-06,5.35,]
2007-07,13.46,]
2007-08,7.47,]
2007-09,0.01,]
2007-10,-6.75,]
2007-11,, 
2007-12,-26.91,]
2008-01,-27.85,]
2008-02,, 
2008-03,, 
2008-04,-15.82,]
2008-05,-3.92,]
2008-06,6.32,]
2008-07,12.61,]
2008-08,8.71,]
2008-09,0.45,]
2008-10,-4.31,]
2008-11,-17.99,]
2008-12,-27.42,]
2009-01,-24.04,]
2009-02,,]
2009-03,,]
2009-04,,]
2009-05,,]
2009-06,,]
2009-07,16.26,]
2009-08,12.41,]
2009-09,4.71,]
2009-10,-8.86,]
2009-11,-16.97,]
2009-12,-20.43,]
2010-01,-26.57,]
2010-02,,]
2010-03,,]
2010-04,-8.2,]
2010-05,-7.79,]
2010-06,6.77,]
2010-07,12.79,]
2010-08,9.97,]
2010-09,2.55,]
2010-10,-4.23,]
2010-11,-16.16,]
2010-12,-24.16,]
2011-01,,]
2011-02,,]
2011-03,,]
2011-04,,]
2011-05,,]
2011-06,,]
2011-07,16.15,]
2011-08,,]
2011-09,,]
2011-10,,]
2011-11,,]
2011-12,,]
2012-01,-25.78,]
2012-02,-17.34,]
2012-03,,]
2012-04,,]
2012-05,,]
2012-06,,]
2012-07,16.76,]
2012-08,,]
2012-09,,]
2012-10,-3.74,]
2012-11,,]
2012-12,,]
2013-01,-27.74,]
2013-02,,]
2013-03,,]
2013-04,,]
2013-05,,]
2013-06,15.64,]
2013-07,,]
2013-08,,]
2013-09,,]
2013-10,,]
2013-11,,]
2013-12,,]
