Date [YYYY-MM],Temperature [°C],QCFLAG
1995-01,, 
1995-02,, 
1995-03,, 
1995-04,, 
1995-05,, 
1995-06,, 
1995-07,, 
1995-08,, 
1995-09,,C
1995-10,,C
1995-11,,C
1995-12,,C
1996-01,,C
1996-02,,C
1996-03,, 
1996-04,, 
1996-05,,C
1996-06,,C
1996-07,, 
1996-08,, 
1996-09,, 
1996-10,, 
1996-11,,C
1996-12,,C
1997-01,,C
1997-02,,C
1997-03,,C
1997-04,,C
1997-05,,C
1997-06,,C
1997-07,,C
1997-08,,C
1997-09,,C
1997-10,,C
1997-11,-10.37,C
1997-12,-16.3,C
1998-01,-23.48,C
1998-02,-27.09,C
1998-03,-22.51,C
1998-04,-12.93,C
1998-05,-6.23,C
1998-06,2.27,C
1998-07,4.54,C
1998-08,4.54,C
1998-09,0.34,C
1998-10,-6.1,C
1998-11,-10.41,C
1998-12,-16.62,C
1999-01,-24.22,C
1999-02,-24.86,C
1999-03,-16.33,C
1999-04,-9.96,C
1999-05,-9.66,C
1999-06,-2.57,C
1999-07,3.13,C
1999-08,2.42,C
1999-09,-1.58,C
1999-10,-8.64,C
1999-11,-13.71,C
1999-12,-16.35,C
2000-01,-23.77,C
2000-02,-24.55,C
2000-03,-19.57,C
2000-04,-10.43,C
2000-05,-7.49,C
2000-06,-1.75,C
2000-07,4.75,C
2000-08,4.25,C
2000-09,-1.06,C
2000-10,, 
2000-11,-10.06,C
2000-12,-13.32,C
2001-01,, 
2001-02,-23.75,C
2001-03,-16.06,C
2001-04,, 
2001-05,-5.5,C
2001-06,-1.65,C
2001-07,7.29,C
2001-08,3.57,C
2001-09,-1.05,C
2001-10,-5.46,C
2001-11,-12.15,C
2001-12,-15.35,C
2002-01,-21.87,C
2002-02,-26.73,C
2002-03,-23.38,C
2002-04,-16.08,C
2002-05,-7.17,C
2002-06,-0.12,C
2002-07,3.93,C
2002-08,4.59,C
2002-09,-1.18,C
2002-10,-5.43,C
2002-11,-10.69,C
2002-12,-15.29,C
2003-01,-16.54,C
2003-02,-26.15,C
2003-03,-19.24,C
2003-04,-14.93,C
2003-05,-4.88,C
2003-06,-0.44,C
2003-07,5.27,C
2003-08,, 
2003-09,, 
2003-10,-4.67,C
2003-11,-10.74,C
2003-12,-14.72,C
