Date [YYYY-MM],Temperature [°C],QCFLAG
1999-01,-32.18,C
1999-02,-31.58,C
1999-03,-27.94,C
1999-04,-23.78,C
1999-05,-9.47,C
1999-06,0.01,C
1999-07,5.6,C
1999-08,2.91,C
1999-09,-3.27,C
1999-10,-17.72,C
1999-11,-22.8,C
1999-12,-33.32,C
2000-01,-30.94,C
2000-02,-34.53,C
2000-03,-30.99,C
2000-04,-21.94,C
2000-05,-10.95,C
2000-06,2.1,C
2000-07,4.48,C
2000-08,0.1,C
2000-09,-6.12,C
2000-10,, 
2000-11,-27.1,C
2000-12,-29.9,C
2001-01,-33.34,C
2001-02,-31.25,C
2001-03,-33.06,C
2001-04,-23.22,C
2001-05,-11.4,C
2001-06,0.86,C
2001-07,4.34,C
2001-08,1.07,C
2001-09,-2.98,C
2001-10,-18.55,C
2001-11,-23.66,C
2001-12,-23.6,C
2002-01,-33.06,C
2002-02,-35.96,C
2002-03,-27.99,C
2002-04,-24.78,C
2002-05,-9.45,C
2002-06,1.26,C
2002-07,3.3,|
2002-08,0.79,C
2002-09,-4.12,C
2002-10,-12.64,C
2002-11,-25.73,C
2002-12,-25.29,C
2003-01,-30.07,C
2003-02,-34.86,C
2003-03,-33.18,C
2003-04,-22.59,C
2003-05,-10.33,C
2003-06,-1.97,C
2003-07,2.52,C
2003-08,0.04,C
2003-09,-4.31,C
2003-10,-15.65,C
2003-11,-23.47,C
2003-12,-31.5,C
2004-01,, 
2004-02,, 
2004-03,-36.26,C
2004-04,-25.15,C
2004-05,-12.14,C
2004-06,-0.61,C
2004-07,1.43,C
2004-08,0.87,C
2004-09,-8.64,C
2004-10,-21.18,C
2004-11,-25.6,C
2004-12,-32.67,C
2005-01,-30.34,C
2005-02,-36.23,C
2005-03,-31.38,C
2005-04,-22.2,C
2005-05,-8.38,C
2005-06,0.67,C
2005-07,3.23,C
2005-08,1.74,C
2005-09,-7.04,C
2005-10,-16.7,C
2005-11,-23.91,C
2005-12,-28.76,C
2006-01,-30.39,C
2006-02,-27.1,C
2006-03,-30.03,C
2006-04,-22.07,C
2006-05,-5.9,|
2006-06,-0.19,C
2006-07,4.05,C
2006-08,3.47,C
2006-09,-2.55,C
2006-10,-12.7,|
2006-11,-21.65,C
2006-12,-27.69,C
2007-01,-32.56,C
2007-02,-31.89,C
2007-03,-33.73,C
2007-04,-20.39,C
2007-05,-10.65,C
2007-06,1.01,C
2007-07,7.49,C
2007-08,4.0,C
2007-09,-4.55,C
2007-10,-15.31,C
2007-11,-25.2,C
2007-12,-29.07,C
2008-01,-35.48,C
2008-02,-33.79,C
2008-03,-33.46,C
2008-04,-23.24,C
2008-05,-8.79,C
2008-06,3.05,|
2008-07,6.59,C
2008-08,2.84,C
2008-09,-5.55,|
2008-10,-15.29,C
2008-11,, 
2008-12,, 
2009-01,, 
2009-02,, 
2009-03,, 
2009-04,-24.46,C
2009-05,-10.54,C
2009-06,0.85,C
2009-07,4.61,C
2009-08,3.53,C
2009-09,-3.15,|
2009-10,, 
2009-11,, 
2009-12,, 
2010-01,, 
2010-02,, 
2010-03,, 
2010-04,, 
2010-05,, 
2010-06,2.85,C
2010-07,4.48,C
2010-08,2.88,C
2010-09,-3.75,|
2010-10,-11.92,C
2010-11,-22.37,C
2010-12,-27.6,C
2011-01,-31.31,C
2011-02,-31.77,C
2011-03,-26.86,C
2011-04,-23.49,C
2011-05,-9.29,C
2011-06,1.18,C
2011-07,7.75,|
2011-08,5.23,C
2011-09,-2.65,|
2011-10,-13.13,C
2011-11,-23.0,C
2011-12,-30.48,C
2012-01,-30.46,C
2012-02,-32.97,C
2012-03,-33.35,|
2012-04,-23.21,C
2012-05,-7.96,C
2012-06,4.56,C
2012-07,6.43,C
2012-08,2.49,C
2012-09,-2.57,C
2012-10,-13.3,C
2012-11,-24.22,C
2012-12,-28.88,C
2013-01,-31.62,C
2013-02,-39.66,C
2013-03,-29.55,|
2013-04,-21.08,C
2013-05,-11.2,|
2013-06,-1.0,|
2013-07,3.25,C
2013-08,0.65,|
2013-09,-6.09,C
2013-10,-12.9,|
2013-11,-26.15,C
2013-12,-27.85,C
2014-01,, 
2014-02,, 
2014-03,, 
2014-04,, 
2014-05,, 
2014-06,, 
2014-07,, 
2014-08,1.65,|
2014-09,-5.31,C
2014-10,-13.99,C
2014-11,-21.7,C
2014-12,-30.93,C
2015-01,-31.13,C
2015-02,-32.22,C
2015-03,-31.74,C
2015-04,-20.26,C
2015-05,-7.53,C
2015-06,1.93,C
2015-07,6.94,C
2015-08,2.95,C
2015-09,-3.26,C
2015-10,-15.09,C
2015-11,-24.7,C
2015-12,-31.65,C
2016-01,-27.18,C
2016-02,-28.52,C
2016-03,-27.81,C
2016-04,-22.75,C
2016-05,-6.87,C
2016-06,0.77,C
2016-07,4.85,C
2016-08,1.67,C
2016-09,-3.67,C
2016-10,-13.45,C
2016-11,-20.85,C
2016-12,-26.81,C
2017-01,-31.85,C
2017-02,-31.26,C
2017-03,-29.58,C
2017-04,-21.2,C
2017-05,-8.48,C
2017-06,-0.87,C
2017-07,2.78,C
2017-08,1.53,C
2017-09,-5.91,C
2017-10,-18.65,C
2017-11,-23.5,C
2017-12,-26.14,C
