Date [YYYY-MM],Temperature [°C],QCFLAG
1867-01,4.06,""""
1867-02,5.16,""""
1867-03,3.96,""""
1867-04,3.76,""""
1867-05,5.66,""""
1867-06,6.16,""""
1867-07,8.26,""""
1867-08,8.76,""""
1867-09,8.76,""""
1867-10,7.36,""""
1867-11,6.86,""""
1867-12,6.26,""""
1868-01,4.86,""""
1868-02,3.76,""""
1868-03,4.06,""""
1868-04,4.56,""""
1868-05,5.96,""""
1868-06,8.06,""""
1868-07,8.76,""""
1868-08,8.96,""""
1868-09,8.06,""""
1868-10,6.86,""""
1868-11,6.36,""""
1868-12,5.86,""""
1869-01,4.66,""""
1869-02,3.66,""""
1869-03,3.86,""""
1869-04,4.46,""""
1869-05,6.06,""""
1869-06,6.66,""""
1869-07,8.06,""""
1869-08,8.76,""""
1869-09,8.26,""""
1869-10,6.96,""""
1869-11,5.46,""""
1869-12,4.36,""""
1870-01,3.86,""""
1870-02,4.16,""""
1870-03,4.06,""""
1870-04,5.16,""""
1870-05,6.36,""""
1870-06,7.66,""""
1870-07,8.66,""""
1870-08,9.66,""""
1870-09,9.06,""""
1870-10,8.26,""""
1870-11,6.66,""""
1870-12,5.16,""""
1871-01,4.56,""""
1871-02,4.86,""""
1871-03,4.86,""""
1871-04,5.06,""""
1871-05,6.16,""""
1871-06,7.86,""""
1871-07,9.36,""""
1871-08,9.96,""""
1871-09,9.36,""""
1871-10,8.36,""""
1871-11,6.46,""""
1871-12,5.66,""""
1872-01,5.36,""""
1872-02,5.26,""""
1872-03,5.46,""""
1872-04,5.76,""""
1872-05,6.46,""""
1872-06,7.86,""""
1872-07,9.76,""""
1872-08,9.86,""""
1872-09,8.86,""""
1872-10,7.56,""""
1872-11,6.36,""""
1872-12,5.06,""""
1873-01,,""""
1873-02,,""""
1873-03,,""""
1873-04,,""""
1873-05,,""""
1873-06,,""""
1873-07,,""""
1873-08,,""""
1873-09,,""""
1873-10,,""""
1873-11,,""""
1873-12,,""""
1874-01,,""""
1874-02,,""""
1874-03,,""""
1874-04,,""""
1874-05,6.67,""""
1874-06,9.07,""""
1874-07,10.77,""""
1874-08,9.47,""""
1874-09,8.27,""""
1874-10,5.97,""""
1874-11,4.27,""""
1874-12,0.77,""""
1875-01,3.57,""""
1875-02,2.77,""""
1875-03,4.67,""""
1875-04,6.07,""""
1875-05,8.17,""""
1875-06,9.67,""""
1875-07,10.77,""""
1875-08,10.67,""""
1875-09,9.77,""""
1875-10,7.67,""""
1875-11,3.57,""""
1875-12,5.17,""""
1876-01,4.97,""""
1876-02,1.57,""""
1876-03,1.07,""""
1876-04,3.57,""""
1876-05,7.37,""""
1876-06,9.97,""""
1876-07,10.17,""""
1876-08,10.17,""""
1876-09,8.17,""""
1876-10,7.37,""""
1876-11,4.97,""""
1876-12,3.67,""""
1877-01,2.27,""""
1877-02,1.47,""""
1877-03,1.97,""""
1877-04,3.87,""""
1877-05,5.27,""""
1877-06,8.87,""""
1877-07,10.37,""""
1877-08,8.67,""""
1877-09,8.97,""""
1877-10,5.77,""""
1877-11,4.77,""""
1877-12,3.17,""""
1878-01,2.57,""""
1878-02,4.87,""""
1878-03,1.77,""""
1878-04,5.77,""""
1878-05,6.57,""""
1878-06,9.07,""""
1878-07,10.97,""""
1878-08,10.57,""""
1878-09,9.37,""""
1878-10,7.47,""""
1878-11,1.47,""""
1878-12,-0.03,""""
1879-01,2.17,""""
1879-02,1.77,""""
1879-03,1.57,""""
1879-04,3.67,""""
1879-05,6.17,""""
1879-06,8.67,""""
1879-07,9.87,""""
1879-08,9.77,""""
1879-09,8.47,""""
1879-10,6.47,""""
1879-11,4.47,""""
1879-12,4.47,""""
1880-01,4.67,""""
1880-02,4.07,""""
1880-03,5.17,""""
1880-04,6.47,""""
1880-05,7.17,""""
1880-06,9.37,""""
1880-07,10.37,""""
1880-08,12.47,""""
1880-09,10.27,""""
1880-10,3.77,""""
1880-11,2.77,""""
1880-12,0.57,""""
1881-01,0.17,""""
1881-02,1.77,""""
1881-03,0.37,""""
1881-04,4.07,""""
1881-05,6.97,""""
1881-06,7.87,""""
1881-07,9.97,""""
1881-08,9.17,""""
1881-09,9.47,""""
1881-10,6.87,""""
1881-11,6.17,""""
1881-12,4.17,""""
1882-01,4.37,""""
1882-02,3.67,""""
1882-03,2.97,""""
1882-04,3.77,""""
1882-05,7.07,""""
1882-06,8.87,""""
1882-07,10.97,""""
1882-08,10.67,""""
1882-09,8.87,""""
1882-10,8.07,""""
1882-11,4.47,""""
1882-12,1.77,""""
1883-01,4.17,""""
1883-02,4.67,""""
1883-03,1.87,""""
1883-04,6.67,""""
1883-05,6.17,""""
1883-06,8.97,""""
1883-07,10.17,""""
1883-08,10.07,""""
1883-09,8.67,""""
1883-10,6.87,""""
1883-11,4.47,""""
1883-12,3.87,""""
1884-01,2.97,""""
1884-02,4.07,""""
1884-03,5.27,""""
1884-04,6.17,""""
1884-05,6.27,""""
1884-06,9.07,""""
1884-07,9.57,""""
1884-08,10.87,""""
1884-09,9.67,""""
1884-10,6.17,""""
1884-11,3.97,""""
1884-12,4.07,""""
1885-01,3.87,""""
1885-02,2.07,""""
1885-03,2.27,""""
1885-04,5.47,""""
1885-05,5.27,""""
1885-06,7.97,""""
1885-07,9.87,""""
1885-08,8.57,""""
1885-09,8.37,""""
1885-10,4.37,""""
1885-11,4.77,""""
1885-12,2.57,""""
1886-01,0.37,""""
1886-02,2.57,""""
1886-03,3.37,""""
1886-04,4.87,""""
1886-05,5.67,""""
1886-06,8.77,""""
1886-07,9.57,""""
1886-08,9.97,""""
1886-09,8.37,""""
1886-10,7.97,""""
1886-11,5.27,""""
1886-12,0.17,""""
1887-01,3.87,""""
1887-02,4.47,""""
1887-03,3.17,""""
1887-04,3.67,""""
1887-05,6.57,""""
1887-06,10.07,""""
1887-07,9.67,""""
1887-08,9.17,""""
1887-09,8.17,""""
1887-10,4.77,""""
1887-11,2.07,""""
1887-12,0.67,""""
1888-01,3.97,""""
1888-02,1.27,""""
1888-03,0.87,""""
1888-04,3.47,""""
1888-05,5.37,""""
1888-06,8.37,""""
1888-07,8.47,""""
1888-08,8.97,""""
1888-09,8.67,""""
1888-10,5.07,""""
1888-11,3.67,""""
1888-12,4.77,""""
1889-01,4.47,""""
1889-02,0.37,""""
1889-03,2.07,""""
1889-04,3.97,""""
1889-05,8.47,""""
1889-06,10.57,""""
1889-07,10.17,""""
1889-08,10.77,""""
1889-09,8.47,""""
1889-10,7.67,""""
1889-11,5.97,""""
1889-12,4.57,""""
1890-01,3.97,""""
1890-02,4.87,""""
1890-03,2.97,""""
1890-04,5.37,""""
1890-05,7.87,""""
1890-06,8.77,""""
1890-07,9.57,""""
1890-08,9.97,""""
1890-09,9.87,""""
1890-10,6.27,""""
1890-11,5.17,""""
1890-12,4.07,""""
1891-01,2.87,""""
1891-02,5.47,""""
1891-03,-0.33,""""
1891-04,4.97,""""
1891-05,5.47,""""
1891-06,8.97,""""
1891-07,10.37,""""
1891-08,9.87,""""
1891-09,9.07,""""
1891-10,7.77,""""
1891-11,5.67,""""
1891-12,3.37,""""
1892-01,0.87,""""
1892-02,1.57,""""
1892-03,2.27,""""
1892-04,2.97,""""
1892-05,5.17,""""
1892-06,7.87,""""
1892-07,10.07,""""
1892-08,9.17,""""
1892-09,7.77,""""
1892-10,4.47,""""
1892-11,5.27,""""
1892-12,1.97,""""
1893-01,1.77,""""
1893-02,2.07,""""
1893-03,3.97,""""
1893-04,6.17,""""
1893-05,8.07,""""
1893-06,9.87,""""
1893-07,10.67,""""
1893-08,11.07,""""
1893-09,8.17,""""
1893-10,5.87,""""
1893-11,2.17,""""
1893-12,3.57,""""
1894-01,2.57,""""
1894-02,2.57,""""
1894-03,4.47,""""
1894-04,7.37,""""
1894-05,5.97,""""
1894-06,10.07,""""
1894-07,11.67,""""
1894-08,10.87,""""
1894-09,9.37,""""
1894-10,6.37,""""
1894-11,6.87,""""
1894-12,3.97,""""
1895-01,0.07,""""
1895-02,1.87,""""
1895-03,2.37,""""
1895-04,4.57,""""
1895-05,7.87,""""
1895-06,9.37,""""
1895-07,10.37,""""
1895-08,10.37,""""
1895-09,9.87,""""
1895-10,3.97,""""
1895-11,5.37,""""
1895-12,3.07,""""
1896-01,3.17,""""
1896-02,5.67,""""
1896-03,3.07,""""
1896-04,5.57,""""
1896-05,8.67,""""
