Date [YYYY-MM],Temperature [°C],QCFLAG
1957-01,-2.78,""""
1957-02,-3.68,""""
1957-03,-6.78,""""
1957-04,1.22,""""
1957-05,8.22,""""
1957-06,11.82,""""
1957-07,16.92,""""
1957-08,14.12,""""
1957-09,8.82,""""
1957-10,5.12,""""
1957-11,0.32,""""
1957-12,-2.78,""""
1958-01,-8.98,""""
1958-02,-10.38,""""
1958-03,-8.38,""""
1958-04,0.52,""""
1958-05,8.02,""""
1958-06,13.12,""""
1958-07,15.12,""""
1958-08,13.82,""""
1958-09,9.82,""""
1958-10,5.82,""""
1958-11,2.72,""""
1958-12,-6.78,""""
1959-01,-6.12,E
1959-02,-3.08,E
1959-03,0.0,E
1959-04,3.96,E
1959-05,8.69,E
1959-06,13.92,E
1959-07,16.89,E
1959-08,16.07,E
1959-09,8.54,E
1959-10,4.36,E
1959-11,0.93,E
1959-12,-5.85,E
1960-01,-9.97,E
1960-02,-10.11,E
1960-03,-4.53,E
1960-04,1.76,E
1960-05,9.9,E
1960-06,15.27,E
1960-07,17.2,E
1960-08,14.68,E
1960-09,10.15,E
1960-10,2.77,E
1960-11,-1.43,E
1960-12,-0.92,E
1961-01,-5.13,E
1961-02,-1.25,E
1961-03,-0.55,E
1961-04,1.9,E
1961-05,9.37,E
1961-06,15.68,E
1961-07,14.64,E
1961-08,13.42,E
1961-09,9.39,E
1961-10,8.56,E
1961-11,1.34,E
1961-12,-5.61,E
1962-01,-5.23,E
1962-02,-6.26,E
1962-03,-8.59,E
1962-04,3.95,E
1962-05,7.59,E
1962-06,11.17,E
1962-07,13.91,E
1962-08,12.56,E
1962-09,8.98,E
1962-10,6.4,E
1962-11,0.79,E
1962-12,-7.36,E
1963-01,-11.07,E
1963-02,-12.12,E
1963-03,-9.29,E
1963-04,2.57,E
1963-05,12.21,E
1963-06,13.1,E
1963-07,16.1,E
1963-08,15.61,E
1963-09,12.16,E
1963-10,5.08,E
1963-11,-1.24,E
1963-12,-4.92,E
1964-01,-3.48,E
1964-02,-10.4,E
1964-03,-6.27,E
1964-04,2.49,E
1964-05,8.48,E
1964-06,13.54,E
1964-07,14.91,E
1964-08,14.1,E
1964-09,9.7,E
1964-10,6.12,E
1964-11,-1.14,E
1964-12,-2.83,E
1965-01,-3.8,E
1965-02,-8.29,E
1965-03,-4.36,E
1965-04,2.99,E
