Date [YYYY-MM],Temperature [°C],QCFLAG
1975-01,, 
1975-02,-5.48,]
1975-03,-1.62,]
1975-04,0.86,]
1975-05,9.08,]
1975-06,, 
1975-07,14.13,]
1975-08,12.73,]
1975-09,10.43,]
1975-10,2.89,]
1975-11,, 
1975-12,, 
1976-01,, 
1976-02,-9.34,]
1976-03,, 
1976-04,0.04,]
1976-05,8.77,]
1976-06,10.6,]
1976-07,12.98,]
1976-08,, 
1976-09,4.94,]
1976-10,, 
1976-11,-2.28,]
1976-12,-6.91,]
1977-01,-7.54,]
1977-02,-10.54,]
1977-03,-4.28,]
1977-04,-1.23,]
1977-05,, 
1977-06,, 
1977-07,13.97,]
1977-08,11.78,]
1977-09,6.86,]
1977-10,2.91,]
1977-11,-0.93,]
1977-12,-6.98,]
1978-01,, 
1978-02,-15.24,]
1978-03,-4.73,]
1978-04,-0.46,]
1978-05,8.46,]
1978-06,12.34,]
1978-07,13.78,]
1978-08,11.54,]
1978-09,6.85,]
1978-10,1.33,]
1978-11,-0.46,]
1978-12,-17.13,]
1979-01,, 
1979-02,-12.5,]
1979-03,, 
1979-04,0.42,]
1979-05,9.21,]
1979-06,, 
1979-07,, 
1979-08,, 
1979-09,7.41,]
1979-10,, 
1979-11,, 
1979-12,, 
1981-01,, 
1981-02,, 
1981-03,, 
1981-04,, 
1981-05,, 
1981-06,11.21,]
1981-07,, 
1981-08,, 
1981-09,, 
1981-10,, 
1981-11,, 
1981-12,-10.13,]
1982-01,-15.05,]
1982-02,-7.86,]
1982-03,-1.51,]
1982-04,0.07,]
1982-05,6.97,]
1982-06,8.38,]
1982-07,14.71,]
1982-08,13.14,]
1982-09,7.36,]
1982-10,, 
1982-11,1.63,]
1982-12,-3.07,]
1983-01,-4.93,]
1983-02,-12.45,]
1983-03,-6.07,]
1983-04,3.77,]
1983-05,9.17,]
1983-06,12.08,]
1983-07,15.27,]
1983-08,11.84,]
1983-09,9.62,]
1983-10,3.38,]
1983-11,-6.42,]
1983-12,-6.51,]
1984-01,-9.01,]
1984-02,-6.67,]
1984-03,-7.08,]
1984-04,3.0,]
1984-05,10.9,]
1984-06,12.15,]
1984-07,14.11,]
1984-08,12.2,]
1984-09,7.81,]
1984-10,5.26,]
1984-11,-1.32,]
1984-12,, 
1985-01,-15.33,]
1985-02,-18.96,]
1985-03,-3.56,]
1985-04,-2.26,]
1985-05,6.5,]
1985-06,11.66,]
1985-07,13.83,]
1985-08,14.12,]
1985-09,8.13,]
1985-10,4.87,]
1985-11,-3.86,]
1985-12,-9.78,]
1986-01,-13.83,]
1986-02,-14.08,]
1986-03,-1.57,]
1986-04,, 
1986-05,9.07,]
1986-06,14.38,]
1986-07,14.68,]
1986-08,11.39,]
1986-09,5.53,]
1986-10,3.73,]
1986-11,1.57,]
1986-12,-12.53,]
1987-01,, 
1987-02,, 
