Date [YYYY-MM],Temperature [°C],QCFLAG
1800-01,-11.1,""""
1800-02,-6.2,""""
1800-03,-8.2,""""
1800-04,4.7,""""
1800-05,8.0,""""
1800-06,11.4,""""
1800-07,15.1,""""
1800-08,13.1,""""
1800-09,7.7,""""
1800-10,5.3,""""
1800-11,1.4,""""
1800-12,0.6,""""
1801-01,-4.69,""""
1801-02,-9.5,""""
1801-03,-2.7,""""
1801-04,3.9,""""
1801-05,12.1,""""
1801-06,12.6,""""
1801-07,17.0,""""
1801-08,,""""
1801-09,8.8,""""
1801-10,4.9,""""
1801-11,-0.6,""""
1801-12,-7.0,""""
1802-01,-10.7,""""
1802-02,-5.2,""""
1802-03,-1.5,""""
1802-04,2.5,""""
1802-05,6.6,""""
1802-06,13.1,""""
1802-07,14.3,""""
1802-08,14.2,""""
1802-09,7.7,""""
1802-10,5.7,""""
1802-11,-2.8,""""
1802-12,-6.3,""""
1803-01,-14.3,""""
1803-02,-9.2,""""
1803-03,-3.2,""""
1803-04,3.7,""""
1803-05,11.0,""""
1803-06,14.3,""""
1803-07,18.1,""""
1803-08,16.4,""""
1803-09,8.8,""""
1803-10,2.5,""""
1803-11,-5.9,""""
1803-12,-14.3,""""
1804-01,-11.3,""""
1804-02,-13.1,""""
1804-03,-8.7,""""
1804-04,3.2,""""
1804-05,11.6,""""
1804-06,14.6,""""
1804-07,20.6,""""
1804-08,15.9,""""
1804-09,10.4,""""
1804-10,5.5,""""
1804-11,-1.9,""""
1804-12,-9.2,""""
1805-01,-6.8,""""
1805-02,-11.5,""""
1805-03,-4.0,""""
1805-04,2.0,""""
1805-05,7.3,""""
1805-06,13.0,""""
1805-07,18.3,""""
1805-08,17.5,""""
1805-09,9.5,""""
1805-10,-0.5,""""
1805-11,-3.8,""""
1805-12,-7.4,""""
1806-01,-8.5,""""
1806-02,-9.89,""""
1806-03,-6.5,""""
1806-04,2.4,""""
1806-05,9.1,""""
1806-06,13.2,""""
1806-07,16.1,""""
1806-08,16.3,""""
1806-09,10.6,""""
1806-10,3.1,""""
1806-11,-2.2,""""
1806-12,-4.19,""""
1807-01,-12.3,""""
1807-02,-5.5,""""
1807-03,-4.9,""""
1807-04,-1.9,""""
1807-05,6.5,""""
1807-06,14.6,""""
1807-07,18.6,""""
1807-08,17.4,""""
1807-09,9.0,""""
1807-10,2.4,""""
1807-11,-2.6,""""
1807-12,-6.6,""""
1808-01,-6.5,""""
1808-02,-9.7,""""
1808-03,-5.9,""""
1808-04,-2.3,""""
1808-05,10.6,""""
1808-06,15.9,""""
1808-07,18.3,""""
1808-08,15.7,""""
1808-09,9.8,""""
1808-10,7.1,""""
1808-11,-1.2,""""
1808-12,-10.9,""""
1809-01,-17.6,""""
1809-02,-13.0,""""
1809-03,-8.3,""""
1809-04,-1.2,""""
1809-05,9.1,""""
1809-06,15.8,""""
1809-07,17.4,""""
1809-08,17.5,""""
1809-09,10.1,""""
1809-10,4.3,""""
1809-11,-4.1,""""
1809-12,-0.5,""""
1810-01,-7.5,""""
1810-02,-9.6,""""
1810-03,-9.2,""""
1810-04,-0.5,""""
