Date [YYYY-MM],Temperature [°C],QCFLAG
1974-01,,]
1974-02,, 
1974-03,, 
1974-04,, 
1974-05,, 
1974-06,, 
1974-07,, 
1974-08,, 
1974-09,, 
1974-10,,]
1974-11,, 
1974-12,,]
1975-01,,]
1975-02,, 
1975-03,,]
1975-04,, 
1975-05,, 
1975-06,, 
1975-07,, 
1975-08,, 
1975-09,, 
1975-10,, 
1975-11,,]
1975-12,,]
1976-01,,]
1976-02,,]
1976-03,, 
1976-04,,]
1976-05,, 
1976-06,,]
1976-07,, 
1976-08,,]
1976-09,,]
1976-10,8.61,]
1976-11,6.59,]
1976-12,3.43,]
1977-01,3.27,]
1977-02,, 
1977-03,, 
1977-04,3.64,]
1977-05,5.82,]
1977-06,, 
1977-07,9.67,]
1977-08,, 
1977-09,8.0,]
1977-10,8.04,]
1977-11,4.73,]
1977-12,5.36,]
1978-01,, 
1978-02,, 
1978-03,5.09,]
1978-04,, 
1978-05,, 
1978-06,8.12,]
1978-07,8.94,]
1978-08,9.52,]
1978-09,, 
1978-10,, 
1978-11,4.24,]
1978-12,4.08,]
1979-01,, 
1979-02,2.42,]
1979-03,2.03,]
1979-04,4.54,]
1979-05,, 
1979-06,, 
1979-07,9.1,]
1979-08,9.17,]
1979-09,8.14,]
1979-10,, 
1979-11,4.95,]
1979-12,4.56,]
1980-01,3.73,]
1980-02,3.51,]
1980-03,4.25,]
1980-04,5.77,]
1980-05,7.35,]
1980-06,9.09,]
1980-07,, 
1980-08,10.14,]
1980-09,9.55,]
1980-10,6.07,]
1980-11,3.77,]
1980-12,4.04,]
1981-01,, 
1981-02,, 
1981-03,3.65,]
1981-04,4.8,]
1981-05,6.37,]
1981-06,7.56,]
1981-07,9.41,]
1981-08,, 
1981-09,9.98,]
1981-10,5.05,]
1981-11,4.71,]
1981-12,2.17,]
1982-01,, 
1982-02,, 
1982-03,4.67,]
1982-04,5.32,]
1982-05,7.3,]
1982-06,8.5,]
1982-07,10.58,]
1982-08,10.28,]
1982-09,, 
1982-10,8.06,]
1982-11,5.27,]
1982-12,3.66,]
1983-01,3.58,]
1983-02,3.22,]
1983-03,, 
1983-04,, 
1983-05,, 
1983-06,, 
1983-07,, 
1983-08,, 
1983-09,7.9,]
1983-10,7.05,]
1983-11,5.53,]
1983-12,4.63,]
1984-01,, 
1984-02,, 
1984-03,3.56,]
1984-04,, 
1984-05,7.0,]
1984-06,8.87,]
1984-07,10.39,]
1984-08,11.1,]
1984-09,9.16,]
1984-10,7.89,]
1984-11,6.53,]
1984-12,6.2,]
1985-01,2.81,]
1985-02,4.27,]
1985-03,3.16,]
1985-04,4.52,]
1985-05,6.64,]
1985-06,8.14,]
1985-07,10.2,]
1985-08,10.55,]
1985-09,8.14,]
1985-10,8.83,]
1985-11,, 
1985-12,, 
1986-01,, 
1986-02,, 
1986-03,5.25,]
1986-04,4.36,]
1986-05,6.75,]
1986-06,, 
1986-07,, 
1986-08,9.48,]
1986-09,8.12,]
1986-10,7.04,]
1986-11,5.75,]
1986-12,4.21,]
1987-01,3.67,]
1987-02,, 
1987-03,3.23,]
1987-04,5.84,]
1987-05,, 
1987-06,7.64,]
1987-07,10.09,]
1987-08,, 
1987-09,9.2,]
1987-10,, 
1987-11,, 
1987-12,, 
1988-01,3.46,]
1988-02,3.35,]
1988-03,, 
1988-04,, 
1988-05,6.72,]
1988-06,8.7,]
1988-07,, 
1988-08,, 
1988-09,9.23,]
1988-10,7.61,]
1988-11,5.64,]
1988-12,5.57,]
1989-01,, 
1989-02,3.64,]
1989-03,3.92,]
1989-04,4.49,]
1989-05,, 
1989-06,8.19,]
1989-07,9.98,]
1989-08,9.8,]
1989-09,9.28,]
1989-10,, 
1989-11,, 
1989-12,4.66,]
1990-01,, 
1990-02,, 
1990-03,, 
1990-04,, 
1990-05,, 
1990-06,9.02,]
1990-07,, 
1990-08,, 
1990-09,, 
1990-10,, 
1990-11,, 
1990-12,4.82,]
1991-01,, 
1991-02,4.14,]
1991-03,5.67,]
1991-04,, 
1991-05,, 
1991-06,7.59,]
1991-07,, 
1991-08,, 
1991-09,, 
1991-10,7.64,]
1991-11,, 
1991-12,, 
1992-01,6.15,]
1992-02,, 
1992-03,, 
1992-04,, 
1992-05,, 
1992-06,9.45,]
1992-07,9.39,]
1992-08,, 
1992-09,8.92,]
1992-10,6.58,]
1992-11,5.66,]
1992-12,4.85,]
1993-01,, 
1993-02,, 
1993-03,, 
1993-04,,]
1993-05,, 
1993-06,,]
1993-07,6.01,]
1993-08,6.6,]
1993-09,8.17,]
1993-10,, 
1993-11,, 
1993-12,3.49,]
1994-01,, 
1994-02,4.22,]
1994-03,3.38,]
1994-04,4.5,]
1994-05,6.5,]
1994-06,, 
1994-07,, 
1994-08,, 
1994-09,8.69,]
1994-10,6.98,]
1994-11,7.43,]
1994-12,4.77,]
1995-01,, 
1995-02,, 
1995-03,, 
1995-04,, 
1995-05,,]
1995-06,, 
1995-07,,]
1995-08,7.64,]
1995-09,,]
1995-10,, 
1995-11,,]
1995-12,,]
1996-01,,]
1996-02,,]
1996-03,, 
1996-04,,]
1996-05,,]
1996-06,,]
1996-07,7.12,]
1996-08,,]
1996-09,, 
1996-10,, 
1996-11,,]
1996-12,,]
1997-01,,]
1997-02,, 
1997-03,, 
1997-04,, 
1997-05,, 
1997-06,,]
1997-07,, 
1997-08,,]
1997-09,,]
1997-10,, 
1997-11,, 
1997-12,, 
2004-01,, 
2004-02,, 
2004-03,, 
2004-04,, 
2004-05,, 
2004-06,, 
2004-07,, 
2004-08,, 
2004-09,, 
2004-10,, 
2004-11,5.74,]
2004-12,5.43,]
2005-01,4.44,]
2005-02,3.64,]
2005-03,4.75,]
2005-04,5.52,]
2005-05,5.45,]
2005-06,8.53,]
2005-07,10.1,]
2005-08,10.73,]
2005-09,9.11,]
2005-10,8.24,]
2005-11,, 
2005-12,6.08,]
2006-01,6.51,]
2006-02,5.21,]
2006-03,3.36,]
2006-04,4.6,]
2006-05,6.33,]
2006-06,9.23,]
2006-07,11.09,]
2006-08,10.81,]
2006-09,11.04,]
2006-10,8.14,]
2006-11,6.75,]
2006-12,6.66,]
2007-01,4.43,]
2007-02,4.59,]
2007-03,5.71,]
2007-04,6.81,]
2007-05,, 
2007-06,8.48,]
2007-07,9.93,]
2007-08,10.22,]
2007-09,9.06,]
2007-10,8.74,]
2007-11,5.52,]
2007-12,5.94,]
2008-01,4.3,]
2008-02,5.23,]
2008-03,3.69,]
2008-04,5.18,]
2008-05,8.43,]
2008-06,8.87,]
2008-07,10.43,]
2008-08,10.78,]
2008-09,10.2,]
2008-10,6.88,]
2008-11,5.63,]
2008-12,5.19,]
2009-01,5.28,]
