Date [YYYY-MM],Temperature [°C],QCFLAG
1866-01,-14.96,""""
1866-02,-13.46,""""
1866-03,-8.56,""""
1866-04,-4.96,""""
1866-05,1.54,""""
1866-06,3.54,""""
1866-07,5.44,""""
1866-08,4.54,""""
1866-09,0.64,""""
1866-10,-6.26,""""
1866-11,-7.26,""""
1866-12,-10.96,""""
1867-01,-6.26,""""
1867-02,-13.16,""""
1867-03,-7.66,""""
1867-04,-4.46,""""
1867-05,0.54,""""
1867-06,3.44,""""
1867-07,5.94,""""
1867-08,4.94,""""
1867-09,1.04,""""
1867-10,-2.36,""""
1867-11,-3.16,""""
1867-12,-7.96,""""
1868-01,-9.86,""""
1868-02,-16.46,""""
1868-03,-12.26,""""
1868-04,-3.36,""""
1868-05,0.54,""""
1868-06,1.74,""""
1868-07,4.34,""""
1868-08,4.64,""""
1868-09,1.64,""""
1868-10,-4.56,""""
1868-11,-5.86,""""
1868-12,-9.06,""""
1869-01,-12.66,""""
1869-02,-14.86,""""
1869-03,-6.16,""""
1869-04,-6.46,""""
1869-05,2.14,""""
1869-06,4.84,""""
1869-07,6.04,""""
1869-08,4.84,""""
1869-09,2.04,""""
1869-10,0.14,""""
1869-11,-5.36,""""
1869-12,-10.16,""""
1870-01,-10.56,""""
1870-02,-8.16,""""
1870-03,-9.56,""""
1870-04,-7.46,""""
1870-05,-0.06,""""
1870-06,2.94,""""
1870-07,5.84,""""
1870-08,6.84,""""
1870-09,0.64,""""
1870-10,-2.86,""""
1870-11,-0.56,""""
1870-12,-4.26,""""
1871-01,-11.26,""""
1871-02,-7.26,""""
1871-03,-11.96,""""
1871-04,-3.16,""""
1871-05,1.34,""""
1871-06,5.24,""""
1871-07,6.54,""""
1871-08,6.14,""""
1871-09,3.24,""""
1871-10,-1.06,""""
1871-11,-1.16,""""
1871-12,-4.56,""""
1872-01,-7.66,""""
1872-02,-5.06,""""
1872-03,-5.56,""""
1872-04,-1.86,""""
1872-05,1.34,""""
1872-06,4.24,""""
1872-07,7.04,""""
1872-08,7.34,""""
1872-09,4.54,""""
1872-10,-0.46,""""
1872-11,-4.76,""""
1872-12,-7.26,""""
1873-01,-12.66,""""
1873-02,-8.26,""""
1873-03,-10.36,""""
1873-04,-2.86,""""
1873-05,2.24,""""
1873-06,3.64,""""
1873-07,7.24,""""
1873-08,5.04,""""
1873-09,1.84,""""
1873-10,-2.66,""""
1873-11,-3.96,""""
1873-12,-10.16,""""
1874-01,-13.66,""""
1874-02,-9.26,""""
1874-03,-8.36,""""
1874-04,-5.06,""""
1874-05,1.54,""""
1874-06,3.54,""""
1874-07,5.84,""""
1874-08,5.24,""""
1874-09,1.94,""""
1874-10,-3.76,""""
1874-11,-4.36,""""
1874-12,-5.36,""""
1875-01,-7.16,""""
1875-02,-8.66,""""
1875-03,-12.66,""""
1875-04,-2.76,""""
1875-05,-1.16,""""
1875-06,2.94,""""
1875-07,6.14,""""
1875-08,4.84,""""
1875-09,2.74,""""
1875-10,-1.16,""""
1875-11,-2.06,""""
1875-12,-6.56,""""
1876-01,-11.66,""""
1876-02,-9.86,""""
1876-03,-8.06,""""
1876-04,-3.56,""""
1876-05,0.34,""""
1876-06,4.14,""""
1876-07,5.74,""""
1876-08,5.54,""""
1876-09,3.24,""""
1876-10,-0.56,""""
1876-11,-4.26,""""
1876-12,-5.16,""""
1877-01,-15.06,""""
1877-02,-10.26,""""
1877-03,-7.36,""""
1877-04,-3.46,""""
1877-05,1.44,""""
1877-06,4.64,""""
1877-07,5.94,""""
1877-08,7.14,""""
1877-09,4.94,""""
1877-10,-1.96,""""
1877-11,-6.56,""""
1877-12,-9.06,""""
1878-01,-8.26,""""
1878-02,-7.96,""""
1878-03,-6.56,""""
1878-04,-3.76,""""
1878-05,0.34,""""
1878-06,4.34,""""
1878-07,7.14,""""
1878-08,5.34,""""
1878-09,1.44,""""
1878-10,-2.16,""""
1878-11,0.64,""""
1878-12,-1.46,""""
1879-01,-7.06,""""
1879-02,-9.26,""""
1879-03,-9.76,""""
1879-04,-1.46,""""
1879-05,0.24,""""
1879-06,3.74,""""
1879-07,5.74,""""
1879-08,6.14,""""
1879-09,0.54,""""
1879-10,-1.46,""""
1879-11,-3.76,""""
1879-12,-10.86,""""
1880-01,-12.46,""""
1880-02,-14.86,""""
1880-03,-9.26,""""
1880-04,-4.26,""""
1880-05,-0.46,""""
1880-06,4.24,""""
1880-07,7.34,""""
1880-08,5.64,""""
1880-09,2.74,""""
1880-10,2.14,""""
1880-11,-4.76,""""
1880-12,-6.96,""""
1881-01,-3.26,""""
1881-02,-8.56,""""
1881-03,-7.16,""""
1881-04,-0.36,""""
1881-05,1.44,""""
1881-06,3.94,""""
1881-07,4.74,""""
1881-08,4.14,""""
1881-09,1.24,""""
1881-10,-2.36,""""
1881-11,-5.76,""""
1881-12,-10.16,""""
1882-01,-15.66,""""
1882-02,-12.36,""""
1882-03,-13.26,""""
1882-04,-5.56,""""
1882-05,0.14,""""
