Date [YYYY-MM],Temperature [°C],QCFLAG
1961-01,, 
1961-02,-24.9,E
1961-03,-26.16,E
1961-04,-19.18,E
1961-05,-5.2,E
1961-06,2.55,E
1961-07,, 
1961-08,, 
1961-09,0.44,E
1961-10,, 
1961-11,, 
1961-12,, 
1962-01,, 
1962-02,, 
1962-03,, 
1962-04,, 
1962-05,, 
1962-06,, 
1962-07,, 
1962-08,5.46,E
1962-09,-0.76,E
1962-10,-11.28,E
1962-11,-15.97,E
1962-12,-18.68,E
1963-01,-21.31,E
1963-02,-26.06,E
1963-03,-20.09,E
1963-04,-12.51,E
1963-05,-3.67,E
1963-06,1.31,E
1963-07,4.85,E
1963-08,5.57,E
1963-09,-0.45,E
1963-10,-7.29,E
1963-11,-19.02,E
1963-12,-21.2,E
1964-01,-20.4,E
1964-02,-21.7,E
1964-03,-16.87,E
1964-04,-13.37,E
1964-05,-6.68,E
1964-06,0.83,E
1964-07,5.07,E
1964-08,5.54,E
1964-09,-1.61,E
1964-10,-7.79,E
1964-11,-19.59,E
1964-12,-17.01,E
1965-01,-23.5,E
1965-02,-17.37,E
1965-03,-23.69,E
1965-04,-12.39,E
1965-05,-3.32,E
1965-06,2.21,E
1965-07,6.48,E
1965-08,6.33,E
1965-09,-0.01,E
1965-10,-7.11,E
1965-11,-17.4,E
1965-12,-24.94,E
1966-01,-25.46,E
1966-02,-24.5,E
1966-03,-25.77,E
1966-04,-13.65,E
1966-05,-7.33,E
1966-06,3.81,E
1966-07,6.09,E
1966-08,7.25,E
1966-09,0.48,E
1966-10,-11.1,E
1966-11,-18.55,E
1966-12,-18.39,E
1967-01,-27.08,E
1967-02,-21.87,E
1967-03,-22.89,E
1967-04,-12.88,E
1967-05,-2.22,E
1967-06,4.18,E
1967-07,6.36,E
1967-08,4.98,E
1967-09,0.33,E
1967-10,-11.25,E
1967-11,-17.5,E
1967-12,-18.81,E
1968-01,-25.78,E
1968-02,-27.03,E
1968-03,-26.46,E
1968-04,-13.63,E
1968-05,-6.04,E
1968-06,3.72,E
1968-07,6.04,E
1968-08,5.11,E
1968-09,-0.81,E
1968-10,-12.78,E
1968-11,-17.34,E
1968-12,-21.97,E
1969-01,-23.94,E
1969-02,-24.3,E
1969-03,-26.55,E
1969-04,-18.51,E
1969-05,-5.31,E
1969-06,2.52,E
1969-07,5.25,E
1969-08,6.3,E
1969-09,0.08,E
1969-10,-11.47,E
1969-11,-16.84,E
1969-12,-21.08,E
1970-01,-20.76,E
1970-02,-28.97,E
1970-03,-20.35,E
1970-04,-15.19,E
1970-05,-3.09,E
1970-06,2.38,E
1970-07,5.36,E
1970-08,4.64,E
1970-09,0.73,E
1970-10,-8.07,E
1970-11,-18.29,E
1970-12,-19.83,E
1971-01,-26.73,E
1971-02,-17.88,E
1971-03,-25.38,E
1971-04,-15.82,E
1971-05,-6.14,E
1971-06,2.91,E
1971-07,6.53,E
1971-08,6.17,E
1971-09,-1.14,E
1971-10,-12.4,E
1971-11,-23.67,E
1971-12,-17.42,E
1972-01,-14.12,E
1972-02,-26.45,E
1972-03,-17.29,E
1972-04,-15.94,E
1972-05,-2.98,E
1972-06,2.08,E
1972-07,6.58,E
1972-08,5.78,E
1972-09,0.26,E
1972-10,-7.34,E
1972-11,-13.84,E
1972-12,-22.61,E
1973-01,-16.46,E
1973-02,-29.74,E
1973-03,-22.48,E
1973-04,-18.46,E
1973-05,-6.3,E
1973-06,1.53,E
1973-07,5.98,E
1973-08,7.4,E
1973-09,-0.9,E
1973-10,-14.16,E
1973-11,-24.04,E
1973-12,-24.09,E
1974-01,-12.96,E
1974-02,-26.54,E
1974-03,-19.77,E
1974-04,-14.45,E
1974-05,-4.47,E
1974-06,1.05,E
1974-07,3.98,E
1974-08,5.54,E
1974-09,-2.22,E
1974-10,-11.85,E
1974-11,-15.72,E
1974-12,-24.97,E
1975-01,-30.4,E
1975-02,-23.59,E
1975-03,-24.65,E
1975-04,-15.22,E
1975-05,-6.56,E
1975-06,-0.21,E
1975-07,4.98,E
1975-08,6.23,E
1975-09,-0.59,E
1975-10,-10.06,E
