Date [YYYY-MM],Temperature [°C],QCFLAG
1931-01,-17.29,w
1931-02,-17.7,w
1931-03,-18.7,w
1931-04,-8.0,w
1931-05,-5.1,w
1931-06,2.1,w
1931-07,5.6,w
1931-08,, 
1931-09,, 
1931-10,-7.7,w
1931-11,-8.2,w
1931-12,, 
1932-01,-16.0,w
1932-02,, 
1932-03,-13.6,w
1932-04,, 
1932-05,, 
1932-06,, 
1932-07,,w
1932-08,, 
1932-09,, 
1932-10,-7.9,w
1932-11,-14.1,w
1932-12,-12.7,w
1933-01,-10.6,w
1933-02,-14.6,w
1933-03,-9.89,w
1933-04,-12.0,w
1933-05,-1.8,w
1933-06,,w
1933-07,,w
1933-08,, 
1933-09,2.1,w
1933-10,-5.7,w
1933-11,-6.2,w
1933-12,-7.6,w
1934-01,-14.7,w
1934-02,, 
1934-03,-13.2,w
1934-04,-9.39,w
1934-05,-3.3,w
1934-06,,w
1934-07,,w
1934-08,, 
1934-09,2.3,w
1934-10,-5.1,w
1934-11,-11.6,w
1934-12,-8.8,w
1935-01,-11.5,w
1935-02,-17.1,w
1935-03,-11.0,w
1935-04,-13.1,w
1935-05,-3.7,w
1935-06,1.5,w
1935-07,4.4,w
1935-08,3.9,w
1935-09,-0.7,w
1935-10,-6.0,w
1935-11,-5.9,w
1935-12,-12.3,w
1936-01,-22.6,w
1936-02,-19.79,w
1936-03,-20.0,w
1936-04,-9.2,w
1936-05,,w
1936-06,,w
1936-07,,w
1936-08,, 
1936-09,2.2,w
1936-10,-4.1,w
1936-11,-10.0,w
1936-12,-17.6,w
1948-01,-20.0,w
1948-02,-15.3,w
1948-03,-14.7,w
1948-04,-10.8,w
1948-05,-3.7,w
1948-06,2.1,w
1948-07,5.0,w
1948-08,4.8,w
1948-09,1.3,w
1948-10,-7.2,w
1948-11,-15.9,w
1948-12,-16.79,w
1949-01,-12.2,w
1949-02,-14.1,w
1949-03,-17.0,w
1949-04,-14.1,w
1949-05,-4.4,w
1949-06,2.8,w
1949-07,5.4,w
1949-08,4.5,w
1949-09,1.3,w
1949-10,-9.8,w
1949-11,-12.3,w
1949-12,-17.6,w
1950-01,-12.2,w
1950-02,-21.1,w
1950-03,-20.1,w
1950-04,-12.9,w
1950-05,-4.1,w
1950-06,0.8,w
1950-07,3.0,w
1950-08,3.0,w
1950-09,0.3,w
1950-10,-5.4,w
1950-11,-8.5,w
1950-12,-14.7,w
1951-01,-17.79,w
1951-02,-14.6,w
1951-03,-19.9,w
1951-04,-16.1,w
1951-05,-4.1,w
1951-06,1.3,w
1951-07,2.7,w
1951-08,3.2,w
1951-09,-0.2,w
1951-10,-8.2,w
1951-11,-19.2,w
1951-12,-16.9,w
1952-01,-14.5,w
1952-02,-17.0,w
1952-03,-16.4,w
1952-04,-10.4,w
1952-05,-2.6,w
1952-06,0.8,w
1952-07,2.4,w
1952-08,1.6,w
1952-09,-0.5,w
1952-10,-3.4,w
1952-11,-9.7,w
1952-12,-14.2,w
1953-01,-18.0,w
1953-02,-20.8,w
1953-03,-18.5,w
1953-04,-12.2,w
1953-05,-3.4,w
