Date [YYYY-MM],Temperature [°C],QCFLAG
1884-01,-0.32,""""
1884-02,1.48,""""
1884-03,3.08,""""
1884-04,4.48,""""
1884-05,4.88,""""
1884-06,7.78,""""
1884-07,10.08,""""
1884-08,9.28,""""
1884-09,7.38,""""
1884-10,3.18,""""
1884-11,1.28,""""
1884-12,0.68,""""
1885-01,1.88,""""
1885-02,-3.02,""""
1885-03,-0.82,""""
1885-04,3.28,""""
1885-05,5.58,""""
1885-06,6.88,""""
1885-07,8.68,""""
1885-08,8.88,""""
1885-09,6.88,""""
1885-10,2.88,""""
1885-11,1.68,""""
1885-12,-0.62,""""
1886-01,-3.02,""""
1886-02,0.28,""""
1886-03,0.98,""""
1886-04,2.18,""""
1886-05,5.68,""""
1886-06,7.88,""""
1886-07,9.68,""""
1886-08,8.88,""""
1886-09,7.28,""""
1886-10,5.08,""""
1886-11,1.88,""""
1886-12,-2.52,""""
1887-01,-0.52,""""
1887-02,0.08,""""
1887-03,0.48,""""
1887-04,1.78,""""
1887-05,5.48,""""
1887-06,8.98,""""
1887-07,9.88,""""
1887-08,9.08,""""
1887-09,6.88,""""
1887-10,3.38,""""
1887-11,-0.52,""""
1887-12,-2.42,""""
1888-01,0.48,""""
1888-02,-0.12,""""
1888-03,-1.12,""""
1888-04,2.78,""""
1888-05,3.68,""""
1888-06,7.48,""""
1888-07,9.58,""""
1888-08,9.08,""""
1888-09,7.48,""""
1888-10,3.88,""""
1888-11,1.68,""""
1888-12,0.48,""""
1889-01,-0.12,""""
1889-02,-1.22,""""
1889-03,1.58,""""
1889-04,3.18,""""
1889-05,8.38,""""
1889-06,9.28,""""
1889-07,11.58,""""
1889-08,11.08,""""
1889-09,7.68,""""
1889-10,5.58,""""
1889-11,2.78,""""
1889-12,1.08,""""
1890-01,0.18,""""
1890-02,2.38,""""
1890-03,0.68,""""
1890-04,4.88,""""
1890-05,,""""
1890-06,8.48,""""
1890-07,10.78,""""
1890-08,10.08,""""
1890-09,7.48,""""
1890-10,3.88,""""
1890-11,1.98,""""
1890-12,2.28,""""
1891-01,0.68,""""
1891-02,1.88,""""
1891-03,-3.72,""""
1891-04,4.28,""""
1891-05,6.08,""""
1891-06,10.08,""""
1891-07,11.48,""""
1891-08,9.88,""""
1891-09,7.18,""""
1891-10,5.58,""""
1891-11,1.78,""""
1891-12,0.08,""""
1892-01,-1.62,""""
1892-02,-1.42,""""
1892-03,-0.92,""""
1892-04,2.78,""""
1892-05,4.88,""""
1892-06,8.18,""""
1892-07,9.08,""""
1892-08,8.88,""""
