Date [YYYY-MM],Temperature [°C],QCFLAG
1982-01,, 
1982-02,2.1,]
1982-03,, 
1982-04,3.35,]
1982-05,, 
1982-06,, 
1982-07,, 
1982-08,, 
1982-09,5.45,]
1982-10,, 
1982-11,, 
1982-12,, 
1985-01,, 
1985-02,, 
1985-03,, 
1985-04,, 
1985-05,5.64,]
1985-06,, 
1985-07,, 
1985-08,7.56,]
1985-09,, 
1985-10,, 
1985-11,, 
1985-12,, 
1987-01,, 
1987-02,, 
1987-03,-0.78,]
1987-04,, 
1987-05,, 
1987-06,7.05,]
1987-07,, 
1987-08,, 
1987-09,, 
1987-10,, 
1987-11,, 
1987-12,, 
1988-01,, 
1988-02,, 
1988-03,, 
1988-04,, 
1988-05,, 
1988-06,, 
1988-07,, 
1988-08,10.18,]
1988-09,5.83,]
1988-10,, 
1988-11,, 
1988-12,, 
1989-01,, 
1989-02,-4.09,]
1989-03,-2.9,]
1989-04,1.2,]
1989-05,, 
1989-06,, 
1989-07,11.77,]
1989-08,, 
1989-09,, 
1989-10,3.02,]
1989-11,, 
1989-12,, 
1990-01,, 
1990-02,, 
1990-03,, 
1990-04,-0.77,]
1990-05,, 
1990-06,, 
1990-07,, 
1990-08,, 
1990-09,, 
1990-10,, 
1990-11,, 
1990-12,, 
1991-01,-0.11,]
1991-02,-0.64,]
1991-03,, 
1991-04,, 
1991-05,7.41,]
1991-06,7.28,]
1991-07,, 
1991-08,, 
1991-09,6.69,]
1991-10,, 
1991-11,, 
1991-12,, 
1992-01,, 
1992-02,, 
1992-03,, 
1992-04,, 
1992-05,, 
1992-06,, 
1992-07,9.15,]
1992-08,8.54,]
1992-09,6.47,]
1992-10,, 
1992-11,, 
1992-12,, 
1993-01,-5.64,]
1993-02,-0.99,]
1993-03,, 
1993-04,, 
1993-05,, 
1993-06,6.96,]
1993-07,, 
1993-08,, 
1993-09,, 
1993-10,, 
1993-11,, 
1993-12,, 
1994-01,, 
1994-02,-0.14,]
1994-03,-3.34,]
1994-04,, 
1994-05,, 
1994-06,, 
1994-07,, 
1994-08,, 
1994-09,, 
1994-10,, 
1994-11,, 
1994-12,, 
1995-01,, 
1995-02,-4.2,]
1995-03,, 
1995-04,, 
1995-05,, 
1995-06,, 
1995-07,, 
1995-08,, 
1995-09,, 
1995-10,, 
1995-11,, 
1995-12,-1.0,]
1996-01,, 
1996-02,-2.98,]
1996-03,2.15,]
1996-04,1.83,]
1996-05,4.37,]
1996-06,8.65,]
1996-07,10.72,]
1996-08,9.73,]
1996-09,10.74,]
1996-10,2.91,]
1996-11,-5.25,]
1996-12,-4.26,]
1997-01,-2.33,]
1997-02,-2.83,]
1997-03,-1.76,]
1997-04,1.82,]
1997-05,3.88,]
1997-06,7.37,]
1997-07,12.07,]
1997-08,10.85,]
1997-09,7.11,]
1997-10,2.61,]
1997-11,2.11,]
1997-12,-0.51,]
1998-01,, 
1998-02,-3.72,]
1998-03,-3.78,]
1998-04,-0.26,]
1998-05,, 
1998-06,, 
1998-07,, 
1998-08,, 
1998-09,6.17,]
1998-10,, 
1998-11,, 
1998-12,, 
1999-01,, 
1999-02,-2.31,]
1999-03,, 
1999-04,, 
1999-05,, 
1999-06,9.34,]
1999-07,, 
1999-08,11.28,]
1999-09,, 
1999-10,, 
1999-11,, 
1999-12,, 
2000-01,, 
2000-02,-2.78,]
2000-03,-0.99,]
2000-04,, 
2000-05,, 
2000-06,, 
2000-07,, 
2000-08,, 
2000-09,8.47,]
2000-10,4.1,]
2000-11,0.04,]
2000-12,-1.28,]
2001-01,0.79,]
2001-02,-1.02,]
2001-03,, 
2001-04,, 
2001-05,, 
2001-06,, 
2001-07,, 
2001-08,9.31,]
2001-09,8.03,]
2001-10,, 
2001-11,0.66,]
2001-12,-0.42,]
2002-01,, 
2002-02,-4.54,]
2002-03,-3.23,]
2002-04,, 
2002-05,, 
2002-06,, 
2002-07,10.81,]
2002-08,10.22,]
2002-09,8.66,]
2002-10,, 
2002-11,3.12,]
2002-12,1.57,]
2003-01,-2.82,]
2003-02,1.59,]
2003-03,3.24,]
2003-04,4.94,]
2003-05,4.21,]
2003-06,8.77,]
2003-07,10.89,]
2003-08,12.39,]
2003-09,7.68,]
2003-10,, 
2003-11,0.55,]
2003-12,-2.43,]
