Date [YYYY-MM],Temperature [°C],QCFLAG
1943-01,, 
1943-02,, 
1943-03,1.37,S
1943-04,, 
1943-05,3.71,S
1943-06,8.16,S
1943-07,9.52,S
1943-08,8.32,S
1943-09,6.81,S
1943-10,3.42,S
1943-11,1.44,S
1943-12,1.63,S
1944-01,-2.28,S
1944-02,-0.01,S
1944-03,0.64,S
1944-04,2.93,S
1944-05,5.38,S
1944-06,8.39,S
1944-07,11.21,S
1944-08,10.32,S
1944-09,6.97,S
1944-10,3.71,S
1944-11,-0.53,S
1944-12,-0.53,S
1945-01,-3.15,S
1945-02,-0.82,S
1945-03,3.05,S
1945-04,2.98,S
1945-05,5.81,S
1945-06,7.94,S
1945-07,10.0,S
1945-08,10.06,S
1945-09,8.04,S
1945-10,5.75,S
1945-11,5.13,S
1945-12,1.14,S
1946-01,1.84,S
1946-02,-0.37,S
1946-03,2.14,S
1946-04,2.35,S
1946-05,7.36,S
1946-06,7.36,S
1946-07,9.28,S
1946-08,9.44,S
1946-09,7.37,S
1946-10,6.72,S
1946-11,0.9,S
1946-12,2.04,S
1947-01,2.26,S
1947-02,-1.96,S
1947-03,-2.53,S
1947-04,, 
1947-05,, 
1947-06,, 
1947-07,, 
1947-08,, 
1947-09,, 
1947-10,, 
1947-11,, 
1947-12,, 
1949-01,-2.82,_
1949-02,-0.37,_
1949-03,-0.12,_
1949-04,-0.31,_
1949-05,3.03,_
1949-06,9.23,_
1949-07,9.68,_
1949-08,9.43,_
1949-09,8.27,_
1949-10,4.53,_
1949-11,2.28,_
1949-12,-1.31,_
1950-01,2.38,_
1950-02,-1.07,_
1950-03,1.18,_
1950-04,1.48,_
1950-05,6.08,_
1950-06,8.37,_
1950-07,11.38,_
1950-08,11.48,_
1950-09,6.62,_
1950-10,3.78,_
1950-11,0.63,_
1950-12,-1.97,_
1951-01,-1.67,_
1951-02,-1.47,_
1951-03,-3.32,_
1951-04,-0.87,_
1951-05,6.18,_
1951-06,8.87,_
1951-07,9.87,_
1951-08,10.73,_
1951-09,8.89,X
1951-10,4.88,X
1951-11,0.93,X
1951-12,-1.48,X
1952-01,-3.43,X
1952-02,-0.54,X
1952-03,0.46,X
1952-04,2.57,X
1952-05,5.38,X
1952-06,7.57,X
1952-07,9.53,X
1952-08,9.18,X
1952-09,6.61,X
1952-10,4.42,X
1952-11,1.9,X
1952-12,0.34,X
1953-01,-0.16,X
1953-02,1.07,X
1953-03,1.41,X
1953-04,-0.91,X
1953-05,5.44,X
1953-06,8.67,X
1953-07,10.47,X
1953-08,10.01,X
1953-09,8.47,X
1953-10,3.31,X
1953-11,1.11,X
1953-12,1.4,X
1954-01,1.08,X
1954-02,-0.95,X
1954-03,0.52,X
1954-04,3.19,X
1954-05,6.05,X
1954-06,8.5,X
1954-07,8.99,X
1954-08,9.57,X
