Date [YYYY-MM],Temperature [°C],QCFLAG
1943-01,-2.95,k
1943-02,0.11,k
1943-03,2.16,k
1943-04,2.34,k
1943-05,6.68,k
1943-06,10.85,k
1943-07,13.01,k
1943-08,11.12,k
1943-09,9.1,k
1943-10,7.27,k
1943-11,1.98,k
1943-12,2.3,k
1944-01,-0.08,k
1944-02,0.53,k
1944-03,-0.96,k
1944-04,-0.09,k
1944-05,4.6,k
1944-06,9.62,k
1944-07,12.91,k
1944-08,11.31,k
1944-09,9.42,k
1944-10,7.25,k
1944-11,1.93,k
1944-12,2.14,k
1945-01,-3.27,k
1945-02,0.31,k
1945-03,1.18,k
1945-04,3.68,k
1945-05,6.6,k
1945-06,10.18,k
1945-07,14.3,k
1945-08,13.28,k
1945-09,8.62,k
1945-10,3.12,k
1945-11,3.03,k
1945-12,-0.67,k
1946-01,1.51,k
1946-02,-4.07,k
1946-03,-0.71,k
1946-04,3.16,k
1946-05,6.54,k
1946-06,11.13,k
1946-07,13.63,k
1946-08,13.95,k
1946-09,11.46,k
1946-10,6.26,k
1946-11,1.24,k
1946-12,2.98,k
1947-01,-0.46,k
1947-02,-6.02,k
1947-03,-4.65,k
1947-04,1.56,k
1947-05,6.32,k
1947-06,11.37,k
1947-07,15.03,k
1947-08,12.24,k
1947-09,9.92,k
1947-10,3.9,k
1947-11,-0.03,k
1947-12,-1.54,k
1948-01,-4.58,k
1948-02,1.02,k
1948-03,2.87,k
1948-04,4.18,k
1948-05,6.51,k
1948-06,8.95,k
1948-07,15.24,k
1948-08,10.37,k
1948-09,9.13,k
1948-10,4.05,k
1948-11,2.39,k
1948-12,3.18,k
1949-01,0.19,k
1949-02,1.46,k
1949-03,-1.1,k
1949-04,2.38,k
1949-05,7.28,k
1949-06,10.13,k
1949-07,10.52,k
1949-08,9.96,k
1949-09,10.88,k
1949-10,4.7,k
1949-11,4.44,k
1949-12,0.33,k
1950-01,-2.2,k
1950-02,-1.23,k
1950-03,0.36,k
1950-04,4.04,k
1950-05,5.22,k
1950-06,10.82,k
1950-07,13.77,k
1950-08,15.63,k
1950-09,10.64,k
1950-10,6.75,k
1950-11,2.12,k
1950-12,-0.44,k
1951-01,-2.28,k
1951-02,0.0,k
1951-03,-2.45,k
1951-04,, 
1951-05,3.95,k
1951-06,7.99,k
1951-07,10.21,k
1951-08,15.22,k
1951-09,10.55,k
1951-10,7.95,k
1951-11,-0.14,k
1951-12,1.16,k
1952-01,-0.86,k
1952-02,-1.58,k
1952-03,-1.23,k
1952-04,3.92,k
1952-05,6.31,k
1952-06,10.48,k
1952-07,12.31,k
