Date [YYYY-MM],Temperature [°C],QCFLAG
1951-01,-1.21,E
1951-02,0.59,E
1951-03,0.09,E
1951-04,2.96,E
1951-05,5.11,E
1951-06,8.04,E
1951-07,10.8,E
1951-08,14.16,E
1951-09,11.51,E
1951-10,9.34,E
1951-11,2.71,E
1951-12,3.31,E
1952-01,0.52,E
1952-02,0.54,E
1952-03,0.07,E
1952-04,5.13,E
1952-05,6.77,E
1952-06,9.87,E
1952-07,11.82,E
1952-08,10.95,E
1952-09,7.81,E
1952-10,5.09,E
1952-11,2.25,E
1952-12,-0.01,E
1953-01,1.75,E
1953-02,-1.92,E
1953-03,3.81,E
1953-04,3.79,E
1953-05,6.59,E
1953-06,13.6,E
1953-07,14.21,E
1953-08,13.92,E
1953-09,10.73,E
1953-10,9.0,E
1953-11,5.73,E
1953-12,4.16,E
1954-01,0.44,E
1954-02,-1.26,E
1954-03,1.6,E
1954-04,3.18,E
1954-05,9.36,E
1954-06,9.29,E
1954-07,13.28,E
1954-08,12.48,E
1954-09,10.3,E
1954-10,6.39,E
1954-11,3.68,E
1954-12,3.42,E
1955-01,0.52,E
1955-02,-0.48,E
1955-03,1.07,E
1955-04,1.83,E
1955-05,4.66,E
1955-06,8.13,E
1955-07,12.19,E
1955-08,13.32,E
1955-09,11.83,E
1955-10,6.25,E
1955-11,3.95,E
1955-12,-1.25,E
1956-01,0.0,E
1956-02,-1.6,E
1956-03,2.35,E
1956-04,2.69,E
1956-05,7.04,E
1956-06,9.04,E
1956-07,12.14,E
1956-08,11.69,E
1956-09,9.32,E
1956-10,6.71,E
1956-11,2.6,E
1956-12,2.26,E
1957-01,2.26,E
1957-02,0.01,E
1957-03,0.96,E
1957-04,3.84,E
1957-05,5.8,E
1957-06,8.24,E
1957-07,12.64,E
1957-08,11.95,E
1957-09,10.1,E
1957-10,6.74,E
1957-11,4.93,E
1957-12,2.27,E
1958-01,-1.0,E
1958-02,-3.42,E
1958-03,-1.51,E
1958-04,3.73,E
1958-05,6.14,E
1958-06,9.49,E
1958-07,11.45,E
1958-08,13.31,E
1958-09,11.96,E
1958-10,9.15,E
1958-11,6.78,E
1958-12,0.13,E
1959-01,-1.26,E
1959-02,4.16,E
1959-03,4.56,E
1959-04,4.56,E
1959-05,7.0,E
1959-06,10.08,E
1959-07,12.29,E
1959-08,13.04,E
1959-09,10.06,E
1959-10,8.27,E
1959-11,5.36,E
1959-12,2.4,E
1960-01,0.06,E
1960-02,-1.36,E
1960-03,3.48,E
1960-04,5.06,E
1960-05,7.77,E
1960-06,9.93,E
1960-07,13.82,E
1960-08,13.73,E
1960-09,11.57,E
1960-10,5.03,E
1960-11,2.77,E
1960-12,1.27,E
1961-01,1.52,E
1961-02,2.65,E
1961-03,2.45,E
1961-04,3.27,E
1961-05,7.51,E
1961-06,10.51,E
1961-07,12.68,E
1961-08,12.87,E
1961-09,11.47,E
1961-10,10.23,E
1961-11,5.78,E
1961-12,0.8,E
1962-01,1.03,E
1962-02,1.5,E
1962-03,-1.18,E
1962-04,4.02,E
1962-05,6.79,E
1962-06,8.54,E
1962-07,10.64,E
1962-08,12.3,E
1962-09,10.19,E
1962-10,7.59,E
1962-11,3.43,E
1962-12,0.94,E
1963-01,0.54,E
1963-02,-0.75,E
1963-03,0.84,E
1963-04,4.76,E
1963-05,9.6,E
1963-06,10.72,E
1963-07,11.64,E
1963-08,15.06,E
1963-09,11.55,E
1963-10,8.01,E
1963-11,2.81,E
1963-12,3.16,E
1964-01,3.54,E
1964-02,0.71,E
1964-03,3.25,E
1964-04,4.94,E
1964-05,7.88,E
1964-06,9.22,E
1964-07,11.78,E
1964-08,12.04,E
1964-09,9.03,E
1964-10,8.45,E
1964-11,3.97,E
1964-12,2.33,E
1965-01,0.06,E
1965-02,1.37,E
1965-03,1.69,E
1965-04,5.21,E
1965-05,, 
1965-06,, 
1965-07,, 
1965-08,11.17,E
1965-09,12.1,E
1965-10,8.77,E
1965-11,1.5,E
1965-12,-1.53,E
1966-01,-2.04,E
1966-02,-4.94,E
1966-03,-0.06,E
1966-04,1.74,E
1966-05,, 
1966-06,, 
1966-07,, 
1966-08,12.38,E
1966-09,8.75,E
1966-10,6.41,E
1966-11,4.02,E
1966-12,1.31,E
1967-01,-1.05,E
1967-02,1.87,E
1967-03,2.94,E
1967-04,3.32,E
1967-05,, 
1967-06,, 
1967-07,, 
1967-08,12.58,E
1967-09,12.49,E
1967-10,7.25,E
1967-11,6.22,E
1967-12,-0.3,E
1968-01,-0.08,E
1968-02,0.19,E
1968-03,1.79,E
1968-04,4.07,E
1968-05,, 
1968-06,, 
1968-07,, 
1968-08,12.09,E
1968-09,10.65,E
1968-10,5.01,E
1968-11,2.66,E
1968-12,3.17,E
1969-01,0.76,E
1969-02,-2.26,E
1969-03,1.3,E
1969-04,4.76,E
1969-05,, 
1969-06,, 
1969-07,, 
1969-08,16.43,E
1969-09,10.01,E
1969-10,7.81,E
1969-11,1.81,E
1969-12,0.71,E
1970-01,-1.38,E
1970-02,-2.75,E
1970-03,1.4,E
1970-04,3.48,E
1970-05,, 
1970-06,, 
1970-07,, 
1970-08,13.49,E
1970-09,10.45,E
1970-10,7.51,E
1970-11,1.81,E
1970-12,3.28,E
1971-01,1.98,E
1971-02,1.22,E
1971-03,-1.01,E
1971-04,3.56,E
1971-05,, 
1971-06,, 
1971-07,, 
