Date [YYYY-MM],Temperature [°C],QCFLAG
1986-01,, 
1986-02,-13.72,]
1986-03,-0.51,]
1986-04,, 
1986-05,8.66,]
1986-06,15.4,]
1986-07,, 
1986-08,, 
1986-09,, 
1986-10,, 
1986-11,, 
1986-12,-7.31,]
1987-01,, 
1987-02,, 
1987-03,, 
1987-04,, 
1987-05,, 
1987-06,, 
1987-07,, 
1987-08,, 
1987-09,, 
1987-10,4.96,]
1987-11,, 
1987-12,, 
1988-01,, 
1988-02,, 
1988-03,, 
1988-04,, 
1988-05,, 
1988-06,, 
1988-07,, 
1988-08,, 
1988-09,, 
1988-10,, 
1988-11,-3.03,]
1988-12,, 
1989-01,, 
1989-02,, 
1989-03,0.22,]
1989-04,2.18,]
1989-05,, 
1989-06,, 
1989-07,, 
1989-08,, 
1989-09,, 
1989-10,, 
1989-11,, 
1989-12,, 
1990-01,, 
1990-02,, 
1990-03,2.13,]
1990-04,3.6,]
1990-05,, 
1990-06,, 
1990-07,, 
1990-08,, 
1990-09,, 
1990-10,3.68,]
1990-11,-4.21,]
1990-12,, 
1991-01,-7.47,]
1991-02,, 
1991-03,0.18,]
1991-04,3.54,]
1991-05,, 
1991-06,, 
1991-07,17.44,]
1991-08,, 
1991-09,8.81,]
1991-10,, 
1991-11,, 
1991-12,, 
1992-01,, 
1992-02,-3.25,]
1992-03,, 
1992-04,2.01,]
1992-05,, 
1992-06,, 
1992-07,14.56,]
1992-08,, 
1992-09,9.21,]
1992-10,-0.07,]
1992-11,, 
1992-12,, 
1993-01,-4.57,]
1993-02,-1.73,]
1993-03,-1.4,]
1993-04,, 
1993-05,11.38,]
1993-06,12.94,]
1993-07,14.08,]
1993-08,, 
1993-09,, 
1993-10,, 
1993-11,-4.3,]
1993-12,, 
1994-01,, 
1994-02,-13.38,]
1994-03,-3.53,]
1994-04,2.83,]
1994-05,7.59,]
1994-06,, 
1994-07,18.38,]
1994-08,13.14,]
1994-09,, 
1994-10,, 
1994-11,-1.73,]
1994-12,-6.03,]
1995-01,-7.27,]
1995-02,, 
1995-03,-2.71,]
1995-04,0.94,]
1995-05,6.99,]
1995-06,13.32,]
1995-07,14.6,]
1995-08,14.52,]
1995-09,8.87,]
1995-10,5.95,]
1995-11,-3.0,]
1995-12,-11.92,]
1996-01,-10.37,]
1996-02,-11.76,]
1996-03,-4.85,]
1996-04,2.86,]
1996-05,6.19,]
1996-06,13.17,]
1996-07,13.58,]
1996-08,14.88,]
1996-09,7.55,]
1996-10,5.11,]
1996-11,-5.41,]
1996-12,-11.11,]
1997-01,-9.6,]
1997-02,-4.03,]
1997-03,-0.32,]
1997-04,2.09,]
1997-05,6.94,]
1997-06,14.1,]
1997-07,16.78,]
1997-08,16.74,]
1997-09,9.59,]
1997-10,2.39,]
1997-11,-1.37,]
1997-12,-5.93,]
1998-01,, 
1998-02,-2.18,]
1998-03,, 
1998-04,1.04,]
1998-05,8.93,]
1998-06,11.43,]
1998-07,12.91,]
1998-08,, 
1998-09,9.97,]
1998-10,1.61,]
1998-11,, 
1998-12,, 
1999-01,, 
1999-02,, 
1999-03,, 
1999-04,, 
1999-05,, 
1999-06,12.53,]
1999-07,, 
1999-08,, 
1999-09,, 
1999-10,3.91,]
1999-11,2.25,]
1999-12,, 
2000-01,, 
2000-02,-3.72,]
2000-03,, 
2000-04,3.11,]
2000-05,10.39,]
2000-06,11.51,]
2000-07,, 
2000-08,13.16,]
2000-09,9.37,]
2000-10,6.64,]
2000-11,1.98,]
2000-12,-4.79,]
2001-01,-8.99,]
2001-02,-11.19,]
2001-03,-6.42,]
2001-04,2.0,]
2001-05,8.2,]
2001-06,11.85,]
2001-07,15.3,]
2001-08,13.7,]
2001-09,9.74,]
2001-10,5.85,]
2001-11,-0.55,]
2001-12,-10.19,]
2002-01,-7.08,]
2002-02,-4.48,]
2002-03,-1.23,]
2002-04,, 
2002-05,9.96,]
2002-06,13.73,]
2002-07,15.35,]
2002-08,17.83,]
2002-09,11.25,]
2002-10,0.67,]
2002-11,-6.25,]
2002-12,-12.12,]
2003-01,-3.35,]
2003-02,-7.46,]
2003-03,-0.53,]
2003-04,4.02,]
2003-05,7.14,]
2003-06,14.1,]
2003-07,17.12,]
2003-08,14.7,]
2003-09,10.09,]
2003-10,1.31,]
2003-11,-1.54,]
2003-12,, 
2004-01,, 
2004-02,-5.13,]
2004-03,-0.58,]
2004-04,4.92,]
2004-05,9.38,]
2004-06,12.23,]
2004-07,14.01,]
2004-08,15.25,]
2004-09,10.37,]
2004-10,3.86,]
2004-11,-2.28,]
2004-12,-4.23,]
2005-01,-3.32,]
2005-02,-4.44,]
2005-03,-2.22,]
2005-04,4.74,]
2005-05,6.75,]
2005-06,11.45,]
2005-07,16.77,]
2005-08,14.06,]
2005-09,10.07,]
2005-10,4.46,]
2005-11,1.27,]
2005-12,-5.56,]
2006-01,, 
2006-02,-6.78,]
2006-03,-7.31,]
2006-04,2.15,]
2006-05,7.68,]
2006-06,14.3,]
2006-07,18.39,]
2006-08,15.99,]
2006-09,12.27,]
2006-10,4.81,]
2006-11,-0.25,]
2006-12,0.04,]
2007-01,-6.25,]
2007-02,-7.52,]
2007-03,1.27,]
2007-04,4.65,]
2007-05,8.14,]
2007-06,14.52,]
2007-07,14.45,]
2007-08,14.66,]
2007-09,8.13,]
2007-10,4.54,]
2007-11,-2.26,]
2007-12,-8.6,]
2008-01,-4.76,]
2008-02,-2.76,]
2008-03,-2.74,]
2008-04,3.6,]
2008-05,8.66,]
2008-06,12.4,]
2008-07,16.25,]
2008-08,13.17,]
2008-09,9.26,]
2008-10,4.33,]
2008-11,-1.47,]
2008-12,-7.89,]
2009-01,-6.19,]
2009-02,-9.83,]
2009-03,-1.23,]
2009-04,5.85,]
2009-05,9.04,]
2009-06,12.38,]
2009-07,15.33,]
2009-08,13.87,]
2009-09,10.51,]
2009-10,1.06,]
2009-11,-1.37,]
2009-12,-10.94,]
2010-01,-15.57,]
2010-02,-11.67,]
2010-03,-1.81,]
2010-04,3.25,]
2010-05,7.59,]
2010-06,12.78,]
2010-07,16.06,]
2010-08,14.38,]
2010-09,8.75,]
2010-10,2.71,]
2010-11,-6.95,]
2010-12,-15.21,]
2011-01,-9.84,]
2011-02,-9.25,]
2011-03,-2.01,]
2011-04,7.18,]
2011-05,8.79,]
2011-06,13.73,]
2011-07,15.74,]
2011-08,14.01,]
2011-09,10.66,]
2011-10,4.6,]
2011-11,1.28,]
2011-12,-5.24,]
2012-01,-8.8,]
2012-02,-5.7,]
2012-03,3.86,]
2012-04,1.84,]
2012-05,8.89,]
2012-06,11.07,]
2012-07,14.22,]
2012-08,13.95,]
2012-09,8.44,]
2012-10,2.05,]
2012-11,-0.25,]
2012-12,-12.17,]
2013-01,-13.16,]
2013-02,-8.88,]
2013-03,-6.04,]
2013-04,1.54,]
2013-05,9.34,]
2013-06,12.65,]
2013-07,16.52,]
2013-08,14.12,]
2013-09,9.92,]
2013-10,3.92,]
2013-11,-1.14,]
2013-12,-2.75,]
