Date [YYYY-MM],Temperature [°C],QCFLAG
1960-01,, 
1960-02,, 
1960-03,, 
1960-04,, 
1960-05,, 
1960-06,, 
1960-07,, 
1960-08,, 
1960-09,, 
1960-10,, 
1960-11,-4.19,=
1960-12,-7.05,=
1961-01,-7.64,=
1961-02,-3.6,=
1961-03,1.3,=
1961-04,2.34,=
1961-05,10.4,=
1961-06,15.2,=
1961-07,14.4,=
1961-08,11.25,=
1961-09,10.14,=
1961-10,6.8,=
1961-11,-1.25,=
1961-12,-6.85,=
1962-01,-6.64,=
1962-02,-4.1,=
1962-03,-9.3,=
1962-04,1.7,=
1962-05,8.5,=
1962-06,11.15,=
1962-07,13.15,=
1962-08,11.6,=
1962-09,7.75,=
1962-10,5.45,=
1962-11,-4.55,=
1962-12,-6.95,=
1963-01,-10.75,=
1963-02,-8.6,=
1963-03,-3.64,=
1963-04,2.05,=
1963-05,11.45,=
1963-06,15.95,=
1963-07,15.3,=
1963-08,13.95,=
1963-09,10.0,=
1963-10,4.8,=
1963-11,-3.8,=
1963-12,-8.4,=
1964-01,-6.1,=
1964-02,-6.7,=
1964-03,-2.19,=
1964-04,3.34,=
1964-05,10.25,=
1964-06,11.7,=
1964-07,14.0,=
1964-08,12.0,=
1964-09,8.9,=
1964-10,2.6,=
1964-11,-2.85,=
1964-12,-6.45,=
1965-01,-7.14,=
1965-02,-4.9,=
1965-03,-4.05,=
1965-04,4.35,=
1965-05,8.55,=
1965-06,13.65,=
1965-07,14.8,=
1965-08,12.95,=
1965-09,9.25,=
1965-10,5.35,=
1965-11,-5.5,=
1965-12,-10.05,=
1966-01,-10.6,=
1966-02,-13.0,=
1966-03,-1.75,=
1966-04,-0.3,=
1966-05,9.1,=
1966-06,16.6,=
1966-07,,=
1966-08,13.8,=
1966-09,7.4,=
1966-10,3.4,=
1966-11,-6.0,=
1966-12,-7.14,=
1967-01,-10.1,=
1967-02,-2.75,=
1967-03,1.2,=
1967-04,2.65,=
1967-05,9.3,=
1967-06,13.7,=
1967-07,14.1,=
1967-08,14.15,=
1967-09,10.9,=
1967-10,2.9,=
1967-11,2.75,=
1967-12,-4.8,=
1968-01,-8.39,=
1968-02,-4.44,=
1968-03,-2.19,=
1968-04,3.55,=
1968-05,9.14,=
1968-06,15.75,=
1968-07,15.25,=
1968-08,15.4,=
1968-09,9.7,=
1968-10,4.4,=
1968-11,-6.45,=
1968-12,-8.2,=
1969-01,-8.35,=
1969-02,-12.05,=
1969-03,-6.14,=
1969-04,2.69,=
1969-05,10.79,=
1969-06,13.4,=
1969-07,16.7,=
1969-08,16.79,=
1969-09,11.45,=
1969-10,7.65,=
1969-11,-8.0,=
1969-12,-10.85,=
1970-01,-12.1,=
1970-02,-11.2,=
1970-03,-2.34,=
1970-04,-1.0,=
1970-05,9.4,=
1970-06,17.9,=
1970-07,14.5,=
1970-08,14.4,=
1970-09,7.3,=
1970-10,1.94,=
1970-11,, 
1970-12,, 
