Date [YYYY-MM],Temperature [°C],QCFLAG
1856-01,,""""
1856-02,,""""
1856-03,,""""
1856-04,,""""
1856-05,,""""
1856-06,,""""
1856-07,,""""
1856-08,,""""
1856-09,,""""
1856-10,,""""
1856-11,,""""
1856-12,,""""
1857-01,,""""
1857-02,,""""
1857-03,,""""
1857-04,,""""
1857-05,,""""
1857-06,,""""
1857-07,,""""
1857-08,,""""
1857-09,,""""
1857-10,,""""
1857-11,,""""
1857-12,,""""
1858-01,,""""
1858-02,,""""
1858-03,,""""
1858-04,,""""
1858-05,,""""
1858-06,,""""
1858-07,,""""
1858-08,,""""
1858-09,,""""
1858-10,,""""
1858-11,,""""
1858-12,,""""
1859-01,,""""
1859-02,,""""
1859-03,,""""
1859-04,,""""
1859-05,,""""
1859-06,,""""
1859-07,,""""
1859-08,,""""
1859-09,,""""
1859-10,,""""
1859-11,,""""
1859-12,,""""
1860-01,,""""
1860-02,,""""
1860-03,,""""
1860-04,,""""
1860-05,,""""
1860-06,,""""
1860-07,,""""
1860-08,,""""
1860-09,,""""
1860-10,,""""
1860-11,,""""
1860-12,,""""
1861-01,,""""
1861-02,,""""
1861-03,,""""
1861-04,,""""
1861-05,,""""
1861-06,,""""
1861-07,,""""
1861-08,,""""
1861-09,,""""
1861-10,,""""
1861-11,,""""
1861-12,,""""
1862-01,,""""
1862-02,,""""
1862-03,,""""
1862-04,,""""
1862-05,,""""
1862-06,,""""
1862-07,,""""
1862-08,,""""
1862-09,,""""
1862-10,,""""
1862-11,,""""
1862-12,,""""
1863-01,,""""
1863-02,,""""
1863-03,,""""
1863-04,,""""
1863-05,,""""
1863-06,,""""
1863-07,,""""
1863-08,,""""
1863-09,,""""
1863-10,,""""
1863-11,,""""
1863-12,,""""
1864-01,,""""
1864-02,,""""
1864-03,,""""
1864-04,,""""
1864-05,,""""
1864-06,,""""
1864-07,,""""
1864-08,,""""
1864-09,,""""
1864-10,,""""
1864-11,,""""
1864-12,,""""
1865-01,,""""
1865-02,,""""
1865-03,,""""
1865-04,,""""
1865-05,,""""
1865-06,,""""
1865-07,,""""
1865-08,,""""
1865-09,,""""
1865-10,,""""
1865-11,,""""
1865-12,,""""
1866-01,,""""
1866-02,,""""
1866-03,,""""
1866-04,,""""
1866-05,,""""
1866-06,,""""
1866-07,,""""
1866-08,,""""
1866-09,,""""
1866-10,,""""
1866-11,,""""
1866-12,,""""
1867-01,,""""
1867-02,,""""
1867-03,,""""
1867-04,,""""
1867-05,,""""
1867-06,,""""
1867-07,,""""
1867-08,,""""
1867-09,,""""
1867-10,,""""
1867-11,,""""
1867-12,,""""
1868-01,,""""
1868-02,,""""
1868-03,,""""
1868-04,,""""
1868-05,,""""
1868-06,,""""
1868-07,,""""
1868-08,,""""
1868-09,,""""
1868-10,,""""
1868-11,,""""
1868-12,,""""
1869-01,,""""
1869-02,,""""
1869-03,,""""
1869-04,,""""
1869-05,,""""
1869-06,,""""
1869-07,,""""
1869-08,,""""
1869-09,,""""
1869-10,,""""
1869-11,,""""
1869-12,,""""
1870-01,,""""
1870-02,,""""
1870-03,,""""
1870-04,,""""
1870-05,,""""
1870-06,,""""
1870-07,,""""
1870-08,,""""
1870-09,,""""
1870-10,,""""
1870-11,,""""
1870-12,,""""
1871-01,,""""
1871-02,,""""
1871-03,,""""
1871-04,,""""
1871-05,,""""
1871-06,,""""
1871-07,,""""
1871-08,,""""
1871-09,,""""
1871-10,,""""
1871-11,,""""
1871-12,,""""
1872-01,,""""
1872-02,,""""
1872-03,,""""
1872-04,,""""
1872-05,,""""
1872-06,,""""
1872-07,,""""
1872-08,,""""
1872-09,,""""
1872-10,,""""
1872-11,,""""
1872-12,,""""
1873-01,,""""
1873-02,,""""
1873-03,,""""
1873-04,,""""
1873-05,,""""
1873-06,,""""
1873-07,,""""
1873-08,,""""
1873-09,,""""
1873-10,,""""
1873-11,,""""
1873-12,,""""
1874-01,,""""
1874-02,,""""
1874-03,,""""
1874-04,,""""
1874-05,,""""
1874-06,,""""
1874-07,,""""
1874-08,,""""
1874-09,,""""
1874-10,,""""
1874-11,,""""
1874-12,,""""
1875-01,,""""
1875-02,,""""
1875-03,,""""
1875-04,,""""
1875-05,,""""
1875-06,,""""
1875-07,,""""
1875-08,,""""
1875-09,,""""
1875-10,,""""
1875-11,,""""
1875-12,,""""
1876-01,,""""
1876-02,,""""
1876-03,,""""
1876-04,,""""
1876-05,,""""
1876-06,,""""
1876-07,,""""
1876-08,,""""
1876-09,,""""
1876-10,,""""
1876-11,,""""
1876-12,,""""
1877-01,,""""
1877-02,,""""
1877-03,,""""
1877-04,,""""
1877-05,,""""
1877-06,,""""
1877-07,,""""
1877-08,,""""
1877-09,,""""
1877-10,,""""
1877-11,,""""
1877-12,,""""
1878-01,,""""
1878-02,,""""
1878-03,,""""
1878-04,,""""
1878-05,,""""
1878-06,,""""
1878-07,,""""
1878-08,,""""
1878-09,,""""
1878-10,,""""
1878-11,,""""
1878-12,,""""
1879-01,,""""
1879-02,,""""
1879-03,,""""
1879-04,,""""
1879-05,,""""
1879-06,,""""
1879-07,,""""
1879-08,,""""
1879-09,,""""
1879-10,,""""
1879-11,,""""
1879-12,,""""
1880-01,,""""
1880-02,,""""
1880-03,,""""
1880-04,,""""
1880-05,,""""
1880-06,,""""
1880-07,,""""
1880-08,,""""
1880-09,,""""
1880-10,,""""
1880-11,,""""
1880-12,,""""
1920-01,, 
1920-02,, 
1920-03,, 
1920-04,, 
1920-05,, 
1920-06,, 
1920-07,11.29,""""
1920-08,10.09,""""
1920-09,8.29,""""
1920-10,3.09,""""
1920-11,0.89,""""
1920-12,-1.11,""""
1921-01,,""""
1921-02,,""""
1921-03,,""""
1921-04,,""""
1921-05,,""""
1921-06,,""""
1921-07,,""""
1921-08,,""""
1921-09,,""""
1921-10,,""""
1921-11,,""""
1921-12,,""""
1922-01,,""""
1922-02,,""""
1922-03,,""""
1922-04,,""""
1922-05,,""""
1922-06,,""""
1922-07,,""""
1922-08,,""""
1922-09,,""""
1922-10,,""""
1922-11,,""""
1922-12,,""""
1923-01,,""""
1923-02,,""""
1923-03,,""""
1923-04,,""""
1923-05,,""""
1923-06,,""""
1923-07,,""""
1923-08,,""""
1923-09,,""""
1923-10,,""""
1923-11,,""""
1923-12,,""""
1924-01,,""""
1924-02,,""""
1924-03,,""""
1924-04,,""""
1924-05,,""""
1924-06,,""""
1924-07,,""""
1924-08,,""""
1924-09,,""""
1924-10,,""""
1924-11,,""""
1924-12,,""""
1925-01,,""""
1925-02,,""""
1925-03,,""""
1925-04,,""""
1925-05,,""""
1925-06,,""""
1925-07,,""""
1925-08,,""""
1925-09,,""""
1925-10,,""""
1925-11,,""""
1925-12,,""""
1926-01,,""""
1926-02,,""""
1926-03,,""""
1926-04,,""""
1926-05,,""""
1926-06,,""""
1926-07,,""""
1926-08,,""""
1926-09,,""""
1926-10,,""""
1926-11,,""""
1926-12,,""""
1927-01,,""""
1927-02,,""""
1927-03,,""""
1927-04,,""""
1927-05,,""""
1927-06,,""""
1927-07,,""""
1927-08,,""""
1927-09,,""""
1927-10,,""""
1927-11,,""""
1927-12,,""""
1928-01,,""""
1928-02,,""""
1928-03,,""""
1928-04,,""""
1928-05,,""""
1928-06,,""""
1928-07,,""""
1928-08,,""""
1928-09,,""""
1928-10,,""""
1928-11,,""""
1928-12,,""""
1929-01,,""""
1929-02,,""""
1929-03,,""""
1929-04,,""""
1929-05,,""""
1929-06,,""""
1929-07,,""""
1929-08,,""""
1929-09,,""""
1929-10,,""""
1929-11,,""""
1929-12,,""""
1930-01,,""""
1930-02,,""""
1930-03,,""""
1930-04,,""""
1930-05,,""""
1930-06,,""""
1930-07,,""""
1930-08,,""""
1930-09,,""""
1930-10,,""""
1930-11,,""""
1930-12,,""""
1931-01,,""""
1931-02,,""""
1931-03,,""""
1931-04,,""""
1931-05,,""""
1931-06,,""""
1931-07,,""""
1931-08,,""""
1931-09,,""""
1931-10,,""""
1931-11,,""""
1931-12,,""""
1932-01,,""""
1932-02,,""""
1932-03,,""""
1932-04,,""""
1932-05,,""""
1932-06,,""""
1932-07,,""""
1932-08,,""""
1932-09,,""""
1932-10,,""""
1932-11,,""""
1932-12,,""""
1933-01,,""""
1933-02,,""""
1933-03,,""""
1933-04,,""""
1933-05,,""""
1933-06,,""""
1933-07,,""""
1933-08,,""""
1933-09,,""""
1933-10,,""""
1933-11,,""""
1933-12,,""""
1934-01,,""""
1934-02,,""""
1934-03,,""""
1934-04,,""""
1934-05,,""""
1934-06,,""""
1934-07,,""""
1934-08,,""""
1934-09,,""""
1934-10,,""""
1934-11,,""""
1934-12,,""""
1935-01,,""""
1935-02,,""""
1935-03,,""""
1935-04,,""""
1935-05,,""""
1935-06,,""""
1935-07,,""""
1935-08,,""""
1935-09,,""""
1935-10,,""""
1935-11,,""""
1935-12,,""""
1936-01,,""""
1936-02,,""""
1936-03,,""""
1936-04,,""""
1936-05,,""""
1936-06,,""""
1936-07,,""""
1936-08,,""""
1936-09,,""""
1936-10,,""""
1936-11,,""""
1936-12,,""""
1937-01,,""""
1937-02,,""""
1937-03,,""""
1937-04,,""""
1937-05,,""""
1937-06,,""""
1937-07,,""""
1937-08,,""""
1937-09,,""""
1937-10,,""""
1937-11,,""""
1937-12,,""""
1938-01,,""""
1938-02,,""""
1938-03,,""""
1938-04,,""""
1938-05,,""""
1938-06,,""""
1938-07,,""""
1938-08,,""""
1938-09,,""""
1938-10,,""""
1938-11,,""""
1938-12,,""""
1939-01,,""""
1939-02,,""""
1939-03,,""""
1939-04,,""""
1939-05,,""""
1939-06,,""""
1939-07,,""""
1939-08,,""""
1939-09,,""""
1939-10,,""""
1939-11,,""""
1939-12,,""""
1940-01,,""""
1940-02,,""""
1940-03,,""""
1940-04,,""""
1940-05,,""""
1940-06,,""""
