Date [YYYY-MM],Temperature [°C],QCFLAG
1934-01,, 
1934-02,, 
1934-03,, 
1934-04,, 
1934-05,, 
1934-06,, 
1934-07,, 
1934-08,, 
1934-09,, 
1934-10,, 
1934-11,-19.1,[
1934-12,-29.9,[
1935-01,-36.4,[
1935-02,-26.6,[
1935-03,-30.8,[
1935-04,-21.6,[
1935-05,-6.3,[
1935-06,1.2,[
1935-07,5.8,[
1935-08,4.1,[
1935-09,, 
1935-10,-12.3,[
1935-11,-23.9,[
1935-12,-23.9,[
1936-01,-34.4,[
1936-02,-31.3,[
1936-03,-30.6,[
1936-04,-18.6,[
1936-05,-9.89,[
1936-06,0.8,[
1936-07,3.8,[
1936-08,3.0,[
1936-09,2.6,[
1936-10,-8.2,[
1936-11,-20.7,[
1936-12,-22.0,[
1937-01,-18.9,[
1937-02,-24.2,[
1937-03,-30.9,[
1937-04,-19.9,[
1937-05,-6.7,[
1937-06,-0.6,[
1937-07,2.9,[
1937-08,1.5,[
1937-09,, 
1937-10,, 
1937-11,, 
1937-12,, 
1947-01,, 
1947-02,, 
1947-03,, 
1947-04,, 
1947-05,, 
1947-06,, 
1947-07,, 
1947-08,, 
1947-09,, 
1947-10,, 
1947-11,-17.9,[
1947-12,-23.4,[
1948-01,-29.0,[
1948-02,-32.5,[
1948-03,-27.0,[
1948-04,-22.6,[
1948-05,-9.0,[
1948-06,0.0,[
1948-07,3.9,[
1948-08,3.9,[
1948-09,-0.5,[
1948-10,-7.5,[
1948-11,-18.9,[
1948-12,-26.9,[
1949-01,-29.5,[
1949-02,-29.2,[
1949-03,-21.1,[
1949-04,-18.6,[
1949-05,-8.8,[
1949-06,-1.9,[
1949-07,2.6,[
1949-08,2.3,[
1949-09,-0.6,[
1949-10,-9.0,[
1949-11,-23.9,[
1949-12,-21.0,[
1950-01,-31.7,[
1950-02,-32.8,[
1950-03,-27.3,[
1950-04,-20.4,[
1950-05,-8.7,[
1950-06,0.4,[
1950-07,2.2,[
1950-08,, 
1950-09,-0.5,[
1950-10,-12.8,[
1950-11,-25.4,[
1950-12,-26.4,[
1951-01,-34.09,[
1951-02,-29.2,[
1951-03,-28.7,[
1951-04,-22.0,[
1951-05,-9.7,[
1951-06,-1.1,[
1951-07,2.2,[
1951-08,2.7,[
1951-09,-0.2,[
1951-10,-8.3,[
1951-11,-24.3,[
1951-12,-28.8,[
1952-01,-30.2,[
1952-02,-28.0,[
1952-03,-29.3,[
1952-04,-19.9,[
1952-05,-9.6,[
1952-06,-0.8,[
1952-07,4.7,[
1952-08,2.2,[
1952-09,1.2,[
1952-10,-12.2,[
1952-11,-22.4,[
1952-12,-29.3,[
1953-01,-31.1,[
1953-02,-26.4,[
1953-03,-24.8,[
1953-04,-15.2,[
1953-05,-6.7,[
1953-06,0.4,[
1953-07,7.4,[
1953-08,4.2,[
1953-09,-1.0,[
1953-10,-9.0,[
1953-11,-17.9,[
1953-12,-26.1,[
1954-01,-30.1,[
1954-02,-29.5,[
