Date [YYYY-MM],Temperature [°C],QCFLAG
1931-01,, 
1931-02,, 
1931-03,, 
1931-04,, 
1931-05,, 
1931-06,10.8,""""
1931-07,, 
1931-08,, 
1931-09,6.3,""""
1931-10,-0.3,""""
1931-11,-8.7,""""
1931-12,-18.2,""""
1932-01,-15.5,""""
1932-02,-23.4,""""
1932-03,, 
1932-04,3.0,""""
1932-05,-1.7,""""
1932-06,4.7,""""
1932-07,11.9,""""
1932-08,13.1,""""
1932-09,7.4,""""
1932-10,-2.3,""""
1932-11,-12.2,""""
1932-12,-20.1,""""
1934-01,-9.39,""""
1934-02,, 
1934-03,-13.8,""""
1934-04,-10.1,""""
1934-05,1.1,""""
1934-06,7.6,""""
1934-07,10.7,""""
1934-08,10.6,""""
1934-09,1.8,""""
1934-10,-1.1,""""
1934-11,-4.19,""""
1934-12,-14.3,""""
1935-01,-16.29,""""
1935-02,-9.8,""""
1935-03,-12.2,""""
1935-04,-12.1,""""
1935-05,-1.9,""""
1935-06,6.8,""""
1935-07,13.3,""""
1935-08,8.6,""""
1935-09,5.2,""""
1935-10,-4.6,""""
1935-11,-7.5,""""
1935-12,-12.3,""""
1936-01,-22.04,r
1936-02,-24.19,r
1936-03,-15.3,r
1936-04,-5.71,r
1936-05,-0.52,r
1936-06,9.29,r
1936-07,13.0,r
1936-08,11.25,r
1936-09,5.47,r
1936-10,-1.71,r
1936-11,-4.24,r
1936-12,-9.7,r
1937-01,-12.83,r
1937-02,-12.16,r
1937-03,-16.28,r
1937-04,-9.1,r
1937-05,-2.89,r
1937-06,, 
1937-07,, 
1937-08,10.28,r
1937-09,5.15,r
1937-10,-0.6,r
1937-11,-8.11,r
1937-12,-19.75,r
1938-01,-16.37,r
1938-02,-21.14,r
1938-03,-10.93,r
1938-04,-4.09,r
1938-05,2.01,r
1938-06,8.99,r
1938-07,13.39,r
1938-08,10.64,r
1938-09,6.99,r
1938-10,-4.09,r
1938-11,-11.36,r
1938-12,-19.75,r
1939-01,-20.97,r
1939-02,-17.31,r
1939-03,-16.29,r
1939-04,-7.85,r
1939-05,-3.52,r
1939-06,8.95,r
1939-07,12.14,r
1939-08,7.56,r
1939-09,1.48,r
1939-10,-3.67,r
1939-11,-5.47,r
1939-12,-14.42,r
1940-01,-26.48,r
1940-02,-18.73,r
1940-03,-17.42,r
1940-04,-6.45,r
1940-05,-3.56,r
1940-06,7.28,r
1940-07,14.05,r
1940-08,14.34,r
1940-09,7.71,r
1940-10,-6.77,r
1940-11,-8.93,r
1940-12,-24.83,r
1941-01,-28.25,r
1941-02,-20.65,r
1941-03,-22.28,r
1941-04,-13.45,r
1941-05,2.05,r
1941-06,8.26,r
1941-07,8.51,r
1941-08,10.46,r
1941-09,4.49,r
1941-10,-2.42,r
1941-11,-10.24,r
1941-12,-23.98,r
1942-01,-22.8,r
1942-02,-16.71,r
1942-03,-26.24,r
1942-04,-9.25,r
1942-05,-1.19,r
1942-06,10.11,r
1942-07,13.56,r
1942-08,10.43,r
1942-09,5.95,r
1942-10,-6.7,r
1942-11,-10.68,r
1942-12,-13.37,r
1943-01,-22.64,r
1943-02,-9.96,r
1943-03,-14.98,r
1943-04,-1.83,r
1943-05,2.66,r
1943-06,9.35,r
1943-07,15.62,r
1943-08,11.22,r
1943-09,6.43,r
1943-10,-2.13,r
1943-11,-4.75,r
1943-12,-14.52,r
1944-01,-15.23,r
1944-02,-12.4,r
1944-03,-14.06,r
1944-04,-5.07,r
1944-05,-0.14,r
1944-06,6.95,r
1944-07,11.84,r
1944-08,8.59,r
1944-09,6.32,r
1944-10,1.74,r
1944-11,-7.5,r
1944-12,-12.18,r
1945-01,-14.99,r
1945-02,-20.76,r
1945-03,-18.77,r
1945-04,-7.05,r
1945-05,-1.03,r
1945-06,10.06,r
1945-07,10.18,r
1945-08,13.39,r
1945-09,6.83,r
1945-10,-3.59,r
1945-11,-14.81,r
1945-12,-24.37,r
1946-01,-18.48,r
1946-02,-24.29,r
1946-03,-15.62,r
1946-04,-7.54,r
1946-05,-2.32,r
1946-06,4.47,r
1946-07,9.76,r
1946-08,12.88,r
1946-09,4.24,r
1946-10,-6.29,r
1946-11,-11.26,r
1946-12,-13.03,r
1947-01,-15.47,r
1947-02,-22.1,r
1947-03,-15.98,r
1947-04,-4.68,r
1947-05,-1.26,r
1947-06,7.34,r
1947-07,8.62,r
1947-08,10.28,r
1947-09,6.44,r
1947-10,-0.35,r
1947-11,-12.3,r
1947-12,-14.99,r
1948-01,-16.18,r
1948-02,-21.61,r
1948-03,-17.73,r
1948-04,-5.74,r
1948-05,3.79,r
1948-06,9.08,r
1948-07,11.72,r
1948-08,9.5,r
1948-09,6.62,r
1948-10,0.53,r
1948-11,-6.06,r
1948-12,-20.52,r
1949-01,-13.38,r
1949-02,-27.4,r
1949-03,-13.16,r
1949-04,-4.4,r
1949-05,-1.39,r
1949-06,7.01,r
1949-07,8.57,r
1949-08,12.08,r
1949-09,2.95,r
1949-10,-1.97,r
1949-11,-11.07,r
1949-12,-14.61,r
1950-01,-24.29,r
1950-02,-21.71,r
1950-03,-10.19,r
1950-04,-1.2,r
1950-05,0.43,r
1950-06,8.24,r
1950-07,11.65,r
1950-08,9.25,r
1950-09,6.37,r
1950-10,-0.13,r
1950-11,-11.74,r
1950-12,-12.31,r
1951-01,-18.6,r
1951-02,-22.27,r
1951-03,-15.86,r
1951-04,0.02,r
