Date [YYYY-MM],Temperature [°C],QCFLAG
1954-01,, 
1954-02,, 
1954-03,, 
1954-04,, 
1954-05,, 
1954-06,, 
1954-07,, 
1954-08,-0.7,[
1954-09,-3.7,[
1954-10,-8.0,[
1954-11,-16.4,[
1954-12,-13.0,[
1956-01,-23.6,[
1956-02,-14.4,[
1956-03,-21.0,[
1956-04,-19.1,[
1956-05,-11.8,[
1956-06,-3.2,[
1956-07,-0.8,[
1956-08,-1.0,[
1956-09,-5.9,[
1956-10,-16.0,[
1956-11,-13.6,[
1956-12,-15.1,[
1960-01,-24.4,[
1960-02,-33.09,[
1960-03,-31.6,[
1960-04,-22.1,[
1960-05,-9.39,[
1960-06,-1.2,[
1960-07,-0.4,[
1960-08,-0.9,[
1960-09,-4.4,[
1960-10,-14.3,[
1960-11,-21.8,[
1960-12,-23.6,[
1961-01,-29.3,[
1961-02,-28.8,[
1961-03,-22.5,[
1961-04,-17.0,[
1961-05,-13.3,[
1961-06,-1.7,[
1961-07,0.3,[
1961-08,-0.2,[
1961-09,-4.19,[
1961-10,-12.0,[
1961-11,-21.8,[
1961-12,-26.6,[
1962-01,-33.09,[
1962-02,-30.2,[
1962-03,-23.1,[
1962-04,-20.0,[
1962-05,-13.4,[
1962-06,-2.4,[
1962-07,-0.6,[
1962-08,-0.9,[
1962-09,-5.8,[
1962-10,-16.5,[
1962-11,-16.6,[
1962-12,-27.5,[
1966-01,-30.8,[
1966-02,-28.4,[
1966-03,-30.1,[
1966-04,-21.7,[
1966-05,-14.0,[
1966-06,-3.6,[
1966-07,0.3,[
1966-08,-0.5,[
1966-09,-4.6,[
1966-10,-19.7,[
1966-11,-21.4,[
1966-12,-11.5,[
1967-01,-32.3,[
1967-02,-34.8,[
1967-03,-24.9,[
1967-04,-21.0,[
1967-05,-11.2,[
1967-06,-2.8,[
1967-07,0.1,[
1967-08,-1.4,[
1967-09,-3.6,[
1967-10,-13.0,[
1967-11,-17.9,[
1967-12,-20.8,[
1968-01,-24.3,[
1968-02,-26.9,[
1968-03,-28.3,[
1968-04,-20.1,[
1968-05,-10.7,[
1968-06,-2.7,[
1968-07,-0.9,[
1968-08,-1.0,[
1968-09,-5.2,[
1968-10,-18.2,[
1968-11,-28.7,[
1968-12,-28.0,[
1969-01,-27.9,[
1969-02,-27.3,[
1969-03,-34.5,[
1969-04,-25.2,[
1969-05,-11.7,[
1969-06,-2.5,[
1969-07,0.1,[
1969-08,-1.0,[
1969-09,-5.2,[
1969-10,-12.3,[
1969-11,-15.4,[
1969-12,-17.2,[
1970-01,-29.2,[
1970-02,-27.5,[
1970-03,-24.4,[
1970-04,-23.5,[
1970-05,-11.9,[
1970-06,-1.6,[
1970-07,0.0,[
1970-08,-1.3,[
1970-09,-5.6,[
1970-10,-15.3,[
1970-11,-21.2,[
1970-12,-26.6,[
1971-01,-31.7,[
1971-02,-20.29,[
1971-03,-25.9,[
1971-04,-20.9,[
1971-05,-9.8,[
1971-06,-2.2,[
1971-07,0.1,[
1971-08,-0.4,[
1971-09,-3.7,[
1971-10,-13.7,[
1971-11,-22.5,[
1971-12,-22.8,[
1972-01,-19.29,[
1972-02,-26.7,[
1972-03,-23.2,[
1972-04,-23.0,[
1972-05,-13.1,[
1972-06,-1.6,[
1972-07,-0.8,[
1972-08,-1.1,[
1972-09,-4.1,[
1972-10,-13.5,[
1972-11,-20.9,[
1972-12,-26.7,[
1973-01,-27.2,[
1973-02,-25.8,[
1973-03,-25.0,[
1973-04,-18.0,[
1973-05,-11.0,[
1973-06,-2.09,[
1973-07,-0.5,[
1973-08,-0.8,[
1973-09,-7.2,[
1973-10,-19.6,[
1973-11,-24.8,[
1973-12,-30.7,[
1974-01,-23.0,[
1974-02,-27.0,[
1974-03,-23.7,[
1974-04,-19.6,[
1974-05,-9.6,[
1974-06,-2.2,[
1974-07,-0.5,[
1974-08,-1.1,[
1974-09,-5.7,[
1974-10,-15.6,[
1974-11,-22.3,[
1974-12,-23.2,[
1975-01,-25.4,[
1975-02,-27.5,[
1975-03,-28.3,[
1975-04,-18.4,[
1975-05,-11.5,[
1975-06,-2.09,[
1975-07,-0.1,[
1975-08,-1.3,[
1975-09,-2.5,[
1975-10,-15.5,[
1975-11,-23.0,[
1975-12,-19.2,[
1976-01,-26.6,[
1976-02,-22.8,[
1976-03,-21.8,[
1976-04,-16.7,[
1976-05,-11.2,[
1976-06,-2.0,[
1976-07,-0.6,[
1976-08,-1.7,[
1976-09,-5.2,[
1976-10,-15.7,[
1976-11,-24.4,[
1976-12,-28.5,[
1977-01,-23.6,[
1977-02,-31.9,[
1977-03,-31.1,[
1977-04,-24.0,[
1977-05,-9.3,[
1977-06,-1.8,[
1977-07,0.1,[
1977-08,-1.4,[
1977-09,-5.7,[
1977-10,-15.4,[
1977-11,-23.9,[
1977-12,-22.2,[
1978-01,-28.7,[
1978-02,-30.6,[
1978-03,-28.5,[
1978-04,-20.7,[
1978-05,-10.2,[
1978-06,-1.8,[
1978-07,-0.3,[
1978-08,-1.3,[
1978-09,-4.3,[
1978-10,-7.5,[
1978-11,-18.2,[
1978-12,-28.1,[
1979-01,-32.2,[
1979-02,-35.3,[
1979-03,-28.0,[
1979-04,-25.2,[
1979-05,-13.4,[
1979-06,-1.8,[
1979-07,-0.1,[
1979-08,-0.8,[
1979-09,-3.2,[
1979-10,-10.2,[
1979-11,-20.5,[
1979-12,-23.0,[
1980-01,-27.7,[
1980-02,-25.6,[
1980-03,-23.3,[
1980-04,-19.4,[
1980-05,-8.2,[
1980-06,-3.1,[
1980-07,-0.2,[
1980-08,-2.5,[
1980-09,-5.2,[
1980-10,-14.5,[
1980-11,-27.0,[
1980-12,-28.2,[
1981-01,-26.6,""""
1981-02,-26.6,""""
1981-03,-28.5,""""
1981-04,-20.29,""""
1981-05,-10.3,""""
1981-06,-2.3,""""
1981-07,-0.6,""""
1981-08,-1.1,""""
1981-09,-6.5,""""
1981-10,-13.3,""""
1981-11,-19.79,""""
1981-12,-30.1,""""
1982-01,-31.2,[
1982-02,-29.4,[
1982-03,-27.6,[
1982-04,-20.5,[
1982-05,-11.4,[
1982-06,-3.2,[
1982-07,-0.8,[
1982-08,-1.1,[
1982-09,-6.2,[
1982-10,-16.4,[
1982-11,-23.1,[
1982-12,-22.5,[
1983-01,-24.8,[
1983-02,-30.3,[
1983-03,-21.3,[
1983-04,-21.9,[
1983-05,-10.5,[
1983-06,-2.9,[
1983-07,-0.2,[
1983-08,-0.6,[
1983-09,-3.8,[
1983-10,-11.2,[
1983-11,-21.2,[
1983-12,-27.0,[
1984-01,-18.79,[
1984-02,-19.79,[
1984-03,-26.8,[
1984-04,-24.3,[
1984-05,-10.5,[
1984-06,-1.7,[
1984-07,0.2,[
1984-08,-0.7,[
1984-09,-2.6,[
1984-10,-7.0,[
1984-11,-18.4,[
1984-12,-19.7,[
1985-01,-25.7,[
1985-02,-21.3,[
1985-03,-26.3,[
1985-04,-21.4,[
1985-05,-12.4,[
1985-06,-1.3,[
1985-07,0.2,[
1985-08,-0.6,[
1985-09,-2.0,[
1985-10,-7.3,[
1985-11,-16.0,[
1985-12,-21.7,[
1986-01,-27.2,[
1986-02,-30.7,[
1986-03,-26.4,[
1986-04,-22.0,[
1986-05,-9.89,[
1986-06,-2.7,[
1986-07,0.4,[
1986-08,-1.4,[
1986-09,-7.2,[
1986-10,-10.5,[
1986-11,-20.9,[
1986-12,-28.8,[
1987-01,-27.3,[
1987-02,-27.9,[
1987-03,-29.2,[
1987-04,-16.2,[
1987-05,-9.3,[
1987-06,-2.4,[
1987-07,-0.3,[
1987-08,-1.1,[
1987-09,-6.4,[
1987-10,-17.6,[
1987-11,-23.8,[
1987-12,-27.6,[
1988-01,-28.0,[
1988-02,-21.3,[
1988-03,-31.0,[
1988-04,-26.4,[
1988-05,-8.3,[
1988-06,-1.0,[
1988-07,-0.4,[
1988-08,-1.1,[
1988-09,-7.8,[
1988-10,-18.2,[
1988-11,-25.1,[
1988-12,-24.7,[
1989-01,-28.4,[
1989-02,-29.0,[
1989-03,-30.4,[
1989-04,-23.3,[
1989-05,-9.89,[
1989-06,-2.7,[
1989-07,-0.9,[
1989-08,-1.9,[
1989-09,-4.6,[
1989-10,-14.4,[
1989-11,-24.0,[
1989-12,-26.8,[
1990-01,-26.7,[
1990-02,-23.4,[
1990-03,-23.9,[
1990-04,-15.0,[
1990-05,-9.8,[
1990-06,-1.3,[
