Date [YYYY-MM],Temperature [°C],QCFLAG
1975-01,, 
1975-02,, 
1975-03,, 
1975-04,, 
1975-05,, 
1975-06,, 
1975-07,, 
1975-08,5.51,E
1975-09,1.14,E
1975-10,-7.13,E
1975-11,-10.52,E
1975-12,-19.01,E
1976-01,-14.68,E
1976-02,-12.47,E
1976-03,-7.51,E
1976-04,-10.74,E
1976-05,-2.05,E
1976-06,3.62,E
1976-07,6.3,E
1976-08,5.07,E
1976-09,-0.58,E
1976-10,-3.72,E
1976-11,-7.52,E
1976-12,-7.82,E
1977-01,-10.82,E
1977-02,-17.37,E
1977-03,-23.15,E
1977-04,-15.7,E
1977-05,-4.19,E
1977-06,1.98,E
1977-07,6.5,E
1977-08,5.35,E
1977-09,0.4,E
1977-10,-4.2,E
1977-11,-6.53,E
1977-12,-8.92,E
1978-01,-20.29,E
1978-02,-19.93,E
1978-03,-17.24,E
1978-04,-9.97,E
1978-05,-3.37,E
1978-06,2.21,E
1978-07,6.57,E
1978-08,5.48,E
1978-09,-1.49,E
1978-10,-5.53,E
1978-11,-10.75,E
1978-12,-12.23,E
1979-01,-19.9,E
1979-02,-20.25,E
1979-03,-16.43,E
1979-04,-17.24,E
1979-05,-7.5,E
1979-06,-0.06,E
1979-07,8.43,E
1979-08,5.32,E
1979-09,1.25,E
1979-10,-4.03,E
1979-11,-6.42,E
1979-12,-12.2,E
1980-01,-16.5,E
1980-02,-14.43,E
1980-03,-14.9,E
1980-04,-9.47,E
1980-05,-2.93,E
1980-06,3.82,E
1980-07,6.46,E
1980-08,4.67,E
1980-09,1.24,E
1980-10,-7.1,E
1980-11,-14.53,E
1980-12,-18.41,E
1981-01,-21.54,E
1981-02,-12.39,E
1981-03,-19.29,E
1981-04,-12.07,E
1981-05,-4.83,E
1981-06,0.38,E
1981-07,5.8,E
1981-08,5.89,E
1981-09,1.51,E
1981-10,-3.59,E
1981-11,-7.43,E
1981-12,-14.81,E
1982-01,-19.47,E
1982-02,-15.46,E
1982-03,-8.71,E
1982-04,-9.94,E
1982-05,-3.8,E
1982-06,1.32,E
1982-07,5.63,E
1982-08,4.29,E
1982-09,-2.62,E
1982-10,-5.27,E
1982-11,-8.42,E
1982-12,-13.29,E
1983-01,-10.81,E
1983-02,-16.1,E
1983-03,-9.84,E
1983-04,-11.48,E
1983-05,-3.21,E
1983-06,1.53,E
1983-07,6.46,E
1983-08,4.52,E
1983-09,1.47,E
1983-10,-6.23,E
1983-11,-14.23,E
1983-12,-17.04,E
1984-01,-8.87,E
1984-02,-9.22,E
1984-03,-14.61,E
1984-04,-7.86,E
1984-05,-2.37,E
1984-06,3.08,E
1984-07,7.09,E
1984-08,5.33,E
1984-09,1.76,E
1984-10,-2.43,E
1984-11,-4.62,E
1984-12,-2.49,E
1985-01,-12.54,E
1985-02,-9.57,E
1985-03,-11.93,E
1985-04,-13.54,E
1985-05,-3.29,E
1985-06,3.48,E
1985-07,7.62,E
1985-08,5.04,E
1985-09,0.65,E
1985-10,-6.87,E
1985-11,-9.39,E
1985-12,-13.59,E
1986-01,-15.95,E
1986-02,-22.41,E
1986-03,-14.38,E
1986-04,-14.59,E
1986-05,-2.84,E
1986-06,4.23,E
1986-07,7.0,E
1986-08,5.57,E
1986-09,-1.27,E
1986-10,-4.07,E
1986-11,-9.15,E
1986-12,-11.44,E
1987-01,-11.8,E
1987-02,-18.17,E
1987-03,-14.06,E
1987-04,-9.21,E
1987-05,-3.19,E
1987-06,2.41,E
1987-07,5.2,E
1987-08,4.44,E
1987-09,-1.12,E
1987-10,-6.52,E
1987-11,-10.05,E
1987-12,-17.82,E
1988-01,-17.08,E
1988-02,-14.99,E
1988-03,-19.91,E
1988-04,-18.15,E
1988-05,-2.2,E
1988-06,3.45,E
1988-07,7.07,E
1988-08,5.92,E
1988-09,-1.23,E
1988-10,-9.41,E
1988-11,-16.85,E
1988-12,-22.41,E
1989-01,-18.72,E
1989-02,-19.18,E
1989-03,-15.36,E
1989-04,-7.71,E
1989-05,-1.24,E
1989-06,2.87,E
1989-07,5.77,E
1989-08,5.37,E
1989-09,1.39,E
1989-10,-5.57,E
1989-11,-9.14,E
1989-12,-15.32,E
1990-01,-6.23,E
1990-02,-9.88,E
1990-03,-15.46,E
1990-04,-8.05,E
1990-05,-3.81,E
1990-06,3.06,E
1990-07,7.04,E
1990-08,5.83,E
1990-09,5.48,E
1990-10,-2.39,E
1990-11,-11.93,E
1990-12,-8.86,E
1991-01,-12.33,E
1991-02,-9.19,E
1991-03,-8.32,E
1991-04,-11.82,E
1991-05,-3.49,E
1991-06,2.9,E
1991-07,5.99,E
1991-08,6.7,E
1991-09,0.77,E
1991-10,-5.28,E
1991-11,-11.65,E
1991-12,-12.75,E
1992-01,-12.61,E
1992-02,-18.0,E
1992-03,-11.66,E
1992-04,-6.75,E
1992-05,-2.23,E
1992-06,3.53,E
1992-07,6.48,E
1992-08,4.85,E
1992-09,3.09,E
1992-10,-8.25,E
1992-11,-6.75,E
1992-12,-12.1,E
1993-01,-17.1,E
1993-02,-16.67,E
1993-03,-16.73,E
1993-04,-14.63,E
1993-05,-3.59,E
1993-06,2.77,E
1993-07,8.52,E
1993-08,6.88,E
1993-09,0.09,E
1993-10,-8.4,E
1993-11,-2.54,E
1993-12,-10.95,E
1994-01,-16.69,E
1994-02,-16.09,E
1994-03,-9.84,E
1994-04,-6.53,E
1994-05,-3.55,E
1994-06,3.46,E
1994-07,5.58,E
1994-08,3.77,E
1994-09,0.61,E
1994-10,-8.82,E
1994-11,-14.15,E
1994-12,-7.99,E
1995-01,-16.55,E
1995-02,-14.37,E
1995-03,-15.03,E
1995-04,-7.03,E
1995-05,-2.28,E
1995-06,3.79,E
1995-07,6.65,E
1995-08,5.73,E
1995-09,2.31,E
1995-10,-6.12,E
1995-11,-14.28,E
1995-12,-14.24,E
1996-01,-9.53,E
1996-02,-17.37,E
1996-03,-6.78,E
1996-04,-9.63,E
1996-05,-4.53,E
1996-06,2.75,E
1996-07,5.77,E
1996-08,5.49,E
1996-09,1.1,E
1996-10,-3.83,E
1996-11,-5.16,E
1996-12,-15.91,E
1997-01,-17.91,E
1997-02,-16.14,E
1997-03,-12.25,E
1997-04,-13.83,E
1997-05,-3.06,E
1997-06,2.96,E
1997-07,5.79,E
1997-08,5.09,E
1997-09,0.73,E
1997-10,-4.96,E
1997-11,-8.27,E
1997-12,-9.95,E
1998-01,-20.02,E
1998-02,-19.83,E
1998-03,-13.39,E
1998-04,-12.61,E
1998-05,-5.3,E
1998-06,2.96,E
1998-07,8.97,E
1998-08,7.27,E
1998-09,0.62,E
1998-10,-3.69,E
1998-11,-5.49,E
1998-12,-11.69,E
1999-01,-10.19,E
1999-02,-12.66,E
1999-03,-8.0,E
1999-04,-10.57,E
1999-05,-1.91,E
1999-06,3.2,E
1999-07,6.9,E
1999-08,5.11,E
1999-09,3.22,E
1999-10,-5.94,E
1999-11,-3.84,E
1999-12,-10.03,E
2000-01,-8.7,E
2000-02,-11.03,E
2000-03,-14.73,E
2000-04,-12.67,E
2000-05,-4.05,E
2000-06,2.47,E
2000-07,6.62,E
2000-08,5.31,E
2000-09,2.31,E
2000-10,1.68,E
2000-11,-3.74,E
2000-12,-9.58,E
2001-01,-8.32,E
2001-02,-9.21,E
2001-03,-16.75,E
2001-04,-12.42,E
2001-05,-2.62,E
2001-06,3.94,E
2001-07,6.82,E
2001-08,6.87,E
2001-09,3.58,E
2001-10,-5.02,E
2001-11,-11.17,E
2001-12,-8.78,E
2002-01,-12.91,E
2002-02,-13.28,E
2002-03,-18.39,E
2002-04,-5.93,E
2002-05,-3.05,E
2002-06,4.12,E
2002-07,7.48,E
2002-08,7.88,E
2002-09,0.18,E
2002-10,-3.07,E
2002-11,-5.86,E
2002-12,-7.46,E
2003-01,-18.31,E
2003-02,-12.06,E
2003-03,-17.65,E
2003-04,-9.6,E
2003-05,-2.48,E
2003-06,3.09,E
2003-07,7.47,E
2003-08,6.68,E
2003-09,0.71,E
2003-10,-4.25,E
2003-11,-7.07,E
2003-12,-18.89,E
2004-01,-16.91,E
2004-02,-17.5,E
2004-03,-7.48,E
2004-04,-4.19,E
2004-05,-1.58,E
2004-06,3.31,E
2004-07,8.36,E
2004-08,6.07,E
2004-09,1.57,E
2004-10,-3.69,E
2004-11,-11.44,E
2004-12,-6.86,E
