Date [YYYY-MM],Temperature [°C],QCFLAG
1916-01,, 
1916-02,, 
1916-03,, 
1916-04,2.51,E
1916-05,7.45,E
1916-06,11.67,E
1916-07,15.89,E
1916-08,11.63,E
1916-09,7.53,E
1916-10,1.23,E
1916-11,1.68,E
1916-12,-4.82,E
1917-01,-17.13,E
1917-02,-8.42,E
1917-03,-8.02,E
1917-04,-1.06,E
1917-05,7.49,E
1917-06,15.64,E
1917-07,13.69,E
1917-08,14.9,E
1917-09,9.32,E
1917-10,4.46,E
1917-11,-1.57,E
1917-12,-7.64,E
1918-01,-11.14,E
1918-02,-6.02,E
1918-03,-2.63,E
1918-04,2.37,E
1918-05,8.96,E
1918-06,10.99,E
1918-07,15.27,E
1918-08,13.46,E
1918-09,7.52,E
1918-10,5.42,E
1918-11,-0.18,E
1918-12,-7.0,E
1919-01,-5.2,E
1919-02,-11.55,E
1919-03,-5.24,E
1919-04,1.25,E
1919-05,10.03,E
1919-06,12.46,E
1919-07,16.86,E
1919-08,11.21,E
1919-09,9.62,E
1919-10,1.55,E
1919-11,-6.37,E
1919-12,-9.19,E
1920-01,-8.76,E
1920-02,-2.49,E
1920-03,1.13,E
1920-04,3.29,E
1920-05,9.21,E
1920-06,12.55,E
1920-07,15.16,E
1920-08,11.77,E
1920-09,9.17,E
1920-10,2.62,E
1920-11,-0.34,E
1920-12,-6.64,E
1921-01,-6.94,E
1921-02,-6.73,E
1921-03,0.98,E
1921-04,5.42,E
1921-05,9.99,E
1921-06,11.67,E
1921-07,13.55,E
1921-08,12.49,E
1921-09,7.99,E
1921-10,4.14,E
1921-11,-5.11,E
1921-12,-5.67,E
1922-01,-10.95,E
1922-02,-7.4,E
1922-03,-3.42,E
1922-04,-0.62,E
1922-05,8.22,E
1922-06,12.34,E
1922-07,14.68,E
1922-08,12.57,E
1922-09,7.49,E
1922-10,2.31,E
1922-11,-2.79,E
1922-12,-3.95,E
1923-01,-3.57,E
1923-02,-9.45,E
1923-03,-2.09,E
1923-04,0.61,E
1923-05,6.06,E
1923-06,8.91,E
1923-07,15.63,E
1923-08,12.66,E
1923-09,8.42,E
1923-10,3.77,E
1923-11,-4.6,E
1923-12,-8.5,E
1924-01,-7.74,E
1924-02,-10.29,E
1924-03,-8.23,E
1924-04,-0.5,E
1924-05,7.22,E
1924-06,11.4,E
1924-07,14.75,E
1924-08,14.11,E
1924-09,9.72,E
1924-10,5.36,E
1924-11,-1.49,E
1924-12,0.0,E
1925-01,-3.26,E
1925-02,-3.52,E
1925-03,-6.71,E
1925-04,2.02,E
1925-05,8.56,E
1925-06,12.99,E
1925-07,17.5,E
1925-08,13.75,E
1925-09,8.44,E
1925-10,1.03,E
1925-11,-8.08,E
1925-12,-13.82,E
1926-01,-8.62,E
1926-02,-10.03,E
1926-03,-3.0,E
1926-04,2.55,E
1926-05,6.24,E
