Date [YYYY-MM],Temperature [°C],QCFLAG
1995-01,, 
1995-02,, 
1995-03,, 
1995-04,, 
1995-05,, 
1995-06,, 
1995-07,, 
1995-08,, 
1995-09,, 
1995-10,, 
1995-11,, 
1995-12,-9.14,E
1996-01,-8.25,E
1996-02,-10.84,E
1996-03,-3.49,E
1996-04,1.69,E
1996-05,5.15,E
1996-06,10.68,E
1996-07,12.41,E
1996-08,14.89,E
1996-09,7.15,E
1996-10,3.44,E
1996-11,-6.51,E
1996-12,-9.3,E
1997-01,-4.94,E
1997-02,-5.88,E
1997-03,-2.39,E
1997-04,-1.31,E
1997-05,4.59,E
1997-06,13.25,E
1997-07,16.64,E
1997-08,14.73,E
1997-09,8.7,E
1997-10,0.57,E
1997-11,-4.06,E
1997-12,-6.59,E
1998-01,-5.21,E
1998-02,-5.66,E
1998-03,-4.45,E
1998-04,-1.03,E
1998-05,6.29,E
1998-06,11.0,E
1998-07,13.28,E
1998-08,10.89,E
1998-09,9.01,E
1998-10,2.67,E
1998-11,-6.33,E
1998-12,-5.95,E
1999-01,-10.18,E
1999-02,-7.52,E
1999-03,-3.89,E
1999-04,2.35,E
1999-05,5.51,E
1999-06,12.71,E
1999-07,13.33,E
1999-08,10.97,E
1999-09,10.34,E
1999-10,2.74,E
1999-11,0.93,E
1999-12,-10.28,E
2000-01,-5.8,E
2000-02,-5.19,E
2000-03,-3.58,E
2000-04,1.8,E
2000-05,8.39,E
2000-06,10.08,E
2000-07,13.72,E
2000-08,11.82,E
2000-09,8.22,E
2000-10,5.1,E
2000-11,0.24,E
2000-12,-5.82,E
2001-01,-5.16,E
2001-02,-10.69,E
2001-03,-7.78,E
2001-04,0.84,E
2001-05,5.93,E
2001-06,11.69,E
2001-07,14.07,E
2001-08,12.55,E
2001-09,8.51,E
2001-10,3.62,E
2001-11,-1.92,E
2001-12,-7.54,E
2002-01,-7.63,E
2002-02,-4.04,E
2002-03,-2.86,E
2002-04,4.17,E
2002-05,9.67,E
2002-06,14.02,E
2002-07,15.52,E
2002-08,17.04,E
2002-09,8.37,E
2002-10,-0.61,E
2002-11,-6.83,E
2002-12,-9.16,E
2003-01,-10.51,E
2003-02,-5.89,E
2003-03,-0.28,E
2003-04,1.7,E
2003-05,7.27,E
