Date [YYYY-MM],Temperature [°C],QCFLAG
1980-01,, 
1980-02,,]
1980-03,, 
1980-04,, 
1980-05,, 
1980-06,, 
1980-07,, 
1980-08,, 
1980-09,, 
1980-10,, 
1980-11,, 
1980-12,, 
1981-01,4.03,]
1981-02,4.0,]
1981-03,, 
1981-04,, 
1981-05,, 
1981-06,, 
1981-07,, 
1981-08,12.27,]
1981-09,, 
1981-10,, 
1981-11,, 
1981-12,, 
1982-01,, 
1982-02,5.57,]
1982-03,5.55,]
1982-04,6.34,]
1982-05,, 
1982-06,9.98,]
1982-07,12.49,]
1982-08,11.84,]
1982-09,10.44,]
1982-10,9.43,]
1982-11,6.92,]
1982-12,5.11,]
1983-01,4.8,]
1983-02,3.64,]
1983-03,5.01,]
1983-04,4.9,]
1983-05,7.52,]
1983-06,9.93,]
1983-07,11.76,]
1983-08,11.99,]
1983-09,9.8,]
1983-10,8.27,]
1983-11,6.74,]
1983-12,5.68,]
1984-01,3.32,]
1984-02,4.9,]
1984-03,3.92,]
1984-04,6.18,]
1984-05,7.79,]
1984-06,10.06,]
1984-07,11.94,]
1984-08,12.87,]
1984-09,10.64,]
1984-10,9.11,]
1984-11,7.35,]
1984-12,6.58,]
1985-01,3.65,]
1985-02,4.06,]
1985-03,4.06,]
1985-04,5.04,]
1985-05,7.87,]
1985-06,9.59,]
1985-07,11.85,]
1985-08,12.39,]
1985-09,9.61,]
1985-10,9.7,]
1985-11,,]
1985-12,4.4,]
1986-01,3.35,]
1986-02,3.2,]
1986-03,5.01,]
1986-04,4.93,]
1986-05,8.07,]
1986-06,9.85,]
1986-07,11.52,]
1986-08,11.25,]
1986-09,9.16,]
1986-10,8.6,]
1986-11,, 
1986-12,5.12,]
1987-01,3.13,]
1987-02,3.43,]
1987-03,2.98,]
1987-04,6.88,]
1987-05,6.9,]
1987-06,9.11,]
1987-07,11.74,]
1987-08,, 
1987-09,10.49,]
1987-10,8.92,]
1987-11,7.37,]
1987-12,7.08,]
1988-01,, 
1988-02,, 
1988-03,, 
1988-04,5.08,]
1988-05,8.43,]
1988-06,10.88,]
1988-07,12.13,]
1988-08,12.42,]
1988-09,11.33,]
1988-10,8.92,]
1988-11,6.59,]
1988-12,, 
1989-01,6.83,]
1989-02,5.27,]
1989-03,5.41,]
1989-04,6.15,]
1989-05,8.5,]
1989-06,10.06,]
1989-07,12.0,]
1989-08,12.03,]
1989-09,, 
1989-10,, 
1989-11,, 
1989-12,5.48,]
1990-01,6.14,]
1990-02,5.69,]
1990-03,, 
1990-04,6.07,]
1990-05,, 
1990-06,10.69,]
1990-07,12.07,]
1990-08,12.77,]
1990-09,10.82,]
1990-10,9.32,]
1990-11,, 
1990-12,5.22,]
1991-01,5.14,]
1991-02,4.09,]
1991-03,6.15,]
1991-04,6.2,]
1991-05,7.94,]
1991-06,9.14,]
1991-07,,]
1991-08,, 
1991-09,10.83,]
1991-10,8.67,]
1991-11,6.53,]
1991-12,, 
1992-01,, 
1992-02,, 
1992-03,4.83,]
1992-04,6.37,]
1992-05,9.08,]
1992-06,11.92,]
1992-07,11.83,]
1992-08,12.08,]
1992-09,10.85,]
1992-10,7.69,]
1992-11,6.36,]
1992-12,5.46,]
1993-01,, 
1993-02,5.07,]
1993-03,5.93,]
1993-04,, 
1993-05,9.03,]
1993-06,10.16,]
1993-07,11.69,]
1993-08,12.03,]
1993-09,10.99,]
1993-10,, 
1993-11,6.78,]
1993-12,4.43,]
1994-01,, 
1994-02,3.65,]
1994-03,4.41,]
1994-04,6.52,]
1994-05,, 
1994-06,9.77,]
1994-07,,]
1994-08,, 
1994-09,10.76,]
1994-10,8.39,]
1994-11,8.41,]
1994-12,5.83,]
1995-01,4.76,]
1995-02,, 
1995-03,3.13,]
1995-04,, 
1995-05,7.49,]
1995-06,, 
1995-07,,]
1995-08,, 
1995-09,12.26,]
1995-10,, 
1995-11,, 
1995-12,,]
