Date [YYYY-MM],Temperature [°C],QCFLAG
2002-01,, 
2002-02,, 
2002-03,, 
2002-04,, 
2002-05,, 
2002-06,, 
2002-07,, 
2002-08,13.66,0
2002-09,10.16,0
2002-10,7.55,0
2002-11,5.26,0
2002-12,1.6,0
2003-01,1.25,0
2003-02,2.33,0
2003-03,0.51,0
2003-04,5.09,0
2003-05,8.91,0
2003-06,11.16,0
2003-07,15.32,0
2003-08,13.89,0
2003-09,10.22,0
2003-10,7.49,0
2003-11,, 
2003-12,-0.63,0
2004-01,-5.03,0
2004-02,1.11,0
2004-03,-0.56,0
2004-04,3.08,0
2004-05,8.44,0
2004-06,13.56,0
2004-07,14.93,0
2004-08,16.38,0
2004-09,10.13,0
2004-10,5.95,0
2004-11,, 
2004-12,0.2,0
2005-01,-1.27,0
2005-02,, 
2005-03,1.7,0
2005-04,4.53,0
2005-05,9.42,0
2005-06,13.38,0
2005-07,14.97,0
2005-08,14.09,0
2005-09,11.38,0
2005-10,5.64,0
2005-11,, 
2005-12,1.25,0
2006-01,-3.6,0
2006-02,, 
2006-03,, 
2006-04,, 
2006-05,7.46,0
2006-06,11.64,0
2006-07,13.31,0
2006-08,12.4,0
2006-09,10.0,0
2006-10,5.54,0
2006-11,-3.36,0
2006-12,-0.27,0
2007-01,-3.12,0
2007-02,-2.96,0
2007-03,-5.49,0
2007-04,3.18,0
2007-05,6.53,0
2007-06,11.13,0
2007-07,13.68,0
2007-08,14.28,0
2007-09,11.4,0
2007-10,5.15,0
2007-11,2.59,0
2007-12,-0.78,0
2008-01,-4.46,0
2008-02,-3.26,0
2008-03,-0.57,0
2008-04,1.12,0
2008-05,6.07,0
2008-06,8.93,0
2008-07,12.32,0
2008-08,11.98,0
2008-09,8.84,0
2008-10,3.03,0
2008-11,0.87,0
2008-12,-2.65,0
2009-01,-3.98,0
2009-02,-4.49,0
2009-03,-2.15,0
2009-04,1.78,0
2009-05,7.75,0
2009-06,11.26,0
2009-07,14.58,0
2009-08,12.51,0
2009-09,10.23,0
2009-10,7.06,0
2009-11,0.71,0
2009-12,-0.49,0
2010-01,-0.82,0
2010-02,1.55,0
2010-03,-0.09,0
2010-04,3.21,0
2010-05,7.54,0
2010-06,11.27,0
2010-07,12.1,0
2010-08,13.02,0
2010-09,11.08,0
2010-10,5.25,0
2010-11,2.1,0
2010-12,-3.44,0
2011-01,-2.3,K
2011-02,-3.67,K
2011-03,-1.75,K
2011-04,3.25,K
2011-05,7.32,K
2011-06,11.25,K
2011-07,, 
2011-08,12.4,K
2011-09,9.61,K
2011-10,5.23,K
2011-11,-2.69,K
2011-12,-1.98,K
2012-01,-8.69,K
2012-02,-1.17,K
2012-03,-3.31,K
2012-04,3.59,K
2012-05,4.84,7
2012-06,9.08,K
2012-07,11.0,K
2012-08,12.73,7
2012-09,9.55,7
2012-10,4.0,7
2012-11,-0.27,7
2012-12,-3.5,7
2013-01,, 
2013-02,0.67,7
2013-03,-2.02,7
2013-04,-1.0,7
2013-05,4.94,7
2013-06,, 
2013-07,15.34,7
2013-08,13.51,7
2013-09,10.36,7
2013-10,6.86,7
2013-11,0.86,7
2013-12,-2.72,7
2014-01,2.13,7
2014-02,-4.43,7
2014-03,-0.75,7
2014-04,2.82,7
2014-05,10.31,7
2014-06,12.06,7
2014-07,14.56,7
2014-08,13.33,7
2014-09,11.62,7
2014-10,6.01,7
2014-11,3.48,7
2014-12,2.17,7
2015-01,0.73,7
2015-02,0.68,7
2015-03,1.14,7
2015-04,4.68,7
2015-05,9.45,7
2015-06,13.38,7
2015-07,14.95,7
2015-08,15.19,7
2015-09,9.72,7
2015-10,7.0,7
2015-11,1.06,7
2015-12,0.2,7
2016-01,2.52,7
2016-02,2.63,7
2016-03,, 
2016-04,5.53,7
2016-05,10.13,7
2016-06,, 
2016-07,16.07,7
2016-08,13.93,7
2016-09,10.75,7
2016-10,4.98,7
2016-11,2.9,7
2016-12,-2.06,7
2017-01,-3.28,7
2017-02,-2.69,7
2017-03,-4.94,7
2017-04,, 
2017-05,, 
2017-06,10.21,7
2017-07,13.75,7
2017-08,12.59,7
2017-09,9.55,7
2017-10,4.95,7
2017-11,, 
2017-12,-0.72,7
2018-01,-1.9,7
2018-02,-5.05,7
2018-03,-1.04,7
2018-04,, 
2018-05,5.25,7
2018-06,12.32,7
2018-07,13.59,7
2018-08,, 
2018-09,12.0,7
2018-10,6.95,7
2018-11,2.5,7
2018-12,-0.13,7
2019-01,-1.99,7
2019-02,-3.55,7
2019-03,1.66,7
2019-04,3.45,7
2019-05,7.15,7
2019-06,, 
2019-07,15.37,7
2019-08,14.55,7
2019-09,9.23,7
2019-10,4.53,7
2019-11,2.39,7
2019-12,-0.65,7
2020-01,-8.06,7
2020-02,-4.68,7
2020-03,-4.37,7
2020-04,0.0,7
2020-05,4.85,7
2020-06,7.94,7
2020-07,11.64,7
2020-08,,7
2020-09,8.36,7
2020-10,, 
2020-11,, 
2020-12,, 
