Date [YYYY-MM],Temperature [°C],QCFLAG
1999-01,, 
1999-02,, 
1999-03,, 
1999-04,, 
1999-05,, 
1999-06,, 
1999-07,, 
1999-08,12.8,U
1999-09,5.55,U
1999-10,-4.77,U
1999-11,, 
1999-12,, 
2000-01,, 
2000-02,, 
2000-03,, 
2000-04,, 
2000-05,4.79,U
2000-06,13.53,U
2000-07,13.51,U
2000-08,8.67,U
2000-09,3.83,U
2000-10,-6.28,U
2000-11,-11.92,U
2000-12,-14.47,U
2001-01,-12.63,U
2001-02,-12.36,U
2001-03,-10.94,U
2001-04,0.24,U
2001-05,5.82,U
2001-06,13.39,U
2001-07,13.63,U
2001-08,11.95,U
2001-09,7.79,U
2001-10,-6.3,U
2001-11,-14.96,U
2001-12,-19.04,U
2002-01,-13.36,U
2002-02,-14.74,U
2002-03,-10.03,U
2002-04,-5.35,U
2002-05,8.15,U
2002-06,11.93,U
2002-07,14.35,U
2002-08,10.6,U
2002-09,6.89,U
2002-10,-1.09,U
2002-11,-8.21,U
2002-12,-13.46,U
2003-01,-14.49,U
2003-02,-9.3,U
2003-03,-11.01,U
2003-04,-0.17,U
2003-05,6.65,U
2003-06,12.82,U
2003-07,14.02,U
2003-08,11.35,U
2003-09,3.5,U
2003-10,-0.2,U
2003-11,-11.39,U
2003-12,-17.67,U
2004-01,-21.0,U
2004-02,-12.66,U
2004-03,-12.36,U
2004-04,2.37,U
2004-05,9.53,U
2004-06,,U
2004-07,15.91,U
2004-08,14.83,U
2004-09,2.41,U
2004-10,-2.48,U
2004-11,-13.01,U
2004-12,-17.84,U
2005-01,-15.6,U
2005-02,-14.11,U
2005-03,-6.4,U
2005-04,1.31,U
2005-05,11.05,U
2005-06,14.2,U
2005-07,14.37,U
2005-08,12.1,U
2005-09,7.34,U
2005-10,-4.46,U
2005-11,-19.98,U
2005-12,-12.34,U
2006-01,-24.84,U
2006-02,, 
2006-03,, 
2006-04,, 
2006-05,, 
2006-06,12.18,U
2006-07,14.28,U
2006-08,10.68,U
2006-09,8.45,U
2006-10,-1.28,U
2006-11,-20.66,U
2006-12,-16.56,U
2007-01,-18.09,U
2007-02,-18.14,U
2007-03,-19.44,U
2007-04,2.96,U
2007-05,8.22,U
2007-06,14.16,U
2007-07,15.92,U
2007-08,14.6,U
2007-09,6.94,U
2007-10,-5.86,U
2007-11,-10.75,U
2007-12,-16.63,U
2008-01,-22.08,U
2008-02,-18.12,U
2008-03,-9.34,U
2008-04,-1.26,U
2008-05,7.01,U
2008-06,12.79,U
2008-07,13.18,U
2008-08,9.84,U
2008-09,5.69,U
2008-10,-9.15,U
2008-11,-15.74,U
2008-12,-19.78,U
2009-01,-19.13,U
2009-02,-16.58,U
2009-03,-14.2,U
2009-04,-0.34,U
2009-05,8.01,U
2009-06,12.51,U
2009-07,16.09,U
2009-08,9.91,U
2009-09,6.88,U
2009-10,, 
2009-11,, 
2009-12,, 
2010-01,, 
2010-02,, 
2010-03,, 
2010-04,, 
2010-05,10.55,U
2010-06,12.8,U
2010-07,14.92,U
2010-08,12.98,U
2010-09,6.13,U
2010-10,-3.61,U
2010-11,-11.11,U
2010-12,-23.36,U
2011-01,-17.94,U
2011-02,-19.15,U
2011-03,-10.28,U
2011-04,-0.98,U
2011-05,9.09,U
2011-06,12.59,U
2011-07,14.11,U
2011-08,11.72,U
2011-09,, 
2011-10,, 
2011-11,, 
2011-12,, 
2012-01,, 
2012-02,, 
2012-03,, 
2012-04,, 
2012-05,, 
2012-06,14.22,U
2012-07,13.71,U
2012-08,11.46,U
2012-09,6.36,U
2012-10,-6.32,U
2012-11,-18.58,U
2012-12,-21.32,U
2013-01,-16.76,U
2013-02,-14.91,U
2013-03,-11.86,U
2013-04,-8.69,U
2013-05,, 
2013-06,, 
2013-07,, 
2013-08,, 
2013-09,, 
2013-10,, 
2013-11,, 
2013-12,, 
2014-01,-11.11,U
2014-02,-16.73,U
2014-03,-8.66,U
2014-04,0.3,U
2014-05,7.96,U
2014-06,12.01,U
2014-07,13.18,U
2014-08,12.34,U
2014-09,5.72,U
2014-10,-4.8,U
2014-11,-11.1,U
2014-12,-11.89,U
2015-01,-17.39,U
2015-02,-13.41,U
2015-03,-7.65,U
2015-04,1.88,U
2015-05,10.85,U
2015-06,13.06,U
2015-07,14.84,U
2015-08,10.42,U
2015-09,4.58,U
2015-10,-1.12,U
2015-11,-12.28,U
2015-12,-16.04,U
2016-01,-11.81,U
2016-02,-9.31,U
2016-03,-5.36,U
2016-04,4.35,U
2016-05,9.45,U
2016-06,13.03,U
2016-07,15.63,U
2016-08,13.99,U
2016-09,6.15,U
2016-10,-3.61,U
2016-11,-13.83,U
2016-12,-17.55,U
2017-01,-20.56,U
2017-02,-14.96,U
2017-03,-17.3,U
2017-04,1.62,U
2017-05,8.0,U
2017-06,14.22,U
2017-07,16.78,U
2017-08,13.12,U
2017-09,7.43,U
2017-10,-1.81,U
2017-11,, 
2017-12,, 
2018-01,, 
2018-02,, 
2018-03,, 
2018-04,-1.4,U
2018-05,7.75,U
2018-06,12.25,U
2018-07,15.31,U
2018-08,11.02,U
2018-09,7.32,U
2018-10,, 
2018-11,, 
2018-12,, 
