Date [YYYY-MM],Temperature [°C],QCFLAG
1990-01,, 
1990-02,, 
1990-03,, 
1990-04,, 
1990-05,, 
1990-06,14.37,U
1990-07,15.94,U
1990-08,12.65,U
1990-09,2.62,U
1990-10,-7.76,U
1990-11,, 
1990-12,, 
1991-01,, 
1991-02,, 
1991-03,, 
1991-04,, 
1991-05,, 
1991-06,15.87,U
1991-07,13.91,U
1991-08,9.78,U
1991-09,4.86,U
1991-10,-8.48,U
1991-11,, 
1991-12,, 
1992-01,, 
1992-02,, 
1992-03,, 
1992-04,, 
1992-05,, 
1992-06,14.64,U
1992-07,15.93,U
1992-08,11.87,U
1992-09,-2.2,U
1992-10,-12.49,U
1992-11,, 
1992-12,, 
1993-01,, 
1993-02,, 
1993-03,, 
1993-04,, 
1993-05,, 
1993-06,15.65,U
1993-07,18.66,U
1993-08,11.44,U
1993-09,3.65,U
1993-10,-5.64,U
1993-11,, 
1993-12,, 
1994-01,, 
1994-02,, 
1994-03,, 
1994-04,, 
1994-05,8.63,U
1994-06,13.12,U
1994-07,17.65,U
1994-08,13.59,U
1994-09,2.76,U
1994-10,-7.67,U
1994-11,-24.39,U
1994-12,-28.04,U
1995-01,-28.97,U
1995-02,-25.45,U
1995-03,-19.65,U
1995-04,-0.6,U
1995-05,, 
1995-06,14.93,U
1995-07,15.91,U
1995-08,12.08,U
1995-09,7.41,U
1995-10,-8.23,U
1995-11,-28.31,U
1995-12,-31.41,U
1996-01,, 
1996-02,, 
1996-03,, 
1996-04,, 
1996-05,, 
1996-06,13.45,U
1996-07,16.03,U
1996-08,8.27,U
1996-09,2.7,U
1996-10,-16.79,U
1996-11,-25.18,U
1996-12,-29.38,U
1997-01,, 
1997-02,, 
1997-03,, 
1997-04,, 
1997-05,, 
1997-06,15.65,U
1997-07,16.32,U
1997-08,13.62,U
1997-09,6.68,U
1997-10,-11.46,U
1997-11,-21.84,U
1997-12,-25.11,U
1998-01,, 
1998-02,-22.42,U
1998-03,-14.03,U
1998-04,1.07,U
1998-05,8.78,U
1998-06,14.71,U
1998-07,17.03,U
1998-08,10.91,U
1998-09,5.25,U
1998-10,-8.32,U
1998-11,-22.0,U
1998-12,-26.94,U
1999-01,, 
1999-02,, 
1999-03,, 
1999-04,, 
1999-05,6.64,U
1999-06,15.38,U
1999-07,15.24,U
1999-08,13.22,U
1999-09,4.72,U
1999-10,-10.61,U
1999-11,-25.97,U
1999-12,-30.37,U
2000-01,, 
2000-02,, 
2000-03,, 
2000-04,, 
2000-05,, 
2000-06,16.03,U
2000-07,15.48,U
2000-08,9.65,U
2000-09,2.36,U
2000-10,-9.21,U
2000-11,-18.2,U
2000-12,-26.12,U
2001-01,-19.65,U
2001-02,, 
2001-03,, 
2001-04,, 
2001-05,, 
2001-06,14.78,U
2001-07,14.94,U
2001-08,11.55,U
2001-09,4.37,U
2001-10,-8.98,U
2001-11,-23.29,U
2001-12,-27.76,U
2002-01,-23.6,U
2002-02,, 
2002-03,-18.63,U
2002-04,-6.19,U
2002-05,5.97,U
2002-06,13.61,U
2002-07,15.39,U
2002-08,10.21,U
2002-09,6.15,U
2002-10,-6.29,U
2002-11,-15.11,U
2002-12,, 
2003-01,, 
2003-02,, 
2003-03,, 
2003-04,-4.04,U
2003-05,6.01,U
2003-06,14.03,U
2003-07,, 
2003-08,, 
2003-09,, 
2003-10,, 
2003-11,, 
2003-12,, 
2004-01,, 
2004-02,, 
2004-03,, 
2004-04,, 
2004-05,, 
2004-06,17.68,U
2004-07,17.58,U
2004-08,13.59,U
2004-09,-0.41,U
2004-10,-6.17,U
2004-11,-20.77,U
2004-12,-27.3,U
2005-01,-32.1,U
2005-02,-24.84,U
2005-03,-14.29,U
2005-04,-4.63,U
2005-05,10.84,U
2005-06,16.68,U
2005-07,14.39,U
2005-08,12.2,U
2005-09,5.23,U
2005-10,-6.46,U
2005-11,-25.93,U
2005-12,-22.39,U
2006-01,-32.72,U
2006-02,, 
2006-03,-22.02,U
2006-04,-7.15,U
2006-05,8.39,U
2006-06,14.67,U
2006-07,15.18,U
2006-08,11.32,U
2006-09,7.4,U
2006-10,-4.27,U
2006-11,-28.31,U
2006-12,-23.56,U
2007-01,-24.0,U
2007-02,-30.78,U
2007-03,-24.12,U
2007-04,-0.41,U
2007-05,8.69,U
2007-06,15.59,U
2007-07,17.88,U
2007-08,12.9,U
2007-09,4.33,U
2007-10,-9.28,U
2007-11,-17.63,U
2007-12,-26.97,U
2008-01,-28.32,U
2008-02,-28.92,U
2008-03,-18.46,U
2008-04,-1.74,U
2008-05,7.21,U
2008-06,14.58,U
2008-07,14.78,U
2008-08,8.72,U
2008-09,2.42,U
2008-10,-14.18,U
2008-11,-21.32,U
2008-12,-30.55,U
2009-01,-33.46,U
2009-02,-23.28,U
2009-03,-22.68,U
2009-04,-4.97,U
2009-05,8.09,U
2009-06,14.44,U
2009-07,16.99,U
2009-08,10.39,U
2009-09,4.84,U
2009-10,-6.64,U
2009-11,-25.96,U
2009-12,-23.73,U
2010-01,-32.6,U
2010-02,-24.01,U
2010-03,-16.93,U
2010-04,-0.48,U
2010-05,10.12,U
2010-06,15.38,U
2010-07,16.42,U
2010-08,13.57,U
2010-09,3.43,U
2010-10,-8.35,U
2010-11,-14.3,U
2010-12,-33.6,U
2011-01,-28.89,U
2011-02,-24.47,U
2011-03,-19.95,U
2011-04,-7.25,U
2011-05,,U
2011-06,14.59,U
2011-07,15.82,U
2011-08,11.02,U
2011-09,5.52,U
2011-10,-5.56,U
2011-11,-28.99,U
2011-12,-22.68,U
2012-01,-34.68,U
2012-02,-21.9,U
2012-03,-21.54,U
2012-04,-1.51,U
2012-05,7.41,U
2012-06,16.53,U
2012-07,15.39,U
2012-08,11.58,U
2012-09,4.95,U
2012-10,-9.48,U
2012-11,-30.95,U
2012-12,, 
2013-01,-25.72,U
2013-02,, 
2013-03,, 
2013-04,, 
2013-05,5.47,U
2013-06,16.98,U
2013-07,16.96,U
2013-08,11.63,U
2013-09,, 
2013-10,, 
2013-11,, 
2013-12,, 
2016-01,-21.83,U
2016-02,-19.14,U
2016-03,-12.19,U
2016-04,-2.82,U
2016-05,9.46,U
2016-06,13.95,U
2016-07,16.39,U
2016-08,13.9,U
2016-09,3.99,U
2016-10,-10.13,U
2016-11,-20.74,U
2016-12,, 
2017-01,, 
2017-02,-22.92,U
2017-03,-21.12,U
2017-04,-3.99,U
2017-05,8.39,U
2017-06,14.83,U
2017-07,18.6,U
2017-08,12.07,U
2017-09,5.76,U
2017-10,-4.76,U
2017-11,, 
2017-12,, 
2020-01,, 
2020-02,, 
2020-03,, 
2020-04,, 
2020-05,, 
2020-06,15.24,U
2020-07,14.2,U
2020-08,13.43,U
2020-09,6.08,U
2020-10,-6.89,U
2020-11,, 
2020-12,, 
