Date [YYYY-MM],Temperature [°C],QCFLAG
1989-01,, 
1989-02,, 
1989-03,, 
1989-04,, 
1989-05,, 
1989-06,, 
1989-07,, 
1989-08,, 
1989-09,, 
1989-10,2.4,U
1989-11,, 
1989-12,, 
1990-01,, 
1990-02,, 
1990-03,, 
1990-04,, 
1990-05,, 
1990-06,13.54,U
1990-07,15.05,U
1990-08,14.31,U
1990-09,9.48,U
1990-10,, 
1990-11,, 
1990-12,, 
1991-01,, 
1991-02,, 
1991-03,, 
1991-04,, 
1991-05,, 
1991-06,12.81,U
1991-07,13.22,U
1991-08,12.73,U
1991-09,9.76,U
1991-10,, 
1991-11,, 
1991-12,, 
1992-01,, 
1992-02,, 
1992-03,, 
1992-04,, 
1992-05,, 
1992-06,12.61,U
1992-07,14.46,U
1992-08,12.32,U
1992-09,5.2,U
1992-10,, 
1992-11,, 
1992-12,, 
1993-01,, 
1993-02,, 
1993-03,, 
1993-04,, 
1993-05,9.98,U
1993-06,13.19,U
1993-07,17.3,U
1993-08,14.44,U
1993-09,8.73,U
1993-10,4.58,U
1993-11,, 
1993-12,, 
1995-01,, 
1995-02,, 
1995-03,, 
1995-04,, 
1995-05,, 
1995-06,12.11,U
1995-07,14.06,U
1995-08,13.66,U
1995-09,11.14,U
1995-10,4.27,U
1995-11,, 
1995-12,, 
1996-01,, 
1996-02,, 
1996-03,, 
1996-04,, 
1996-05,9.93,U
1996-06,12.52,U
1996-07,15.13,U
1996-08,13.18,U
1996-09,7.5,U
1996-10,, 
1996-11,, 
1996-12,, 
1997-01,, 
1997-02,, 
1997-03,, 
1997-04,4.75,U
1997-05,9.41,U
1997-06,14.19,U
1997-07,16.28,U
1997-08,15.12,U
1997-09,10.09,U
1997-10,0.4,U
1997-11,, 
1997-12,, 
1998-01,, 
1998-02,, 
1998-03,, 
1998-04,, 
1998-05,6.99,U
1998-06,12.0,U
1998-07,13.94,U
1998-08,11.69,U
1998-09,8.45,U
1998-10,3.31,U
1998-11,-1.44,U
1998-12,, 
1999-01,, 
1999-02,, 
1999-03,, 
1999-04,, 
1999-05,7.54,U
1999-06,12.32,U
1999-07,14.95,U
1999-08,13.47,U
1999-09,8.79,U
1999-10,1.59,U
1999-11,, 
1999-12,, 
2000-01,, 
2000-02,, 
2000-03,, 
2000-04,4.07,U
2000-05,7.81,U
2000-06,11.97,U
2000-07,13.17,U
2000-08,12.9,U
2000-09,8.47,U
2000-10,2.71,U
2000-11,1.53,U
2000-12,, 
2001-01,, 
2001-02,, 
2001-03,, 
2001-04,, 
2001-05,6.92,U
2001-06,14.42,U
2001-07,13.69,U
2001-08,14.53,U
2001-09,9.23,U
2001-10,-0.07,U
2001-11,-4.26,U
2001-12,-10.66,U
2002-01,-2.49,U
2002-02,-3.12,U
2002-03,-2.87,U
2002-04,1.33,U
2002-05,8.85,U
2002-06,12.07,U
2002-07,15.19,U
2002-08,13.75,U
2002-09,9.64,U
2002-10,6.01,U
2002-11,3.05,U
2002-12,, 
2003-01,-0.8,U
2003-02,1.14,U
2003-03,-1.77,U
2003-04,4.74,U
2003-05,8.18,U
2003-06,12.34,U
2003-07,16.49,U
2003-08,14.33,U
2003-09,9.67,U
2003-10,5.54,U
2003-11,-4.27,U
2003-12,-6.78,U
2004-01,, 
2004-02,0.71,U
2004-03,-1.87,U
2004-04,4.24,U
2004-05,10.71,U
2004-06,14.7,U
2004-07,16.86,U
2004-08,17.27,U
2004-09,8.15,U
2004-10,3.58,U
2004-11,-0.93,U
2004-12,-3.06,U
2005-01,-4.82,U
2005-02,-3.49,U
2005-03,1.08,U
2005-04,5.46,U
2005-05,9.7,U
2005-06,13.97,U
2005-07,15.09,U
2005-08,14.95,U
2005-09,10.03,U
2005-10,2.57,U
2005-11,-7.57,U
2005-12,-0.4,U
2006-01,-10.57,U
2006-02,-4.27,U
2006-03,-2.59,U
2006-04,2.14,U
2006-05,8.35,U
2006-06,11.92,U
2006-07,14.77,U
2006-08,12.43,U
2006-09,9.42,U
2006-10,4.0,U
2006-11,-10.52,U
2006-12,-4.58,U
2007-01,-7.75,U
2007-02,-5.35,U
2007-03,-8.06,U
2007-04,4.3,U
2007-05,8.01,U
2007-06,13.55,U
2007-07,14.46,U
2007-08,14.75,U
2007-09,10.51,U
2007-10,2.66,U
2007-11,0.04,U
2007-12,-5.05,U
2008-01,-8.64,U
2008-02,-7.36,U
2008-03,-0.13,U
2008-04,1.9,U
2008-05,7.85,U
2008-06,11.03,U
2008-07,12.65,U
2008-08,12.84,U
2008-09,8.58,U
2008-10,0.12,U
2008-11,-5.02,U
2008-12,-8.13,U
2009-01,-9.37,U
2009-02,-6.1,U
2009-03,-2.91,U
2009-04,3.17,U
2009-05,9.33,U
2009-06,12.64,U
2009-07,16.38,U
2009-08,13.44,U
2009-09,9.6,U
2009-10,4.91,U
2009-11,-5.73,U
2009-12,-3.53,U
2010-01,-5.26,U
2010-02,-1.31,U
2010-03,-1.67,U
2010-04,3.21,U
2010-05,9.11,U
2010-06,11.63,U
2010-07,12.78,U
2010-08,13.34,U
2010-09,10.51,U
2010-10,3.74,U
2010-11,-3.12,U
2010-12,-11.18,U
2011-01,-6.27,U
2011-02,-5.86,U
2011-03,-2.18,U
2011-04,3.72,U
2011-05,8.58,U
2011-06,11.61,U
2011-07,14.92,U
2011-08,12.67,U
2011-09,9.15,U
2011-10,3.41,U
2011-11,-8.03,U
2011-12,-5.38,U
2012-01,-15.95,U
2012-02,-1.36,U
2012-03,-3.06,U
2012-04,4.79,U
2012-05,6.7,U
2012-06,11.88,U
2012-07,12.74,U
2012-08,12.51,U
2012-09,8.4,U
2012-10,0.78,U
2012-11,-7.24,U
2012-12,-8.69,U
2013-01,-2.47,U
2013-02,-1.7,U
2013-03,-2.29,U
2013-04,0.01,U
2013-05,6.92,U
2013-06,15.13,U
2013-07,16.83,U
2013-08,13.88,U
2013-09,9.36,U
2013-10,5.41,U
2013-11,-3.59,U
2013-12,-8.23,U
2014-01,1.88,U
2014-02,-5.2,U
2014-03,-0.95,U
2014-04,3.62,U
2014-05,11.5,U
2014-06,11.68,U
2014-07,15.13,U
2014-08,13.78,U
2014-09,10.14,U
2014-10,1.68,U
2014-11,1.53,U
2014-12,-0.18,U
2015-01,-4.75,U
2015-02,-2.97,U
2015-03,0.3,U
2015-04,4.02,U
2015-05,10.56,U
2015-06,13.68,U
2015-07,14.69,U
2015-08,14.29,U
2015-09,7.61,U
2015-10,5.43,U
2015-11,-2.15,U
2015-12,-3.04,U
2016-01,0.7,U
2016-02,1.63,U
2016-03,2.33,U
2016-04,6.3,U
2016-05,10.58,U
2016-06,13.99,U
2016-07,16.51,U
2016-08,14.56,U
2016-09,9.92,U
2016-10,4.21,U
2016-11,-1.63,U
2016-12,-7.15,U
2017-01,-8.43,U
2017-02,-5.59,U
2017-03,-6.44,U
2017-04,5.43,U
2017-05,7.68,U
2017-06,12.29,U
2017-07,15.05,U
2017-08,13.26,U
2017-09,9.83,U
2017-10,3.55,U
2017-11,-4.58,U
2017-12,-0.39,U
2018-01,-5.47,U
