Date [YYYY-MM],Temperature [°C],QCFLAG
1993-01,, 
1993-02,, 
1993-03,, 
1993-04,, 
1993-05,, 
1993-06,, 
1993-07,, 
1993-08,10.2,U
1993-09,3.88,U
1993-10,-3.65,U
1993-11,-12.96,U
1993-12,, 
1994-01,, 
1994-02,, 
1994-03,, 
1994-04,, 
1994-05,, 
1994-06,, 
1994-07,12.2,U
1994-08,12.04,U
1994-09,2.59,U
1994-10,-7.45,U
1994-11,, 
1994-12,, 
1995-01,, 
1995-02,, 
1995-03,, 
1995-04,, 
1995-05,, 
1995-06,, 
1995-07,11.36,U
1995-08,8.53,U
1995-09,6.49,U
1995-10,-4.69,U
1995-11,-21.17,U
1995-12,, 
1996-01,, 
1996-02,, 
1996-03,, 
1996-04,, 
1996-05,, 
1996-06,, 
1996-07,10.99,U
1996-08,8.18,U
1996-09,0.8,U
1996-10,-12.81,U
1996-11,-19.75,U
1996-12,-25.63,U
1997-01,-25.29,U
1997-02,-11.85,U
1997-03,-16.69,U
1997-04,-3.44,U
1997-05,4.03,U
1997-06,9.89,U
1997-07,12.55,U
1997-08,10.39,U
1997-09,4.35,U
1997-10,-11.74,U
1997-11,-15.26,U
1997-12,-19.98,U
1998-01,-24.47,U
1998-02,-15.19,U
1998-03,-10.13,U
1998-04,-1.27,U
1998-05,4.62,U
1998-06,10.49,U
1998-07,10.57,U
1998-08,7.05,U
1998-09,3.65,U
1998-10,-7.93,U
1998-11,-18.06,U
1998-12,-23.59,U
1999-01,-26.55,U
1999-02,-24.0,U
1999-03,-13.5,U
1999-04,-3.97,U
1999-05,2.46,U
1999-06,9.64,U
1999-07,11.34,U
1999-08,9.63,U
1999-09,3.41,U
1999-10,-6.92,U
1999-11,-20.22,U
1999-12,-20.32,U
2000-01,-21.7,U
2000-02,-10.52,U
2000-03,-8.72,U
2000-04,-3.73,U
2000-05,3.18,U
2000-06,9.47,U
2000-07,10.81,U
2000-08,7.77,U
2000-09,1.67,U
2000-10,-7.81,U
2000-11,-14.51,U
2000-12,, 
2001-01,-15.59,U
2001-02,-12.96,U
2001-03,-10.64,U
2001-04,-2.76,U
2001-05,2.22,U
2001-06,9.72,U
2001-07,11.03,U
2001-08,10.06,U
2001-09,3.01,U
2001-10,-8.28,U
2001-11,-20.62,U
2001-12,, 
2002-01,-17.06,U
2002-02,-16.2,U
2002-03,-16.76,U
2002-04,-8.25,U
2002-05,3.93,U
2002-06,8.96,U
2002-07,10.58,U
2002-08,8.44,U
2002-09,3.6,U
2002-10,-1.8,U
2002-11,-10.18,U
2002-12,-22.1,U
2003-01,-20.52,U
2003-02,-10.4,U
2003-03,-14.82,U
2003-04,-4.12,U
2003-05,3.15,U
2003-06,8.96,U
2003-07,12.08,U
2003-08,9.43,U
2003-09,1.63,U
2003-10,-3.15,U
2003-11,-18.07,U
2003-12,, 
2004-01,, 
2004-02,, 
2004-03,-13.25,U
2004-04,-1.72,U
2004-05,7.63,U
2004-06,12.91,U
2004-07,12.85,U
2004-08,11.38,U
2004-09,0.68,U
2004-10,-5.76,U
2004-11,, 
2004-12,, 
2005-01,, 
2005-02,, 
2005-03,, 
2005-04,, 
2005-05,7.62,U
2005-06,10.31,U
2005-07,10.43,U
2005-08,10.97,U
2005-09,5.23,U
2005-10,-6.38,U
2005-11,-19.66,U
2005-12,-16.35,U
2006-01,-25.49,U
2006-02,, 
2006-03,, 
2006-04,, 
2006-05,, 
2006-06,9.52,U
2006-07,11.17,U
2006-08,8.5,U
2006-09,4.81,U
2006-10,-4.08,U
2006-11,-27.24,U
2006-12,-20.16,U
2007-01,-20.4,U
2007-02,-20.45,U
2007-03,-21.7,U
2007-04,-2.11,U
2007-05,4.93,U
2007-06,11.25,U
2007-07,12.34,U
2007-08,10.45,U
2007-09,4.32,U
2007-10,-6.81,U
2007-11,-13.48,U
2007-12,, 
2008-01,, 
2008-02,-20.02,U
2008-03,-10.48,U
2008-04,-2.52,U
2008-05,5.13,U
2008-06,9.09,U
2008-07,9.54,U
2008-08,8.55,U
2008-09,3.9,U
2008-10,-9.55,U
2008-11,-18.04,U
2008-12,-24.15,U
2009-01,-21.91,U
2009-02,-18.02,U
2009-03,-15.88,U
2009-04,-3.37,U
2009-05,5.38,U
2009-06,9.8,U
2009-07,13.26,U
2009-08,, 
2009-09,3.33,U
2009-10,-5.44,U
2009-11,-20.53,U
2009-12,-18.09,U
2010-01,, 
2010-02,, 
2010-03,-11.2,U
2010-04,-2.3,U
2010-05,5.5,U
2010-06,8.99,U
2010-07,11.42,U
2010-08,10.15,U
2010-09,2.85,U
2010-10,-6.98,U
2010-11,-14.16,U
2010-12,-27.72,U
2011-01,-21.37,U
2011-02,-19.26,U
2011-03,-17.83,U
2011-04,-3.12,U
2011-05,5.16,U
2011-06,9.75,U
2011-07,11.2,U
2011-08,8.05,U
2011-09,3.21,U
2011-10,-6.74,U
2011-11,-23.93,U
2011-12,-15.21,U
2012-01,-28.34,U
2012-02,-13.12,U
2012-03,-14.54,U
2012-04,-0.48,U
2012-05,3.14,U
2012-06,9.39,U
2012-07,10.98,U
2012-08,8.86,U
2012-09,4.41,U
2012-10,-8.65,U
2012-11,-23.44,U
2012-12,-27.83,U
2013-01,-19.61,U
2013-02,-15.77,U
2013-03,-13.64,U
2013-04,,U
2013-05,3.53,U
2013-06,11.48,U
2013-07,12.32,U
2013-08,10.46,U
2013-09,4.01,U
2013-10,-1.1,U
2013-11,-17.35,U
2013-12,-23.26,U
2014-01,, 
2014-02,-20.01,U
2014-03,-12.9,U
2014-04,-2.54,U
2014-05,6.25,U
2014-06,7.32,U
2014-07,11.23,U
2014-08,9.37,U
2014-09,3.89,U
2014-10,-7.26,U
2014-11,-14.68,U
2014-12,-17.5,U
2015-01,-20.77,U
2015-02,-14.55,U
2015-03,-10.07,U
2015-04,-1.95,U
2015-05,8.11,U
2015-06,10.31,U
2015-07,11.95,U
2015-08,8.35,U
2015-09,3.17,U
2015-10,-3.35,U
2015-11,-14.38,U
2015-12,-21.99,U
2016-01,-17.14,U
2016-02,-13.27,U
2016-03,-7.07,U
2016-04,1.68,U
2016-05,6.2,U
2016-06,10.24,U
2016-07,13.19,U
2016-08,10.39,U
2016-09,4.21,U
2016-10,-7.41,U
2016-11,-17.02,U
2016-12,-23.03,U
2017-01,-20.49,U
2017-02,, 
2017-03,-19.31,U
2017-04,-1.79,U
2017-05,4.31,U
2017-06,10.33,U
2017-07,12.62,U
2017-08,9.67,U
2017-09,4.34,U
2017-10,-3.98,U
2017-11,-19.01,U
2017-12,-16.8,U
2018-01,-21.74,U
2018-02,-17.14,U
2018-03,-11.75,U
2018-04,-4.81,U
2018-05,4.25,U
2018-06,9.81,U
2018-07,12.77,U
2018-08,9.52,U
2018-09,4.56,U
2018-10,-2.54,U
2018-11,-14.32,U
2018-12,-18.61,U
2019-01,-21.27,U
2019-02,-14.95,U
2019-03,-4.66,U
2019-04,-2.95,U
2019-05,6.65,U
2019-06,10.91,U
2019-07,13.1,U
2019-08,9.11,U
2019-09,5.52,U
2019-10,-4.06,U
2019-11,-11.58,U
2019-12,-18.6,U
2020-01,-28.16,U
2020-02,-18.23,U
2020-03,-13.33,U
2020-04,-1.98,U
2020-05,6.32,U
2020-06,8.83,U
2020-07,10.92,U
2020-08,8.7,U
2020-09,3.93,U
2020-10,-6.55,U
2020-11,-19.32,U
2020-12,, 
2021-01,, 
2021-02,, 
2021-03,-16.18,U
2021-04,-5.27,U
2021-05,4.76,U
2021-06,9.9,U
2021-07,11.46,U
2021-08,9.36,U
2021-09,1.75,U
2021-10,-6.81,U
2021-11,-22.26,U
2021-12,-21.25,U
