Date [YYYY-MM],Temperature [°C],QCFLAG
1997-01,, 
1997-02,, 
1997-03,, 
1997-04,, 
1997-05,, 
1997-06,, 
1997-07,16.34,U
1997-08,13.92,U
1997-09,7.64,U
1997-10,-9.65,U
1997-11,-18.65,U
1997-12,-23.18,U
1998-01,-28.95,U
1998-02,-20.09,U
1998-03,-11.15,U
1998-04,2.65,U
1998-05,10.02,U
1998-06,14.67,U
1998-07,17.37,U
1998-08,11.58,U
1998-09,6.19,U
1998-10,-7.2,U
1998-11,-21.3,U
1998-12,-25.14,U
1999-01,-30.3,U
1999-02,, 
1999-03,, 
1999-04,, 
1999-05,7.48,U
1999-06,16.06,U
1999-07,15.7,U
1999-08,14.1,U
1999-09,5.64,U
1999-10,-9.17,U
1999-11,-23.41,U
1999-12,-27.52,U
2000-01,, 
2000-02,, 
2000-03,, 
2000-04,, 
2000-05,, 
2000-06,16.27,U
2000-07,14.92,U
2000-08,9.81,U
2000-09,3.03,U
2000-10,-8.23,U
2000-11,-17.05,U
2000-12,-22.67,U
2001-01,-17.37,U
2001-02,, 
2001-03,, 
2001-04,, 
2001-05,, 
2001-06,14.21,U
2001-07,14.8,U
2001-08,11.92,U
2001-09,5.82,U
2001-10,-7.38,U
2001-11,-21.36,U
2001-12,, 
2002-01,, 
2002-02,, 
2002-03,-15.01,U
2002-04,-5.29,U
2002-05,7.56,U
2002-06,12.82,U
2002-07,15.18,U
2002-08,10.0,U
2002-09,6.72,U
2002-10,-4.7,U
2002-11,-13.13,U
2002-12,, 
2003-01,, 
2003-02,, 
2003-03,-17.34,U
2003-04,-2.18,U
2003-05,6.37,U
2003-06,13.36,U
2003-07,, 
2003-08,10.77,U
2003-09,-0.17,U
2003-10,-3.84,U
2003-11,-20.08,U
2003-12,-26.67,U
2004-01,, 
2004-02,, 
2004-03,, 
2004-04,, 
2004-05,, 
2004-06,18.19,U
2004-07,16.82,U
2004-08,13.42,U
2004-09,0.75,U
2004-10,-6.63,U
2004-11,-20.82,U
2004-12,-26.99,U
2005-01,-28.07,U
2005-02,-24.33,U
2005-03,-12.88,U
2005-04,-2.29,U
2005-05,11.06,U
2005-06,15.48,U
2005-07,13.8,U
2005-08,12.01,U
2005-09,5.8,U
2005-10,-5.4,U
2005-11,-24.14,U
2005-12,-21.92,U
2006-01,-33.03,U
2006-02,-18.63,U
2006-03,-20.22,U
2006-04,-5.77,U
2006-05,9.11,U
2006-06,14.73,U
2006-07,14.84,U
2006-08,11.24,U
2006-09,7.75,U
2006-10,-3.07,U
2006-11,-26.19,U
2006-12,-23.84,U
2007-01,-24.48,U
2007-02,-28.06,U
2007-03,-22.2,U
2007-04,0.6,U
2007-05,, 
2007-06,16.75,U
2007-07,17.61,U
2007-08,13.01,U
2007-09,4.5,U
2007-10,-8.67,U
2007-11,-18.49,U
2007-12,-25.25,U
2008-01,-28.17,U
2008-02,-25.54,U
2008-03,-16.67,U
2008-04,-0.85,U
2008-05,7.68,U
2008-06,14.92,U
2008-07,14.86,U
2008-08,8.97,U
2008-09,3.7,U
2008-10,-13.74,U
2008-11,-20.34,U
2008-12,-28.98,U
2009-01,-32.42,U
2009-02,-22.78,U
2009-03,-20.25,U
2009-04,-3.56,U
2009-05,7.58,U
2009-06,13.65,U
2009-07,16.55,U
2009-08,10.07,U
2009-09,5.38,U
2009-10,-7.09,U
2009-11,-24.6,U
2009-12,-23.04,U
2010-01,-32.05,U
2010-02,-22.2,U
2010-03,-15.01,U
2010-04,0.57,U
2010-05,10.32,U
2010-06,15.18,U
2010-07,16.53,U
2010-08,13.27,U
2010-09,4.29,U
2010-10,-7.65,U
2010-11,-13.48,U
2010-12,, 
2011-01,-28.68,U
2011-02,-24.63,U
2011-03,-17.2,U
2011-04,-5.84,U
2011-05,5.73,U
2011-06,14.28,U
2011-07,15.54,U
2011-08,11.43,U
2011-09,6.52,U
2011-10,-5.05,U
2011-11,-28.44,U
2011-12,-21.33,U
2012-01,-33.39,U
