Date [YYYY-MM],Temperature [°C],QCFLAG
1998-01,, 
1998-02,, 
1998-03,, 
1998-04,, 
1998-05,, 
1998-06,, 
1998-07,, 
1998-08,, 
1998-09,, 
1998-10,, 
1998-11,-12.07,U
1998-12,-20.35,U
1999-01,-21.83,U
1999-02,, 
1999-03,-7.62,U
1999-04,1.61,U
1999-05,6.8,U
1999-06,12.95,U
1999-07,13.87,U
1999-08,13.14,U
1999-09,7.11,U
1999-10,-1.23,U
1999-11,-15.12,U
1999-12,-17.36,U
2000-01,-16.3,U
2000-02,-6.91,U
2000-03,-3.4,U
2000-04,2.03,U
2000-05,6.43,U
2000-06,12.76,U
2000-07,13.28,U
2000-08,11.48,U
2000-09,5.77,U
2000-10,-2.14,U
2000-11,-8.48,U
2000-12,-13.83,U
2001-01,-6.54,U
2001-02,-10.51,U
2001-03,-4.5,U
2001-04,1.68,U
2001-05,6.1,U
2001-06,13.43,U
2001-07,13.15,U
2001-08,13.51,U
2001-09,6.99,U
2001-10,-2.53,U
2001-11,-15.55,U
2001-12,-21.35,U
2002-01,-11.7,U
2002-02,-13.54,U
2002-03,-12.38,U
2002-04,-2.72,U
2002-05,8.25,U
2002-06,12.57,U
2002-07,14.34,U
2002-08,12.05,U
2002-09,7.61,U
2002-10,3.96,U
2002-11,-1.95,U
2002-12,-14.07,U
2003-01,-17.46,U
2003-02,-3.81,U
2003-03,-7.11,U
2003-04,1.56,U
2003-05,7.98,U
2003-06,12.7,U
2003-07,15.37,U
2003-08,11.89,U
2003-09,5.9,U
2003-10,0.48,U
2003-11,-11.69,U
2003-12,-17.37,U
2004-01,-28.99,U
2004-02,-8.75,U
2004-03,-6.8,U
2004-04,2.28,U
2004-05,9.98,U
2004-06,14.74,U
2004-07,15.81,U
2004-08,15.2,U
2004-09,4.82,U
2004-10,0.5,U
2004-11,-5.91,U
2004-12,-13.98,U
2005-01,-18.4,U
2005-02,-10.98,U
2005-03,-0.63,U
2005-04,3.58,U
2005-05,10.37,U
2005-06,14.28,U
2005-07,14.52,U
2005-08,14.14,U
2005-09,7.88,U
2005-10,-0.95,U
2005-11,-14.72,U
2005-12,-12.07,U
2006-01,-22.09,U
2006-02,-11.05,U
2006-03,-9.68,U
2006-04,1.36,U
2006-05,7.91,U
2006-06,12.9,U
2006-07,14.31,U
2006-08,11.18,U
2006-09,8.18,U
2006-10,1.18,U
2006-11,-23.56,U
2006-12,-14.89,U
2007-01,-13.88,U
2007-02,-16.23,U
2007-03,-14.7,U
2007-04,2.27,U
2007-05,7.97,U
2007-06,13.72,U
2007-07,14.59,U
2007-08,13.42,U
2007-09,7.6,U
2007-10,0.02,U
2007-11,-4.97,U
2007-12,-14.5,U
2008-01,-20.19,U
2008-02,-14.77,U
2008-03,-3.48,U
2008-04,1.69,U
2008-05,7.93,U
2008-06,11.15,U
2008-07,11.81,U
2008-08,11.28,U
2008-09,7.51,U
2008-10,-3.41,U
2008-11,-11.17,U
2008-12,-21.7,U
2009-01,-18.44,U
2009-02,-14.17,U
2009-03,-8.22,U
2009-04,2.57,U
2009-05,9.72,U
2009-06,13.19,U
2009-07,15.88,U
2009-08,11.93,U
2009-09,7.7,U
2009-10,1.54,U
2009-11,-13.93,U
2009-12,-14.19,U
2010-01,-20.62,U
2010-02,-9.36,U
2010-03,-3.78,U
2010-04,2.32,U
2010-05,9.0,U
2010-06,12.04,U
2010-07,12.51,U
2010-08,12.86,U
2010-09,7.04,U
2010-10,-1.12,U
2010-11,-9.09,U
2010-12,-24.87,U
2011-01,-17.99,U
2011-02,-15.04,U
2011-03,-11.38,U
2011-04,3.0,U
2011-05,9.31,U
2011-06,12.95,U
2011-07,13.85,U
2011-08,11.52,U
2011-09,7.22,U
2011-10,-0.04,U
