Date [YYYY-MM],Temperature [°C],QCFLAG
1998-01,, 
1998-02,, 
1998-03,, 
1998-04,, 
1998-05,, 
1998-06,, 
1998-07,, 
1998-08,, 
1998-09,, 
1998-10,, 
1998-11,,U
1998-12,, 
1999-01,, 
1999-02,, 
1999-03,, 
1999-04,, 
1999-05,5.26,U
1999-06,14.14,U
1999-07,13.83,U
1999-08,12.27,U
1999-09,4.78,U
1999-10,-6.15,U
1999-11,-21.38,U
1999-12,-22.88,U
2000-01,, 
2000-02,, 
2000-03,, 
2000-04,, 
2000-05,, 
2000-06,14.03,U
2000-07,14.05,U
2000-08,8.89,U
2000-09,3.61,U
2000-10,-6.71,U
2000-11,-14.9,U
2000-12,-23.69,U
2001-01,-18.44,U
2001-02,-18.73,U
2001-03,-10.25,U
2001-04,-0.66,U
2001-05,5.16,U
2001-06,13.29,U
2001-07,13.79,U
2001-08,12.94,U
2001-09,6.47,U
2001-10,-6.86,U
2001-11,-18.06,U
2001-12,-25.17,U
2002-01,-21.3,U
2002-02,-20.19,U
2002-03,-13.52,U
2002-04,-5.17,U
2002-05,6.81,U
2002-06,12.1,U
2002-07,13.95,U
2002-08,10.67,U
2002-09,5.81,U
2002-10,-1.99,U
2002-11,-10.64,U
2002-12,, 
2003-01,, 
2003-02,, 
2003-03,-12.3,U
2003-04,-0.71,U
2003-05,5.86,U
2003-06,12.31,U
2003-07,15.35,U
2003-08,11.14,U
2003-09,2.01,U
2003-10,-2.24,U
2003-11,-19.0,U
2003-12,, 
2004-01,, 
2004-02,, 
2004-03,, 
2004-04,, 
2004-05,, 
2004-06,16.14,U
2004-07,14.9,U
2004-08,13.33,U
2004-09,1.16,U
2004-10,-5.04,U
2004-11,-19.14,U
2004-12,, 
2005-01,, 
2005-02,, 
2005-03,-6.19,U
2005-04,0.17,U
2005-05,9.75,U
2005-06,13.69,U
2005-07,13.27,U
2005-08,12.19,U
2005-09,6.41,U
2005-10,-4.28,U
2005-11,-21.22,U
2005-12,, 
2006-01,-29.28,U
2006-02,-18.35,U
2006-03,-15.75,U
2006-04,-2.59,U
2006-05,6.98,U
2006-06,12.58,U
2006-07,14.42,U
2006-08,10.79,U
2006-09,7.05,U
2006-10,-3.19,U
2006-11,-26.49,U
2006-12,, 
2007-01,, 
2007-02,, 
2007-03,, 
2007-04,1.11,U
2007-05,7.78,U
2007-06,13.94,U
2007-07,15.77,U
2007-08,13.45,U
2007-09,5.2,U
2007-10,-6.84,U
2007-11,-12.78,U
2007-12,-25.07,U
2008-01,, 
2008-02,, 
2008-03,, 
2008-04,, 
2008-05,, 
2008-06,12.22,U
2008-07,12.06,U
2008-08,9.72,U
2008-09,5.47,U
2008-10,-9.96,U
2008-11,-17.77,U
2008-12,-28.65,U
2009-01,-28.98,U
2009-02,-22.43,U
2009-03,-16.69,U
2009-04,-1.01,U
2009-05,7.78,U
2009-06,12.79,U
2009-07,15.84,U
2009-08,11.05,U
2009-09,6.68,U
2009-10,-2.9,U
2009-11,-19.59,U
2009-12,-21.78,U
2010-01,-24.41,U
2010-02,-16.44,U
2010-03,-10.03,U
2010-04,1.75,U
2010-05,9.7,U
2010-06,12.44,U
2010-07,14.3,U
2010-08,12.52,U
2010-09,4.72,U
2010-10,-4.62,U
2010-11,-13.13,U
2010-12,-27.18,U
2011-01,-26.5,U
2011-02,-23.57,U
2011-03,-14.44,U
2011-04,-1.79,U
2011-05,8.72,U
2011-06,12.25,U
2011-07,14.16,U
2011-08,10.68,U
2011-09,6.46,U
2011-10,-4.55,U
2011-11,-22.68,U
2011-12,-18.32,U
2012-01,-32.23,U
2012-02,-16.4,U
2012-03,-13.62,U
2012-04,1.99,U
2012-05,5.93,U
2012-06,13.62,U
2012-07,13.27,U
2012-08,11.37,U
