Date [YYYY-MM],Temperature [°C],QCFLAG
1992-01,, 
1992-02,, 
1992-03,, 
1992-04,, 
1992-05,, 
1992-06,, 
1992-07,15.94,U
1992-08,12.13,U
1992-09,-1.39,U
1992-10,-6.96,U
1992-11,-12.0,U
1992-12,, 
1993-01,, 
1993-02,, 
1993-03,, 
1993-04,, 
1993-05,8.9,U
1993-06,15.16,U
1993-07,16.45,U
1993-08,11.81,U
1993-09,4.8,U
1993-10,-2.23,U
1993-11,-13.45,U
1993-12,-16.72,U
1994-01,-21.21,U
1994-02,-25.45,U
1994-03,-11.51,U
1994-04,-0.9,U
1994-05,7.92,U
1994-06,12.96,U
1994-07,16.91,U
1994-08,15.06,U
1994-09,7.35,U
1994-10,, 
1994-11,-16.11,U
1994-12,, 
1995-01,-18.98,U
1995-02,-19.38,U
1995-03,-14.5,U
1995-04,2.68,U
1995-05,9.24,U
1995-06,, 
1995-07,, 
1995-08,11.4,U
1995-09,8.71,U
1995-10,-3.27,U
1995-11,-25.01,U
1995-12,-26.12,U
1996-01,-28.38,U
1996-02,-19.19,U
1996-03,-11.19,U
1996-04,-2.07,U
1996-05,6.34,U
1996-06,13.41,U
1996-07,16.08,U
1996-08,10.02,U
1996-09,4.35,U
1996-10,-12.02,U
1996-11,-17.67,U
1996-12,-27.92,U
1997-01,-24.18,U
1997-02,-10.13,U
1997-03,-18.19,U
1997-04,-1.39,U
1997-05,7.3,U
1997-06,13.87,U
1997-07,16.77,U
1997-08,13.21,U
1997-09,7.75,U
1997-10,-9.15,U
1997-11,-10.86,U
1997-12,-18.58,U
1998-01,-25.41,U
1998-02,-16.6,U
1998-03,-9.36,U
1998-04,2.72,U
1998-05,9.34,U
1998-06,14.08,U
1998-07,16.74,U
1998-08,11.44,U
1998-09,5.81,U
1998-10,-4.58,U
1998-11,-13.52,U
1998-12,-23.34,U
1999-01,-28.54,U
1999-02,, 
1999-03,-13.14,U
1999-04,-0.54,U
1999-05,5.94,U
1999-06,15.1,U
1999-07,14.81,U
1999-08,13.0,U
1999-09,5.75,U
1999-10,-5.99,U
1999-11,-18.13,U
1999-12,-22.91,U
2000-01,-23.02,U
2000-02,-10.86,U
2000-03,-8.63,U
2000-04,-3.75,U
2000-05,5.51,U
2000-06,14.12,U
2000-07,13.93,U
2000-08,8.5,U
2000-09,3.53,U
2000-10,-5.7,U
2000-11,-9.55,U
2000-12,, 
2001-01,-11.14,U
2001-02,-12.31,U
2001-03,-11.28,U
2001-04,-1.48,U
2001-05,4.78,U
2001-06,12.05,U
2001-07,14.0,U
2001-08,11.77,U
2001-09,5.52,U
2001-10,-5.99,U
2001-11,-15.79,U
2001-12,, 
2002-01,, 
2002-02,-16.55,U
2002-03,-14.31,U
2002-04,-5.72,U
2002-05,7.18,U
2002-06,13.5,U
2002-07,14.85,U
2002-08,11.68,U
2002-09,7.24,U
2002-10,0.4,U
2002-11,, 
2002-12,, 
2003-01,, 
2003-02,, 
2003-03,-13.57,U
2003-04,-1.24,U
2003-05,7.25,U
2003-06,12.89,U
2003-07,16.3,U
2003-08,13.04,U
2003-09,3.95,U
2003-10,-0.28,U
2003-11,, 
2003-12,, 
2004-01,, 
2004-02,, 
2004-03,-16.68,U
2004-04,-4.07,U
2004-05,8.94,U
2004-06,16.94,U
2004-07,16.32,U
2004-08,12.85,U
2004-09,2.47,U
2004-10,-2.74,U
2004-11,, 
2004-12,, 
2005-01,, 
2005-02,, 
2005-03,, 
2005-04,-5.94,U
2005-05,9.43,U
2005-06,14.71,U
2005-07,14.29,U
2005-08,12.44,U
2005-09,7.05,U
2005-10,-3.29,U
2005-11,, 
2005-12,, 
2006-01,, 
2006-02,, 
2006-03,-14.02,U
2006-04,-2.03,U
2006-05,7.77,U
2006-06,13.68,U
2006-07,15.0,U
2006-08,10.73,U
2006-09,7.39,U
2006-10,0.33,U
2006-11,, 
2006-12,, 
2007-01,, 
2007-02,, 
2007-03,, 
2007-04,, 
2007-05,, 
2007-06,15.34,U
2007-07,17.06,U
2007-08,13.42,U
2007-09,5.3,U
2007-10,-5.81,U
2007-11,, 
2007-12,, 
2008-01,, 
2008-02,, 
2008-03,, 
2008-04,, 
2008-05,, 
2008-06,13.34,U
2008-07,13.47,U
2008-08,9.58,U
2008-09,5.03,U
2008-10,-9.06,U
2008-11,-14.25,U
2008-12,-26.43,U
2009-01,-26.23,U
2009-02,-17.57,U
2009-03,-17.43,U
2009-04,-0.66,U
2009-05,8.3,U
2009-06,14.16,U
2009-07,16.3,U
2009-08,11.09,U
2009-09,6.76,U
2009-10,-1.3,U
2009-11,-17.24,U
2009-12,-16.0,U
2010-01,-23.76,U
2010-02,-14.56,U
2010-03,-9.78,U
2010-04,2.16,U
2010-05,9.27,U
2010-06,14.23,U
2010-07,14.84,U
2010-08,12.69,U
2010-09,4.76,U
2010-10,-3.17,U
2010-11,-10.33,U
2010-12,-27.53,U
2011-01,-22.98,U
2011-02,-20.28,U
2011-03,-16.63,U
2011-04,,U
2011-05,,U
2011-06,13.77,U
2011-07,15.22,U
2011-08,11.68,U
2011-09,6.68,U
2011-10,-1.93,U
2011-11,-21.72,U
2011-12,-15.01,U
2012-01,-28.99,U
2012-02,-11.14,U
2012-03,-15.96,U
2012-04,1.21,U
2012-05,6.65,U
2012-06,14.92,U
2012-07,14.96,U
2012-08,12.19,U
2012-09,7.35,U
2012-10,-7.21,U
2012-11,-27.52,U
2012-12,-26.64,U
2013-01,-19.2,U
2013-02,, 
