Date [YYYY-MM],Temperature [°C],QCFLAG
1931-01,-19.3,""""
1931-02,-16.0,""""
1931-03,-14.4,""""
1931-04,-4.4,""""
1931-05,3.8,""""
1931-06,12.6,""""
1931-07,13.6,""""
1931-08,10.6,""""
1931-09,5.2,""""
1931-10,-6.1,""""
1931-11,-13.9,""""
1931-12,-22.7,""""
1932-01,-30.5,""""
1932-02,-28.9,""""
1932-03,-11.3,""""
1932-04,-0.7,""""
1932-05,6.9,""""
1932-06,11.7,""""
1932-07,13.8,""""
1932-08,9.9,""""
1932-09,3.9,""""
1932-10,-2.9,""""
1932-11,-23.4,""""
1932-12,-26.2,""""
1933-01,-31.9,""""
1933-02,-22.7,""""
1933-03,-14.3,""""
1933-04,-1.0,""""
1933-05,6.8,""""
1933-06,11.0,""""
1933-07,13.5,""""
1933-08,11.0,""""
1933-09,4.3,""""
1933-10,-7.7,""""
1933-11,-14.7,""""
1933-12,-33.9,""""
1934-01,-36.19,""""
1934-02,-16.3,""""
1934-03,-13.8,""""
1934-04,-0.5,""""
1934-05,6.3,""""
1934-06,13.3,""""
1934-07,12.6,""""
1934-08,12.0,""""
1934-09,6.6,""""
1934-10,-1.5,""""
1934-11,-18.2,""""
1934-12,-18.0,""""
1935-01,-26.4,""""
1935-02,-14.8,""""
1935-03,-16.3,""""
1935-04,-3.5,""""
1935-05,4.7,""""
1935-06,12.3,""""
1935-07,15.1,""""
1935-08,9.0,""""
1935-09,4.5,""""
1935-10,-5.5,""""
1935-11,-18.0,""""
1935-12,-28.7,""""
1936-01,-23.4,""""
1936-02,-26.9,""""
1936-03,-16.3,""""
1936-04,-3.5,""""
1936-05,8.1,""""
1936-06,15.9,""""
1936-07,14.7,""""
1936-08,13.2,""""
1936-09,4.7,""""
1936-10,-2.1,""""
1936-11,-12.9,""""
1936-12,-25.9,""""
1937-01,-12.5,""""
1937-02,-24.8,""""
1937-03,-15.6,""""
1937-04,-5.7,""""
1937-05,5.3,""""
1937-06,15.5,""""
1937-07,14.6,""""
1937-08,10.0,""""
1937-09,7.7,""""
1937-10,-1.8,""""
1937-11,-13.1,""""
1937-12,-22.9,""""
1938-01,-28.9,""""
1938-02,-25.2,""""
1938-03,-13.3,""""
1938-04,0.1,""""
1938-05,7.6,""""
1938-06,12.9,""""
1938-07,14.0,""""
1938-08,11.5,""""
1938-09,8.5,""""
1938-10,2.1,""""
1938-11,-13.6,""""
1938-12,-20.6,""""
1939-01,-24.8,""""
1939-02,-20.5,""""
1939-03,-16.4,""""
1939-04,-1.1,""""
1939-05,7.3,""""
1939-06,14.0,""""
1939-07,14.7,""""
1939-08,10.9,""""
1939-09,4.5,""""
1939-10,-7.4,""""
1939-11,-21.8,""""
1939-12,-18.89,""""
1940-01,-19.8,""""
1940-02,-18.89,""""
1940-03,-11.9,""""
1940-04,5.3,""""
1940-05,8.5,""""
1940-06,14.5,""""
1940-07,15.6,""""
1940-08,13.1,""""
1940-09,6.5,""""
1940-10,-2.5,""""
1940-11,-13.7,""""
1940-12,-21.1,""""
1941-01,-26.5,""""
1941-02,-13.3,""""
1941-03,-10.49,""""
1941-04,2.0,""""
1941-05,7.7,""""
1941-06,15.3,""""
1941-07,13.7,""""
1941-08,13.5,""""
1941-09,5.6,""""
1941-10,-6.0,""""
1941-11,-19.8,""""
1941-12,-23.7,""""
1942-01,-18.39,""""
1942-02,-12.5,""""
1942-03,-14.4,""""
1942-04,0.5,""""
1942-05,10.0,""""
1942-06,15.2,""""
1942-07,14.9,""""
1942-08,12.7,""""
1942-09,8.2,""""
1942-10,-3.3,""""
1942-11,-22.4,""""
1942-12,-32.5,""""
1943-01,-31.2,""""
1943-02,-16.2,""""
1943-03,-13.3,""""
1943-04,-1.9,""""
1943-05,7.3,""""
1943-06,14.1,""""
1943-07,14.1,""""
1943-08,10.3,""""
1943-09,5.3,""""
1943-10,-2.5,""""
1943-11,-12.2,""""
1943-12,-19.5,""""
1944-01,-22.0,""""
1944-02,-13.7,""""
1944-03,-15.1,""""
1944-04,-5.0,""""
1944-05,8.1,""""
1944-06,13.7,""""
1944-07,15.0,""""
1944-08,10.3,""""
1944-09,4.5,""""
1944-10,-2.8,""""
1944-11,-16.4,""""
1944-12,-20.1,""""
1945-01,-18.89,""""
1945-02,-15.8,""""
1945-03,-13.1,""""
1945-04,-5.29,""""
1945-05,4.6,""""
1945-06,11.0,""""
1945-07,14.0,""""
1945-08,10.9,""""
1945-09,5.1,""""
1945-10,-4.3,""""
1945-11,-23.1,""""
1945-12,-22.1,""""
1946-01,-21.39,""""
1946-02,-18.39,""""
1946-03,-18.1,""""
1946-04,-3.9,""""
1946-05,8.0,""""
1946-06,15.2,""""
1946-07,15.4,""""
1946-08,10.2,""""
1946-09,4.8,""""
1946-10,-1.7,""""
1946-11,-22.5,""""
1946-12,-31.4,""""
1947-01,-31.2,""""
1947-02,-18.7,""""
1947-03,-10.8,""""
1947-04,-1.9,""""
1947-05,8.2,""""
1947-06,12.1,""""
1947-07,15.6,""""
1947-08,9.4,""""
1947-09,4.0,""""
1947-10,-5.4,""""
1947-11,-12.0,""""
1947-12,-19.1,""""
1948-01,-21.3,""""
1948-02,-22.5,""""
1948-03,-15.9,""""
