Date [YYYY-MM],Temperature [°C],QCFLAG
1996-01,, 
1996-02,, 
1996-03,, 
1996-04,, 
1996-05,, 
1996-06,, 
1996-07,, 
1996-08,, 
1996-09,,U
1996-10,,U
1996-11,,U
1996-12,,U
1997-01,,U
1997-02,-6.79,U
1997-03,-12.07,U
1997-04,1.07,U
1997-05,, 
1997-06,14.62,U
1997-07,15.94,U
1997-08,11.63,U
1997-09,8.44,U
1997-10,-7.77,U
1997-11,-8.04,U
1997-12,-17.98,U
1998-01,-18.6,U
1998-02,-11.37,U
1998-03,-4.55,U
1998-04,0.34,U
1998-05,4.38,U
1998-06,11.65,U
1998-07,13.85,U
1998-08,, 
1998-09,, 
1998-10,, 
1998-11,, 
1998-12,, 
1999-01,, 
1999-02,, 
1999-03,, 
1999-04,, 
1999-05,, 
1999-06,13.04,U
1999-07,13.21,U
1999-08,11.9,U
1999-09,6.82,U
1999-10,-6.65,U
1999-11,-14.53,U
1999-12,-21.88,U
2000-01,-17.19,U
2000-02,-6.45,U
2000-03,-6.85,U
2000-04,-1.1,U
2000-05,4.16,U
2000-06,14.44,U
2000-07,12.36,U
2000-08,9.05,U
2000-09,3.99,U
2000-10,-3.98,U
2000-11,-8.75,U
2000-12,-9.26,U
2001-01,-9.15,U
2001-02,-8.18,U
2001-03,-9.83,U
2001-04,-1.71,U
2001-05,2.78,U
2001-06,14.08,U
2001-07,12.14,U
2001-08,11.84,U
2001-09,8.05,U
2001-10,-6.36,U
2001-11,-13.44,U
2001-12,-19.3,U
2002-01,-13.31,U
2002-02,-11.27,U
2002-03,-6.07,U
2002-04,-3.0,U
2002-05,8.87,U
2002-06,13.94,U
2002-07,14.28,U
2002-08,12.33,U
2002-09,6.13,U
2002-10,-0.16,U
2002-11,-4.76,U
2002-12,-10.45,U
2003-01,-12.47,U
2003-02,-7.8,U
2003-03,-11.62,U
2003-04,-0.59,U
2003-05,5.53,U
2003-06,, 
2003-07,, 
2003-08,12.53,U
2003-09,5.18,U
2003-10,-0.29,U
2003-11,-8.95,U
2003-12,-17.18,U
2004-01,-17.94,U
2004-02,-10.64,U
2004-03,-11.43,U
2004-04,1.89,U
2004-05,9.26,U
2004-06,15.27,U
2004-07,16.55,U
2004-08,15.87,U
2004-09,3.71,U
2004-10,-0.29,U
2004-11,, 
2004-12,-14.29,U
2005-01,-14.08,U
2005-02,-12.01,U
2005-03,-7.17,U
2005-04,-2.58,U
2005-05,10.93,U
2005-06,14.72,U
2005-07,15.61,U
2005-08,13.79,U
2005-09,6.11,U
2005-10,-2.64,U
2005-11,-17.88,U
2005-12,-10.13,U
2006-01,-21.81,U
2006-02,-9.77,U
2006-03,, 
2006-04,, 
2006-05,, 
2006-06,, 
2006-07,14.2,U
2006-08,10.25,U
2006-09,8.58,U
2006-10,-0.69,U
2006-11,-14.15,U
2006-12,-14.06,U
2007-01,, 
2007-02,-12.79,U
2007-03,-17.01,U
2007-04,3.77,U
2007-05,8.85,U
2007-06,11.77,U
2007-07,14.12,U
2007-08,13.61,U
2007-09,7.12,U
2007-10,-4.48,U
2007-11,-6.48,U
2007-12,-13.24,U
2008-01,-18.01,U
2008-02,-16.1,U
2008-03,-9.14,U
2008-04,-4.01,U
2008-05,4.61,U
2008-06,11.14,U
2008-07,,U
2008-08,,U
2008-09,,U
2008-10,,U
2008-11,,U
2008-12,,U
2009-01,,U
2009-02,,U
2009-03,,U
2009-04,, 
2009-05,, 
2009-06,, 
2009-07,16.22,U
2009-08,, 
2009-09,, 
2009-10,, 
2009-11,, 
2009-12,, 
2010-01,, 
2010-02,, 
2010-03,, 
2010-04,, 
2010-05,, 
2010-06,12.29,U
2010-07,12.19,U
2010-08,11.48,U
2010-09,8.22,U
2010-10,-2.04,U
2010-11,-8.45,U
2010-12,-18.73,U
2011-01,-11.94,U
2011-02,-13.83,U
2011-03,-7.68,U
2011-04,-1.22,U
2011-05,8.61,U
2011-06,11.62,U
2011-07,11.68,U
2011-08,9.97,U
2011-09,7.58,U
2011-10,-1.57,U
2011-11,-15.81,U
2011-12,-12.93,U
2012-01,, 
2012-02,, 
2012-03,, 
2012-04,, 
2012-05,, 
2012-06,13.04,U
2012-07,11.53,U
2012-08,10.95,U
2012-09,4.33,U
2012-10,-4.08,U
2012-11,-14.57,U
2012-12,-17.61,U
2014-01,-5.53,U
2014-02,-13.15,U
2014-03,-7.98,U
2014-04,1.31,U
2014-05,7.9,U
2014-06,,U
2014-07,13.43,U
2014-08,12.99,U
2014-09,,U
2014-10,0.0,U
2014-11,, 
2014-12,, 
2017-01,-14.76,U
2017-02,-13.08,U
2017-03,-12.96,U
2017-04,3.57,U
2017-05,8.27,U
2017-06,14.09,U
2017-07,15.73,U
2017-08,11.26,U
2017-09,6.93,U
2017-10,, 
2017-11,, 
2017-12,, 
2019-01,, 
2019-02,, 
2019-03,-2.98,U
2019-04,-1.87,U
2019-05,8.64,U
2019-06,16.26,U
2019-07,17.03,U
2019-08,12.78,U
2019-09,7.04,U
2019-10,-1.2,U
2019-11,, 
2019-12,-16.47,U
2020-01,-24.25,U
2020-02,, 
2020-03,, 
2020-04,, 
2020-05,, 
2020-06,12.53,U
2020-07,13.65,U
2020-08,14.03,U
2020-09,5.97,U
2020-10,-0.75,U
2020-11,-9.78,U
2020-12,-14.04,U
