Date [YYYY-MM],Temperature [°C],QCFLAG
1988-01,, 
1988-02,, 
1988-03,, 
1988-04,, 
1988-05,, 
1988-06,,U
1988-07,,U
1988-08,,U
1988-09,, 
1988-10,, 
1988-11,, 
1988-12,, 
1990-01,, 
1990-02,, 
1990-03,, 
1990-04,, 
1990-05,, 
1990-06,, 
1990-07,15.07,U
1990-08,13.23,U
1990-09,3.71,U
1990-10,-3.65,U
1990-11,-13.7,U
1990-12,-18.05,U
1991-01,-18.49,U
1991-02,-17.1,U
1991-03,-15.7,U
1991-04,-5.53,U
1991-05,5.14,U
1991-06,13.5,U
1991-07,13.15,U
1991-08,11.19,U
1991-09,8.47,U
1991-10,, 
1991-11,, 
1991-12,-20.29,U
1992-01,-17.02,U
1992-02,-20.21,U
1992-03,-16.6,U
1992-04,-7.98,U
1992-05,-2.19,U
1992-06,11.43,U
1992-07,14.8,U
1992-08,10.22,U
1992-09,-1.01,U
1992-10,-7.7,U
1992-11,-12.76,U
1992-12,-16.92,U
1993-01,, 
1993-02,, 
1993-03,, 
1993-04,, 
1993-05,, 
1993-06,11.49,U
1993-07,14.99,U
1993-08,9.61,U
1993-09,2.5,U
1993-10,1.77,U
1993-11,,U
1993-12,, 
1994-01,, 
1994-02,, 
1994-03,, 
1994-04,, 
1994-05,, 
1994-06,, 
1994-07,13.71,U
1994-08,10.2,U
1994-09,4.88,U
1994-10,-6.58,U
1994-11,, 
1994-12,, 
1995-01,, 
1995-02,, 
1995-03,, 
1995-04,, 
1995-05,, 
1995-06,10.49,U
1995-07,13.55,U
1995-08,10.43,U
1995-09,8.67,U
1995-10,-3.2,U
1995-11,-12.42,U
1995-12,-13.74,U
1996-01,-20.0,U
1996-02,-18.92,U
1996-03,-9.91,U
1996-04,-8.1,U
1996-05,4.89,U
1996-06,9.23,U
1996-07,13.14,U
1996-08,9.38,U
1996-09,3.05,U
1996-10,-8.14,U
1996-11,-10.35,U
1996-12,-17.9,U
1997-01,-19.21,U
1997-02,-12.37,U
1997-03,-17.31,U
1997-04,-3.09,U
1997-05,6.57,U
1997-06,12.85,U
1997-07,14.36,U
1997-08,12.1,U
1997-09,8.99,U
1997-10,-7.21,U
1997-11,-8.12,U
1997-12,-18.62,U
1998-01,-19.41,U
1998-02,-15.99,U
1998-03,-7.47,U
1998-04,-1.93,U
1998-05,3.92,U
1998-06,10.85,U
1998-07,14.66,U
1998-08,8.41,U
1998-09,6.62,U
1998-10,-1.9,U
1998-11,-9.61,U
1998-12,-18.41,U
1999-01,-23.28,U
1999-02,-22.01,U
1999-03,-18.01,U
1999-04,-8.12,U
1999-05,2.23,U
1999-06,12.2,U
1999-07,12.38,U
1999-08,11.79,U
1999-09,6.84,U
1999-10,-6.17,U
1999-11,-15.42,U
1999-12,-25.13,U
2000-01,-18.96,U
2000-02,-7.92,U
2000-03,-10.72,U
2000-04,-6.51,U
2000-05,-0.17,U
2000-06,11.92,U
2000-07,11.84,U
2000-08,9.09,U
2000-09,3.8,U
2000-10,-3.01,U
2000-11,-7.21,U
2000-12,, 
2002-01,, 
2002-02,, 
2002-03,, 
2002-04,, 
2002-05,7.86,U
2002-06,10.95,U
2002-07,13.29,U
2002-08,10.36,U
2002-09,6.33,U
2002-10,-0.17,U
2002-11,-5.65,U
2002-12,, 
2003-01,, 
2003-02,, 
2003-03,, 
2003-04,, 
2003-05,, 
2003-06,13.56,U
2003-07,11.8,U
2003-08,11.54,U
2003-09,4.45,U
2003-10,, 
2003-11,, 
2003-12,, 
2004-01,, 
2004-02,, 
2004-03,, 
2004-04,, 
2004-05,, 
2004-06,15.24,U
2004-07,16.3,U
2004-08,14.83,U
2004-09,3.41,U
2004-10,-0.06,U
2004-11,-7.67,U
2004-12,-12.58,U
2005-01,-13.35,U
2005-02,-16.88,U
2005-03,-9.15,U
2005-04,-9.61,U
2005-05,, 
2005-06,, 
2005-07,, 
2005-08,, 
2005-09,, 
2005-10,, 
2005-11,, 
2005-12,, 
2006-01,, 
2006-02,, 
2006-03,, 
2006-04,, 
2006-05,, 
2006-06,9.15,U
2006-07,12.68,U
2006-08,9.93,U
2006-09,8.22,U
2006-10,0.7,U
2006-11,-9.55,U
2006-12,-14.78,U
2007-01,-16.52,U
2007-02,-14.03,U
2007-03,-20.38,U
2007-04,-3.18,U
2007-05,4.37,U
2007-06,11.99,U
2007-07,15.41,U
2007-08,13.9,U
2007-09,8.09,U
2007-10,-3.71,U
2007-11,-8.33,U
2007-12,-13.95,U
2008-01,-21.04,U
2008-02,-21.93,U
2008-03,-13.1,U
2008-04,-6.91,U
2008-05,4.94,U
2008-06,10.58,U
2008-07,11.98,U
2008-08,10.46,U
2008-09,6.81,U
2008-10,-8.06,U
2008-11,-14.14,U
2008-12,-13.11,U
2009-01,-20.54,U
2009-02,-17.75,U
2009-03,-15.3,U
2009-04,-6.28,U
2009-05,4.61,U
2009-06,11.77,U
2009-07,15.92,U
2009-08,9.92,U
2009-09,6.0,U
2009-10,-1.39,U
2009-11,-15.85,U
2009-12,-12.23,U
2010-01,-20.42,U
2010-02,-14.45,U
2010-03,-17.58,U
2010-04,-5.22,U
2010-05,4.82,U
2010-06,11.13,U
2010-07,12.45,U
2010-08,12.12,U
2010-09,7.45,U
2010-10,-1.43,U
2010-11,, 
2010-12,, 
2011-01,, 
2011-02,, 
2011-03,, 
2011-04,, 
2011-05,, 
2011-06,12.87,U
2011-07,11.94,U
2011-08,10.81,U
2011-09,7.43,U
2011-10,-2.27,U
2011-11,-16.45,U
2011-12,-16.93,U
2012-01,-30.02,U
2012-02,-12.76,U
2012-03,-17.75,U
2012-04,-5.94,U
2012-05,1.34,U
2012-06,11.79,U
2012-07,12.21,U
2012-08,10.17,U
2012-09,4.2,U
2012-10,-2.14,U
2012-11,-14.96,U
2012-12,-19.13,U
2013-01,-12.58,U
2013-02,-19.73,U
2013-03,-14.2,U
2013-04,-10.86,U
2013-05,-0.59,U
2013-06,13.41,U
2013-07,13.34,U
2013-08,11.82,U
2013-09,3.69,U
2013-10,1.42,U
2013-11,-10.36,U
2013-12,-12.65,U
2014-01,-7.82,U
2014-02,-13.44,U
2014-03,-11.66,U
2014-04,-2.44,U
2014-05,4.8,U
2014-06,10.42,U
2014-07,11.92,U
2014-08,13.81,U
2014-09,6.71,U
2014-10,-3.54,U
2014-11,-6.65,U
2014-12,-11.94,U
2015-01,-16.48,U
2015-02,-10.63,U
2015-03,-16.36,U
2015-04,-5.19,U
2015-05,8.09,U
2015-06,11.63,U
2015-07,14.36,U
2015-08,9.2,U
2015-09,4.02,U
2015-10,0.16,U
2015-11,-8.34,U
2015-12,-14.83,U
2016-01,-8.35,U
2016-02,-9.93,U
2016-03,-14.21,U
2016-04,0.56,U
2016-05,7.78,U
2016-06,11.95,U
2016-07,14.18,U
2016-08,13.57,U
2016-09,6.55,U
2016-10,1.84,U
2016-11,-11.67,U
2016-12,-12.53,U
2017-01,-15.76,U
2017-02,-17.09,U
2017-03,-16.66,U
2017-04,0.46,U
2017-05,5.73,U
2017-06,13.39,U
2017-07,15.53,U
2017-08,10.53,U
2017-09,6.38,U
2017-10,-0.34,U
2017-11,-6.91,U
2017-12,-5.86,U
2018-01,-15.44,U
2018-02,-7.69,U
2018-03,-7.9,U
2018-04,-2.67,U
2018-05,5.09,U
2018-06,12.68,U
2018-07,15.33,U
2018-08,11.07,U
2018-09,9.1,U
2018-10,2.42,U
2018-11,-6.95,U
2018-12,-14.86,U
2019-01,-14.1,U
2019-02,-5.95,U
2019-03,-3.55,U
2019-04,-3.53,U
2019-05,7.86,U
2019-06,14.97,U
2019-07,16.09,U
2019-08,11.97,U
2019-09,8.09,U
2019-10,-0.55,U
2019-11,-9.35,U
2019-12,-15.44,U
2020-01,-20.09,U
2020-02,-21.63,U
2020-03,-11.06,U
2020-04,-3.39,U
2020-05,9.81,U
2020-06,12.08,U
2020-07,12.77,U
2020-08,13.07,U
2020-09,6.0,U
2020-10,0.15,U
2020-11,-7.0,U
2020-12,-13.49,U
2021-01,-14.79,U
2021-02,-20.98,U
2021-03,-13.91,U
2021-04,-5.55,U
2021-05,6.24,U
2021-06,11.31,U
2021-07,12.27,U
2021-08,10.32,U
2021-09,4.71,U
2021-10,-2.54,U
2021-11,-18.05,U
2021-12,-15.31,U
