Date [YYYY-MM],Temperature [°C],QCFLAG
1988-01,, 
1988-02,, 
1988-03,, 
1988-04,, 
1988-05,, 
1988-06,, 
1988-07,, 
1988-08,, 
1988-09,, 
1988-10,, 
1988-11,-21.97,U
1988-12,-16.06,U
1989-01,, 
1989-02,, 
1989-03,, 
1989-04,, 
1989-05,, 
1989-06,, 
1989-07,12.99,U
1989-08,10.87,U
1989-09,2.52,U
1989-10,-11.0,U
1989-11,-22.9,U
1989-12,-17.51,U
1990-01,-24.59,U
1990-02,-27.68,U
1990-03,-12.23,U
1990-04,-6.15,U
1990-05,4.98,U
1990-06,10.2,U
1990-07,11.79,U
1990-08,8.63,U
1990-09,-1.46,U
1990-10,-11.13,U
1990-11,-23.68,U
1990-12,-23.36,U
1991-01,-19.47,U
1991-02,-21.63,U
1991-03,-17.18,U
1991-04,-6.04,U
1991-05,5.45,U
1991-06,9.42,U
1991-07,9.31,U
1991-08,5.93,U
1991-09,1.45,U
1991-10,-8.53,U
1991-11,-18.71,U
1991-12,-19.62,U
1992-01,, 
1992-02,, 
1992-03,, 
1992-04,, 
1992-05,, 
1992-06,, 
1992-07,12.39,U
1992-08,8.6,U
1992-09,-6.08,U
1992-10,-12.19,U
1992-11,-16.27,U
1992-12,, 
1993-01,-20.67,U
1993-02,-17.11,U
1993-03,, 
1993-04,-6.24,U
1993-05,2.16,U
1993-06,11.21,U
1993-07,14.19,U
1993-08,7.73,U
1993-09,-0.23,U
1993-10,-7.27,U
1993-11,-16.49,U
1993-12,, 
1994-01,-20.35,U
1994-02,-19.85,U
1994-03,-18.37,U
1994-04,-9.23,U
1994-05,3.68,U
1994-06,9.45,U
1994-07,14.69,U
1994-08,10.42,U
1994-09,-1.48,U
1994-10,-9.08,U
1994-11,-20.16,U
1994-12,-19.99,U
1995-01,-19.11,U
1995-02,-17.78,U
1995-03,-18.31,U
1995-04,-3.9,U
1995-05,5.64,U
1995-06,10.81,U
1995-07,12.33,U
1995-08,8.22,U
1995-09,4.32,U
1995-10,-10.1,U
1995-11,, 
1995-12,, 
1996-01,, 
1996-02,, 
1996-03,, 
1996-04,, 
1996-05,, 
1996-06,10.72,U
1996-07,11.35,U
1996-08,4.93,U
1996-09,-1.8,U
1996-10,-14.25,U
1996-11,-15.13,U
1996-12,, 
1997-01,, 
1997-02,, 
1997-03,, 
1997-04,, 
1997-05,, 
1997-06,10.86,U
1997-07,11.97,U
1997-08,9.81,U
1997-09,3.44,U
1997-10,-12.6,U
1997-11,-12.26,U
1997-12,-19.99,U
1998-01,-21.89,U
1998-02,-15.94,U
1998-03,-11.74,U
1998-04,-3.3,U
1998-05,4.24,U
1998-06,10.61,U
1998-07,13.74,U
1998-08,7.36,U
1998-09,1.61,U
1998-10,-7.85,U
1998-11,-14.97,U
1998-12,-16.68,U
1999-01,-23.4,U
1999-02,-21.85,U
1999-03,-17.14,U
1999-04,-9.06,U
1999-05,1.53,U
1999-06,11.66,U
1999-07,11.64,U
1999-08,9.68,U
1999-09,2.5,U
1999-10,-12.03,U
1999-11,-18.63,U
1999-12,-22.61,U
2000-01,, 
2000-02,-15.35,U
2000-03,-15.11,U
2000-04,-9.01,U
2000-05,-1.23,U
2000-06,11.76,U
2000-07,10.84,U
2000-08,5.89,U
2000-09,-1.11,U
2000-10,-8.9,U
2000-11,-13.54,U
2000-12,-16.07,U
2001-01,, 
2001-02,, 
2001-03,, 
2001-04,, 
2001-05,, 
2001-06,10.45,U
2001-07,, 
2001-08,9.2,U
2001-09,4.86,U
2001-10,-9.13,U
2001-11,-13.32,U
2001-12,, 
2002-01,-16.12,U
2002-02,, 
2002-03,-13.67,U
2002-04,-9.9,U
2002-05,2.67,U
2002-06,9.82,U
2002-07,12.38,U
2002-08,7.99,U
2002-09,3.78,U
2002-10,,U
2002-11,0.0,U
2002-12,, 
2003-01,,U
2003-02,,U
2003-03,,U
2003-04,,U
2003-05,1.12,U
2003-06,10.14,U
2003-07,11.34,U
2003-08,8.27,U
2003-09,-0.68,U
2003-10,-3.36,U
2003-11,-17.56,U
2003-12,-18.45,U
2004-01,, 
2004-02,, 
2004-03,, 
2004-04,, 
2004-05,, 
2004-06,15.19,U
2004-07,13.69,U
2004-08,11.43,U
2004-09,, 
2004-10,-9.67,U
2004-11,, 
2004-12,, 
2005-01,, 
2005-02,, 
2005-03,, 
2005-04,, 
2005-05,, 
2005-06,11.64,U
2005-07,9.71,U
2005-08,9.53,U
2005-09,0.51,U
2005-10,-9.01,U
2005-11,, 
2005-12,, 
2006-01,, 
2006-02,, 
2006-03,, 
2006-04,, 
2006-05,, 
2006-06,10.06,U
2006-07,10.83,U
2006-08,, 
2006-09,, 
2006-10,, 
2006-11,, 
2006-12,, 
2007-01,, 
2007-02,, 
2007-03,, 
2007-04,, 
2007-05,, 
2007-06,12.6,U
2007-07,14.61,U
2007-08,4.69,U
2007-09,,U
2007-10,,U
2007-11,,U
2007-12,,U
2008-01,,U
2008-02,,U
2008-03,, 
2008-04,, 
2008-05,, 
2008-06,11.33,U
2008-07,10.73,U
2008-08,5.89,U
2008-09,0.21,U
2008-10,-12.54,U
2008-11,-15.55,U
2008-12,-18.75,U
2009-01,-20.62,U
2009-02,, 
2009-03,-23.36,U
2009-04,-7.92,U
2009-05,2.7,U
2009-06,9.89,U
2009-07,13.75,U
2009-08,7.47,U
2009-09,2.16,U
2009-10,, 
2009-11,, 
2009-12,, 
2010-01,, 
2010-02,, 
2010-03,, 
2010-04,, 
2010-05,6.12,U
2010-06,11.01,U
2010-07,12.19,U
2010-08,10.29,U
2010-09,, 
2010-10,, 
2010-11,, 
2010-12,, 
2011-01,, 
2011-02,, 
2011-03,, 
2011-04,, 
2011-05,4.42,U
2011-06,8.64,U
2011-07,11.93,U
2011-08,8.69,U
2011-09,2.15,U
2011-10,, 
2011-11,, 
2011-12,, 
2012-01,, 
2012-02,, 
2012-03,, 
2012-04,, 
2012-05,, 
2012-06,12.89,U
2012-07,12.57,U
2012-08,8.85,U
2012-09,2.02,U
2012-10,-7.78,U
2012-11,-18.29,U
2012-12,-22.6,U
2013-01,-20.27,U
2013-02,-20.38,U
2013-03,-17.53,U
2013-04,-13.46,U
2013-05,0.14,U
2013-06,13.04,U
2013-07,13.2,U
2013-08,, 
2013-09,, 
2013-10,, 
2013-11,, 
2013-12,, 
2015-01,-17.22,U
2015-02,-14.86,U
2015-03,-13.97,U
2015-04,-6.44,U
2015-05,7.65,U
2015-06,10.6,U
2015-07,11.56,U
2015-08,6.88,U
2015-09,-1.58,U
2015-10,-8.59,U
2015-11,-14.88,U
2015-12,-20.13,U
2016-01,-13.25,U
2016-02,-13.95,U
2016-03,-14.57,U
2016-04,-8.01,U
2016-05,5.15,U
2016-06,8.59,U
2016-07,13.01,U
2016-08,9.58,U
2016-09,0.81,U
2016-10,-6.59,U
2016-11,-13.95,U
2016-12,, 
2017-01,-17.1,U
2017-02,-16.86,U
2017-03,-18.98,U
2017-04,-8.45,U
2017-05,4.44,U
2017-06,10.92,U
2017-07,15.45,U
2017-08,8.41,U
2017-09,2.32,U
2017-10,-6.88,U
2017-11,-15.32,U
2017-12,-11.03,U
2018-01,-18.19,U
2018-02,-14.54,U
2018-03,-13.75,U
2018-04,-10.17,U
2018-05,2.21,U
2018-06,8.72,U
2018-07,13.68,U
2018-08,6.27,U
2018-09,, 
2018-10,, 
2018-11,, 
2018-12,, 
2020-01,-22.78,U
2020-02,-23.48,U
2020-03,-17.1,U
2020-04,-7.94,U
2020-05,3.5,U
2020-06,11.11,U
2020-07,9.58,U
2020-08,10.31,U
2020-09,2.44,U
2020-10,-8.37,U
2020-11,-14.18,U
2020-12,-18.36,U
2021-01,-16.62,U
2021-02,-25.36,U
2021-03,-19.09,U
2021-04,-9.22,U
2021-05,0.9,U
2021-06,12.65,U
2021-07,13.19,U
2021-08,7.13,U
2021-09,, 
2021-10,, 
2021-11,, 
2021-12,, 
