Date [YYYY-MM],Temperature [°C],QCFLAG
1990-01,, 
1990-02,, 
1990-03,, 
1990-04,, 
1990-05,, 
1990-06,, 
1990-07,16.67,U
1990-08,13.81,U
1990-09,6.57,U
1990-10,, 
1990-11,, 
1990-12,, 
1991-01,, 
1991-02,, 
1991-03,-7.17,U
1991-04,2.8,U
1991-05,9.49,U
1991-06,14.65,U
1991-07,14.28,U
1991-08,11.37,U
1991-09,7.82,U
1991-10,, 
1991-11,, 
1991-12,, 
1992-01,, 
1992-02,-18.09,U
1992-03,-7.56,U
1992-04,-1.4,U
1992-05,4.84,U
1992-06,13.79,U
1992-07,14.98,U
1992-08,12.16,U
1992-09,-1.21,U
1992-10,-7.48,U
1992-11,-13.25,U
1992-12,, 
1993-01,, 
1993-02,, 
1993-03,, 
1993-04,, 
1993-05,, 
1993-06,13.56,U
1993-07,16.4,U
1993-08,13.04,U
1993-09,6.67,U
1993-10,-1.86,U
1993-11,-14.39,U
1993-12,-18.64,U
1994-01,-20.0,U
1994-02,-21.31,U
1994-03,-8.18,U
1994-04,3.15,U
1994-05,, 
1994-06,13.75,U
1994-07,15.88,U
1994-08,15.63,U
1994-09,5.2,U
1994-10,-5.4,U
1994-11,-18.2,U
1994-12,-23.87,U
1995-01,-21.68,U
1995-02,-13.77,U
1995-03,-12.69,U
1995-04,3.51,U
1995-05,10.76,U
1995-06,14.71,U
1995-07,14.63,U
1995-08,12.03,U
1995-09,9.67,U
1995-10,-3.23,U
1995-11,-18.26,U
1995-12,-21.49,U
1996-01,-29.37,U
1996-02,-16.01,U
1996-03,-8.31,U
1996-04,1.22,U
1996-05,7.95,U
1996-06,12.95,U
1996-07,15.3,U
1996-08,10.89,U
1996-09,4.82,U
1996-10,-10.02,U
1996-11,-19.07,U
1996-12,-24.51,U
1997-01,, 
1997-02,, 
1997-03,, 
1997-04,, 
1997-05,, 
1997-06,14.22,U
1997-07,16.75,U
1997-08,13.35,U
1997-09,9.05,U
1997-10,-8.11,U
1997-11,-13.6,U
1997-12,-18.06,U
1998-01,-24.69,U
1998-02,-12.94,U
1998-03,-6.5,U
1998-04,3.27,U
1998-05,9.15,U
1998-06,14.51,U
1998-07,15.52,U
1998-08,, 
1998-09,6.91,U
1998-10,-4.9,U
1998-11,-16.13,U
1998-12,-22.94,U
1999-01,-25.5,U
1999-02,-21.88,U
1999-03,-8.95,U
1999-04,0.34,U
1999-05,6.23,U
1999-06,14.46,U
1999-07,15.28,U
1999-08,13.73,U
1999-09,6.51,U
1999-10,-4.63,U
1999-11,-17.61,U
1999-12,-20.43,U
2000-01,-22.17,U
2000-02,-9.1,U
2000-03,-4.74,U
2000-04,0.42,U
2000-05,5.76,U
2000-06,13.88,U
2000-07,14.99,U
2000-08,9.71,U
2000-09,3.72,U
2000-10,-5.35,U
2000-11,-13.78,U
2000-12,-19.69,U
2001-01,, 
2001-02,-12.94,U
2001-03,-8.3,U
2001-04,1.87,U
2001-05,6.01,U
2001-06,14.61,U
2001-07,14.55,U
2001-08,14.47,U
2001-09,7.12,U
2001-10,-5.6,U
2001-11,-17.77,U
2001-12,-24.84,U
2002-01,, 
2002-02,, 
2002-03,, 
2002-04,-2.62,U
2002-05,8.26,U
2002-06,12.96,U
2002-07,15.12,U
2002-08,12.1,U
2002-09,7.05,U
2002-10,-0.8,U
2002-11,-10.08,U
2002-12,, 
2003-01,-20.0,U
2003-02,, 
2003-03,-10.29,U
2003-04,1.07,U
2003-05,7.65,U
2003-06,13.16,U
2003-07,16.61,U
2003-08,12.89,U
2003-09,4.04,U
2003-10,-0.14,U
2003-11,-15.35,U
2003-12,, 
2004-01,, 
2004-02,, 
2004-03,, 
2004-04,, 
2004-05,, 
2004-06,17.91,U
2004-07,16.54,U
2004-08,15.72,U
2004-09,2.62,U
2004-10,-3.71,U
2004-11,-14.44,U
2004-12,-18.75,U
2005-01,, 
2005-02,-16.12,U
2005-03,-5.05,U
2005-04,2.92,U
2005-05,11.37,U
2005-06,14.31,U
2005-07,13.41,U
2005-08,14.18,U
2005-09,7.61,U
2005-10,-3.43,U
2005-11,-17.78,U
2005-12,, 
2006-01,, 
2006-02,-12.95,U
2006-03,-13.05,U
2006-04,-0.31,U
2006-05,8.14,U
2006-06,13.4,U
2006-07,15.15,U
2006-08,11.64,U
2006-09,7.8,U
2006-10,-1.59,U
2006-11,-24.14,U
2006-12,, 
2007-01,, 
2007-02,-15.83,U
2007-03,-14.78,U
2007-04,1.57,U
2007-05,8.55,U
2007-06,15.54,U
2007-07,15.99,U
2007-08,14.96,U
2007-09,6.09,U
2007-10,-5.58,U
2007-11,-12.21,U
2007-12,, 
2008-01,, 
2008-02,, 
2008-03,-5.44,U
2008-04,0.7,U
2008-05,8.36,U
2008-06,12.93,U
2008-07,12.74,U
2008-08,10.3,U
2008-09,6.89,U
2008-10,-6.55,U
2008-11,-16.47,U
2008-12,, 
2009-01,, 
2009-02,, 
2009-03,, 
2009-04,, 
2009-05,8.97,U
2009-06,13.29,U
2009-07,17.57,U
2009-08,,U
2009-09,,U
2009-10,,U
2009-11,,U
2009-12,,U
2010-01,,U
2010-02,,U
2010-03,-0.67,U
2010-04,1.57,U
2010-05,10.85,U
2010-06,13.02,U
2010-07,15.16,U
2010-08,14.58,U
2010-09,6.59,U
2010-10,-4.04,U
2010-11,-10.34,U
2010-12,-25.01,U
2011-01,-21.26,U
2011-02,, 
2011-03,-12.95,U
2011-04,1.47,U
2011-05,9.89,U
2011-06,13.49,U
2011-07,14.82,U
2011-08,10.15,U
2011-09,7.59,U
2011-10,-3.86,U
2011-11,-20.83,U
2011-12,-14.92,U
2012-01,-28.4,U
2012-02,-12.74,U
2012-03,-11.31,U
2012-04,4.0,U
2012-05,6.91,U
2012-06,13.34,U
2012-07,13.91,U
2012-08,12.85,U
2012-09,7.21,U
2012-10,-6.29,U
2012-11,-21.23,U
2012-12,-27.82,U
2013-01,-19.14,U
2013-02,-14.84,U
2013-03,-10.23,U
2013-04,-5.67,U
2013-05,7.05,U
2013-06,15.98,U
2013-07,15.89,U
2013-08,14.42,U
2013-09,5.19,U
2013-10,0.27,U
2013-11,-16.34,U
2013-12,-22.13,U
2014-01,-13.41,U
2014-02,-18.48,U
2014-03,-8.76,U
2014-04,1.35,U
2014-05,9.79,U
2014-06,11.53,U
2014-07,14.79,U
2014-08,13.33,U
2014-09,6.23,U
2014-10,-4.58,U
2014-11,, 
2014-12,, 
2015-01,, 
2015-02,, 
2015-03,, 
2015-04,, 
2015-05,, 
2015-06,, 
2015-07,15.26,U
2015-08,10.85,U
2015-09,5.27,U
2015-10,-1.18,U
2015-11,-13.64,U
2015-12,-20.19,U
2016-01,, 
2016-02,, 
2016-03,, 
2016-04,, 
2016-05,, 
2016-06,14.68,U
2016-07,16.19,U
2016-08,14.62,U
2016-09,7.84,U
2016-10,-5.38,U
2016-11,-14.59,U
2016-12,, 
2017-01,-19.93,U
2017-02,-14.27,U
2017-03,-14.6,U
2017-04,3.05,U
2017-05,8.8,U
2017-06,14.14,U
2017-07,16.12,U
2017-08,13.77,U
2017-09,8.19,U
2017-10,-2.35,U
2017-11,-16.14,U
2017-12,, 
2019-01,-20.97,U
2019-02,, 
2019-03,-1.34,U
2019-04,2.5,U
2019-05,11.13,U
2019-06,15.54,U
2019-07,16.97,U
2019-08,12.57,U
2019-09,9.09,U
2019-10,-1.98,U
2019-11,-11.3,U
2019-12,, 
2020-01,, 
2020-02,, 
2020-03,, 
2020-04,, 
2020-05,10.31,U
2020-06,12.42,U
2020-07,14.58,U
2020-08,12.44,U
2020-09,7.58,U
2020-10,-3.82,U
2020-11,-16.73,U
2020-12,-17.12,U
2021-01,-16.48,U
2021-02,-19.57,U
2021-03,-11.54,U
2021-04,-1.89,U
2021-05,8.38,U
2021-06,14.37,U
2021-07,16.28,U
2021-08,12.65,U
2021-09,4.75,U
2021-10,-4.82,U
2021-11,-18.62,U
2021-12,-19.43,U
