Date [YYYY-MM],Temperature [°C],QCFLAG
1997-01,, 
1997-02,, 
1997-03,, 
1997-04,, 
1997-05,, 
1997-06,, 
1997-07,, 
1997-08,, 
1997-09,9.75,U
1997-10,-7.53,U
1997-11,-9.54,U
1997-12,-22.55,U
1998-01,-23.44,U
1998-02,-15.41,U
1998-03,-7.2,U
1998-04,1.01,U
1998-05,6.88,U
1998-06,13.68,U
1998-07,16.79,U
1998-08,10.44,U
1998-09,8.28,U
1998-10,-1.68,U
1998-11,-12.38,U
1998-12,-22.63,U
1999-01,-28.7,U
1999-02,-25.58,U
1999-03,-15.69,U
1999-04,-3.84,U
1999-05,6.44,U
1999-06,15.77,U
1999-07,15.14,U
1999-08,13.6,U
1999-09,7.68,U
1999-10,-6.16,U
1999-11,-18.5,U
1999-12,-26.84,U
2000-01,-23.81,U
2000-02,-9.13,U
2000-03,-10.01,U
2000-04,-3.95,U
2000-05,4.72,U
2000-06,16.67,U
2000-07,14.64,U
2000-08,10.89,U
2000-09,5.59,U
2000-10,-4.98,U
2000-11,-11.03,U
2000-12,-12.3,U
2001-01,-12.17,U
2001-02,-12.0,U
2001-03,-13.59,U
2001-04,-2.2,U
2001-05,1.34,U
2001-06,15.1,U
2001-07,14.24,U
2001-08,12.51,U
2001-09,8.34,U
2001-10,-6.95,U
2001-11,-19.6,U
2001-12,-24.4,U
2002-01,-18.56,U
2002-02,-15.49,U
2002-03,-8.36,U
2002-04,-4.86,U
2002-05,9.17,U
2002-06,14.44,U
2002-07,15.74,U
2002-08,12.4,U
2002-09,8.07,U
2002-10,-1.29,U
2002-11,-7.66,U
2002-12,-13.95,U
2003-01,-17.51,U
2003-02,-10.09,U
2003-03,-14.56,U
2003-04,-0.64,U
2003-05,6.24,U
2003-06,16.13,U
2003-07,14.42,U
2003-08,13.5,U
2003-09,5.05,U
2003-10,0.42,U
2003-11,-10.22,U
2003-12,-22.17,U
2004-01,-24.54,U
2004-02,-16.2,U
2004-03,-15.8,U
2004-04,1.48,U
2004-05,9.85,U
2004-06,17.32,U
2004-07,18.15,U
2004-08,15.59,U
2004-09,4.19,U
2004-10,-0.49,U
2004-11,-9.72,U
2004-12,-16.86,U
2005-01,-19.48,U
2005-02,-17.22,U
2005-03,-8.34,U
2005-04,-6.75,U
2005-05,10.99,U
2005-06,16.6,U
2005-07,16.78,U
2005-08,14.32,U
2005-09,8.21,U
2005-10,-2.42,U
2005-11,-19.26,U
2005-12,-15.67,U
2006-01,-29.72,U
2006-02,-13.78,U
2006-03,-16.02,U
2006-04,-7.13,U
2006-05,7.65,U
2006-06,12.46,U
2006-07,15.5,U
2006-08,12.17,U
2006-09,9.96,U
2006-10,0.98,U
2006-11,-14.44,U
2006-12,-18.1,U
2007-01,-19.74,U
2007-02,-17.94,U
2007-03,-21.46,U
2007-04,2.1,U
2007-05,9.15,U
2007-06,14.83,U
2007-07,17.94,U
2007-08,15.89,U
2007-09,9.2,U
2007-10,-4.14,U
2007-11,-10.16,U
2007-12,-18.51,U
2008-01,-23.24,U
2008-02,-22.84,U
2008-03,-10.49,U
2008-04,-5.0,U
2008-05,7.61,U
2008-06,14.12,U
2008-07,14.36,U
2008-08,12.24,U
2008-09,7.33,U
2008-10,-10.15,U
2008-11,-17.08,U
2008-12,-18.53,U
2009-01,-24.79,U
2009-02,-19.3,U
2009-03,-14.95,U
2009-04,-3.64,U
2009-05,7.84,U
2009-06,14.38,U
2009-07,18.6,U
2009-08,12.4,U
2009-09,8.4,U
2009-10,-0.2,U
2009-11,-18.07,U
2009-12,-17.36,U
2010-01,-25.1,U
2010-02,-16.34,U
2010-03,-16.34,U
2010-04,-0.74,U
2010-05,10.13,U
2010-06,14.46,U
2010-07,15.22,U
2010-08,14.31,U
2010-09,9.23,U
2010-10,, 
2010-11,, 
2010-12,, 
2011-01,, 
2011-02,, 
2011-03,, 
2011-04,, 
2011-05,, 
2011-06,15.07,U
2011-07,14.71,U
2011-08,12.14,U
