Date [YYYY-MM],Temperature [°C],QCFLAG
1990-01,, 
1990-02,, 
1990-03,, 
1990-04,, 
1990-05,6.67,U
1990-06,11.03,U
1990-07,14.32,U
1990-08,13.29,U
1990-09,, 
1990-10,-6.32,U
1990-11,-16.74,U
1990-12,-21.89,U
1991-01,-19.06,U
1991-02,-19.3,U
1991-03,-18.24,U
1991-04,-6.66,U
1991-05,4.39,U
1991-06,13.91,U
1991-07,13.26,U
1991-08,10.25,U
1991-09,5.91,U
1991-10,, 
1991-11,-15.52,U
1991-12,-19.79,U
1992-01,, 
1992-02,, 
1992-03,, 
1992-04,, 
1992-05,, 
1992-06,12.63,U
1992-07,14.57,U
1992-08,8.83,U
1992-09,-2.25,U
1992-10,-9.43,U
1992-11,, 
1992-12,, 
1993-01,, 
1993-02,, 
1993-03,, 
1993-04,, 
1993-05,, 
1993-06,13.06,U
1993-07,15.43,U
1993-08,8.44,U
1993-09,1.41,U
1993-10,-3.99,U
1993-11,-14.17,U
1993-12,-13.55,U
1994-01,, 
1994-02,, 
1994-03,, 
1994-04,, 
1994-05,, 
1994-06,10.21,U
1994-07,12.86,U
1994-08,8.71,U
1994-09,2.18,U
1994-10,-9.51,U
1994-11,-18.12,U
1994-12,, 
1995-01,, 
1995-02,, 
1995-03,, 
1995-04,, 
1995-05,, 
1995-06,9.76,U
1995-07,16.24,U
1995-08,14.01,U
1995-09,, 
1995-10,, 
1995-11,, 
1995-12,, 
1996-01,, 
1996-02,, 
1996-03,, 
1996-04,, 
1996-05,, 
1996-06,, 
1996-07,, 
1996-08,8.3,U
1996-09,, 
1996-10,, 
1996-11,, 
1996-12,, 
1997-01,, 
1997-02,, 
1997-03,, 
1997-04,, 
1997-05,, 
1997-06,13.46,U
1997-07,, 
1997-08,, 
1997-09,7.09,U
1997-10,-10.9,U
1997-11,-9.25,U
1997-12,-19.42,U
1998-01,-20.54,U
1998-02,-17.27,U
1998-03,-9.3,U
1998-04,-1.99,U
1998-05,3.0,U
1998-06,10.86,U
1998-07,16.2,U
1998-08,8.48,U
1998-09,5.23,U
1998-10,-2.8,U
1998-11,-10.57,U
1998-12,-16.87,U
1999-01,-25.67,U
1999-02,-23.24,U
1999-03,-18.49,U
1999-04,-9.93,U
1999-05,3.63,U
1999-06,12.95,U
1999-07,13.35,U
1999-08,11.56,U
1999-09,6.0,U
1999-10,-7.93,U
1999-11,-17.55,U
1999-12,-24.85,U
2000-01,-21.45,U
2000-02,-11.32,U
2000-03,-12.22,U
2000-04,-8.51,U
2000-05,-0.86,U
2000-06,12.14,U
2000-07,11.82,U
2000-08,7.77,U
2000-09,2.14,U
2000-10,-6.16,U
2000-11,-10.47,U
2000-12,-10.18,U
2001-01,-13.3,U
2001-02,-10.16,U
2001-03,-15.78,U
2001-04,-9.22,U
2001-05,-2.48,U
2001-06,10.48,U
2001-07,11.78,U
2001-08,9.74,U
2001-09,5.65,U
2001-10,-10.09,U
2001-11,-15.05,U
2001-12,-19.89,U
2002-01,-21.94,U
2002-02,-15.8,U
2002-03,-10.15,U
2002-04,-10.06,U
2002-05,4.74,U
2002-06,10.39,U
2002-07,12.51,U
2002-08,8.95,U
2002-09,5.18,U
2002-10,-2.18,U
2002-11,-7.63,U
2002-12,-13.27,U
2003-01,-14.73,U
2003-02,-14.96,U
2003-03,-15.73,U
2003-04,-4.43,U
2003-05,2.14,U
2003-06,13.7,U
2003-07,9.88,U
2003-08,9.93,U
2003-09,2.62,U
2003-10,-1.94,U
2003-11,-12.92,U
2003-12,-18.17,U
2004-01,-17.96,U
2004-02,-17.59,U
2004-03,-15.94,U
2004-04,-2.46,U
2004-05,6.28,U
2004-06,15.59,U
2004-07,15.68,U
2004-08,14.1,U
2004-09,2.03,U
2004-10,-3.72,U
2004-11,-11.42,U
2004-12,-17.47,U
2005-01,-17.3,U
2005-02,-18.64,U
2005-03,-11.58,U
2005-04,-9.33,U
2005-05,6.7,U
2005-06,14.06,U
2005-07,14.8,U
2005-08,12.68,U
2005-09,5.85,U
2005-10,-4.85,U
2005-11,-18.55,U
2005-12,-15.79,U
2006-01,-24.61,U
2006-02,-15.14,U
2006-03,-17.76,U
2006-04,-11.51,U
2006-05,3.85,U
2006-06,8.33,U
2006-07,11.66,U
2006-08,9.33,U
2006-09,7.27,U
2006-10,-1.73,U
2006-11,-12.73,U
2006-12,-16.47,U
2007-01,-17.75,U
2007-02,-18.11,U
2007-03,-22.5,U
2007-04,-5.0,U
2007-05,3.75,U
2007-06,14.04,U
2007-07,17.39,U
2007-08,14.68,U
2007-09,7.39,U
2007-10,-5.72,U
2007-11,-9.41,U
2007-12,-16.21,U
2008-01,-20.74,U
2008-02,-22.05,U
2008-03,-14.99,U
2008-04,-8.63,U
2008-05,4.21,U
2008-06,10.15,U
2008-07,12.3,U
2008-08,10.46,U
2008-09,5.37,U
2008-10,-8.45,U
2008-11,-16.22,U
2008-12,-15.08,U
2009-01,-21.95,U
2009-02,-22.49,U
2009-03,-16.71,U
2009-04,-8.61,U
2009-05,4.0,U
2009-06,11.89,U
2009-07,15.36,U
2009-08,9.63,U
2009-09,4.26,U
2009-10,-2.49,U
2009-11,-17.29,U
2009-12,-11.81,U
2010-01,-23.31,U
2010-02,-15.93,U
2010-03,-17.0,U
2010-04,-4.38,U
2010-05,5.99,U
2010-06,13.64,U
2010-07,13.13,U
2010-08,12.61,U
2010-09,7.32,U
2010-10,-4.38,U
2010-11,-11.21,U
2010-12,-20.11,U
2011-01,-14.15,U
2011-02,-18.06,U
2011-03,-13.85,U
2011-04,-8.93,U
2011-05,4.37,U
2011-06,13.2,U
2011-07,12.93,U
2011-08,10.63,U
2011-09,5.66,U
2011-10,-4.74,U
2011-11,-18.05,U
2011-12,-17.39,U
2012-01,-31.6,U
2012-02,-14.43,U
2012-03,-18.51,U
2012-04,-4.84,U
2012-05,3.21,U
2012-06,14.04,U
2012-07,13.48,U
2012-08,9.7,U
2012-09,4.02,U
2012-10,-3.36,U
2012-11,-16.78,U
2012-12,-21.1,U
2013-01,-13.92,U
2013-02,-19.4,U
2013-03,-13.95,U
2013-04,-9.14,U
2013-05,-0.21,U
2013-06,14.1,U
2013-07,13.58,U
2013-08,10.86,U
2013-09,2.5,U
2013-10,-0.45,U
2013-11,-13.59,U
2013-12,-14.85,U
2014-01,-10.99,U
2014-02,-14.71,U
2014-03,-12.27,U
2014-04,-4.95,U
2014-05,3.04,U
2014-06,10.43,U
2014-07,12.0,U
2014-08,13.22,U
2014-09,5.5,U
2014-10,-4.88,U
2014-11,-8.45,U
2014-12,-14.76,U
2015-01,-18.0,U
2015-02,-13.26,U
2015-03,-16.48,U
2015-04,-5.92,U
2015-05,6.75,U
2015-06,10.63,U
2015-07,14.81,U
2015-08,9.01,U
2015-09,2.73,U
2015-10,-2.65,U
2015-11,-11.01,U
2015-12,-17.51,U
2016-01,-9.87,U
2016-02,-11.75,U
2016-03,-13.97,U
2016-04,-0.45,U
2016-05,8.06,U
2016-06,11.84,U
2016-07,13.47,U
2016-08,11.72,U
2016-09,3.83,U
2016-10,0.59,U
2016-11,-14.18,U
2016-12,-16.72,U
2017-01,-18.28,U
2017-02,-19.88,U
2017-03,-21.26,U
2017-04,-4.1,U
2017-05,4.25,U
2017-06,12.31,U
2017-07,14.36,U
2017-08,8.37,U
2017-09,4.9,U
2017-10,-3.04,U
2017-11,-8.12,U
2017-12,-7.85,U
2018-01,-18.99,U
2018-02,-10.21,U
2018-03,-10.4,U
2018-04,-4.51,U
2018-05,4.95,U
2018-06,11.69,U
2018-07,13.9,U
2018-08,10.55,U
2018-09,8.18,U
2018-10,-0.11,U
2018-11,-8.85,U
2018-12,-16.91,U
2019-01,-16.36,U
2019-02,-8.09,U
2019-03,-5.79,U
2019-04,-4.31,U
2019-05,7.18,U
2019-06,14.44,U
2019-07,15.12,U
2019-08,10.55,U
2019-09,6.73,U
2019-10,-2.33,U
2019-11,-11.16,U
2019-12,-16.76,U
2020-01,-22.48,U
2020-02,-25.07,U
2020-03,-15.49,U
2020-04,-5.79,U
2020-05,6.21,U
2020-06,12.75,U
2020-07,13.2,U
2020-08,11.62,U
2020-09,4.77,U
2020-10,-2.83,U
2020-11,-9.83,U
2020-12,-15.13,U
2021-01,-15.62,U
2021-02,-23.54,U
2021-03,-16.77,U
2021-04,-8.08,U
2021-05,4.54,U
2021-06,11.49,U
2021-07,12.12,U
2021-08,9.16,U
2021-09,3.3,U
2021-10,-4.18,U
2021-11,-17.4,U
2021-12,-18.84,U
