Date [YYYY-MM],Temperature [°C],QCFLAG
1988-01,, 
1988-02,, 
1988-03,, 
1988-04,, 
1988-05,, 
1988-06,, 
1988-07,, 
1988-08,12.54,U
1988-09,7.66,U
1988-10,, 
1988-11,, 
1988-12,, 
1989-01,, 
1989-02,, 
1989-03,, 
1989-04,, 
1989-05,, 
1989-06,11.29,U
1989-07,13.88,U
1989-08,14.23,U
1989-09,11.45,U
1989-10,1.2,U
1989-11,, 
1989-12,, 
1990-01,, 
1990-02,, 
1990-03,, 
1990-04,, 
1990-05,, 
1990-06,12.5,U
1990-07,13.28,U
1990-08,13.46,U
1990-09,10.13,U
1990-10,-0.38,U
1990-11,, 
1990-12,, 
1991-01,, 
1991-02,, 
1991-03,, 
1991-04,, 
1991-05,7.24,U
1991-06,11.95,U
1991-07,12.71,U
1991-08,11.35,U
1991-09,9.84,U
1991-10,-0.3,U
1991-11,-4.8,U
1991-12,-7.03,U
1992-01,, 
1992-02,, 
1992-03,, 
1992-04,, 
1992-05,, 
1992-06,11.41,U
1992-07,13.71,U
1992-08,12.13,U
1992-09,2.95,U
1992-10,-1.5,U
1992-11,-3.82,U
1992-12,-10.82,U
1993-01,-9.84,U
1993-02,-5.16,U
1993-03,, 
1993-04,4.65,U
1993-05,8.91,U
1993-06,11.47,U
1993-07,14.82,U
1993-08,13.46,U
1993-09,7.81,U
1993-10,2.94,U
1993-11,-4.63,U
1993-12,-4.44,U
1994-01,-6.41,U
1994-02,-9.96,U
1994-03,-4.4,U
1994-04,3.12,U
1994-05,7.08,U
1994-06,11.95,U
1994-07,13.43,U
1994-08,13.36,U
1994-09,7.49,U
1994-10,-0.49,U
1994-11,-10.07,U
1994-12,-9.64,U
1995-01,-9.31,U
1995-02,-7.51,U
1995-03,-9.42,U
1995-04,4.42,U
1995-05,8.08,U
1995-06,11.46,U
1995-07,13.73,U
1995-08,12.49,U
1995-09,10.91,U
1995-10,3.0,U
1995-11,-8.54,U
1995-12,-7.34,U
1996-01,-16.14,U
1996-02,-8.95,U
1996-03,-2.55,U
1996-04,2.46,U
1996-05,7.67,U
1996-06,11.25,U
1996-07,13.35,U
1996-08,12.02,U
1996-09,6.28,U
1996-10,-5.64,U
1996-11,-8.71,U
1996-12,-13.95,U
1997-01,-10.31,U
1997-02,0.28,U
1997-03,-6.64,U
1997-04,2.92,U
1997-05,7.72,U
1997-06,12.42,U
1997-07,15.03,U
1997-08,13.59,U
1997-09,9.55,U
1997-10,-3.39,U
1997-11,-2.75,U
1997-12,-10.94,U
1998-01,-10.46,U
1998-02,-3.64,U
1998-03,-0.7,U
1998-04,3.15,U
1998-05,6.56,U
1998-06,11.21,U
1998-07,13.22,U
1998-08,11.05,U
1998-09,8.5,U
1998-10,1.53,U
1998-11,-4.73,U
1998-12,-12.23,U
1999-01,-12.79,U
1999-02,-14.63,U
1999-03,-4.75,U
1999-04,1.74,U
1999-05,6.23,U
1999-06,11.57,U
1999-07,14.13,U
1999-08,12.83,U
1999-09,8.57,U
1999-10,-0.08,U
1999-11,-8.38,U
1999-12,-11.57,U
2000-01,, 
2000-02,, 
2000-03,, 
2000-04,, 
2000-05,6.24,U
2000-06,11.27,U
2000-07,12.84,U
2000-08,11.29,U
2000-09,7.29,U
2000-10,1.03,U
2000-11,-1.1,U
2000-12,, 
2001-01,, 
2001-02,, 
2001-03,, 
2001-04,, 
2001-05,5.53,U
2001-06,12.64,U
2001-07,13.47,U
2001-08,13.7,U
2001-09,8.55,U
2001-10,-2.4,U
2001-11,-7.86,U
2001-12,-14.09,U
2002-01,-3.42,U
2002-02,-3.87,U
2002-03,-6.35,U
2002-04,-0.99,U
2002-05,7.61,U
2002-06,11.29,U
2002-07,14.04,U
2002-08,12.57,U
2002-09,8.75,U
2002-10,4.92,U
2002-11,1.15,U
2002-12,, 
2003-01,, 
2003-02,, 
2003-03,-5.06,U
2003-04,2.96,U
2003-05,6.95,U
2003-06,11.7,U
2003-07,15.53,U
2003-08,13.01,U
2003-09,7.31,U
2003-10,3.61,U
2003-11,-8.13,U
2003-12,-9.41,U
2004-01,, 
2004-02,-1.37,U
2004-03,-4.21,U
2004-04,3.05,U
2004-05,9.53,U
2004-06,13.47,U
2004-07,15.4,U
2004-08,14.65,U
2004-09,5.49,U
2004-10,2.34,U
2004-11,-3.19,U
2004-12,-7.31,U
2005-01,-9.04,U
2005-02,-6.3,U
2005-03,-0.2,U
2005-04,3.82,U
2005-05,9.06,U
2005-06,12.03,U
2005-07,14.38,U
2005-08,13.36,U
2005-09,9.37,U
2005-10,0.88,U
2005-11,, 
2005-12,, 
2006-01,, 
2006-02,, 
2006-03,, 
2006-04,, 
2006-05,, 
2006-06,11.13,U
2006-07,13.41,U
2006-08,11.73,U
2006-09,8.65,U
2006-10,2.56,U
2006-11,-15.22,U
2006-12,-7.07,U
2007-01,-9.97,U
2007-02,-9.26,U
2007-03,-12.36,U
2007-04,3.98,U
2007-05,7.53,U
2007-06,11.93,U
2007-07,13.68,U
2007-08,13.98,U
2007-09,9.26,U
2007-10,0.93,U
2007-11,-2.03,U
2007-12,-9.31,U
2008-01,-12.24,U
2008-02,-10.0,U
2008-03,-0.88,U
2008-04,0.42,U
2008-05,6.86,U
2008-06,9.76,U
2008-07,12.38,U
2008-08,11.73,U
2008-09,8.22,U
2008-10,-2.97,U
2008-11,-7.78,U
2008-12,-12.87,U
2009-01,-12.7,U
2009-02,-9.22,U
2009-03,-6.36,U
2009-04,2.02,U
2009-05,7.79,U
2009-06,11.03,U
2009-07,14.92,U
2009-08,12.35,U
2009-09,8.19,U
2009-10,3.7,U
2009-11,-8.68,U
2009-12,-7.18,U
2010-01,, 
2010-02,, 
2010-03,-3.48,U
2010-04,2.37,U
2010-05,8.19,U
2010-06,11.04,U
2010-07,13.14,U
2010-08,12.66,U
2010-09,8.66,U
2010-10,2.0,U
2010-11,-6.32,U
2010-12,, 
2011-01,, 
2011-02,, 
2011-03,, 
2011-04,, 
2011-05,, 
2011-06,9.95,U
2011-07,12.35,U
2011-08,10.75,U
2011-09,7.46,U
2011-10,0.78,U
2011-11,-12.92,U
2011-12,, 
2012-01,, 
2012-02,, 
2012-03,, 
2012-04,, 
2012-05,, 
2012-06,11.42,U
2012-07,12.51,U
2012-08,12.06,U
2012-09,8.0,U
2012-10,-1.48,U
2012-11,-11.48,U
2012-12,, 
2013-01,, 
2013-02,-3.74,U
2013-03,-4.42,U
2013-04,-3.27,U
2013-05,6.04,U
2013-06,13.75,U
2013-07,15.35,U
2013-08,13.52,U
2013-09,8.0,U
2013-10,5.32,U
2013-11,-7.36,U
2013-12,-12.44,U
2014-01,-0.08,U
2014-02,-8.32,U
2014-03,-3.88,U
2014-04,, 
2014-05,, 
2014-06,10.4,U
2014-07,13.92,U
2014-08,13.03,U
2014-09,8.63,U
2014-10,-1.02,U
2014-11,, 
2014-12,, 
2015-01,-8.2,U
2015-02,, 
2015-03,, 
2015-04,, 
2015-05,, 
2015-06,13.44,U
2015-07,14.15,U
2015-08,12.47,U
2015-09,7.17,U
2015-10,4.25,U
2015-11,-4.9,U
2015-12,-5.95,U
2016-01,-2.13,U
2016-02,-0.51,U
2016-03,1.17,U
2016-04,5.11,U
2016-05,9.52,U
2016-06,13.38,U
2016-07,15.59,U
2016-08,13.97,U
2016-09,8.78,U
2016-10,1.33,U
2016-11,-5.64,U
2016-12,-11.63,U
2017-01,-12.88,U
2017-02,-7.9,U
2017-03,-11.43,U
2017-04,4.04,U
2017-05,7.33,U
2017-06,11.21,U
2017-07,14.43,U
2017-08,12.44,U
2017-09,9.24,U
2017-10,2.13,U
2017-11,-10.13,U
2017-12,-4.1,U
2018-01,-9.18,U
2018-02,-8.57,U
2018-03,-3.14,U
2018-04,3.39,U
2018-05,7.42,U
2018-06,11.97,U
2018-07,14.82,U
2018-08,13.04,U
2018-09,9.67,U
2018-10,5.44,U
2018-11,-3.3,U
2018-12,, 
2020-01,, 
2020-02,, 
2020-03,, 
2020-04,, 
2020-05,9.05,U
2020-06,11.64,U
2020-07,15.25,U
2020-08,13.26,U
2020-09,9.42,U
2020-10,2.04,U
2020-11,-5.62,U
2020-12,, 
2021-01,, 
2021-02,, 
2021-03,, 
2021-04,1.68,U
2021-05,7.81,U
2021-06,12.51,U
2021-07,14.07,U
2021-08,12.49,U
2021-09,6.97,U
2021-10,1.92,U
2021-11,-11.3,U
2021-12,, 
