Date [YYYY-MM],Temperature [°C],QCFLAG
1989-01,, 
1989-02,, 
1989-03,, 
1989-04,, 
1989-05,, 
1989-06,, 
1989-07,, 
1989-08,, 
1989-09,, 
1989-10,1.5,U
1989-11,, 
1989-12,, 
1990-01,, 
1990-02,, 
1990-03,, 
1990-04,, 
1990-05,, 
1990-06,, 
1990-07,, 
1990-08,12.93,U
1990-09,8.14,U
1990-10,, 
1990-11,, 
1990-12,, 
1991-01,, 
1991-02,, 
1991-03,, 
1991-04,, 
1991-05,, 
1991-06,11.06,U
1991-07,11.9,U
1991-08,11.24,U
1991-09,8.57,U
1991-10,, 
1991-11,, 
1991-12,, 
1993-01,, 
1993-02,, 
1993-03,, 
1993-04,, 
1993-05,, 
1993-06,,U
1993-07,16.67,U
1993-08,13.76,U
1993-09,8.17,U
1993-10,, 
1993-11,, 
1993-12,, 
1996-01,, 
1996-02,, 
1996-03,, 
1996-04,, 
1996-05,, 
1996-06,, 
1996-07,13.37,U
1996-08,11.83,U
1996-09,6.98,U
1996-10,, 
1996-11,, 
1996-12,, 
1997-01,, 
1997-02,, 
1997-03,, 
1997-04,, 
1997-05,, 
1997-06,, 
1997-07,15.43,U
1997-08,14.37,U
1997-09,9.59,U
1997-10,0.13,U
1997-11,-0.51,U
1997-12,, 
1998-01,, 
1998-02,, 
1998-03,, 
1998-04,, 
1998-05,6.32,U
1998-06,11.09,U
1998-07,13.17,U
1998-08,11.11,U
1998-09,7.9,U
1998-10,2.51,U
1998-11,-2.47,U
1998-12,, 
1999-01,, 
1999-02,, 
1999-03,, 
1999-04,, 
1999-05,6.98,U
1999-06,11.65,U
1999-07,14.08,U
1999-08,12.61,U
1999-09,8.34,U
1999-10,1.12,U
1999-11,, 
1999-12,, 
2000-01,, 
2000-02,, 
2000-03,, 
2000-04,3.79,U
2000-05,6.8,U
2000-06,11.0,U
2000-07,12.71,U
2000-08,11.96,U
2000-09,7.86,U
2000-10,2.08,U
2000-11,0.51,U
2000-12,, 
2001-01,, 
2001-02,, 
2001-03,, 
2001-04,, 
2001-05,6.2,U
2001-06,13.05,U
2001-07,13.39,U
2001-08,13.56,U
2001-09,8.37,U
2001-10,-0.65,U
2001-11,-4.94,U
2001-12,-9.25,U
2002-01,-3.12,U
2002-02,-4.19,U
2002-03,-4.9,U
2002-04,0.17,U
2002-05,7.71,U
2002-06,11.0,U
2002-07,13.95,U
2002-08,12.46,U
2002-09,8.55,U
2002-10,4.89,U
2002-11,1.97,U
2002-12,, 
2003-01,-2.57,U
2003-02,0.17,U
2003-03,-2.77,U
2003-04,3.73,U
2003-05,7.41,U
2003-06,11.72,U
2003-07,15.17,U
2003-08,13.18,U
2003-09,8.08,U
2003-10,4.63,U
2003-11,-4.82,U
2003-12,, 
2004-01,, 
2004-02,-0.6,U
2004-03,-2.87,U
2004-04,3.88,U
2004-05,9.16,U
2004-06,13.68,U
2004-07,15.23,U
2004-08,15.45,U
2004-09,7.22,U
2004-10,2.84,U
2004-11,-2.25,U
2004-12,, 
2005-01,, 
2005-02,-4.5,U
2005-03,0.74,U
2005-04,4.43,U
2005-05,8.95,U
2005-06,12.85,U
2005-07,14.34,U
2005-08,14.02,U
2005-09,9.03,U
2005-10,1.83,U
2005-11,-7.48,U
2005-12,-0.97,U
2006-01,, 
2006-02,, 
2006-03,, 
2006-04,, 
2006-05,, 
2006-06,11.36,U
2006-07,13.59,U
2006-08,12.07,U
2006-09,8.81,U
2006-10,3.12,U
2006-11,-12.33,U
2006-12,-4.82,U
2007-01,, 
2007-02,, 
2007-03,, 
2007-04,, 
2007-05,, 
2007-06,12.29,U
2007-07,13.59,U
2007-08,13.52,U
2007-09,9.58,U
2007-10,2.38,U
2007-11,-0.65,U
2007-12,-5.1,U
2008-01,-10.11,U
2008-02,-8.67,U
2008-03,-0.49,U
2008-04,1.5,U
2008-05,7.13,U
2008-06,10.23,U
2008-07,12.36,U
2008-08,11.87,U
2008-09,8.13,U
2008-10,-0.25,U
2008-11,-4.98,U
2008-12,-9.45,U
2009-01,-10.26,U
2009-02,-7.56,U
2009-03,-3.82,U
2009-04,2.51,U
2009-05,8.33,U
2009-06,11.44,U
2009-07,15.0,U
2009-08,12.48,U
2009-09,8.89,U
2009-10,4.2,U
2009-11,-5.5,U
2009-12,-5.66,U
2010-01,-6.05,U
2010-02,-1.39,U
2010-03,-1.34,U
2010-04,3.15,U
2010-05,8.16,U
2010-06,10.75,U
2010-07,11.92,U
2010-08,12.47,U
2010-09,,U
2010-10,,U
2010-11,-3.31,U
2010-12,-12.2,U
2011-01,-7.5,U
2011-02,-6.86,U
2011-03,-3.5,U
2011-04,3.25,U
2011-05,7.63,U
2011-06,10.87,U
2011-07,13.81,U
2011-08,12.05,U
2011-09,8.31,U
2011-10,2.36,U
2011-11,-8.24,U
2011-12,-6.59,U
2012-01,, 
2012-02,-2.45,U
2012-03,-4.71,U
2012-04,4.18,U
2012-05,6.19,U
2012-06,11.11,U
2012-07,12.04,U
2012-08,11.6,U
2012-09,7.8,U
2012-10,-0.28,U
2012-11,-7.68,U
2012-12,-10.47,U
2013-01,-3.0,U
2013-02,-1.61,U
2013-03,-2.57,U
2013-04,-0.69,U
2013-05,6.19,U
2013-06,13.61,U
2013-07,15.49,U
2013-08,13.31,U
2013-09,8.55,U
2013-10,4.42,U
2013-11,-4.33,U
2013-12,-9.05,U
2014-01,0.47,U
2014-02,-6.49,U
2014-03,-1.42,U
2014-04,3.11,U
2014-05,9.69,U
2014-06,10.22,U
2014-07,14.02,U
2014-08,13.03,U
2014-09,9.46,U
2014-10,1.09,U
2014-11,0.2,U
2014-12,-1.79,U
2015-01,-5.39,U
2015-02,-3.65,U
2015-03,-0.22,U
2015-04,3.41,U
2015-05,9.51,U
2015-06,12.49,U
2015-07,13.84,U
2015-08,13.33,U
2015-09,7.77,U
2015-10,5.02,U
2015-11,-2.96,U
2015-12,-3.71,U
2016-01,0.06,U
2016-02,0.71,U
2016-03,2.45,U
2016-04,5.27,U
2016-05,9.36,U
2016-06,12.71,U
2016-07,15.23,U
2016-08,13.38,U
2016-09,9.2,U
2016-10,2.76,U
2016-11,-1.8,U
2016-12,-7.82,U
2017-01,-10.23,U
2017-02,-7.5,U
2017-03,-8.83,U
2017-04,4.02,U
2017-05,6.82,U
2017-06,11.44,U
2017-07,13.78,U
2017-08,12.44,U
2017-09,9.1,U
2017-10,2.44,U
2017-11,-5.61,U
2017-12,-2.1,U
2018-01,-5.58,U
2018-02,-6.32,U
2018-03,-2.05,U
2018-04,3.19,U
2018-05,6.67,U
2018-06,11.48,U
2018-07,14.04,U
2018-08,12.9,U
2018-09,10.49,U
2018-10,5.53,U
2018-11,-0.73,U
2018-12,-3.56,U
2019-01,-6.39,U
2019-02,-3.94,U
2019-03,2.4,U
2019-04,3.62,U
2019-05,8.04,U
2019-06,13.54,U
2019-07,16.45,U
2019-08,15.35,U
2019-09,9.64,U
2019-10,3.9,U
2019-11,1.27,U
2019-12,-2.26,U
2020-01,-15.89,U
2020-02,-6.56,U
2020-03,-3.36,U
2020-04,3.32,U
