Date [YYYY-MM],Temperature [°C],QCFLAG
2003-01,, 
2003-02,, 
2003-03,, 
2003-04,, 
2003-05,, 
2003-06,, 
2003-07,, 
2003-08,13.62,U
2003-09,4.1,U
2003-10,-1.25,U
2003-11,-14.03,U
2003-12,-22.14,U
2004-01,, 
2004-02,, 
2004-03,, 
2004-04,, 
2004-05,, 
2004-06,19.9,U
2004-07,18.1,U
2004-08,15.37,U
2004-09,3.02,U
2004-10,-4.48,U
2004-11,-15.36,U
2004-12,-20.61,U
2005-01,-21.37,U
2005-02,-16.63,U
2005-03,-10.91,U
2005-04,0.3,U
2005-05,, 
2005-06,16.6,U
2005-07,14.7,U
2005-08,13.83,U
2005-09,6.84,U
2005-10,-3.98,U
2005-11,-21.72,U
2005-12,-15.89,U
2006-01,-27.79,U
2006-02,-11.58,U
2006-03,-17.37,U
2006-04,-3.88,U
2006-05,9.69,U
2006-06,15.12,U
2006-07,16.01,U
2006-08,12.44,U
2006-09,9.62,U
2006-10,-1.42,U
2006-11,-22.8,U
2006-12,-18.15,U
2007-01,, 
2007-02,-22.62,U
2007-03,-20.22,U
2007-04,2.31,U
2007-05,9.25,U
2007-06,17.57,U
2007-07,18.85,U
2007-08,15.28,U
2007-09,6.77,U
2007-10,-7.58,U
2007-11,-12.54,U
2007-12,, 
2008-01,, 
2008-02,-20.95,U
2008-03,-14.12,U
2008-04,-0.25,U
2008-05,8.74,U
2008-06,15.6,U
2008-07,14.69,U
2008-08,10.34,U
2008-09,5.65,U
2008-10,-10.4,U
2008-11,-17.18,U
2008-12,-22.47,U
2009-01,-25.26,U
2009-02,-18.36,U
2009-03,-18.53,U
2009-04,-0.73,U
2009-05,9.63,U
2009-06,15.73,U
2009-07,19.22,U
2009-08,12.35,U
2009-09,7.65,U
2009-10,-3.42,U
2009-11,-19.33,U
2009-12,-17.74,U
2010-01,-26.6,U
2010-02,-16.0,U
2010-03,-11.15,U
2010-04,3.52,U
2010-05,11.99,U
2010-06,15.88,U
2010-07,, 
2010-08,14.6,U
2010-09,6.83,U
2010-10,-4.4,U
2010-11,-11.11,U
2010-12,, 
2011-01,, 
2011-02,, 
2011-03,, 
2011-04,, 
2011-05,11.58,U
2011-06,, 
2011-07,, 
2011-08,12.92,U
2011-09,8.26,U
2011-10,-3.65,U
2011-11,-24.1,U
2011-12,-17.27,U
2012-01,-29.59,U
2012-02,-13.19,U
2012-03,-18.58,U
2012-04,1.21,U
2012-05,8.88,U
2012-06,17.54,U
2012-07,16.4,U
2012-08,14.06,U
2012-09,, 
2012-10,, 
2012-11,, 
2012-12,, 
2014-01,-16.62,U
2014-02,-21.1,U
2014-03,-10.22,U
2014-04,-1.07,U
2014-05,9.44,U
2014-06,14.12,U
2014-07,14.77,U
2014-08,13.67,U
2014-09,6.93,U
2014-10,-6.1,U
2014-11,-13.87,U
2014-12,-15.97,U
2015-01,-21.35,U
2015-02,-17.64,U
2015-03,-8.65,U
2015-04,0.97,U
2015-05,13.4,U
2015-06,14.66,U
2015-07,15.86,U
2015-08,10.99,U
2015-09,4.14,U
2015-10,-3.34,U
2015-11,-12.46,U
2015-12,-19.08,U
2016-01,-15.12,U
2016-02,-13.88,U
2016-03,-9.58,U
2016-04,-0.1,U
2016-05,10.67,U
2016-06,13.96,U
2016-07,16.6,U
2016-08,14.56,U
2016-09,5.95,U
2016-10,-5.99,U
2016-11,-17.52,U
2016-12,-21.58,U
2017-01,-18.66,U
2017-02,-18.45,U
2017-03,-16.36,U
2017-04,-1.87,U
2017-05,9.93,U
2017-06,15.59,U
2017-07,18.62,U
2017-08,13.48,U
2017-09,7.57,U
2017-10,-2.25,U
2017-11,-16.04,U
2017-12,-11.91,U
2018-01,-19.58,U
2018-02,-17.0,U
2018-03,-9.07,U
2018-04,-3.67,U
2018-05,9.0,U
2018-06,13.99,U
2018-07,17.86,U
2018-08,10.97,U
2018-09,5.86,U
2018-10,-1.33,U
2018-11,-15.57,U
2018-12,, 
2019-01,-22.51,U
2019-02,, 
2019-03,, 
2019-04,0.06,U
2019-05,11.07,U
2019-06,16.66,U
2019-07,18.63,U
2019-08,11.23,U
2019-09,8.13,U
2019-10,-2.34,U
2019-11,-13.98,U
2019-12,-24.58,U
2020-01,-28.4,U
2020-02,-22.48,U
2020-03,-13.23,U
2020-04,-0.77,U
2020-05,10.35,U
2020-06,15.59,U
2020-07,14.39,U
2020-08,14.62,U
2020-09,7.33,U
2020-10,-4.8,U
2020-11,, 
2020-12,, 
