Date [YYYY-MM],Temperature [°C],QCFLAG
2003-01,, 
2003-02,, 
2003-03,, 
2003-04,, 
2003-05,, 
2003-06,, 
2003-07,, 
2003-08,13.37,U
2003-09,3.68,U
2003-10,-1.7,U
2003-11,-16.25,U
2003-12,-24.44,U
2004-01,, 
2004-02,, 
2004-03,, 
2004-04,, 
2004-05,, 
2004-06,19.47,U
2004-07,19.09,U
2004-08,15.78,U
2004-09,1.57,U
2004-10,-4.52,U
2004-11,-18.25,U
2004-12,, 
2005-01,-25.68,U
2005-02,-22.73,U
2005-03,-12.04,U
2005-04,-2.04,U
2005-05,12.28,U
2005-06,17.1,U
2005-07,15.8,U
2005-08,14.11,U
2005-09,5.77,U
2005-10,-5.37,U
2005-11,-22.66,U
2005-12,-19.09,U
2006-01,, 
2006-02,-17.55,U
2006-03,-18.61,U
2006-04,-5.76,U
2006-05,, 
2006-06,, 
2006-07,15.53,U
2006-08,12.03,U
2006-09,8.76,U
2006-10,-2.62,U
2006-11,-23.86,U
2006-12,, 
2007-01,-22.26,U
2007-02,-24.88,U
2007-03,-20.74,U
2007-04,1.19,U
2007-05,9.69,U
2007-06,16.88,U
2007-07,19.07,U
2007-08,15.08,U
2007-09,6.18,U
2007-10,-7.95,U
2007-11,-14.9,U
2007-12,, 
2008-01,, 
2008-02,-24.77,U
2008-03,-16.19,U
2008-04,-1.38,U
2008-05,8.4,U
2008-06,15.49,U
2008-07,, 
2008-08,10.34,U
2008-09,4.8,U
2008-10,-11.41,U
2008-11,-17.67,U
2008-12,-24.88,U
2009-01,-30.19,U
2009-02,-20.05,U
2009-03,-19.16,U
2009-04,-1.42,U
2009-05,9.11,U
2009-06,15.13,U
2009-07,18.63,U
2009-08,11.44,U
2009-09,6.48,U
2009-10,-4.83,U
2009-11,-22.31,U
2009-12,-21.82,U
2010-01,-28.24,U
2010-02,-20.42,U
2010-03,-14.13,U
2010-04,1.31,U
2010-05,11.59,U
2010-06,16.51,U
2010-07,16.77,U
2010-08,15.19,U
2010-09,6.94,U
2010-10,-6.12,U
2010-11,-11.53,U
2010-12,-32.86,U
2011-01,-25.43,U
2011-02,-20.84,U
2011-03,-14.44,U
2011-04,-4.5,U
2011-05,9.92,U
2011-06,14.45,U
2011-07,16.55,U
2011-08,12.58,U
2011-09,6.64,U
2011-10,-4.13,U
2011-11,-25.15,U
2011-12,-19.18,U
2012-01,, 
2012-02,, 
2012-03,, 
2012-04,, 
2012-05,, 
2012-06,16.85,U
2012-07,15.97,U
2012-08,13.12,U
2012-09,5.37,U
2012-10,-7.19,U
2012-11,-24.91,U
2012-12,-30.03,U
2013-01,-22.83,U
2013-02,-21.01,U
2013-03,-15.38,U
2013-04,-7.48,U
2013-05,6.03,U
2013-06,18.22,U
2013-07,17.43,U
2013-08,13.84,U
2013-09,4.11,U
2013-10,-0.79,U
2013-11,, 
2013-12,, 
2015-01,-23.65,U
2015-02,-19.14,U
2015-03,-11.0,U
2015-04,0.15,U
2015-05,12.61,U
2015-06,15.21,U
2015-07,16.66,U
2015-08,11.95,U
2015-09,3.91,U
2015-10,-3.29,U
2015-11,-13.02,U
2015-12,-21.26,U
2016-01,-17.13,U
2016-02,-15.71,U
2016-03,-10.12,U
2016-04,-1.02,U
2016-05,10.61,U
2016-06,14.47,U
2016-07,17.13,U
2016-08,14.58,U
2016-09,5.56,U
2016-10,-7.09,U
2016-11,-17.79,U
2016-12,-24.42,U
2017-01,-20.74,U
2017-02,-18.4,U
2017-03,-16.13,U
2017-04,-1.96,U
2017-05,9.98,U
2017-06,15.38,U
2017-07,19.2,U
2017-08,12.53,U
2017-09,6.56,U
2017-10,-3.38,U
2017-11,-16.89,U
2017-12,-15.47,U
2018-01,-22.02,U
2018-02,-17.97,U
2018-03,-10.23,U
2018-04,-3.53,U
2018-05,8.46,U
2018-06,14.08,U
2018-07,18.06,U
2018-08,11.28,U
2018-09,6.05,U
2018-10,-3.0,U
2018-11,-16.24,U
2018-12,-19.48,U
2019-01,-24.7,U
2019-02,-16.9,U
2019-03,-5.16,U
2019-04,-0.51,U
2019-05,10.0,U
2019-06,17.36,U
2019-07,18.76,U
2019-08,12.42,U
2019-09,6.76,U
2019-10,-2.88,U
2019-11,-16.35,U
2019-12,-27.35,U
2020-01,-30.5,U
2020-02,-24.64,U
2020-03,-12.36,U
2020-04,-0.74,U
2020-05,9.7,U
2020-06,15.97,U
2020-07,15.18,U
2020-08,14.37,U
2020-09,6.65,U
2020-10,-5.02,U
2020-11,-18.41,U
2020-12,-19.82,U
2021-01,-21.02,U
2021-02,-26.94,U
2021-03,-15.9,U
2021-04,-3.43,U
2021-05,7.61,U
2021-06,16.35,U
2021-07,17.29,U
2021-08,12.01,U
2021-09,4.87,U
2021-10,-3.36,U
2021-11,-18.66,U
2021-12,-22.62,U
