Date [YYYY-MM],Temperature [°C],QCFLAG
1993-01,, 
1993-02,, 
1993-03,, 
1993-04,, 
1993-05,, 
1993-06,15.8,U
1993-07,17.1,U
1993-08,11.45,U
1993-09,4.27,U
1993-10,-3.5,U
1993-11,-14.94,U
1993-12,-19.03,U
1994-01,-21.09,U
1994-02,-19.98,U
1994-03,-15.75,U
1994-04,-1.86,U
1994-05,7.8,U
1994-06,12.07,U
1994-07,15.18,U
1994-08,12.6,U
1994-09,3.63,U
1994-10,-8.07,U
1994-11,-16.15,U
1994-12,, 
1995-01,, 
1995-02,-18.0,U
1995-03,-16.63,U
1995-04,1.42,U
1995-05,9.0,U
1995-06,12.42,U
1995-07,14.69,U
1995-08,13.78,U
1995-09,8.61,U
1995-10,-6.35,U
1995-11,-20.41,U
1995-12,-22.34,U
1996-01,-28.62,U
1996-02,-20.42,U
1996-03,-9.94,U
1996-04,-3.39,U
1996-05,6.98,U
1996-06,12.25,U
1996-07,14.88,U
1996-08,9.06,U
1996-09,3.23,U
1996-10,-12.86,U
1996-11,-20.27,U
1996-12,-26.54,U
1997-01,-27.51,U
1997-02,-13.12,U
1997-03,-18.39,U
1997-04,-1.73,U
1997-05,7.04,U
1997-06,14.51,U
1997-07,15.5,U
1997-08,12.33,U
1997-09,6.24,U
1997-10,-11.02,U
1997-11,-14.21,U
1997-12,-23.22,U
1998-01,-25.45,U
1998-02,-18.13,U
1998-03,-9.64,U
1998-04,1.23,U
1998-05,6.82,U
1998-06,, 
1998-07,13.9,U
1998-08,9.78,U
1998-09,5.5,U
1998-10,-6.15,U
1998-11,-16.84,U
1998-12,-22.93,U
1999-01,-27.47,U
1999-02,-28.4,U
1999-03,-15.85,U
1999-04,-2.91,U
1999-05,6.05,U
1999-06,13.48,U
1999-07,13.84,U
1999-08,, 
1999-09,, 
1999-10,, 
1999-11,, 
1999-12,, 
2000-01,, 
2000-02,, 
2000-03,, 
2000-04,, 
2000-05,, 
2000-06,13.74,U
2000-07,13.02,U
2000-08,8.49,U
2000-09,3.12,U
2000-10,-8.25,U
2000-11,-14.29,U
2000-12,-16.85,U
2001-01,-14.58,U
2001-02,-13.97,U
2001-03,-13.28,U
2001-04,-2.12,U
2001-05,3.53,U
2001-06,13.28,U
2001-07,13.33,U
2001-08,12.12,U
2001-09,5.41,U
2001-10,-8.79,U
2001-11,-20.64,U
2001-12,-27.63,U
2002-01,-17.32,U
2002-02,-19.21,U
2002-03,-13.24,U
2002-04,-5.04,U
2002-05,8.12,U
2002-06,12.74,U
2002-07,14.56,U
2002-08,10.71,U
2002-09,6.17,U
2002-10,-3.47,U
2002-11,-11.23,U
2002-12,-16.48,U
2003-01,-23.17,U
2003-02,-14.25,U
2003-03,-13.44,U
2003-04,-1.63,U
2003-05,6.45,U
2003-06,, 
2003-07,14.2,U
2003-08,11.33,U
2003-09,2.15,U
2003-10,-2.53,U
2003-11,-12.98,U
2003-12,-25.17,U
2004-01,-24.43,U
2004-02,-18.48,U
2004-03,-16.67,U
2004-04,0.11,U
2004-05,9.59,U
2004-06,15.93,U
2004-07,16.64,U
2004-08,13.53,U
2004-09,, 
2004-10,, 
2004-11,, 
2004-12,, 
2005-01,, 
2005-02,, 
2005-03,, 
2005-04,, 
2005-05,, 
2005-06,13.71,U
2005-07,15.42,U
2005-08,13.56,U
2005-09,7.52,U
2005-10,-4.3,U
2005-11,-22.34,U
2005-12,-16.25,U
2006-01,-28.64,U
2006-02,-13.58,U
2006-03,-12.14,U
2006-04,-0.66,U
2006-05,8.06,U
2006-06,12.21,U
2006-07,14.8,U
2006-08,10.37,U
2006-09,7.04,U
2006-10,-1.5,U
2006-11,-24.3,U
2006-12,-21.42,U
2007-01,, 
2007-02,-21.77,U
2007-03,-21.36,U
2007-04,1.96,U
2007-05,8.49,U
2007-06,,U
2007-07,, 
2007-08,, 
2007-09,, 
2007-10,, 
2007-11,, 
2007-12,, 
2009-01,, 
2009-02,, 
2009-03,, 
2009-04,, 
2009-05,, 
2009-06,, 
2009-07,, 
2009-08,9.53,U
2009-09,4.86,U
2009-10,-3.31,U
2009-11,-20.87,U
2009-12,-20.86,U
2010-01,-24.09,U
2010-02,-17.86,U
2010-03,-15.0,U
2010-04,-0.97,U
2010-05,8.87,U
2010-06,12.71,U
2010-07,14.0,U
2010-08,12.8,U
2010-09,5.03,U
2010-10,-5.02,U
2010-11,-11.16,U
2010-12,-28.08,U
2011-01,-21.37,U
2011-02,-18.68,U
2011-03,-13.88,U
2011-04,-3.93,U
2011-05,7.29,U
2011-06,12.43,U
2011-07,13.76,U
2011-08,10.65,U
2011-09,5.83,U
2011-10,-4.67,U
2011-11,-23.63,U
2011-12,-17.34,U
2012-01,-33.14,U
2012-02,-16.73,U
2012-03,-17.66,U
2012-04,-0.72,U
2012-05,6.56,U
2012-06,13.53,U
2012-07,13.24,U
2012-08,11.16,U
2012-09,4.37,U
2012-10,-7.22,U
2012-11,-21.46,U
2012-12,-27.97,U
2013-01,-19.54,U
2013-02,-19.94,U
2013-03,-14.55,U
2013-04,-8.71,U
2013-05,4.31,U
2013-06,15.2,U
2013-07,14.56,U
2013-08,11.62,U
2013-09,3.04,U
2013-10,, 
2013-11,, 
2013-12,, 
2015-01,-22.75,U
2015-02,-16.57,U
2015-03,-11.35,U
2015-04,0.34,U
2015-05,9.92,U
2015-06,13.24,U
2015-07,14.33,U
2015-08,10.85,U
2015-09,4.05,U
2015-10,-2.52,U
2015-11,-12.18,U
2015-12,, 
2016-01,, 
2016-02,, 
2016-03,-9.71,U
2016-04,1.75,U
2016-05,9.15,U
2016-06,14.16,U
2016-07,15.0,U
2016-08,13.36,U
2016-09,5.44,U
2016-10,-7.1,U
2016-11,-17.56,U
2016-12,-20.93,U
2017-01,-23.09,U
2017-02,-17.66,U
2017-03,-20.16,U
2017-04,-0.47,U
2017-05,6.94,U
2017-06,13.26,U
2017-07,16.51,U
2017-08,12.02,U
2017-09,5.43,U
2017-10,-2.31,U
2017-11,-13.12,U
2017-12,, 
2018-01,, 
2018-02,, 
2018-03,-9.1,U
2018-04,-3.05,U
2018-05,6.69,U
2018-06,12.25,U
2018-07,15.65,U
2018-08,11.67,U
2018-09,7.25,U
2018-10,-1.77,U
2018-11,-13.13,U
2018-12,-17.86,U
2019-01,-21.32,U
2019-02,, 
2019-03,-4.37,U
2019-04,0.19,U
2019-05,8.64,U
2019-06,15.22,U
2019-07,16.45,U
2019-08,11.96,U
2019-09,6.73,U
2019-10,-2.6,U
2019-11,-12.27,U
2019-12,-23.07,U
2020-01,-29.59,U
2020-02,-21.03,U
2020-03,-12.06,U
2020-04,0.06,U
2020-05,9.42,U
2020-06,13.23,U
2020-07,14.6,U
2020-08,12.84,U
2020-09,5.98,U
2020-10,-4.52,U
2020-11,-17.02,U
2020-12,-19.3,U
2021-01,-18.22,U
2021-02,, 
2021-03,, 
2021-04,, 
2021-05,, 
2021-06,14.41,U
2021-07,15.58,U
2021-08,11.74,U
2021-09,, 
2021-10,, 
2021-11,, 
2021-12,, 
