Date [YYYY-MM],Temperature [°C],QCFLAG
1993-01,, 
1993-02,, 
1993-03,, 
1993-04,, 
1993-05,, 
1993-06,, 
1993-07,, 
1993-08,12.42,U
1993-09,4.8,U
1993-10,-4.67,U
1993-11,-15.75,U
1993-12,, 
1994-01,, 
1994-02,, 
1994-03,, 
1994-04,, 
1994-05,9.12,U
1994-06,13.47,U
1994-07,17.49,U
1994-08,14.62,U
1994-09,2.76,U
1994-10,-7.09,U
1994-11,-20.68,U
1994-12,, 
1995-01,, 
1995-02,, 
1995-03,, 
1995-04,, 
1995-05,, 
1995-06,15.06,U
1995-07,15.7,U
1995-08,12.62,U
1995-09,8.37,U
1995-10,-7.57,U
1995-11,-22.95,U
1995-12,, 
1996-01,, 
1996-02,, 
1996-03,, 
1996-04,, 
1996-05,, 
1996-06,14.2,U
1996-07,15.99,U
1996-08,9.19,U
1996-09,2.48,U
1996-10,-13.05,U
1996-11,-21.11,U
1996-12,, 
1997-01,, 
1997-02,, 
1997-03,-17.94,U
1997-04,-2.37,U
1997-05,7.24,U
1997-06,15.51,U
1997-07,16.35,U
1997-08,13.9,U
1997-09,7.96,U
1997-10,-10.47,U
1997-11,-15.12,U
1997-12,, 
1998-01,, 
1998-02,, 
1998-03,, 
1998-04,, 
1998-05,, 
1998-06,14.18,U
1998-07,17.0,U
1998-08,11.41,U
1998-09,6.19,U
1998-10,-6.32,U
1998-11,, 
1998-12,, 
1999-01,, 
1999-02,, 
1999-03,, 
1999-04,, 
1999-05,6.44,U
1999-06,15.77,U
1999-07,15.86,U
1999-08,13.56,U
1999-09,6.14,U
1999-10,-9.56,U
1999-11,-22.56,U
1999-12,-27.19,U
2000-01,-22.42,U
2000-02,, 
2000-03,, 
2000-04,, 
2000-05,, 
2000-06,15.68,U
2000-07,14.64,U
2000-08,9.37,U
2000-09,3.16,U
2000-10,-8.09,U
2000-11,-15.67,U
2000-12,, 
2001-01,, 
2001-02,-16.45,U
2001-03,-17.42,U
2001-04,-3.51,U
2001-05,4.63,U
2001-06,14.27,U
2001-07,14.06,U
2001-08,, 
2001-09,, 
2001-10,, 
2001-11,, 
2001-12,, 
2002-01,, 
2002-02,, 
2002-03,, 
2002-04,, 
2002-05,, 
2002-06,13.15,U
2002-07,14.9,U
2002-08,10.45,U
2002-09,7.27,U
2002-10,-3.53,U
2002-11,-12.63,U
2002-12,, 
2003-01,, 
2003-02,, 
2003-03,-16.56,U
2003-04,-2.75,U
2003-05,5.87,U
2003-06,13.57,U
2003-07,14.78,U
2003-08,12.92,U
2003-09,2.5,U
2003-10,-2.51,U
2003-11,-16.92,U
2003-12,-24.2,U
2004-01,, 
2004-02,, 
2004-03,, 
2004-04,, 
2004-05,, 
2004-06,17.22,U
2004-07,17.06,U
2004-08,11.88,U
2004-09,1.1,U
2004-10,-5.3,U
2004-11,-19.11,U
2004-12,, 
2005-01,-24.95,U
2005-02,-22.63,U
2005-03,-12.52,U
2005-04,-1.85,U
2005-05,7.25,U
2005-06,15.06,U
2005-07,13.65,U
2005-08,12.79,U
2005-09,5.2,U
2005-10,-6.09,U
2005-11,-23.92,U
2005-12,, 
2006-01,, 
2006-02,-14.65,U
2006-03,-18.8,U
2006-04,-5.32,U
2006-05,8.97,U
2006-06,14.4,U
2006-07,15.13,U
2006-08,11.34,U
2006-09,8.62,U
2006-10,-2.47,U
2006-11,-24.42,U
2006-12,-20.88,U
2007-01,, 
2007-02,-26.71,U
2007-03,-21.37,U
2007-04,0.55,U
2007-05,8.6,U
2007-06,15.61,U
2007-07,17.57,U
2007-08,13.68,U
2007-09,4.86,U
2007-10,-9.54,U
2007-11,-15.78,U
2007-12,, 
2008-01,, 
2008-02,-23.9,U
2008-03,-16.57,U
2008-04,-1.42,U
2008-05,7.09,U
2008-06,14.36,U
2008-07,13.97,U
2008-08,9.11,U
2008-09,, 
2008-10,, 
2008-11,, 
2008-12,, 
2009-01,, 
2009-02,, 
2009-03,, 
2009-04,, 
2009-05,,U
2009-06,,U
2009-07,,U
2009-08,10.6,U
2009-09,5.35,U
2009-10,-6.1,U
2009-11,-21.94,U
2009-12,-21.66,U
2010-01,, 
2010-02,, 
2010-03,, 
2010-04,, 
2010-05,8.75,U
2010-06,14.89,U
2010-07,16.17,U
2010-08,14.06,U
2010-09,6.16,U
2010-10,-7.07,U
2010-11,-12.14,U
2010-12,-32.25,U
2011-01,-25.13,U
2011-02,-21.08,U
2011-03,-12.94,U
2011-04,-4.96,U
2011-05,9.7,U
2011-06,13.49,U
2011-07,15.8,U
2011-08,12.0,U
2011-09,6.39,U
2011-10,-5.08,U
2011-11,-25.56,U
2011-12,-19.53,U
2012-01,,U
2012-02,-18.83,U
2012-03,-19.69,U
2012-04,0.11,U
2012-05,7.46,U
2012-06,15.9,U
2012-07,14.92,U
2012-08,12.93,U
2012-09,5.69,U
2012-10,-7.79,U
2012-11,-25.21,U
2012-12,-30.05,U
2013-01,-23.54,U
2013-02,-22.08,U
2013-03,-15.56,U
2013-04,-8.77,U
2013-05,5.6,U
2013-06,16.41,U
2013-07,16.65,U
2013-08,13.13,U
2013-09,3.78,U
2013-10,-0.15,U
2013-11,-15.95,U
2013-12,-23.95,U
2014-01,-20.1,U
2014-02,-24.04,U
2014-03,-12.09,U
2014-04,-2.21,U
2014-05,, 
2014-06,11.38,U
2014-07,13.56,U
2014-08,12.24,U
2014-09,5.43,U
2014-10,-7.27,U
2014-11,-18.83,U
2014-12,, 
2015-01,, 
2015-02,-18.45,U
2015-03,-10.86,U
2015-04,-0.77,U
2015-05,11.85,U
2015-06,13.9,U
2015-07,15.2,U
2015-08,10.75,U
2015-09,3.0,U
2015-10,-4.71,U
2015-11,-14.0,U
2015-12,-21.73,U
2016-01,-18.38,U
2016-02,-16.86,U
2016-03,-10.95,U
2016-04,-2.22,U
2016-05,9.5,U
2016-06,13.1,U
2016-07,15.61,U
2016-08,13.74,U
2016-09,5.17,U
2016-10,-7.61,U
2016-11,-18.98,U
2016-12,-23.7,U
2017-01,-20.36,U
2017-02,-19.13,U
2017-03,-17.07,U
2017-04,-3.55,U
2017-05,8.78,U
2017-06,14.44,U
2017-07,18.49,U
2017-08,12.04,U
2017-09,5.5,U
2017-10,-4.18,U
2017-11,-17.68,U
2017-12,-16.23,U
2018-01,-21.96,U
2018-02,-17.91,U
2018-03,-11.01,U
2018-04,-5.48,U
2018-05,7.97,U
2018-06,12.63,U
2018-07,17.35,U
2018-08,10.72,U
2018-09,5.32,U
2018-10,-4.11,U
2018-11,-17.23,U
2018-12,-20.41,U
2019-01,-24.35,U
2019-02,-16.87,U
2019-03,-4.8,U
2019-04,-1.54,U
2019-05,9.81,U
2019-06,15.22,U
2019-07,17.86,U
2019-08,10.94,U
2019-09,6.26,U
2019-10,-3.62,U
2019-11,-16.75,U
2019-12,-27.14,U
2020-01,, 
2020-02,, 
2020-03,-13.6,U
2020-04,-1.75,U
2020-05,9.1,U
2020-06,14.03,U
2020-07,13.81,U
2020-08,13.32,U
2020-09,6.38,U
2020-10,-6.28,U
2020-11,-18.64,U
2020-12,-21.13,U
2021-01,, 
2021-02,-27.36,U
2021-03,-16.45,U
2021-04,-3.77,U
2021-05,6.7,U
2021-06,14.83,U
2021-07,16.06,U
2021-08,11.09,U
2021-09,3.86,U
2021-10,-4.38,U
2021-11,-20.74,U
2021-12,-21.34,U
