Date [YYYY-MM],Temperature [°C],QCFLAG
1999-01,, 
1999-02,, 
1999-03,, 
1999-04,, 
1999-05,, 
1999-06,, 
1999-07,11.1,U
1999-08,8.9,U
1999-09,, 
1999-10,, 
1999-11,, 
1999-12,, 
2000-01,, 
2000-02,, 
2000-03,, 
2000-04,, 
2000-05,, 
2000-06,10.33,U
2000-07,11.3,U
2000-08,7.76,U
2000-09,3.04,U
2000-10,, 
2000-11,, 
2000-12,, 
2001-01,, 
2001-02,, 
2001-03,, 
2001-04,, 
2001-05,, 
2001-06,, 
2001-07,11.16,U
2001-08,11.27,U
2001-09,, 
2001-10,, 
2001-11,, 
2001-12,, 
2002-01,, 
2002-02,, 
2002-03,, 
2002-04,, 
2002-05,, 
2002-06,10.19,U
2002-07,12.67,U
2002-08,9.96,U
2002-09,5.72,U
2002-10,0.04,U
2002-11,-3.96,U
2002-12,, 
2003-01,, 
2003-02,-6.99,U
2003-03,-9.38,U
2003-04,-0.26,U
2003-05,4.75,U
2003-06,10.58,U
2003-07,13.72,U
2003-08,10.39,U
2003-09,3.79,U
2003-10,0.59,U
2003-11,-13.73,U
2003-12,-14.19,U
2004-01,-20.25,U
2004-02,-8.95,U
2004-03,-8.96,U
2004-04,0.44,U
2004-05,8.47,U
2004-06,14.59,U
2004-07,14.38,U
2004-08,15.82,U
2004-09,2.18,U
2004-10,-2.8,U
2004-11,, 
2004-12,, 
2005-01,, 
2005-02,, 
2005-03,, 
2005-04,, 
2005-05,, 
2005-06,11.09,U
2005-07,11.77,U
2005-08,11.65,U
2005-09,5.13,U
2005-10,, 
2005-11,, 
2005-12,, 
2006-01,, 
2006-02,, 
2006-03,, 
2006-04,, 
2006-05,, 
2006-06,8.65,U
2006-07,11.99,U
2006-08,8.16,U
2006-09,,U
2006-10,,U
2006-11,,U
2006-12,,U
2007-01,,U
2007-02,,U
2007-03,,U
2007-04,,U
2007-05,,U
2007-06,11.66,U
2007-07,12.28,U
2007-08,11.68,U
2007-09,5.02,U
2007-10,-3.27,U
2007-11,-6.19,U
2007-12,-13.25,U
2008-01,-16.57,U
2008-02,-13.61,U
2008-03,-6.66,U
2008-04,-2.42,U
2008-05,4.16,U
2008-06,8.9,U
2008-07,9.35,U
2008-08,8.71,U
2008-09,4.13,U
2008-10,-6.3,U
2008-11,-10.79,U
2008-12,-16.44,U
2009-01,-16.67,U
2009-02,-12.94,U
2009-03,-11.35,U
2009-04,-1.36,U
2009-05,6.41,U
2009-06,10.01,U
2009-07,14.69,U
2009-08,9.41,U
2009-09,5.61,U
2009-10,-0.61,U
2009-11,-12.61,U
2009-12,-9.21,U
2010-01,, 
2010-02,-8.2,U
2010-03,-6.47,U
2010-04,-0.77,U
2010-05,7.56,U
2010-06,9.11,U
2010-07,10.69,U
2010-08,10.87,U
2010-09,6.96,U
2010-10,-2.08,U
2010-11,-8.18,U
2010-12,-18.11,U
2011-01,-12.5,U
2011-02,-14.4,U
2011-03,-8.88,U
2011-04,-1.36,U
2011-05,5.78,U
2011-06,9.98,U
2011-07,11.49,U
2011-08,8.7,U
2011-09,5.01,U
2011-10,-2.12,U
2011-11,-16.21,U
2011-12,-10.9,U
2012-01,-19.75,U
2012-02,-8.03,U
2012-03,-9.82,U
2012-04,1.52,U
2012-05,,U
2012-06,,U
2012-07,,U
2012-08,,U
2012-09,,U
2012-10,,U
2012-11,,U
2012-12,,U
2013-01,,U
2013-02,,U
2013-03,,U
2013-04,,U
2013-05,, 
2013-06,, 
2013-07,, 
2013-08,, 
2013-09,, 
2013-10,, 
2013-11,, 
2013-12,, 
2014-01,, 
2014-02,,U
2014-03,-7.13,U
2014-04,-1.08,U
2014-05,7.08,U
2014-06,8.39,U
2014-07,11.68,U
2014-08,, 
2014-09,, 
2014-10,, 
2014-11,, 
2014-12,, 
2016-01,-8.61,U
2016-02,-7.78,U
2016-03,-2.94,U
2016-04,2.54,U
2016-05,7.99,U
2016-06,11.64,U
2016-07,13.69,U
2016-08,11.78,U
2016-09,, 
2016-10,, 
2016-11,, 
2016-12,, 
2018-01,-14.08,U
2018-02,-13.13,U
2018-03,-7.47,U
2018-04,-1.53,U
2018-05,3.95,U
2018-06,, 
2018-07,, 
2018-08,, 
2018-09,, 
2018-10,, 
2018-11,, 
2018-12,, 
2019-01,-13.99,U
2019-02,-11.62,U
2019-03,-1.78,U
2019-04,0.08,U
2019-05,6.81,U
2019-06,13.88,U
2019-07,16.42,U
2019-08,, 
2019-09,7.5,U
2019-10,-1.61,U
2019-11,-6.41,U
2019-12,-11.04,U
2020-01,-19.34,U
2020-02,-12.53,U
2020-03,-10.57,U
2020-04,-1.16,U
2020-05,7.27,U
2020-06,9.93,U
2020-07,13.02,U
2020-08,10.98,U
2020-09,5.91,U
2020-10,-3.14,U
2020-11,-11.33,U
2020-12,, 
2021-01,-11.15,U
2021-02,-16.09,U
2021-03,-11.35,U
2021-04,-2.26,U
2021-05,5.1,U
2021-06,11.81,U
2021-07,13.28,U
2021-08,11.01,U
2021-09,4.01,U
2021-10,-1.87,U
2021-11,-14.87,U
2021-12,-15.22,U
