Date [YYYY-MM],Temperature [°C],QCFLAG
1991-01,, 
1991-02,, 
1991-03,, 
1991-04,, 
1991-05,, 
1991-06,, 
1991-07,13.67,U
1991-08,, 
1991-09,, 
1991-10,, 
1991-11,, 
1991-12,, 
1992-01,, 
1992-02,, 
1992-03,, 
1992-04,, 
1992-05,, 
1992-06,12.4,U
1992-07,15.96,U
1992-08,11.57,U
1992-09,-0.85,U
1992-10,-10.96,U
1992-11,-17.12,U
1992-12,-20.48,U
1993-01,, 
1993-02,, 
1993-03,, 
1993-04,, 
1993-05,, 
1993-06,12.89,U
1993-07,17.04,U
1993-08,10.12,U
1993-09,2.83,U
1993-10,-2.65,U
1993-11,-13.07,U
1993-12,-13.62,U
1994-01,-17.11,U
1994-02,-19.76,U
1994-03,-22.03,U
1994-04,-11.82,U
1994-05,3.57,U
1994-06,11.04,U
1994-07,15.3,U
1994-08,11.09,U
1994-09,4.37,U
1994-10,-7.47,U
1994-11,-18.87,U
1994-12,-22.01,U
1995-01,-22.25,U
1995-02,-17.77,U
1995-03,-22.18,U
1995-04,-7.52,U
1995-05,6.56,U
1995-06,11.08,U
1995-07,14.87,U
1995-08,11.42,U
1995-09,8.51,U
1995-10,-4.06,U
1995-11,-18.27,U
1995-12,-19.28,U
1996-01,-22.33,U
1996-02,-21.82,U
1996-03,-13.49,U
1996-04,-10.76,U
1996-05,4.62,U
1996-06,11.11,U
1996-07,14.33,U
1996-08,9.66,U
1996-09,2.8,U
1996-10,-9.79,U
1996-11,-14.5,U
1996-12,-22.96,U
1997-01,-23.18,U
1997-02,-14.92,U
1997-03,-22.04,U
1997-04,-6.45,U
1997-05,5.52,U
1997-06,13.05,U
1997-07,14.99,U
1997-08,12.74,U
1997-09,8.78,U
1997-10,-9.6,U
1997-11,-10.78,U
1997-12,-21.88,U
1998-01,-23.71,U
1998-02,-18.4,U
1998-03,-10.08,U
1998-04,-1.99,U
1998-05,5.02,U
1998-06,12.7,U
1998-07,16.62,U
1998-08,9.76,U
1998-09,6.65,U
1998-10,-2.37,U
1998-11,-12.94,U
1998-12,-21.38,U
1999-01,-28.44,U
1999-02,-24.6,U
1999-03,-20.76,U
1999-04,-9.47,U
1999-05,2.33,U
1999-06,12.74,U
1999-07,14.63,U
1999-08,12.8,U
1999-09,6.79,U
1999-10,-6.83,U
1999-11,-18.81,U
1999-12,, 
2000-01,, 
2000-02,, 
2000-03,, 
2000-04,, 
2000-05,, 
2000-06,, 
2000-07,12.42,U
2000-08,9.73,U
2000-09,3.9,U
2000-10,-5.01,U
2000-11,-9.93,U
2000-12,-11.52,U
2001-01,-12.98,U
2001-02,-11.36,U
2001-03,-17.47,U
2001-04,-8.09,U
2001-05,-4.7,U
2001-06,10.36,U
2001-07,13.44,U
2001-08,11.02,U
2001-09,7.5,U
2001-10,-8.32,U
2001-11,-16.96,U
2001-12,-21.16,U
2002-01,-20.02,U
2002-02,-16.42,U
2002-03,-11.2,U
2002-04,-9.54,U
2002-05,6.51,U
2002-06,11.41,U
2002-07,14.71,U
2002-08,10.15,U
2002-09,6.63,U
2002-10,-0.9,U
2002-11,-7.53,U
2002-12,-12.29,U
2003-01,-14.44,U
2003-02,-13.24,U
2003-03,-19.5,U
2003-04,-4.56,U
2003-05,3.52,U
2003-06,13.92,U
2003-07,12.02,U
2003-08,12.27,U
2003-09,3.45,U
2003-10,-1.32,U
2003-11,-12.86,U
2003-12,-21.28,U
2004-01,-21.42,U
2004-02,-18.2,U
2004-03,-17.27,U
2004-04,-2.82,U
2004-05,7.38,U
2004-06,16.08,U
2004-07,17.37,U
2004-08,15.91,U
2004-09,2.53,U
2004-10,-2.87,U
2004-11,-11.97,U
2004-12,-16.32,U
2005-01,-20.97,U
2005-02,-19.26,U
2005-03,-11.76,U
2005-04,-12.98,U
2005-05,6.02,U
2005-06,14.74,U
2005-07,15.31,U
2005-08,12.83,U
2005-09,7.11,U
2005-10,-3.54,U
2005-11,-20.44,U
